[00:00:04.400 --> 00:00:05.040]  And welcome back.
[00:00:05.541 --> 00:00:06.901]  Our guest tonight is Jim Mars.
[00:00:07.221 --> 00:00:12.423]  He is a historian and best-selling author of many works, including his latest, Our Occulted History.
[00:00:12.483 --> 00:00:14.584]  He joins us now in studio to talk about his works.
[00:00:14.764 --> 00:00:15.865]  Thanks for joining us today, Jim.
[00:00:16.265 --> 00:00:17.105]  Hey, it's my pleasure.
[00:00:17.205 --> 00:00:17.886]  Thanks for having me.
[00:00:18.126 --> 00:00:18.426]  All right.
[00:00:18.466 --> 00:00:21.507]  Now, I hear you have the recent analysis on the Cyprus situation.
[00:00:21.767 --> 00:00:22.848]  What have you come across?
[00:00:23.288 --> 00:00:29.692]  Well, I mean, I'm just looking at it, and of course, you know, they shut down the ATMs, they closed the banks, so you can't get your money back.
[00:00:30.553 --> 00:00:34.535]  And they were proposing, like, almost a 9.9, a 10% tax on your savings.
[00:00:34.555 --> 00:00:35.015]  On your money.
[00:00:39.218 --> 00:00:43.140]  Yeah, the money you put in there to save, they're going to rob it.
[00:00:44.220 --> 00:00:45.861]  But I think there's more to it than that.
[00:00:46.341 --> 00:00:52.544]  Apparently Cyprus has been a tax shelter and a tax haven for a lot of wealthy Russians.
[00:00:53.165 --> 00:00:57.427]  And this could be part of the kind of the Sub Rosa covert
[00:00:58.428 --> 00:01:00.349]  I think it's a practice run
[00:01:18.797 --> 00:01:29.443]  I think they're practicing to see how the people in Cyprus and how the European Union people handle this and how they perceive it and how they react to it.
[00:01:30.063 --> 00:01:34.625]  And if they're able to get away with this, then I think you're going to see this in other countries.
[00:01:35.726 --> 00:01:39.108]  Now Jim, do you think there's any reason why this location was chosen, Cyprus?
[00:01:40.348 --> 00:01:46.412]  Well, again, because they had some heavy money there from the Russian oligarchs.
[00:01:47.193 --> 00:01:50.815]  And I think that number one, they could get their hands on a lot of money.
[00:01:51.756 --> 00:01:55.438]  And number two, again, this was a swipe at Russia.
[00:01:55.919 --> 00:02:09.768]  Russia has always been a target for the international bankers because both under the czars and under the communists, they would not play ball and would not create a central bank and would not have, you know, we have a central bank now.
[00:02:10.128 --> 00:02:11.469]  It's called the Federal Reserve System.
[00:02:11.609 --> 00:02:12.029]  Exactly.
[00:02:12.049 --> 00:02:12.870]  I'm glad you mentioned that.
[00:02:12.990 --> 00:02:14.251]  It's not federal.
[00:02:15.051 --> 00:02:17.473]  It's neither federal nor does it have any reserves.
[00:02:18.334 --> 00:02:22.717]  And they don't call it a central bank, except actually they've begun to.
[00:02:23.517 --> 00:02:24.298]  That's pretty interesting.
[00:02:24.338 --> 00:02:28.641]  All my life, they never referred to the Federal Reserve System as a central bank.
[00:02:29.001 --> 00:02:33.164]  But in the last ten years or so, just on the news, you'll hear, yeah, the central bank today.
[00:02:33.744 --> 00:02:41.308]  So we got one, even though that was the biggest point of contention of our founding fathers, was whether or not to have a central bank.
[00:02:41.388 --> 00:02:45.870]  And most of them, including Jefferson, said no, because look what they've done in Europe.
[00:02:46.210 --> 00:02:46.650]  Exactly.
[00:02:46.830 --> 00:02:50.812]  Whoever controls the money, controls the government, controls the country.
[00:02:51.412 --> 00:02:53.033]  And this is the whole name of the game.
[00:02:53.713 --> 00:02:55.394]  And, of course, people hear that all the time.
[00:02:56.074 --> 00:03:00.877]  Alex and others are always talking about, well, the Occupy Movement, you know, they're talking about the 1%.
[00:03:03.063 --> 00:03:06.764]  And number one, this is now fully documented.
[00:03:06.784 --> 00:03:08.424]  This is not a conspiracy theory.
[00:03:08.444 --> 00:03:22.687]  In 2011, the Swiss Institute of Financial... whatever... control did a study and they found out of 43,000 international corporations, they're all controlled by 1,000.
[00:03:23.467 --> 00:03:26.668]  And out of that 1,000, they are controlled by 147 companies
[00:03:29.148 --> 00:03:34.350]  Which in turn, because of cross-directorships and ownerships, are controlled by 20.
[00:03:35.251 --> 00:03:37.892]  And most of those are banks, okay?
[00:03:38.312 --> 00:03:44.554]  And collectively, these people within these 20 companies control the 43,000 corporations and 60% of the world's wealth.
[00:03:51.949 --> 00:03:57.173]  That is incredible control, and it is incredible tight central control.
[00:03:57.553 --> 00:03:58.694]  And this is what they're after.
[00:03:59.575 --> 00:04:00.556]  How do they do that?
[00:04:00.976 --> 00:04:05.379]  Well, I would mention the Exchange Stabilization Fund.
[00:04:05.399 --> 00:04:07.681]  How many people have heard of that?
[00:04:08.962 --> 00:04:09.462]  Nobody.
[00:04:10.143 --> 00:04:12.425]  And the Financial Stability Board.
[00:04:12.785 --> 00:04:13.506]  You ever heard of that?
[00:04:13.926 --> 00:04:15.287]  I heard you talk about that last night.
[00:04:15.467 --> 00:04:16.008]  Okay.
[00:04:16.788 --> 00:04:21.111]  The Exchange Stabilization Fund was created back during the New Deal in the 30s.
[00:04:22.593 --> 00:04:33.520]  And it's a little-known office of the Secretary of the Treasury, and it handles the transfer of gold and wealth between all of the industrial nations.
[00:04:34.241 --> 00:04:43.247]  And interestingly enough, even at the time it was created, some of the complaints in Congress was that it would operate outside of U.S.
[00:04:43.307 --> 00:04:45.789]  law and outside the Constitution.
[00:04:47.050 --> 00:04:52.774]  And they also, this is where all the black budgets are hidden.
[00:04:53.214 --> 00:05:00.919]  The CIA, the NSA, when they have all this money, and well, for instance, the CIA, we all know that they have front companies.
[00:05:01.639 --> 00:05:04.481]  Airlines, restaurant strings, who knows?
[00:05:05.382 --> 00:05:08.625]  And some of those companies are not just totally bogus.
[00:05:09.085 --> 00:05:12.588]  They're actually companies, and they actually produce goods and services.
[00:05:12.608 --> 00:05:13.529]  Legitimate businesses.
[00:05:13.569 --> 00:05:14.570]  Legitimate businesses.
[00:05:14.650 --> 00:05:15.131]  In some ways.
[00:05:15.291 --> 00:05:17.373]  And they get tons of money.
[00:05:17.953 --> 00:05:18.754]  Where does that money go?
[00:05:18.774 --> 00:05:29.965]  It goes into the Exchange Stabilization Fund, and the Exchange Stabilization Fund also was the founder of the International Monetary Fund and the World Bank.
[00:05:30.465 --> 00:05:37.151]  Which we also have always heard how they go into these countries and say, now you're going to do this or we won't give you any money.
[00:05:37.731 --> 00:05:42.735]  This is the control mechanisms within the control of the entire planet.
[00:05:43.276 --> 00:05:48.060]  And this is what Alex is always talking about.
[00:05:48.800 --> 00:05:51.723]  And this is the point of contact.
[00:05:51.743 --> 00:05:53.264]  This is where the rubber hits the road.
[00:05:53.968 --> 00:06:05.793]  Where they can actually do this and if you go and look inside you find Hank Paulson, you find Timothy Geithner, you find all of the people that end up in the headlines running our economy.
[00:06:06.314 --> 00:06:07.434]  So it's not just us.
[00:06:07.934 --> 00:06:18.139]  This is a worldwide system and it's been planned for a long time and they are operating their plan and the idea is to get the whole world socialized.
[00:06:18.419 --> 00:06:29.202]  I'm glad you say it's a worldwide system, because people don't see these things in Europe, they'll see it in Cyprus, wherever else it is, and they'll say, well, that's an isolated incident, that's that country, that'll never happen here.
[00:06:29.602 --> 00:06:32.603]  So when you hear this argument that it can never happen here, what would you say to somebody?
[00:06:32.623 --> 00:06:38.344]  Because they see the bank runs, they see the bank holidays, you know, they can't withdraw their funds.
[00:06:38.364 --> 00:06:39.845]  So what would you say to somebody here in the States?
[00:06:40.005 --> 00:06:45.346]  Well, I'd say, number one, not only can it happen, in fact, it could happen tomorrow, but it has happened.
[00:06:45.847 --> 00:06:47.450]  It happened during the Great Depression.
[00:06:47.891 --> 00:06:54.925]  Actually, I remember just a few years ago, maybe five or six years ago, there was a bank in Seattle in the Northwest.
[00:06:55.541 --> 00:06:57.662]  It's having problems, and they just closed the door.
[00:06:58.042 --> 00:07:00.603]  And people down there are saying, hey, I want my money back.
[00:07:00.663 --> 00:07:02.224]  And they're going, well, not right now.
[00:07:02.264 --> 00:07:09.126]  And it took them months for the federal receivers to take over and to finally settle out.
[00:07:09.466 --> 00:07:11.687]  But that's one bank having one problem.
[00:07:12.448 --> 00:07:13.848]  They're all in trouble now.
[00:07:14.328 --> 00:07:15.189]  And they're all having trouble.
[00:07:15.269 --> 00:07:23.272]  And in Cyprus, for example, once they heard that they were going to try to tax these savings accounts, everybody rushed down and tried to close out their savings account.
[00:07:23.872 --> 00:07:24.933]  They closed down the banks.
[00:07:25.153 --> 00:07:28.594]  He said, no, in fact, I don't think they're going to be open until next Thursday.
