[00:00:00.291 --> 00:00:00.912]  Northwoods.
[00:00:01.172 --> 00:00:02.353]  Gulf of Tonkin.
[00:00:02.413 --> 00:00:03.033]  Gladio.
[00:00:03.234 --> 00:00:03.914]  Kent State.
[00:00:04.294 --> 00:00:05.155]  Ruby Ridge.
[00:00:05.495 --> 00:00:05.956]  Waco.
[00:00:06.416 --> 00:00:07.277]  Oklahoma City.
[00:00:07.617 --> 00:00:08.738]  The World Trade Center.
[00:00:09.178 --> 00:00:09.899]  The Pentagon.
[00:00:10.179 --> 00:00:10.860]  Shanksville.
[00:00:11.300 --> 00:00:12.361]  Hurricane Katrina.
[00:00:12.661 --> 00:00:14.062]  Fast and Furious.
[00:00:14.463 --> 00:00:15.924]  Fast and Furious.
[00:00:16.264 --> 00:00:17.365]  Fast and Furious.
[00:00:17.805 --> 00:00:18.426]  How many more?
[00:00:18.766 --> 00:00:19.407]  How many more?
[00:00:19.767 --> 00:00:21.448]  How many more false flags?
[00:00:21.808 --> 00:00:22.389]  How many more?
[00:00:22.729 --> 00:00:24.790]  How many more government buildings?
[00:00:25.131 --> 00:00:26.651]  How many more innocent people?
[00:00:27.132 --> 00:00:27.892]  How many more?
[00:00:28.273 --> 00:00:28.913]  How many more?
[00:00:29.293 --> 00:00:32.195]  What has been the number one cause of unnatural death in history?
[00:00:32.455 --> 00:00:35.877]  Democide or death by government has killed 290 million people on record.
[00:00:35.897 --> 00:00:36.758]  290 million people.
[00:00:40.507 --> 00:00:40.887]  Killed.
[00:00:41.308 --> 00:00:41.688]  Killed.
[00:00:42.208 --> 00:00:42.429]  Killed.
[00:00:42.489 --> 00:00:42.789]  Killed.
[00:00:42.809 --> 00:00:42.989]  Killed.
[00:00:43.089 --> 00:00:43.309]  Killed.
[00:00:43.329 --> 00:00:43.509]  Killed.
[00:00:43.710 --> 00:00:43.970]  Killed.
[00:00:43.990 --> 00:00:44.190]  Killed.
[00:00:44.590 --> 00:00:44.911]  Killed.
[00:00:44.931 --> 00:00:45.191]  Killed.
[00:00:45.271 --> 00:00:45.551]  Killed.
[00:00:45.571 --> 00:00:45.711]  Killed.
[00:00:45.731 --> 00:00:46.091]  Killed.
[00:00:46.151 --> 00:00:46.652]  Killed.
[00:00:46.912 --> 00:00:47.112]  Killed.
[00:00:47.232 --> 00:00:47.593]  Killed.
[00:00:47.613 --> 00:00:47.893]  Killed.
[00:00:47.953 --> 00:00:48.293]  Killed.
[00:00:48.313 --> 00:00:48.453]  Killed.
[00:00:48.473 --> 00:00:48.713]  Killed.
[00:00:48.733 --> 00:00:48.914]  Killed.
[00:00:49.414 --> 00:00:49.534]  Killed.
[00:00:49.554 --> 00:00:49.674]  Killed.
[00:00:49.734 --> 00:00:49.894]  Killed.
[00:00:49.954 --> 00:00:50.075]  Killed.
[00:00:50.095 --> 00:00:50.455]  Killed.
[00:00:50.475 --> 00:00:50.775]  Killed.
[00:00:50.855 --> 00:00:51.195]  Killed.
[00:00:51.456 --> 00:00:51.596]  Killed.
[00:00:51.616 --> 00:00:51.796]  Killed.
[00:00:51.816 --> 00:00:52.156]  Killed.
[00:00:52.176 --> 00:00:52.436]  Killed.
[00:00:52.516 --> 00:00:52.697]  Killed.
[00:00:52.717 --> 00:00:52.837]  Killed.
[00:00:52.897 --> 00:00:53.137]  Killed.
[00:00:53.157 --> 00:00:53.417]  Killed.
[00:00:53.437 --> 00:00:53.677]  Killed.
[00:00:54.178 --> 00:00:54.378]  Killed.
[00:00:54.398 --> 00:00:54.518]  Killed.
[00:00:54.538 --> 00:00:54.718]  Killed.
[00:00:55.018 --> 00:00:55.218]  Killed.
[00:00:55.239 --> 00:00:55.399]  Killed.
[00:00:55.419 --> 00:00:55.679]  Killed.
[00:00:55.699 --> 00:00:56.099]  Killed.
[00:00:56.119 --> 00:00:56.259]  Killed.
[00:00:56.279 --> 00:00:56.439]  Killed.
[00:00:56.459 --> 00:00:56.640]  Killed.
[00:00:56.660 --> 00:00:56.880]  Killed.
[00:00:56.900 --> 00:00:57.360]  Killed.
[00:00:57.380 --> 00:00:57.580]  Killed.
[00:00:57.600 --> 00:00:57.821]  Killed.
[00:00:57.861 --> 00:00:58.061]  Killed.
[00:00:58.081 --> 00:00:58.481]  Killed.
