[00:00:01.792 --> 00:00:04.755]  Well, that's what we saw at the AMS here in Austin.
[00:00:05.295 --> 00:00:24.254]  We were looking for some way to tie global warming to geoengineering, and there really wasn't much other than that one organization was trying to turn weather forecasters into climate casters and use TV weather reports as kind of propaganda for global warming.
[00:00:25.211 --> 00:00:28.195]  But we had one person there who was talking about climate engineering.
[00:00:28.215 --> 00:00:29.977]  That was the David Mitchell interview that you saw.
[00:00:30.017 --> 00:00:31.458]  But we wanted to broaden that out a little bit.
[00:00:31.539 --> 00:00:33.901]  So we've got on the line here, Roslyn Peterson.
[00:00:34.322 --> 00:00:38.427]  And she's been following this for quite some time, looking at contrails and their effects on the weather.
[00:00:38.807 --> 00:00:39.388]  Welcome, Roslyn.
[00:00:40.447 --> 00:00:43.708]  Well, thank you very much for having me as a guest on your show today.
[00:00:44.148 --> 00:00:44.568]  Thank you.
[00:00:44.588 --> 00:00:48.390]  You know, you've been following this for quite some time, and you've been watching the skies.
[00:00:48.430 --> 00:00:55.392]  You've got an organization, it's California Skywatch, and also another one called Agriculture Defense Coalition.
[00:00:55.812 --> 00:00:56.992]  Tell us how you got into this.
[00:00:58.633 --> 00:01:05.795]  Well, back in 2002, ten years ago, I began to notice, since my background is in agriculture,
[00:01:06.488 --> 00:01:12.113]  That our skies were being covered over in white haze and persistent jet contrails.
[00:01:13.094 --> 00:01:18.658]  And in 2002 it was so obvious here in Northern California where I live that you couldn't miss it.
[00:01:19.259 --> 00:01:27.326]  So I started doing research to find out what was going on, impacts that this man-made cloud cover would have.
[00:01:28.187 --> 00:01:33.071]  And over the last 10 years I've put about 40,000 documents on my website.
[00:01:34.048 --> 00:01:36.730]  Yeah, you've got quite a bit of information there.
[00:01:36.790 --> 00:01:42.795]  You know, one of the things I think came out of this conference that I watched is we sat through quite a few presentations
[00:01:53.354 --> 00:01:57.937]  It seems to me like the science is pretty unsettled as to what they really are.
[00:01:57.957 --> 00:02:00.959]  They're doing some things, obviously they're doing things, and we're seeing some effects.
[00:02:02.080 --> 00:02:07.004]  And it seems like there's kind of a, well, let's throw this up and see what happens kind of effect.
[00:02:07.064 --> 00:02:08.745]  The fellow who was talking about climate
