[00:00:03.795 --> 00:00:04.436]  And welcome back.
[00:00:04.876 --> 00:00:06.537]  Our guest tonight is no stranger to the show.
[00:00:06.577 --> 00:00:07.558]  He is Sheriff Richard Mack.
[00:00:07.578 --> 00:00:12.001]  He can go to the Info Wars shop and pick up his book, Sheriff Mack's The Magic of Gun Control.
[00:00:12.281 --> 00:00:18.166]  Now he's going to be discussing with us the Florida Sheriff who had been suspended for respecting a man's Second Amendment rights, as well as many other topics.
[00:00:18.446 --> 00:00:19.647]  He joins us now via phone.
[00:00:20.307 --> 00:00:21.148]  Thanks for joining us, Sheriff.
[00:00:23.305 --> 00:00:24.486]  Well, thank you so much for having me.
[00:00:24.506 --> 00:00:25.107]  I appreciate it.
[00:00:25.347 --> 00:00:27.148]  Yeah, I definitely appreciate you coming back on our show.
[00:00:27.428 --> 00:00:33.494]  Now, Sheriff, we have many topics we want to address, but first off, I saw this article on your site, I guess just last week.
[00:00:33.834 --> 00:00:36.956]  Florida Sheriff arrested after defending Second Amendment.
[00:00:37.317 --> 00:00:41.921]  Now, we've reported on this here at InfoWars.com, but Sheriff, do you have any new information on this?
[00:00:43.862 --> 00:00:46.865]  Well, I've talked to the Sheriff several times.
[00:00:48.166 --> 00:00:50.568]  I've talked to his lawyer several times, and again today,
[00:00:51.603 --> 00:00:55.725]  Even though I was in Albany, New York for a big Second Amendment rally.
[00:00:57.566 --> 00:00:58.827]  This is what happened.
[00:01:00.567 --> 00:01:05.730]  A deputy sheriff stopped a man for a traffic stop.
[00:01:06.730 --> 00:01:14.934]  The probable cause for that stop was a little bit suspect, and according to the sheriff there, very suspect.
[00:01:14.974 --> 00:01:16.335]  He didn't agree with the
[00:01:17.954 --> 00:01:22.498]  Uh, probable cause, but the deputy fudged a little bit on the probable cause.
[00:01:23.278 --> 00:01:33.426]  And then, uh, the Mr. Parrish, who was arrested at the time, had a gun in his car, and, uh, it was readily visible.
[00:01:34.287 --> 00:01:37.189]  Uh, the officer saw it.
[00:01:37.369 --> 00:01:41.292]  Mr. Parrish, the citizen, said, yes, I have a gun on the seat.
