[00:00:02.290 --> 00:00:04.212]  Waging war on corruption.
[00:00:04.693 --> 00:00:07.596]  Alex Jones on the GCN Radio Network.
[00:00:09.778 --> 00:00:10.820]  Big Brother.
[00:00:15.223 --> 00:00:16.284]  Mainstream media.
[00:00:16.984 --> 00:00:18.105]  Government cover-ups.
[00:00:18.745 --> 00:00:19.566]  You want answers?
[00:00:20.327 --> 00:00:21.247]  Well, so does he.
[00:00:21.888 --> 00:00:25.490]  He's Alex Jones on the GCN Radio Network.
[00:00:26.070 --> 00:00:30.193]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.234 --> 00:00:33.896]  We've got Wayne Madsen at work with the National Security Agency.
[00:00:33.976 --> 00:00:41.441]  He reports on intelligence agencies as a reporter for major publications in Washington, D.C.
[00:00:41.481 --> 00:00:42.982]  He's got on international television.
[00:00:44.662 --> 00:00:50.248]  Russia Today and others have said that the scientific evidence he has is that it is an engineered bioweapon.
[00:00:50.649 --> 00:00:53.071]  That's what our medical sources are saying as well.
[00:00:53.111 --> 00:00:55.514]  He's joining us in T-minus two hours.
[00:00:55.895 --> 00:00:57.536]  Lindsey Williams in the next hour.
[00:00:57.657 --> 00:00:58.337]  Any minute now.
[00:00:58.357 --> 00:00:59.178]  We're already connected.
[00:00:59.659 --> 00:01:00.600]  I'm going to be going on...
[00:01:01.821 --> 00:01:07.762]  International press TV all over the world, which is basically Iranian television.
[00:01:08.202 --> 00:01:13.744]  It's similar to what the Saudis have with Al Jazeera, and seen by millions of people.
[00:01:13.764 --> 00:01:22.886]  So we're going to be simulcasting with them as they ask my take on what's happening with the so-called swine flu, this genetically engineered two-bird viruses.
[00:01:24.006 --> 00:01:27.767]  Pig virus and human virus all spliced together with the genetic markers that it's been engineered.
[00:01:28.107 --> 00:01:28.708]  That is coming up.
[00:01:28.728 --> 00:01:36.110]  So they'll be popping in in a moment, getting ready for the interview, and I'll turn things over to them as we multitask here and do this.
[00:01:37.090 --> 00:01:41.571]  And in fact, go ahead and put me through audio-wise to the folks at Press TV.
[00:01:42.292 --> 00:01:43.872]  Press TV, are you there?
[00:01:43.952 --> 00:01:44.752]  I'm ready.
[00:01:45.292 --> 00:01:46.153]  When does the interview start?
[00:01:46.173 --> 00:01:46.893]  In the next four minutes?
[00:01:50.427 --> 00:01:50.607]  Yes.
[00:01:51.328 --> 00:01:51.889]  Mr. Jones?
[00:01:52.210 --> 00:01:53.031]  Yes, how are you doing?
[00:01:53.211 --> 00:01:54.473]  This is Tanya talking with you.
[00:01:54.513 --> 00:01:55.234]  Thank you very much.
[00:01:55.334 --> 00:01:57.257]  And finally I could get hold of you.
[00:01:57.317 --> 00:02:02.064]  You were so hard to get, you know, to be in our show.
[00:02:02.144 --> 00:02:05.289]  It was really great and we are so willing to have you with us.
[00:02:05.669 --> 00:02:14.172]  You know, we are going to start at about, you know, in four minutes and just we have got the news brief and after the news brief you're going to start.
[00:02:14.552 --> 00:02:21.735]  And I have got Dr. Mike Skinner, the Senior Lecturer in Virology, Imperial College London, and you.
[00:02:23.016 --> 00:02:24.256]  Okay, thank you so much.
[00:02:24.316 --> 00:02:27.797]  I look forward to going on the show with him.
[00:02:27.817 --> 00:02:28.218]  Thank you.
[00:02:28.798 --> 00:02:31.819]  And something else, Mr. Jones, can you hear the studio right now?
[00:02:37.625 --> 00:02:40.087]  I passed you through the studio.
[00:02:40.167 --> 00:02:41.648]  If you could hear, please let me know.
[00:02:41.988 --> 00:02:43.509]  Yes, I heard it for a moment.
[00:02:43.529 --> 00:02:44.730]  Go ahead and test it again.
[00:02:45.351 --> 00:02:47.012]  Okay, I will do it for 30 seconds.
[00:02:47.052 --> 00:02:48.993]  Okay, thank you.
[00:02:49.414 --> 00:02:58.460]  Even though shadowed with a spark of controversy, the meetings between Japanese Prime Minister Taro Aso and his counterpart went just for 15 seconds.
[00:02:58.501 --> 00:02:59.661]  Excellent, excellent.
[00:02:59.701 --> 00:03:00.082]  Sounds good.
[00:03:00.762 --> 00:03:01.563]  Thank you very much.
[00:03:01.803 --> 00:03:04.145]  The producer, Kusha, is going to talk with you.
[00:03:04.165 --> 00:03:05.185]  Hold a moment, please.
[00:03:05.226 --> 00:03:05.566]  Thank you.
[00:03:11.067 --> 00:03:12.788]  Hi Alex, this is Kousha, how are you?
[00:03:13.188 --> 00:03:13.549]  Okay, great.
[00:03:13.569 --> 00:03:16.290]  So just give us a little bit of time, just a few minutes, we're going to get to you.
[00:03:16.370 --> 00:03:19.973]  So you're making a show out of our show and we're making a show out of your show.
[00:03:19.993 --> 00:03:20.093]  Great.
[00:03:31.400 --> 00:03:34.681]  Yeah, well we've asked in the past and they said it was fine when I couldn't come down.
[00:03:34.721 --> 00:03:41.223]  I couldn't break away to go to the TV studio, but in the future if I get more of a warning I can do it so I can get a guest host.
[00:03:41.763 --> 00:03:42.384]  Absolutely.
[00:03:42.564 --> 00:03:49.606]  So the other guest, he's a professor at the Imperial College in London and he's strictly a scientist, so just keep that in mind.
[00:03:50.066 --> 00:03:50.787]  No, no, fantastic.
[00:03:50.827 --> 00:03:53.009]  I'll try to not beat him up too bad.
[00:03:53.229 --> 00:03:54.770]  Hey guys, will you Google this guy's name?
[00:03:54.810 --> 00:03:55.571]  Give me his bio.
[00:03:56.292 --> 00:03:57.173]  Mike Skinner.
[00:03:57.333 --> 00:03:58.414]  Dr. Mike Skinner.
[00:03:59.335 --> 00:04:00.336]  Dr. Mike Skinner.
[00:04:01.176 --> 00:04:02.357]  And he's the University of?
[00:04:03.018 --> 00:04:04.379]  Imperial College in London.
[00:04:04.860 --> 00:04:06.001]  Imperial College.
[00:04:06.421 --> 00:04:07.542]  But there is no British Empire.
[00:04:08.643 --> 00:04:09.724]  Okay, well listen.
[00:04:10.585 --> 00:04:11.966]  Listen, I appreciate you guys coming on.
[00:04:12.006 --> 00:04:13.287]  I apologize I couldn't come down.
[00:04:14.266 --> 00:04:23.693]  to the satellite studio but I am here and I'm just gonna throw it to your feed and I will be here interviewed by you and thank you so much for having me on.
[00:04:24.194 --> 00:04:24.894]  Okay, right on.
[00:04:24.954 --> 00:04:25.695]  Looking forward to it.
[00:04:26.135 --> 00:04:26.455]  Thank you.
[00:04:27.056 --> 00:04:27.356]  Bye-bye.
[00:04:29.534 --> 00:04:35.596]  They're going to send us their feed here in just a moment, and we'll get rolling.
[00:04:35.636 --> 00:04:38.297]  There can be complications with each national visit.
[00:04:38.737 --> 00:04:52.423]  Sometimes it will greatly improve bilateral relations if it's successful, but other times, because some Japanese still feel hostility towards China and vice versa, they'll act out against efforts to improve the relationship around that visit.
[00:04:54.311 --> 00:04:59.695]  Hey guys, Google me the Indonesian President saying it's a bio-weapon.
[00:04:59.775 --> 00:05:01.216]  I can't find it in my stack.
[00:05:16.915 --> 00:05:25.078]  It was also his third meeting with Chinese state leaders in a month, following his meetings with President Hu Jintao in London and with Wen Jiabao in Thailand.
[00:05:25.518 --> 00:05:28.519]  Kathleen Chang, PressTV Beijing.
[00:05:28.819 --> 00:05:31.660]  And with that we come to an end of the summary of the world news here on PressTV.
[00:05:31.680 --> 00:05:34.601]  Visit our website PressTV.ir for more information on these stories.
[00:05:34.621 --> 00:05:35.061]  Bye for now.
[00:06:09.229 --> 00:06:11.312]  Go silent running.
[00:06:46.084 --> 00:06:46.604]  Yeah.
[00:07:02.819 --> 00:07:14.943]  World countries are scrambling to contain a rapidly expanding swine flu case that's assumed pandemic proportions, according to the World Health Organization, WHO.
[00:07:14.963 --> 00:07:26.367]  The first cases were reported in Mexico earlier in April, when a new strain of swine-based influenza virus was reported breaking out, taking an initial few lives.
[00:07:26.907 --> 00:07:33.173]  The actual outbreak of the killer disease, however, is believed to have started in March 2009.
[00:07:33.713 --> 00:07:47.345]  Whatever the case, on April 29th, and in an emergency meeting of the WHO, a pandemic alert status of 5 was announced for the spread, calling it an imminent threat to everyone in the world.
[00:07:47.905 --> 00:07:58.651]  By April 28th, the mutated flu virus was confirmed to have spread to the United States, the United Kingdom, continental Europe, and as far away as New Zealand.
[00:07:59.231 --> 00:08:04.754]  As of April 30th, the number of countries with suspected cases stands at 41.
[00:08:05.475 --> 00:08:14.359]  While there is no vaccine available at the moment for the disease and measures to come up with one... We are simulcasting with international television listeners.
[00:08:14.379 --> 00:08:15.280]  We're throwing over to them.
[00:08:15.780 --> 00:08:22.942]  The situation is far too grave to be contained, and immediate steps should be taken to confront the epidemic.
[00:08:23.562 --> 00:08:39.265]  So, Four Corners asks, if the threat is as serious as it is portrayed in the media, what are the socioeconomic costs involved, and whether the global media are doing justice to the issue by inducing a controlled panic?
[00:09:23.763 --> 00:09:30.129]  Hello and welcome to tonight's edition of Four Corners here on Press TV with me, Juvin Zarbon.
[00:09:30.149 --> 00:09:33.212]  The topic of our discussion is swine flu.
[00:09:33.612 --> 00:09:36.215]  How big and real is the threat?
[00:09:37.176 --> 00:09:39.338]  Joining me is an interesting panel of guests.
[00:09:39.698 --> 00:09:43.041]  From London we have Dr. Mike Skinner.
[00:09:43.121 --> 00:09:48.967]  He's a senior lecturer in virology from the Imperial College of London.
[00:09:50.322 --> 00:09:54.425]  From Austin, Texas, though, on the phone we're joined by Alex Jones.
[00:09:54.545 --> 00:10:03.512]  He's a documentary filmmaker, an investigative journalist, and a syndicated radio talk show host, coming from painfulwars.com.
[00:10:04.453 --> 00:10:06.074]  It's good to have you both, gentlemen.
[00:10:06.354 --> 00:10:09.577]  Now, let me come to you first, Dr. Skinner, in London.
[00:10:09.617 --> 00:10:14.140]  Now, tell me about the severity, the magnitude of this medical problem.
[00:10:14.180 --> 00:10:18.103]  How deadly is this virus, and how real was the threat?
[00:10:20.472 --> 00:10:24.262]  We don't yet know how deadly it is.
[00:10:24.643 --> 00:10:25.726]  We really have so...
[00:10:26.519 --> 00:10:33.083]  Relatively few cases outside of Mexico at the moment which have been documented and well documented.
[00:10:34.284 --> 00:10:42.008]  Whereas the situation in Mexico is unclear simply because it's been the point of outbreak of course.
[00:10:42.888 --> 00:10:52.314]  It's likely that many cases occurred and were maybe relatively mild before we realized that we were dealing with a potential pandemic situation.
[00:10:53.571 --> 00:11:00.776]  So, because of that, it's not clear how severe this disease is going to be in terms of its mortality.
[00:11:01.797 --> 00:11:18.130]  Its ability to spread seems fairly self-evident, although even there we need to know more information and that will become apparent in coming days and weeks as we see how much it spreads in the countries where it has been introduced.
[00:11:18.775 --> 00:11:33.540]  I'm obviously not a medical expert nor a scientist, but then what happened in a matter of a few days that the WHO raised the alert status bar a couple of degrees higher from level or phase 2 to phase 5?
[00:11:33.600 --> 00:11:36.381]  There must be some clear and evident reason for that?
[00:11:38.324 --> 00:11:41.686]  There are clear criteria for each of the stages.
[00:11:41.926 --> 00:11:49.671]  What you have to remember is that here, when we're talking about a pandemic, the main definition is its ability to spread.
[00:11:50.131 --> 00:11:57.036]  It's not definitely tied in with the disease that it causes.
[00:11:57.796 --> 00:12:04.260]  And in this case, it was shown to move up to a five, which occurred last night.
[00:12:04.980 --> 00:12:09.325]  And Alex Jones, now tell me about the immediate dimensions to this issue.
[00:12:09.345 --> 00:12:11.206]  Now have, in your sense,
[00:12:29.313 --> 00:12:35.419]  The issue, the threat has been blown out of proportion, exaggerated in some sort?
[00:12:36.857 --> 00:12:41.800]  Well, we're not sure at this time, and I agree with much of what the doctor just said.
[00:12:41.860 --> 00:12:50.446]  I've interviewed six different doctors, several virologists, myself, since last Friday when we began covering this in earnest, and here's what we know.
[00:12:50.466 --> 00:13:05.076]  35,000 Americans die on average a year, as many Mexicans die of just the normal seasonal flus that come from the east, and then we have the flu season that just ended a month ago, so it's very rare to have a new flu
[00:13:05.896 --> 00:13:09.858]  This time of year, coming out of the Western Hemisphere.
[00:13:09.878 --> 00:13:16.880]  Then we even have the fact that it's multiple bird RNA, human RNA, pig RNA.
[00:13:16.900 --> 00:13:18.981]  They're saying some other RNA in there.
[00:13:19.381 --> 00:13:25.704]  A lot of bioweapons experts and others are in the international media saying this looks like a designer virus.
[00:13:25.744 --> 00:13:30.826]  Wayne Madsen, who worked with the National Security Agency, has been in the press interviewing members of
[00:13:32.914 --> 00:13:37.035]  Who have degrees in virology, doctorates saying it looks like it's engineered.
[00:13:37.975 --> 00:13:39.355]  So later I would like to ask the doctor that.
[00:13:39.375 --> 00:13:40.756]  But let me get this out to people.
[00:13:40.876 --> 00:13:55.999]  I'm in Texas and just south of me is where they had the first Texas outbreaks and I know high-level school administrators, known to me personally, who yesterday gave me secret documents reporting that they're really at a level six.
[00:13:56.079 --> 00:13:57.219]  Now they told me
[00:13:57.839 --> 00:13:58.960]  I mean, I hope this isn't a deadly virus.
[00:13:58.980 --> 00:14:01.020]  I hope it doesn't have 40 to 50 percent infection rate.
[00:14:13.966 --> 00:14:16.148]  Uh, people that, uh, come in contact with it.
[00:14:16.168 --> 00:14:19.331]  In fact, they have the terms here, uh, in the, uh, document.
[00:14:19.351 --> 00:14:22.353]  The clinical attack rate is 40 to 50 percent.
[00:14:22.554 --> 00:14:27.898]  They're saying people are really on ventilators, uh, all over Texas and that it's, uh, far worse.
[00:14:27.958 --> 00:14:31.681]  So Biden's saying don't get on, uh, planes, don't get on subways.
[00:14:31.882 --> 00:14:35.605]  The vice president is basically saying what this secret document
[00:14:36.205 --> 00:14:39.228]  Alright, now back to you in London, Dr. Skinner.
[00:14:39.268 --> 00:14:42.270]  Now, the other guest was purporting that there is an engineered crisis
[00:15:01.374 --> 00:15:03.655]  I don't think you need a particular scientific argument.
[00:15:03.715 --> 00:15:07.855]  It's well known that flu changes, mutates from year to year, from season to season.
[00:15:30.205 --> 00:15:47.800]  You can begin to track down, even at this stage, having had relatively little time to study the virus, the sequence of events which has probably taken place over almost a decade to get to this stage.
[00:15:48.480 --> 00:15:49.020]  I think?
[00:16:05.465 --> 00:16:23.440]  Um, the pathogenicity of this present virus, how pathogenic it will be, and what might contribute to its particular nature, um... Dr. Skinner, I beg to differ, Dr. Skinner, and this is still keeping with you.
[00:16:23.480 --> 00:16:30.206]  Now, now, is it not true that in the past, 30 odd years ago, there was this hoax of a
[00:16:30.866 --> 00:16:45.860]  Uh, the flu scare in the States, I suppose it was in 1976, and this, in all intellectual rigor, brings in the question that some people put to you guys, as scientists, that how trustable are these procedures... Yeah, I'd like to comment.
[00:16:45.880 --> 00:16:50.644]  ...ethnologically speaking, in terms of identifying, determining an epidemic.
[00:16:52.145 --> 00:16:53.787]  Well, I would like... Sorry, yeah.
[00:16:53.827 --> 00:16:56.770]  The scientific procedures that you are all familiar with, I mean,
[00:16:57.881 --> 00:17:01.128]  Well, I mean, we know governments have engineered bioweapons.
[00:17:01.148 --> 00:17:03.313]  This is Dr. Skinner.
[00:17:04.917 --> 00:17:05.198]  Yes.
[00:17:05.879 --> 00:17:06.521]  Go ahead, sir.
[00:17:08.846 --> 00:17:11.548]  I'm sorry, can you place your question again?
[00:17:11.568 --> 00:17:23.817]  The question was, in the past, in 1976, the American authorities clearly bungled up a crisis of sorts in terms of saying to the people that there is a pandemic of flu, and then it turned out to be mistaken.
[00:17:23.897 --> 00:17:24.618]  It was a hoax!
[00:17:25.218 --> 00:17:28.421]  ...idea scientifically that it won't be the case this time around.
[00:17:29.804 --> 00:17:32.925]  We would be pleased if it were.
[00:17:32.945 --> 00:17:50.612]  What happened, I think you remember, and it was many years ago, even in my scientific career, was that in 76, that they discovered, again, a swine flu in the US, and that seemed to be causing problems.
[00:17:51.132 --> 00:17:55.294]  It came out of an army camp, and I don't think there was any... Yeah, it always does.
[00:17:55.454 --> 00:17:56.674]  I'd like to comment on this.
[00:17:57.134 --> 00:17:58.175]  It was an army camp.
[00:17:59.642 --> 00:18:01.503]  Well, let me hold you there, Doc.
[00:18:01.623 --> 00:18:03.904]  I'm going to get back to you in just a bit.
[00:18:04.024 --> 00:18:06.366]  Alex Jones, you had something to say.
[00:18:06.386 --> 00:18:06.766]  Go ahead.
[00:18:07.046 --> 00:18:07.446]  Jump in.
[00:18:07.746 --> 00:18:08.027]  Yes.
[00:18:08.727 --> 00:18:10.808]  We are up on the swine flu epidemic.
[00:18:10.868 --> 00:18:13.369]  We have the government fear-mongering ads.
[00:18:13.409 --> 00:18:17.111]  They ran on TV, posted up on PrisonPlanet.com and InfoWars.com.
[00:18:17.151 --> 00:18:18.712]  They said it was going to kill millions.
[00:18:19.313 --> 00:18:21.334]  They said they had to vaccinate the entire American people.
[00:18:21.354 --> 00:18:22.194]  Gerald Ford did.
[00:18:22.434 --> 00:18:26.917]  And then the vaccine started killing so many people, giving them autoimmune disease and killing them.
[00:18:26.937 --> 00:18:27.597]  They had to stop it.
[00:18:27.837 --> 00:18:28.838]  Just like bird flu.
[00:18:29.578 --> 00:18:34.799]  Uh, uh, trials they just had this year and last year in Europe had to get suspended because it killed so many people.
[00:18:34.819 --> 00:18:39.260]  London Telegraph, BBC, uh, French News Agency have all reported that.
[00:18:39.340 --> 00:18:43.341]  We had black men given syphilis and allowed to die over and over 45 years in Alabama.
[00:18:43.762 --> 00:18:45.482]  We had 4,000 plus U.S.
[00:18:45.522 --> 00:18:49.623]  foster children taken from their parents and radiated to death in secret tests.
[00:18:50.303 --> 00:18:52.966]  The first in 1918 broke out at a U.S.
[00:18:52.986 --> 00:18:55.007]  military base as part of a vaccination program.
[00:18:55.408 --> 00:18:57.309]  I have that from the Boston Globe, Cicero, 1918.
[00:18:57.409 --> 00:19:01.853]  I have all of these documents.
[00:19:01.893 --> 00:19:14.603]  The last swine flu in 1918, I meant to say, and then the last swine flu in 1976 broke out there at a military base.
[00:19:14.643 --> 00:19:16.485]  So it's the same thing over and over and over again.
[00:19:16.505 --> 00:19:17.806]  I'm saying we have to look...
[00:19:19.848 --> 00:19:21.349]  Stop there for a second.
[00:19:21.409 --> 00:19:29.336]  I'd like you to elaborate for viewership the evidence, the proof that you have so gathered to back up your argument.
[00:19:29.736 --> 00:19:31.057]  Where are they from?
[00:19:31.377 --> 00:19:32.038]  Let me be clear.
[00:19:32.198 --> 00:19:34.140]  I'm not saying this is a government attack.
[00:19:34.620 --> 00:19:36.640]  I'm not saying that we know that right now.
