[00:00:02.418 --> 00:00:04.340]  Waging war on corruption.
[00:00:04.820 --> 00:00:07.703]  Alex Jones on the GCN Radio Network.
[00:00:14.248 --> 00:00:14.889]  Big Brother.
[00:00:15.550 --> 00:00:16.611]  Mainstream media.
[00:00:17.311 --> 00:00:18.412]  Government cover-ups.
[00:00:19.073 --> 00:00:19.873]  You want answers?
[00:00:20.674 --> 00:00:21.435]  Well, so does he.
[00:00:22.199 --> 00:00:25.861]  He's Alex Jones on the GCN Radio Network.
[00:00:26.381 --> 00:00:30.463]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.223 --> 00:00:38.847]  Well, he is a best-selling author, former BBC presenter, former champion goalie, and
[00:00:40.495 --> 00:00:50.662]  He's an icon of getting people to expand their awareness, to expand their horizons, to question little bubbles that the social engineers, the mind controllers, try to keep us in.
[00:00:50.982 --> 00:00:51.883]  He is David Icke.
[00:00:52.423 --> 00:00:56.706]  Now, he's going to be on with us for a full hour, maybe even a little bit longer, next Monday.
[00:00:57.427 --> 00:01:01.229]  He's on a tour in the U.S., but I wanted to get him on today for just 30 minutes.
[00:01:02.310 --> 00:01:10.990]  To talk about the plunging dollar, the bringing in of the global currency, which is going to be an SDR bank-to-bank that he wrote about more than 12 years ago.
[00:01:12.848 --> 00:01:25.113]  What Obama is doing, what he's bringing in, how they announced the Internet's being turned over to a private global corporation, the dollar's being shut down, Obama's now the head of the United Nations Security Council, the real body with power.
[00:01:25.953 --> 00:01:33.076]  All these things are happening, and the great change is upon us as they expand the tyranny.
[00:01:33.196 --> 00:01:36.937]  But, in the middle of the darkness, the awakening is exponential.
[00:01:37.057 --> 00:01:40.839]  I'm seeing that, everyone I've talked to is seeing it, but David Icke's seeing it around the world.
[00:01:41.739 --> 00:01:45.921]  And a real focal point of this, and we salute him.
[00:01:46.161 --> 00:01:47.461]  David Icke, thank you for coming on.
[00:01:47.481 --> 00:01:49.482]  Thanks for having me.
[00:01:49.502 --> 00:01:50.542]  Okay, this is a quick segment.
[00:01:50.562 --> 00:01:51.423]  You've got the floor.
[00:01:51.843 --> 00:02:00.906]  I would imagine you'd like to talk about the dollar first, then we'll get into the larger clash of the titans, the clash of liberty and tyranny that we're beginning to see happen.
[00:02:01.892 --> 00:02:05.395]  Yeah, well, the crash of the dollar has been planned for a long, long, long, long time.
[00:02:05.756 --> 00:02:12.302]  It's all part of what I've been talking about for many, many years, which is how they're using America to destroy America.
[00:02:13.323 --> 00:02:14.424]  The idea was for
[00:02:15.379 --> 00:02:36.152]  America to be pulled into overseas wars that stretches them militarily, stretches them financially, crash the economy, because if you're a superpower and you have the military and financial might to say no to a world government, then the world government's not a tyranny across the world.
[00:02:36.513 --> 00:02:39.295]  It wants every single country subjugated.
[00:02:39.815 --> 00:02:44.298]  Therefore, any superpower with financial and military might
[00:02:45.043 --> 00:02:48.485]  To stand alone, or stand its ground, has to go.
