[00:00:03.931 --> 00:00:05.892]  Waging war on corruption.
[00:00:06.292 --> 00:00:09.233]  Alex Jones on the GCN Radio Network.
[00:00:15.316 --> 00:00:15.957]  Big Brother.
[00:00:16.617 --> 00:00:17.657]  Mainstream media.
[00:00:18.378 --> 00:00:19.518]  Government cover-ups.
[00:00:20.138 --> 00:00:20.979]  You want answers?
[00:00:21.739 --> 00:00:22.640]  Well, so does he.
[00:00:23.300 --> 00:00:27.042]  He's Alex Jones on the GCN Radio Network.
[00:00:27.482 --> 00:00:31.544]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.932 --> 00:00:43.936]  We are live on this August 2nd, Sunday edition 2009.
[00:00:44.016 --> 00:00:47.860]  We're going to be live here for the next two hours.
[00:00:47.900 --> 00:00:49.702]  We're going to have wide open phones.
[00:00:50.262 --> 00:00:54.847]  We'll give you that toll free number right now to talk about any issue or news item you wish to discuss.
[00:00:58.929 --> 00:01:04.113]  0122448882012244 and we'll get you up and on the air.
[00:01:04.133 --> 00:01:19.505]  You can discuss the martial law preparations that are being made, the national and international push to forcibly inoculate the population with a flu vaccine, which they admit will not help anyone, even if you believe vaccines work.
[00:01:20.560 --> 00:01:23.441]  Won't even match what the virus has already mutated into.
[00:01:24.202 --> 00:01:26.523]  Five different mutations in the last month.
[00:01:27.063 --> 00:01:34.326]  Just in Texas alone, I was reading the CDC, and the virus is one of the weakest flu viruses ever seen.
[00:01:34.346 --> 00:01:37.868]  A weak flu kills tens of thousands a year.
[00:01:37.968 --> 00:01:42.130]  This is a pathetic flu, killing hundreds in the United States.
[00:01:42.790 --> 00:01:46.132]  People with compromised immune systems, but we'll discuss that because
[00:01:47.276 --> 00:01:52.480]  Even though we know it's a hoax, the build-up is real, the takeover is real.
[00:01:52.600 --> 00:01:53.680]  So that is coming up.
[00:01:54.081 --> 00:02:00.625]  We're also simulcasting the syndicated radio show today on the web at PrisonPlanet.tv.
[00:02:01.626 --> 00:02:15.075]  And then Jason Bermas, today when I go off air, will be live for three hours on the radio and the audio streams at InfoWars.com and PrisonPlanet.com and PrisonPlanet.tv as well.
[00:02:16.482 --> 00:02:20.423]  Here is the incredibly important stack, just one of the stacks I have.
[00:02:20.643 --> 00:02:21.443]  Bombshell!
[00:02:21.603 --> 00:02:23.744]  Bin Laden worked for U.S.
[00:02:23.964 --> 00:02:25.365]  until 9-11.
[00:02:27.385 --> 00:02:31.126]  This was carried by the Mike Malloy Radio Show.
[00:02:31.186 --> 00:02:33.747]  Mike's one of the better liberals on what's left of talk.
[00:02:35.149 --> 00:02:40.974]  Radio Network Air America, and he's also on XM on major stations in New York and Los Angeles.
[00:02:41.474 --> 00:02:42.695]  And he had Sybil Edmonds on.
[00:02:42.715 --> 00:02:43.876]  We've got to get her back on.
[00:02:44.256 --> 00:02:45.137]  Had her on a few times.
[00:02:45.197 --> 00:02:48.359]  Every time we've had her on, she's been under a federal gag order.
[00:02:48.920 --> 00:02:51.342]  Looks like she's starting to break that federal gag order.
[00:02:51.662 --> 00:02:53.143]  We're testing what Obama will do.
[00:02:53.183 --> 00:02:54.304]  Will he clap her in irons?
[00:02:54.824 --> 00:03:01.730]  She was a translator, a person dialing in to classified transmissions at the National Security Agency.
[00:03:03.342 --> 00:03:15.450]  And she told us years ago here that, and she also told the 9-11 Commission in secret testimony, that she heard the CIA working with narcotics traffickers, weapons traffickers, and child sex slave traffickers.
[00:03:17.271 --> 00:03:18.752]  They were working with Al-Qaeda.
[00:03:19.413 --> 00:03:21.794]  But then she was gagged and couldn't speak anymore.
[00:03:22.315 --> 00:03:23.315]  Said she knew a lot more.
[00:03:23.355 --> 00:03:30.140]  Well, specifically, she's saying that up until 9-11, CIA commanding Osama bin Laden
[00:03:31.072 --> 00:03:35.316]  Now, we already knew this, but this is from an inside eyewitness.
[00:03:35.896 --> 00:03:40.940]  So I want to go over some of the back story on this and break down her latest revelations coming up.
[00:03:41.000 --> 00:03:43.522]  And I want Mike Malloy and Sub 11's back on.
[00:03:44.103 --> 00:03:45.164]  Word to producers.
[00:03:46.545 --> 00:03:47.346]  So that's coming up.
[00:03:47.466 --> 00:03:49.728]  Obama's ratings fall back to earth.
[00:03:49.768 --> 00:03:53.391]  He's gone from 84 to below 50 and plunging quickly.
[00:03:53.931 --> 00:03:56.053]  A percentage point per week or more.
[00:03:56.633 --> 00:03:58.235]  We've never seen a plunge this fast.
