[00:00:09.488 --> 00:00:11.169]  Vulnerable has no price.
[00:00:11.309 --> 00:00:15.992]  Visit heartlandemergency.com or call 830-431-1776.
[00:00:16.573 --> 00:00:18.033]  Food solutions for our time?
[00:00:18.234 --> 00:00:21.055]  You cannot afford a surprise in the next crisis.
[00:00:34.923 --> 00:00:37.504]  For NRN USA Radio News, I'm Jason Walker.
[00:00:37.764 --> 00:00:43.305]  Three people killed, one wounded when a man opened fire at the Athens, Georgia Community Theater Saturday.
[00:00:43.626 --> 00:00:49.467]  Suspect identified as George Zinken, a marketing professor at the University of Georgia.
[00:00:49.847 --> 00:00:55.109]  Spokesman Pete Kohenkamp says Zinken was well thought of by students and faculty.
[00:00:55.129 --> 00:00:58.230]  He has an excellent reputation on campus, a terrific background.
[00:00:58.270 --> 00:01:01.771]  He has won awards for outstanding contribution to research.
[00:01:02.051 --> 00:01:10.354]  New York City health officials say eight students at a Queens private school testing positive for influenza A, possibly swine flu.
[00:01:10.654 --> 00:01:13.695]  Samples have been sent to the CDC for confirmation.
[00:01:14.135 --> 00:01:18.236]  Also officials in Kansas now confirming two cases of swine flu.
[00:01:18.636 --> 00:01:20.837]  Virus had also been verified earlier.
[00:01:21.217 --> 00:01:24.058]  In both Texas and California, no one in the U.S.
[00:01:24.098 --> 00:01:26.159]  has died from swine flu in this outbreak.
[00:01:26.619 --> 00:01:29.720]  This is IRN USA Radio News.
[00:01:31.334 --> 00:01:35.458]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:35.818 --> 00:01:44.787]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:45.127 --> 00:01:46.829]  Hi, how in the world are you anyway?
[00:01:47.109 --> 00:01:50.312]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:50.752 --> 00:01:55.094]  The three-step plan helps people feel better, look better, and make more money.
[00:01:55.534 --> 00:01:59.816]  History has shown that our product line actually grows during an economic slowdown.
[00:02:00.156 --> 00:02:07.459]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:07.959 --> 00:02:16.743]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:17.227 --> 00:02:18.668]  Don't wait for things to get worse.
[00:02:19.028 --> 00:02:20.949]  Check out the 3-Step Plan today.
[00:02:21.269 --> 00:02:23.471]  Go to 3stepplan.com or call 800-480-2102.
[00:02:23.491 --> 00:02:23.531]  800-480-2102.
[00:02:31.738 --> 00:02:39.766]  Building the nuclear power industry, the focus of Republicans Saturday in their weekly radio address, Tennessee Senator Lamar Alexander.
[00:02:39.826 --> 00:02:42.789]  We say find more American energy and use less.
[00:02:43.269 --> 00:02:49.275]  Energy that's as clean as possible, as reliable as possible, and at as low a cost as possible.
[00:02:49.655 --> 00:02:54.260]  And one place to start is with 100 more nuclear power plants.
[00:02:54.680 --> 00:02:58.885]  In his weekly radio address, the President looked at several key areas.
[00:02:58.965 --> 00:03:02.169]  We do everything that we can to create jobs and get our economy moving.
[00:03:02.349 --> 00:03:05.133]  We're also building a new foundation for lasting prosperity.
[00:03:05.553 --> 00:03:13.463]  A foundation that invests in quality education, lowers health care costs, and develops new sources of energy powered by new jobs and industries.
[00:03:13.763 --> 00:03:21.489]  Saturday morning, Obama also says the American people are having to make very tough choices these days because of the economy.
[00:03:21.909 --> 00:03:25.172]  But he adds, Uncle Sam is doing much the same.
[00:03:25.892 --> 00:03:28.954]  For the latest news analysis, log on to irnnews.com.
[00:03:31.323 --> 00:03:35.045]  You could be financially independent and never have to worry about money again.
[00:03:35.065 --> 00:03:37.166]  Hi, how in the world are you anyway?
[00:03:37.246 --> 00:03:40.188]  This is Andy Willoughby speaking for The Three Step Plan.
[00:03:40.328 --> 00:03:45.151]  The Three Step Plan is a business system designed to help families start their own home-based business.
[00:03:45.351 --> 00:03:50.134]  If you like working with people with similar family values, you'll love The Three Step Plan.
[00:03:50.254 --> 00:03:52.675]  Go to 3stepplan.com or call 800-879-5819.
[00:03:52.695 --> 00:03:52.735]  800-879-5819.
[00:04:01.792 --> 00:04:07.734]  The actress who starred in Maud and later Golden Girls Has Died, Bea Arthur, was 86.
[00:04:08.195 --> 00:04:14.277]  South Carolina couple at the center of the probe into what sparked the wildfires in that state.
[00:04:14.717 --> 00:04:20.640]  Even so, Governor Mark Sanford says despite the finding, there are bigger things to be concerned about right now.
[00:04:20.660 --> 00:04:25.101]  He just misses the point to worry about placing blame on who started the fire versus who didn't.
[00:04:25.401 --> 00:04:26.722]  There'll be plenty of time for that.
[00:04:26.882 --> 00:04:29.003]  We don't think that that should be the area of focus right now.
[00:04:29.463 --> 00:04:35.488]  A woman says she called 911 after realizing a trash fire near her home was out of control.
[00:04:35.789 --> 00:04:44.076]  She claims the fire department arrived to handle it and douse the flames, but the blaze reignited this week behind her home and quickly tore through the area.
[00:04:44.496 --> 00:04:50.342]  Her husband has been cited for starting the fire without a permit and letting it get out of control.
[00:04:50.942 --> 00:05:01.386]  Well, before the New York Mets took on the Washington Nationals Saturday at Citi Field in Flushing, Mackenzie Brown was there to throw out the ceremonial first pitch.
[00:05:01.787 --> 00:05:06.849]  And trust us on this one, this young lady knows how to throw a baseball.
[00:05:07.269 --> 00:05:11.871]  The 12-year-old hurled a perfect game this week in Little League action.
[00:05:12.251 --> 00:05:16.913]  In that six-inning game, 18 batters, by the way, all of them boys,
[00:05:17.529 --> 00:05:18.429]  Came to the plate.
[00:05:18.789 --> 00:05:20.890]  Not one of those guys reached base.
[00:05:21.230 --> 00:05:22.870]  McKenzie even struck out 12.
[00:05:24.530 --> 00:05:25.631]  I'm Jason Walker.
[00:05:25.851 --> 00:05:29.591]  This is IRN USA Radio News.
[00:05:31.712 --> 00:05:31.932]  Dave?
[00:05:32.412 --> 00:05:35.272]  Hello, this is Tom with hempusa.org.
[00:05:35.773 --> 00:05:42.934]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[00:05:43.502 --> 00:05:50.745]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[00:05:51.325 --> 00:05:57.667]  At hempusa.org, we still believe that food will be your greatest asset in these trying times ahead.
[00:05:58.248 --> 00:06:04.730]  Please call 1-908-691-2608 and see what our powder, seeds, and oil can do for you.
[00:06:05.030 --> 00:06:07.291]  Beware, be smart, and be ready!
[00:06:07.811 --> 00:06:13.636]  Call 908-691-2608 or visit us at hempusa.org.
[00:06:14.177 --> 00:06:20.022]  Families need this high-quality natural food source for its low price and long storage shelf life.
[00:06:20.523 --> 00:06:24.086]  This incredible food source should be a staple part of your diet every day.
[00:06:24.486 --> 00:06:26.988]  Call 908-691-2608 or visit us at hempusa.org today!
[00:06:32.981 --> 00:06:41.086]  Prepare yourself for a talk radio experience like no other.
[00:06:42.026 --> 00:06:43.407]  He stands for truth.
[00:06:44.788 --> 00:06:46.649]  He stands for justice.
[00:06:48.010 --> 00:06:50.411]  He stands for what's right.
[00:06:50.451 --> 00:06:52.792]  This is the Alex Jones Show.
[00:06:53.753 --> 00:06:55.554]  Call Alex now, toll free.
[00:06:56.443 --> 00:06:56.563]  at 877-590-5525.
[00:06:56.583 --> 00:07:00.285]  Now live from Austin, Texas, here's Alex Jones.
[00:07:00.305 --> 00:07:05.648]  It is the 26th day of April 2009 on this Sunday.
[00:07:06.128 --> 00:07:11.851]  It is six minutes past the hour
[00:07:19.921 --> 00:07:22.783]  Central Standard Time, 4.06 Central Standard Time.
[00:07:22.803 --> 00:07:25.505]  We'll be live here for the next two hours.
[00:07:25.545 --> 00:07:26.645]  We're going to open the phones up.
[00:07:28.847 --> 00:07:35.291]  But at the beginning of the radio show, I only want to have people from Mexico City or other states in Mexico.
[00:07:35.311 --> 00:07:44.777]  I did a special two-hour show last night only for InfoWars.com internet stream listeners and PrisonPlanet.tv viewers.
[00:07:45.478 --> 00:07:47.980]  And we got, what, five calls from Mexico,
[00:07:48.780 --> 00:08:00.844]  A call from the suburb of San Antonio, a guy right next door to the school, where they're closing the school tomorrow because they have two cases of the bird, swine, human flu.
[00:08:00.864 --> 00:08:01.944]  They're calling it swine flu.
[00:08:01.984 --> 00:08:04.485]  It's bird, swine, human flu.
[00:08:05.245 --> 00:08:07.826]  We got calls from Canada, where they've had outbreaks.
[00:08:08.326 --> 00:08:11.927]  I've gotten emails from Spain, Israel, where they've had outbreaks.
[00:08:12.447 --> 00:08:14.268]  There's just outbreaks all over the world.
[00:08:15.425 --> 00:08:16.648]  I don't know.
[00:08:25.319 --> 00:08:25.499]  It's 877-590-5525.
[00:08:25.519 --> 00:08:25.559]  877-590-5525.
[00:08:25.579 --> 00:08:26.100]  Or you can call 512-836-0590.
[00:08:26.120 --> 00:08:26.200]  512-836-0590.
[00:08:26.240 --> 00:08:28.461]  But I would ask everybody else to hold.
[00:08:28.481 --> 00:08:30.282]  To not call in yet, like I did last night.
[00:08:30.302 --> 00:08:34.485]  Unless you have family in Mexico, we got some of those calls with eyewitness reports.
[00:08:52.139 --> 00:08:59.661]  I did confirm that Aztec TV, that's the big national channel, was saying, it was Felipe Calderon on it, saying, don't worry, we've got a vaccine for this flu.
[00:08:59.701 --> 00:09:01.721]  That's impossible unless the government released it.
