[00:00:00.409 --> 00:00:01.310]  Well, so does he.
[00:00:01.330 --> 00:00:05.633]  He's Alex Jones on the GCN Radio Network.
[00:00:06.173 --> 00:00:10.356]  And now, live from Austin, Texas, Alex Jones.
[00:00:12.117 --> 00:00:17.941]  We've got an incredibly important radio transmission lined up for you today.
[00:00:18.682 --> 00:00:21.043]  Thank you so much for joining us.
[00:00:21.724 --> 00:00:24.786]  Charlie Sheen is coming up in the third segment.
[00:00:26.323 --> 00:00:32.105]  of this hour with the winner of the 20 Minutes with the President contest.
[00:00:32.186 --> 00:00:38.068]  It is the 29th day of November 2009 on this Sunday edition.
[00:00:38.528 --> 00:00:54.515]  Webster Griffin Tarpley to talk about ClimateGate in the last 30 minutes of the radio broadcast today and just so many other important police state issues and economic issues that we are going to be covering as well.
[00:00:56.832 --> 00:01:06.278]  On top of all that, four police shot dead in a coffee shop in Washington State, in a suburb of Seattle, killed execution style.
[00:01:07.038 --> 00:01:08.659]  Is it drug related?
[00:01:12.321 --> 00:01:14.903]  Or will they claim that Islamist terrorists did it?
[00:01:15.043 --> 00:01:19.866]  We are all trying to analyze this right now and find out what's happening.
[00:01:23.100 --> 00:01:29.795]  But again, Charlie Sheen coming up in T-minus 15 minutes from now, live with us on air.
[00:01:29.816 --> 00:01:32.622]  And we're going to get the winner of the 20 minutes with the President.
[00:01:33.655 --> 00:01:52.545]  Contest video contest that was really the brainchild of Charlie Sheen the idea of taking the 20 key points in a interview with the president an interview a dialogue he wishes would happen to bring more attention to 9-11 truth and why those of us at 9-11 truth question the official fable.
[00:01:53.446 --> 00:01:55.207]  So that is coming up.
[00:01:59.537 --> 00:02:04.763]  We are also going to be taking your phone calls later on, but the phones aren't open quite yet.
[00:02:05.104 --> 00:02:08.388]  Here is the stack on the ClimateGate information I have.
[00:02:08.888 --> 00:02:12.112]  We're going to be covering this after Charlie Sheen leaves us at about 45 after.
[00:02:12.152 --> 00:02:16.017]  He's going to do two segments with us tonight.
[00:02:17.864 --> 00:02:18.725]  Climate change.
[00:02:18.765 --> 00:02:21.488]  This is the worst scientific scandal of our generation.
[00:02:21.808 --> 00:02:30.717]  More than that, I can't think of a scientific fraud in the last couple hundred years bigger than this, other than the Nazis and their scientific fraud.
[00:02:30.757 --> 00:02:34.261]  Everything they did was claimed through their pseudoscience.
[00:02:35.222 --> 00:02:40.369]  of the Aryan race and the world, the global government they were going to build based on eugenics.
[00:02:40.709 --> 00:02:49.262]  But when you realize that this is part of eugenics, the whole global warming, Mammy global warming movement is, then it makes total and complete sense.
[00:02:50.424 --> 00:02:55.488]  Lord Mocton was on with us Friday for over an hour, an incredible interview.
[00:02:55.828 --> 00:02:57.670]  He went further than he's ever gone in the past.
[00:02:58.190 --> 00:03:01.472]  He said, shut down the United Nations, arrest Al Gore.
[00:03:01.873 --> 00:03:09.719]  The video clips of that and the key article written by Paul Joseph Watson are up on InfoWars.com and PrisonPlanet.com.
[00:03:10.039 --> 00:03:14.803]  And on Google searches, the number one search in the last week has been ClimateGate.
[00:03:15.223 --> 00:03:18.465]  So even though a lot of the mainstream media is blacking out this news story,
[00:03:19.366 --> 00:03:28.434]  And trying to spin it when they do report on it, the number one issue on the web is ClimateGate, fully eclipsing the fraud of man-made global warming.
[00:03:31.017 --> 00:03:35.641]  Also, I keep getting emails and phone calls here to the office saying I work for the oil companies.
[00:03:36.081 --> 00:03:40.405]  Later, I'm going to go over The Guardian, The New York Times, Bloomberg.
[00:03:41.607 --> 00:03:43.949]  Exxon, chief, backs carbon tax.
[00:03:45.714 --> 00:03:46.815]  That's London Guardian.
[00:03:47.435 --> 00:03:48.036]  Bloomberg.
[00:03:48.176 --> 00:03:52.439]  Shell calls for global expansion of cap-and-trade CO2 programs.
[00:03:53.400 --> 00:04:00.285]  We're going to play a video clip of an international TV ad running with Dutch Royal Shell calling for a global tax.
[00:04:01.186 --> 00:04:02.106]  Here's another article.
[00:04:02.206 --> 00:04:02.567]  Shell.
[00:04:02.627 --> 00:04:04.108]  Cap-and-trade is a good thing.
[00:04:06.178 --> 00:04:15.362]  So I want to go over that and point out that the media keeps saying on health care that the insurance companies are against it when they wrote the bill and admit it.
[00:04:16.002 --> 00:04:18.483]  The oil companies are behind the cap-and-trade scam.
[00:04:20.204 --> 00:04:21.284]  It's all coming up.
[00:04:21.524 --> 00:04:25.166]  Plus, climate change data dumped, times online, times of London.
[00:04:26.175 --> 00:04:31.222]  The East Anglia head UN University that they got all their data from has now destroyed the data.
[00:04:31.602 --> 00:04:32.684]  They're in a lot of trouble.
[00:04:33.044 --> 00:04:34.687]  That's coming up as well.
[00:04:35.728 --> 00:04:36.249]  Stay with us.
[00:04:36.269 --> 00:04:41.075]  We're going to cover ClimateGate, then Charlie Sheen live, ladies and gentlemen.
[00:04:42.387 --> 00:04:46.030]  On this Sunday, 29th of November, 2009 edition.
[00:04:46.451 --> 00:04:47.672]  Stay with us, we'll be right back.
[00:04:47.752 --> 00:04:50.695]  Have you ever wanted to generate your own supply of electrical power?
[00:04:51.155 --> 00:04:54.318]  If so, this is going to be the most important message you will ever hear.
[00:04:54.778 --> 00:04:59.142]  Solar power generators are now available from Solutions from Science in Thompson, Illinois.
[00:04:59.343 --> 00:05:00.764]  These emergency backup systems.
[00:05:01.004 --> 00:05:03.485]  Provide life-saving electrical power when you need it most.
[00:05:03.885 --> 00:05:09.728]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:05:09.988 --> 00:05:13.029]  It's like having an electric power plant running quietly in your own home.
[00:05:13.609 --> 00:05:18.031]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
[00:05:18.431 --> 00:05:24.754]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:05:24.994 --> 00:05:26.935]  When the power goes out, you'll be ready.
[00:05:27.435 --> 00:05:30.257]  With a solar-powered generator from Solutions from Science.
[00:05:30.638 --> 00:05:34.681]  Go to MySolarBackup.com and get off the grid today.
[00:05:35.141 --> 00:05:36.903]  That's MySolarBackup.com.
[00:05:36.923 --> 00:05:37.343]  Or call 877-327-0365.
[00:05:37.363 --> 00:05:37.403]  877-327-0365.
[00:05:37.663 --> 00:05:37.883]  Don't wait.
[00:05:37.903 --> 00:05:38.364]  Call today.
[00:05:50.239 --> 00:05:56.266]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:05:56.866 --> 00:05:59.870]  It's Alex Jones and the GCN Radio Network.
[00:06:01.892 --> 00:06:04.955]  Well, I'm here live Monday through Friday from 11 a.m.
[00:06:04.975 --> 00:06:05.716]  to 3 p.m.
[00:06:05.776 --> 00:06:06.817]  Central Standard Time.
[00:06:06.877 --> 00:06:08.018]  I'm Alex Jones, your host.
[00:06:08.459 --> 00:06:10.621]  You have found at the front lines of the Info War.
[00:06:10.661 --> 00:06:11.782]  It's not about left and right.
[00:06:12.303 --> 00:06:13.204]  It's about justice.
[00:06:13.244 --> 00:06:14.225]  It's about integrity.
[00:06:14.465 --> 00:06:21.373]  It's about exposing the world government openly being set up by a private group of central banks across the planet.
[00:06:21.733 --> 00:06:23.315]  And there can no longer be any denial.
[00:06:24.465 --> 00:06:39.060]  The head of the UN, the head of the EU, Al Gore, all these world leaders are announcing planetary government is here, and the global cap-and-trade, cap-and-tax system is the funding mechanism for their world government.
[00:06:39.500 --> 00:06:42.083]  And we are now more than a week into climate gate.
[00:06:42.663 --> 00:07:03.096]  Internal emails and documents from inside the East Anglia University in England, the main university, sourced and used as one of three climate centers to study man-made global warming, engaged in premeditated fraud with the UN, the NASA Goddard Space Center, and more.
[00:07:03.416 --> 00:07:07.079]  We'll give you all the latest developments on that coming up.
[00:07:07.935 --> 00:07:21.539]  We are also of course going to be interviewing Charlie Sheen live on air coming up in the next segment on this 29th day of November 2009 on this live Sunday edition.
[00:07:21.699 --> 00:07:31.842]  Charlie Sheen is coming up this evening with us live on air with the winner of the 20 minutes with the president dot com contest.
[00:07:32.827 --> 00:07:36.428]  And we'll give you more details of that coming up this evening.
[00:07:36.468 --> 00:07:45.310]  Very appreciative to Charlie and having the idea to do this and all that he's been doing, exposing false flag stage government terrorism like 9-11.
[00:07:45.550 --> 00:07:47.171]  We are here to expose frauds.
[00:07:47.191 --> 00:07:48.991]  We are here to expose hoaxes.
[00:07:49.291 --> 00:07:52.392]  We are here to tell the truth about what's happening in our planet.
[00:07:53.352 --> 00:07:55.133]  Justice be done, may the heavens fall.
[00:07:55.493 --> 00:07:59.434]  Tell the truth, let the chips fall where they may.
[00:08:00.504 --> 00:08:00.765]  Okay.
[00:08:01.606 --> 00:08:13.282]  Friday, I wasn't intending to come in and do a live radio show, but Jesse Ventura contacted me and said, Alex, I'm getting ready to do a big media blitz Monday, Tuesday, and Wednesday ahead of American Conspiracy.
[00:08:13.302 --> 00:08:14.363]  Well, that's the name of his new book.
[00:08:14.824 --> 00:08:16.546]  The show wasn't going to be called American Conspiracy.
[00:08:17.366 --> 00:08:18.146]  The name I coined.
[00:08:18.787 --> 00:08:20.867]  But so they call it Conspiracy Theory.
[00:08:21.368 --> 00:08:22.548]  Wednesday, 10 p.m.
[00:08:22.608 --> 00:08:23.808]  Eastern, 9 p.m.
[00:08:23.989 --> 00:08:29.151]  Central, on TruTV, their big show of the winter, December 3rd, next Wednesday.
[00:08:29.191 --> 00:08:33.092]  So I had Jesse Ventura on for more than an hour Friday.
[00:08:33.512 --> 00:08:41.295]  And thank God we came in because Lord Monckton, Viscount, British Viscount, contacted us and said, I would love to come on Friday.
[00:08:41.675 --> 00:08:42.796]  So we had Viscount
[00:08:43.356 --> 00:08:48.241]  Christopher Monckton on blowing the whistle on the world government takeover plan.
[00:08:48.741 --> 00:08:59.031]  An incredible interview posted at InfoWars.com and PrisonPlanet.com and he in a devastatingly efficient and focused fashion like a particle beam.
[00:09:00.273 --> 00:09:05.698]  at the CERN reactor focuses in on all the lies and fraud of ClimateGate.
[00:09:05.718 --> 00:09:06.859]  It's an amazing interview.
[00:09:07.260 --> 00:09:11.984]  I'm tempted to re-air it this week or maybe even next Sunday because it is so powerful.
[00:09:12.364 --> 00:09:15.848]  Webster Griffin Tarpley joining us, historian, economist.
[00:09:16.648 --> 00:09:26.835]  To break down the scientific fraud of man-made global warming in the aftermath of Climategate being the number one news story worldwide in the last week.
[00:09:27.215 --> 00:09:40.543]  And I'm very proud that InfoWars.com and PrisonPlanet.com last Thursday were amongst the first major alternative news websites to link to the WikiLeaks documents with Climategate.
[00:09:41.744 --> 00:09:44.145]  Now, what has happened?
[00:09:46.078 --> 00:09:59.202]  We predicted last Sunday that the United Nations, NASA, and the British University that were caught doing this would come out and say that the emails were fake.
[00:10:01.623 --> 00:10:04.744]  But actually, we're partially right, partially wrong.
[00:10:05.764 --> 00:10:08.585]  They came out, they got called by the Associated Press first.
[00:10:10.422 --> 00:10:10.562]  That's
[00:10:21.966 --> 00:10:30.649]  Jones and others said, yes, we did write these emails and there's a criminal investigation on who leaked these.
[00:10:31.209 --> 00:10:37.932]  Now, more and more, it looks like the media is calling it a hack, but it was internal scientists below these guys who were worried about going to prison.
[00:10:38.192 --> 00:10:40.713]  And that's in the emails for lying that leaked it.
[00:10:41.053 --> 00:10:42.714]  That's the evidence now beginning to come out.
[00:10:44.254 --> 00:10:47.035]  But instead, they've said, well, they're taken out of context.
[00:10:48.396 --> 00:10:50.337]  And mainstream media has written headlines like
[00:10:52.446 --> 00:10:53.606]  Email's not accurate.
[00:10:53.626 --> 00:10:58.768]  Then you read the sub-article, and it says, well, they really wrote this, but it was taken out of context.
[00:10:59.068 --> 00:11:02.909]  People didn't read the whole thousand-plus emails and hundreds of internal documents.
[00:11:03.169 --> 00:11:08.490]  Well, now the research community's had a chance to go over them, and it's even worse than what we said.
[00:11:08.550 --> 00:11:18.033]  Not only is the United Nations, NASA, and this head climate research facility in England, East Anglia University in eastern England, caught lying.
[00:11:20.899 --> 00:11:24.591]  But they're in there talking about how to persecute other scientists.
[00:11:25.233 --> 00:11:26.256]  They are in the
[00:11:29.221 --> 00:11:36.344]  E-mails talking about how to block peer-reviewed journals from publishing science and real scientific readings that prove them to be liars.
[00:11:37.064 --> 00:11:39.525]  And they're in there talking to the British government and the U.S.
[00:11:39.545 --> 00:11:41.906]  government about how to block FOIA requests.
[00:11:42.346 --> 00:11:48.868]  And they're in there talking to the White House science czar, John P. Holdren, on how to block the release of this information.
[00:11:49.228 --> 00:11:52.710]  And it turns out the BBC, almost six weeks ago,
[00:11:53.610 --> 00:12:01.436]  Five plus weeks before this was released to the mainstream, the BBC was given these emails and documents and decided to cover it up.
[00:12:02.116 --> 00:12:03.538]  So they're in a lot of trouble right now.
[00:12:04.850 --> 00:12:31.128]  But even more importantly, now we've learned that in the documents that were released on WikiLeaks, the big site where whistleblowers release information, and the university has confirmed that this is their computer program, programs, multiple programs, that in the code to the program are notes by the programmer for others using it saying, this is a fraud, it's getting colder, here's how you cover it up, here's how you manipulate the data.
[00:12:31.508 --> 00:12:34.290]  So we have the very software
[00:12:34.950 --> 00:12:48.794]  from the computer program that was used to integrate all this climate data around the world in the notes on the programming itself saying this is a fraud and a lie.
[00:12:49.254 --> 00:13:01.917]  Now in New Zealand and Australia and it's coming out in Canada as we speak that universities and UN affiliated weather climatology centers have been caught
[00:13:02.782 --> 00:13:05.243]  Ladies and gentlemen, have been caught.
[00:13:05.744 --> 00:13:06.284]  Listen to this.
[00:13:06.924 --> 00:13:09.686]  We have this all linked up on InfoWars.com and PrisonPlanet.com.
