[00:00:00.029 --> 00:00:01.950]  Waging war on corruption.
[00:00:02.430 --> 00:00:05.331]  Alex Jones on the GCN Radio Network.
[00:00:09.973 --> 00:00:11.033]  Hey.
[00:00:11.713 --> 00:00:12.353]  Big Brother.
[00:00:12.373 --> 00:00:12.934]  Yeah, go on.
[00:00:13.034 --> 00:00:14.114]  Mainstream media.
[00:00:14.794 --> 00:00:15.955]  Government cover-ups.
[00:00:16.555 --> 00:00:17.395]  You want answers?
[00:00:18.135 --> 00:00:19.116]  Well, so does he.
[00:00:19.696 --> 00:00:23.377]  He's Alex Jones on the GCN Radio Network.
[00:00:23.877 --> 00:00:27.939]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.252 --> 00:00:36.274]  I'm in here swatting fruit flies in the office.
[00:00:36.294 --> 00:00:38.435]  There's a W on these.
[00:00:38.455 --> 00:00:44.157]  Are these for swatting George Bush vampire bats?
[00:00:46.061 --> 00:00:47.763]  Anyways, a little bit of humor there.
[00:00:47.783 --> 00:00:52.628]  They've got bills introduced to arrest you under felony charges if what you say hurts anyone's feelings.
[00:00:52.668 --> 00:00:53.529]  It actually says that.
[00:00:54.070 --> 00:00:56.292]  I know you've been holding callers, but I've been on a roll today.
[00:00:56.352 --> 00:01:02.359]  Jim Tucker's with us for 20 minutes, and we will go to Don, Tom, Pastor William, Steve, Michael, and others.
[00:01:02.379 --> 00:01:05.863]  You can call back in if you want to go ahead and get off the line, or you can wait and we'll get to you.
[00:01:06.903 --> 00:01:08.904]  There's just massive news all off the charts.
[00:01:08.964 --> 00:01:10.204]  It's all completely insane.
[00:01:10.784 --> 00:01:12.825]  Bilderberg Group news as well.
[00:01:13.245 --> 00:01:14.726]  I wanted to go to Jim Tucker now.
[00:01:14.746 --> 00:01:21.048]  We've got a story up on PrisonPlanet.com from the latest news release put out by Daniel Estillan.
[00:01:22.288 --> 00:01:24.209]  Daniel Estillan coming on the show Monday.
[00:01:25.209 --> 00:01:28.030]  And I was reminded that it was Jim Tucker back in
[00:01:30.555 --> 00:01:42.422]  2008, when fuel was $149 at the time in June, he said that they were going to cut the price in half, and everybody laughed at him, to bankrupt Venezuela and other nations.
[00:01:42.482 --> 00:01:44.483]  Now Soros has come out and said they did just that.
[00:01:45.024 --> 00:01:45.644]  Jim Tucker.
[00:01:46.445 --> 00:01:48.026]  Everybody was talking about Lindsey Williams.
[00:01:48.066 --> 00:01:55.791]  Lindsey Williams had this Atlantic-Richfield connection and all this stuff, and he did separately have that connection, but we had already broken this in an article written
