[00:00:14.178 --> 00:00:15.299]  Today, that's 1-800-426-6186.
[00:00:15.479 --> 00:00:20.602]  This is a limited time offer, so call 1-800-426-6186 now.
[00:00:20.622 --> 00:00:28.807]  Funding is expected at Capital Metro for a... Thank you for listening to GCN.
[00:00:29.207 --> 00:00:31.529]  Visit GCNlive.com today.
[00:00:32.189 --> 00:00:34.671]  KLBJ Austin, it's 4 o'clock.
[00:00:36.804 --> 00:00:38.765]  Fox News Radio, I'm Karen Riegel.
[00:00:38.805 --> 00:00:46.391]  When President Obama addressed the graduates of Notre Dame, he also addressed the controversy that preceded and accompanied his visit.
[00:00:46.651 --> 00:00:48.892]  Let's go live now to Fox News Radio's Jennifer Kiper.
[00:00:49.273 --> 00:00:56.978]  Karen, President Barack Obama talked about abortion, telling graduates... So let us work together to reduce the number of women seeking abortions.
[00:00:57.718 --> 00:00:59.479]  Let's reduce unintended pregnancies.
[00:00:59.859 --> 00:01:02.660]  Some guests who stood up and yelled were escorted from the audience.
[00:01:02.700 --> 00:01:05.661]  The students in unison chanting back, we are ND.
[00:01:06.041 --> 00:01:10.863]  On some graduation caps in protest of the president's visit, the sign of the cross and baby's feet.
[00:01:11.243 --> 00:01:16.925]  Outside, at least 27 people arrested on trespassing charges before and during the event.
[00:01:17.065 --> 00:01:17.325]  Karen?
[00:01:17.805 --> 00:01:24.870]  Jennifer, this abortion controversy comes as President Obama is considering who will replace Justice David Souter on the nation's highest court.
[00:01:25.230 --> 00:01:27.952]  Senator Mitch McConnell is the Senate's top Republican.
[00:01:28.012 --> 00:01:30.854]  I think Chief Justice Roberts had it right during his confirmation hearing.
[00:01:30.874 --> 00:01:32.895]  He said the judge ought to be like an umpire.
[00:01:33.276 --> 00:01:35.257]  Call the balls and strikes, but don't make the rules.
[00:01:35.717 --> 00:01:37.238]  That's the kind of individual we're looking for.
[00:01:37.298 --> 00:01:40.661]  We know it will be someone of the political left, but a number of
[00:01:41.511 --> 00:01:46.738]  Leftist judges have been able to put aside their personal views and call it like they see it.
[00:01:46.978 --> 00:01:48.400]  He spoke on Fox News Sunday.
[00:01:48.640 --> 00:01:58.412]  House Speaker Nancy Pelosi got hammered on the Sunday talk shows after claiming last week the CIA lied to her about the use of enhanced interrogation techniques.
[00:01:59.112 --> 00:02:09.716]  I am less interested in investigating whether her memory was correct or she lied about it than I am in the policies that flow from the debate that we're having.
[00:02:09.856 --> 00:02:14.378]  I am not one who thinks we ought to have truth commissions and all the rest of it and keep looking backward.
[00:02:14.398 --> 00:02:15.298]  I agree with the president.
[00:02:15.318 --> 00:02:16.299]  We've got enough on our plate.
[00:02:16.319 --> 00:02:17.059]  We need to look forward.
[00:02:17.299 --> 00:02:19.621]  The senator was on ABC's This Week.
[00:02:19.842 --> 00:02:27.189]  CIA Chief Leon Panetta said last week the CIA misleads no one and was straightforward when it came to briefing lawmakers.
[00:02:27.449 --> 00:02:29.171]  You're listening to Fox News Radio.
[00:02:29.691 --> 00:02:30.472]  Fair and balanced.
[00:02:36.722 --> 00:02:39.984]  News Radio 590, KLVJ, good afternoon.
[00:02:40.044 --> 00:02:41.005]  It's 4.02.
[00:02:41.225 --> 00:02:42.326]  I'm Sarah Hudeberg.
[00:02:42.766 --> 00:02:50.512]  Topping Austin's news, the Austin City Council approves almost $800,000 in solar rebates for area businesses.
[00:02:50.952 --> 00:02:59.658]  Austin Energy's Ed Clark says that amount is the highest paid out so far to commercial property owners since the solar rebate program was launched.
[00:02:59.838 --> 00:03:00.699]  We do have a limit.
[00:03:00.799 --> 00:03:02.040]  We do have a budget limit.
[00:03:02.320 --> 00:03:06.182]  And that budget limit right now is about $4 million a year.
[00:03:06.382 --> 00:03:14.948]  Clark says Austin businesses can also benefit from federal tax credits that pay for up to 80% of solar panel installation.
[00:03:15.528 --> 00:03:24.154]  Well, the feds will likely help Austin's main transit agency start a new rapid bus program for two very long north to south routes.
[00:03:24.730 --> 00:03:32.036]  It is part of a program from the President to designate $17 million in funding for two of Capital Metro's Metrorapid buses.
[00:03:32.594 --> 00:03:37.858]  Cabinetress Adam Chavitz tells KLBJ it means the agency will not have to front all of the money.
[00:03:37.878 --> 00:03:42.441]  The fact that we've already been recommended for about $17 million is really great news.
[00:03:42.502 --> 00:03:46.665]  Chavitz says ultimately they'll have to cover up to $37 million with federal funding.
[00:03:47.165 --> 00:03:48.406]  One route would link St.
[00:03:48.446 --> 00:03:52.809]  David's North with South Park Meadows to the south using Burnet and South Congress.
[00:03:53.170 --> 00:03:55.111]  The other route would link Tech Ridge with West
[00:03:59.935 --> 00:04:05.540]  The Texas House has adopted new guidelines over how corporate money can be used in elections.
[00:04:05.940 --> 00:04:09.703]  News Radio 590 KLVJ's Emily Trube has more.
[00:04:09.983 --> 00:04:14.727]  The bill would ban corporate and union money from being used on political attack ads.
[00:04:15.167 --> 00:04:23.014]  Political parties and political action committees could only use money from corporate and union donations on administrative costs.
[00:04:23.613 --> 00:04:26.476]  Opponents argue that the measure hampers free speech.
[00:04:26.997 --> 00:04:29.560]  Emily Tribb, NewsRadio 590, KLBJ.
[00:04:29.740 --> 00:04:33.324]  Now, the KLBJ Radar Weather Watch with Richard Llewellyn.
[00:04:33.505 --> 00:04:35.146]  Through the rest of the day, clouds will continue 77.
[00:04:35.447 --> 00:04:37.589]  Tonight, clear 54.
[00:04:37.910 --> 00:04:38.871]  Monday, sunshine 84.
[00:04:39.311 --> 00:04:42.255]  From the Weather Channel, Richard Llewellyn, NewsRadio 590, KLBJ.
[00:04:43.716 --> 00:04:48.260]  Right now, mostly cloudy skies, 76 degrees at Austin's airport.
[00:04:48.440 --> 00:04:49.541]  I'm Sarah Hudeberg.
[00:04:49.942 --> 00:04:53.145]  You can get instant news alerts at home or at the office.
[00:04:53.565 --> 00:04:55.367]  Register online at 590KLBJ.com.
[00:04:58.820 --> 00:05:03.224]  Listen up Central Texas, Alex Jones here with great news vital to the security of your family.
[00:05:03.444 --> 00:05:08.108]  The Hardware Store Incorporated in Austin is now a distributor for eFoods Direct storable foods.
[00:05:08.468 --> 00:05:15.054]  Bob Dacey's True Value Hardware Store has partnered with eFoods Direct to provide you with the best value in long-term storable food.
[00:05:15.474 --> 00:05:20.038]  At the Hardware Store you can see it now, get it now, and save money on shipping costs.
[00:05:20.478 --> 00:05:22.320]  And buy in complete privacy if you prefer.
[00:05:23.126 --> 00:05:28.288]  Call the hardware store at 512-250-1591 today and have your food tonight.
[00:05:28.548 --> 00:05:29.248]  Don't have a truck?
[00:05:29.528 --> 00:05:30.108]  Borrow one.
[00:05:30.389 --> 00:05:33.330]  In these uncertain times, storable food is a great investment to make.
[00:05:33.510 --> 00:05:38.832]  You'll never have to- Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:05:39.192 --> 00:05:45.494]  Our hemp foods are anti-inflammatory and gluten-free, and can greatly benefit the health of the human body.
[00:05:46.280 --> 00:05:54.644]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:05:55.284 --> 00:06:02.707]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:06:03.227 --> 00:06:08.750]  Call 908-691-2608 or visit hempusa.org today.
[00:06:08.770 --> 00:06:16.714]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[00:06:17.314 --> 00:06:24.098]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[00:06:24.938 --> 00:06:25.959]  So don't delay.
[00:06:26.299 --> 00:06:33.625]  Call today 908-691-2608 and see what our powder seeds and oil can do for you.
[00:06:33.645 --> 00:06:43.873]  Prepare yourself for a talk radio experience like no other.
[00:06:44.373 --> 00:06:45.914]  He stands for truth.
[00:06:47.135 --> 00:06:49.377]  He stands for justice.
[00:06:50.358 --> 00:06:52.700]  He stands for what's right.
[00:06:52.800 --> 00:06:53.000]  This
[00:06:53.479 --> 00:06:55.521]  This is the Alex Jones Show.
[00:06:56.061 --> 00:06:58.924]  Call Alex now, toll free at 877-590-5525.
[00:06:58.984 --> 00:07:02.647]  Now live from Austin, Texas, here's Alex Jones.
[00:07:15.626 --> 00:07:25.933]  Well, let me just start the broadcast by putting a time stamp on it, because we stand behind what we say over the years and the decades, and fortunately it all comes true right on time.
[00:07:26.894 --> 00:07:36.381]  As we're reading the government's own declassified documents about how they work for offshore banks to set up a world government to carry out eugenics against the people of the planet.
[00:07:36.501 --> 00:07:38.122]  So it is May 17, 2009, a Sunday edition.
[00:07:42.779 --> 00:07:44.700]  We're going to be live here for the next two hours.
[00:07:45.020 --> 00:07:46.820]  Lots of phone calls today.
[00:07:46.840 --> 00:07:47.880]  877-590-5525.
[00:07:47.900 --> 00:07:55.382]  877-590-5525 will get you up and on the air.
[00:07:55.442 --> 00:08:00.584]  You can also call the local line from the station that this syndicated transmission comes to you from.
[00:08:00.604 --> 00:08:02.984]  News Radio 590 KLBJ.
[00:08:03.004 --> 00:08:03.244]  That's 836-0590.
[00:08:06.380 --> 00:08:14.127]  On any issue, any news item, anything you want to talk about, it is a complete and absolute total free-for-all today.
[00:08:15.809 --> 00:08:18.331]  That said, here is the news I have in front of me.
[00:08:18.811 --> 00:08:23.035]  The Bilderberg Group meeting is breaking up as we speak.
[00:08:23.355 --> 00:08:24.877]  Well, I guess they're eight hours ahead of us.
[00:08:25.838 --> 00:08:29.241]  So over there, it's almost the 18th over there.
[00:08:31.914 --> 00:08:33.255]  I guess it is the 18th over there.
[00:08:33.295 --> 00:08:41.598]  So, yesterday in Greece, but today in North America, the Bilderberg Group concluded its 57th annual meeting.
[00:08:42.978 --> 00:08:50.701]  And for those that don't know, I put this in my film, Endgame, Blueprint for Global Enslavement, but now it's been completely declassified by the British and U.S.
[00:08:50.721 --> 00:08:59.845]  governments, wartime army documents from the Army and Marines and the British military as well, that the Nazis knew they were going to lose by 44.
[00:09:01.823 --> 00:09:09.567]  So they went underground and set up an organization that publicly emerged in 1954 as the Bilderberg Group.
