[00:00:06.476 --> 00:00:06.556]  1-800-340-7091.
[00:00:06.576 --> 00:00:06.876]  That's 1-800-340-7091.
[00:00:06.956 --> 00:00:09.518]  Or log on to 5starsoap.com now for a free catalog.
[00:00:09.538 --> 00:00:12.401]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:00:12.541 --> 00:00:17.905]  York Monument is dedicated to commemorate racial integra- Thank you for listening to GCA.
[00:00:17.945 --> 00:00:18.265]  KLVJ Austin.
[00:00:37.228 --> 00:00:38.809]  IRN USA Radio News.
[00:00:39.069 --> 00:00:39.869]  I'm Jody Jordan.
[00:00:40.169 --> 00:00:43.230]  The Red River is slowly receding at Fargo, North Dakota.
[00:00:43.450 --> 00:00:47.351]  But a breach in the dike protecting the city's north side has flooded a school campus.
[00:00:47.812 --> 00:00:51.613]  But it wasn't serious enough to warrant the evacuation of nearby residents.
[00:00:52.353 --> 00:00:55.034]  Robin Litby is a spokeswoman for the City of Fargo.
[00:00:55.114 --> 00:00:58.215]  We've just asked them to plug their sewers and to monitor their basements.
[00:00:58.495 --> 00:01:01.276]  Waters may remain dangerously high for a week.
[00:01:02.205 --> 00:01:06.726]  And the Obama administration is readying a fresh aid for General Motors and Chrysler.
[00:01:07.187 --> 00:01:10.428]  The two automakers have already received more than $17 billion.
[00:01:10.848 --> 00:01:16.109]  GM is asking for more than $16 billion in new aid, while Chrysler wants another $5 billion.
[00:01:16.690 --> 00:01:20.551]  The administration is expected to insist on tough cost-cutting measures.
[00:01:21.286 --> 00:01:22.207]  Here's Ken Thomas.
[00:01:22.487 --> 00:01:29.930]  It has an impact on communities throughout the country in terms of supplier jobs, dealer jobs, and the like.
[00:01:30.090 --> 00:01:32.472]  This is IRN USA Radio News.
[00:01:33.872 --> 00:01:35.313]  My name is John Demartino.
[00:01:35.393 --> 00:01:39.295]  I'm from Colorado, and I started using Andy Willoughby's Three-Step Plan.
[00:01:39.435 --> 00:01:49.220]  It's extremely encouraging for me, and they've given me training on exactly what to say, and I don't have to be a salesman to talk to people that are calling me.
[00:01:49.660 --> 00:01:52.862]  It's made me feel like, wow, let's do business.
[00:01:53.082 --> 00:01:57.265]  I can only conceive of growing and growing and growing now.
[00:01:57.505 --> 00:02:00.527]  I'm 56 years old, and I feel young.
[00:02:00.867 --> 00:02:01.788]  I feel renewed.
[00:02:01.948 --> 00:02:02.628]  I'm happy.
[00:02:02.648 --> 00:02:04.770]  I'm excited about my financial future.
[00:02:05.010 --> 00:02:11.153]  In a short amount of time, less than an hour a day, if someone wanted to, they could have a system.
[00:02:11.414 --> 00:02:13.515]  This is a stress-relieving business.
[00:02:13.835 --> 00:02:15.197]  Hi, how in the world are you anyway?
[00:02:15.337 --> 00:02:16.438]  This is Andy Whittleby.
