[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[00:00:01.950 --> 00:00:04.813]  Alex Jones on the GCN Radio Network.
[00:00:11.197 --> 00:00:11.858]  Big Brother.
[00:00:12.518 --> 00:00:13.579]  Mainstream media.
[00:00:14.280 --> 00:00:15.401]  Government cover-ups.
[00:00:16.041 --> 00:00:16.862]  You want answers?
[00:00:17.622 --> 00:00:18.563]  Well, so does he.
[00:00:19.183 --> 00:00:22.926]  He's Alex Jones on the GCN Radio Network.
[00:00:23.367 --> 00:00:27.430]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.062 --> 00:00:32.725]  We have initiated simulcasting the radio show at PrisonPlanet.tv.
[00:00:32.805 --> 00:00:40.711]  Joining us from the Bilderberg Group Meeting 2009 is American Free Press writer Jim Tucker, author of the Bilderberg Group Diary.
[00:00:42.338 --> 00:00:44.138]  Well today, uh... Carl Bildt made a speech advocating the uh...
[00:01:12.045 --> 00:01:31.598]  Turning the World Health Organization into a World Department of Health, advocating, creating, turning the IMF, the International Monetary Fund, into a World Department of the Treasury, both of course under the auspices of the United Nations.
[00:01:32.478 --> 00:01:39.923]  And of course this would be a giant step toward world government, something, an issue that's frustrated them now for more than
[00:01:40.379 --> 00:01:50.684]  A decade in their efforts, but whether or not they go all the way, either event would represent a significant surrender of national sovereignty.
[00:01:51.444 --> 00:02:07.071]  So, well, he made the case about how the world is in such horrible economic shape that it takes a super agency, a global super agency, to fix the problem, and because of the
[00:02:09.318 --> 00:02:16.727]  They took over their facts when they invented the swine flu disease, the swine flu pandemic, as they called it.
[00:02:17.147 --> 00:02:25.877]  He shifted gears and fell back on an old, decades old, Bilderberg theme of global warming.
[00:02:25.918 --> 00:02:26.959]  We're all going to burn to death.
[00:02:28.464 --> 00:02:32.545]  Well, and hereafter he will, but... Jim Tucker, I must interrupt you in the limited time we have.
[00:02:32.605 --> 00:02:33.185]  I know you're busy.
[00:02:33.545 --> 00:02:39.347]  Jim, are you telling me they said they invented the latest swine flu?
[00:02:40.907 --> 00:02:42.008]  No, I said they did.
[00:02:43.728 --> 00:02:48.169]  Because it was Bilderberg Lumineers who first said, gee, we have this bad pandemic.
[00:02:48.630 --> 00:02:49.850]  It was not a bad pandemic.
[00:02:50.550 --> 00:02:54.051]  Every year, on average, 300,000 Americans get a flu.
[00:02:55.051 --> 00:02:56.312]  Every year, on average, 30,000 Americans
[00:02:58.374 --> 00:03:02.157]  Now, how many people have died of swine flu?
[00:03:03.118 --> 00:03:04.018]  What is too many?
[00:03:04.399 --> 00:03:06.641]  It does not represent a pandemic.
[00:03:24.167 --> 00:03:35.229]  That is on the agenda and possibly overlooked by many people is the fact that some type of a direct tax on all the world has been long on the Bilderberg agenda.
[00:03:35.729 --> 00:03:47.572]  There's three such bills pending before the United Nations that have been for years and they're trying to pick a time when they can slip it through without anybody being really aware of it.
[00:03:48.052 --> 00:03:53.193]  Now their favorite global tax has always been a tax on oil in the barrel head.
[00:03:53.635 --> 00:03:57.176]  It'll start off like the income tax did, very low, maybe a penny a barrel.
[00:03:57.596 --> 00:04:08.160]  When you buy a gallon of gasoline, you will not even notice that you're paying two pennies to the United Nations because you've bought two gallons of gas.
[00:04:09.020 --> 00:04:09.761]  You wouldn't even know.
[00:04:10.461 --> 00:04:20.364]  Years ago, you would not even be aware that when you put gas in your car, or your lawnmower for that matter, or any purpose, you are paying a direct tax.
[00:04:21.064 --> 00:04:22.585]  Direct tax to the United Nations.
[00:04:23.191 --> 00:04:25.492]  That's a symbol of global sovereignty.
[00:04:26.233 --> 00:04:41.742]  And, of course, like federal income tax, which has increased over the years, and people are grunting and groaning, and then when they're, uh, get a list, you say, so much federal tax, so much state tax, so much, in some cases, county tax, and, oh yes, uh, UN taxes.
[00:04:42.369 --> 00:04:44.431]  All right, Jim Tucker, we got a break, quick break.
[00:04:44.451 --> 00:04:45.291]  You'll have three minutes.
[00:04:45.731 --> 00:04:48.173]  We're going to come back for another six, seven minutes, then let you go.
[00:04:48.474 --> 00:04:52.977]  When you get back next week, we'll get the full report, also coming out in AmericanFreePress.net.
[00:04:53.417 --> 00:04:57.740]  But he is the author of Jim Tucker's Bilderberg Diary, absolutely essential.
[00:04:57.760 --> 00:04:59.562]  You can get it at Infowars.com.
[00:04:59.582 --> 00:05:04.625]  Jim Tucker, a living legend, a true reporter, straw hat and all.
[00:05:04.645 --> 00:05:05.126]  We'll get back.
[00:05:06.823 --> 00:05:08.384]  Hello friends, this is Alex Jones.
[00:05:08.504 --> 00:05:13.146]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:05:13.246 --> 00:05:16.007]  We need to be independent, and food and water is the key.
[00:05:16.207 --> 00:05:19.068]  You'll never have to stand in a bread line if you have your own bread.
[00:05:19.248 --> 00:05:23.970]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:05:24.190 --> 00:05:25.131]  If you simply prepare.
[00:05:25.331 --> 00:05:28.273]  No one is going to take care of your family in the final equation but you.
[00:05:28.573 --> 00:05:35.457]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:05:35.557 --> 00:05:38.679]  And they do it at almost half the cost of last year's grocery prices.
[00:05:38.839 --> 00:05:39.039]  Call 1-800-409-5633.
[00:05:39.099 --> 00:05:40.380]  Or on the web, go to eFoodsDirect.com.
[00:05:43.982 --> 00:05:50.065]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:05:50.245 --> 00:05:53.987]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:05:54.007 --> 00:05:55.348]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:05:55.368 --> 00:05:55.868]  Take action today.
[00:05:55.888 --> 00:05:57.229]  The first step is getting storable food.
[00:06:07.344 --> 00:06:12.667]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:06:13.388 --> 00:06:18.711]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:06:19.271 --> 00:06:25.415]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:06:25.755 --> 00:06:27.576]  Well, Obama's already fudging.
[00:06:27.716 --> 00:06:30.117]  He's fudged since day one in this election.
[00:06:30.197 --> 00:06:41.142]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:06:43.383 --> 00:06:44.644]  It's not about left or right.
[00:06:45.044 --> 00:06:46.445]  It's about a one-world government.
[00:06:46.905 --> 00:06:53.128]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:06:53.815 --> 00:07:01.578]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:07:02.058 --> 00:07:03.199]  The Obama Deception.
[00:07:03.639 --> 00:07:04.899]  The people strike back!
[00:07:06.680 --> 00:07:09.001]  Hi, this is Peter Kronschnabel with Midas Resources.
[00:07:09.141 --> 00:07:12.842]  As you know, government spending is at an all-time high and inflation is on the rise.
[00:07:12.942 --> 00:07:15.603]  What are you doing right now to protect yourself financially?
[00:07:15.763 --> 00:07:22.966]  As the economy continues to deteriorate due to corporate greed and government intervention, more people will lose their jobs and worse, their life savings.
[00:07:23.086 --> 00:07:28.111]  Having your hard-earned money in banks, the stock market, or any other paper asset is a lose-lose deal.
[00:07:28.191 --> 00:07:33.136]  You'll lose on your capital investment and you'll lose purchasing power as the dollar continues to devalue.
[00:07:33.316 --> 00:07:39.422]  One thing is certain, having physical possession of gold and silver will guarantee that no matter what happens, your investment will never be worthless.
[00:07:39.542 --> 00:07:43.544]  If you've been thinking about investing in the physical possession of precious metals, I can help.
[00:07:43.704 --> 00:07:48.686]  Call me today, Peter Kranchnobel, at 800-686-2237, extension 108.
[00:07:49.507 --> 00:07:54.409]  And I will take the time personally to put together a portfolio designed to protect what you've worked so hard for.
[00:07:54.549 --> 00:07:58.291]  Call Peter, 800-686-2237, extension 108.
[00:07:58.991 --> 00:08:01.492]  You've worked hard your whole life, and I want to work hard for you.
[00:08:01.652 --> 00:08:02.092]  Call 800-686-2237, extension 108.
[00:08:07.120 --> 00:08:09.302]  He's the T-Rex of political talk.
[00:08:09.862 --> 00:08:12.744]  Alex Jones on the GCN Radio Network.
[00:08:17.728 --> 00:08:18.809]  We are back live.
[00:08:18.829 --> 00:08:25.193]  It's Bilderberg 2009 Frontline exclusives from the kingpin, Milderberg Hunter.
[00:08:26.034 --> 00:08:27.555]  34 years hunting these guys.
[00:08:28.395 --> 00:08:31.177]  He's the reason you're seeing it in the mainstream media today.
[00:08:31.558 --> 00:08:33.199]  The reason we have governments going after him.
[00:08:33.479 --> 00:08:34.940]  Jim, one comment for you.
[00:08:34.960 --> 00:08:37.822]  It's up on PrisonPlanet.com today.
[00:08:38.322 --> 00:08:49.590]  A member of the Dutch Parliament is asking the Finance Minister, the Prime Minister and others, and the Queen, if they're attending Velderberg and trying to ram through EU expansion and the Libsyn Treaty.
[00:08:50.310 --> 00:08:52.032]  Were you aware of this breaking development?
[00:08:53.593 --> 00:09:01.538]  Not about the Queen and whoever, but I know that was on the agenda today.
[00:09:02.165 --> 00:09:13.774]  There is much discussion about getting the Irish to sign on to the Lisbon Treaty because all EU countries have to endorse or it could not happen.
[00:09:14.735 --> 00:09:16.196]  And the Irish voted down before.
[00:09:16.736 --> 00:09:22.481]  They're going to try to make them vote again and torture them and pressure them into voting and reversing themselves.
[00:09:23.221 --> 00:09:25.383]  And the Irish do not want to surrender that much sovereignty.
[00:09:25.403 --> 00:09:30.887]  Of course, all those countries have surrendered significant sovereignty.
[00:09:31.604 --> 00:09:35.806]  I mean, the European Parliament can make laws and impose them on member states.
[00:09:36.266 --> 00:09:43.269]  The European Court can make rulings and overturn laws of member states, and they have.
[00:09:44.490 --> 00:09:49.252]  Yet they want to make it stronger, and the Irish said no in the first referendum.
[00:09:49.973 --> 00:09:59.417]  In fact, polls in Germany and France show that the people strongly oppose the Lisbon Treaty, but in Germany and France, the head of state can sign off on it whether they like it or not.
[00:10:00.043 --> 00:10:02.945]  Ireland requires a referendum, the first time it failed.
[00:10:03.385 --> 00:10:15.351]  They plan a meeting in June, about June 18, 19, something like that, to try to pressure the Irish voters into reversing themselves.
[00:10:16.071 --> 00:10:28.898]  Bilderberg plans to send a group up there privately, to talk privately to the leaders of Ireland, to pressure them to tell their citizens, it's good for you.
[00:10:29.386 --> 00:10:30.767]  You'll eat better, you'll live longer.
[00:10:30.787 --> 00:10:32.168]  Okay, Jim, Jim.
[00:10:32.409 --> 00:10:33.289]  Yeah, that plays out.
[00:10:33.670 --> 00:10:36.212]  Jim, in the limited time, I have quite a few other questions.
[00:10:37.052 --> 00:10:41.356]  Just in the short notes, what else is on their agenda from your sources inside Bilderberg?
[00:10:43.298 --> 00:10:58.150]  Well, I think they had mentioned this yesterday, but President Obama is being charged, well, he's willingly, he's willingly accepted the job of trying to slip through ratification of the International Criminal Court.
[00:10:59.285 --> 00:10:59.985]  Uh, treaty.
[00:11:00.626 --> 00:11:11.671]  Now, when, uh, Bilderberg Clinton first, uh, signed off on it, uh, Test vote in Congress showed that more than 90 Senators voting against it, so he did not submit it for ratification.
[00:11:12.371 --> 00:11:15.053]  When Bubba Bush was elected, he withdrew the signature.
[00:11:15.593 --> 00:11:24.697]  When Obama, uh, the, uh, when Obama was, uh, elected, he put the signature back on so he could go before the Senate any time.
[00:11:25.237 --> 00:11:26.318]  But their tactics are this.
[00:11:26.338 --> 00:11:28.719]  Uh, Obama is the sweet talk.
[00:11:29.540 --> 00:11:29.920]  I think so.
[00:11:50.245 --> 00:11:58.290]  So Obama's going to sweet-talk it and say, don't worry, we'll have more left-wing Congress, or he'll probably say more liberal Senate after the 2002 election.
[00:11:58.310 --> 00:12:08.877]  So in January of 2011, when the new Senate is seated, you can ratify it late on a Saturday night.
[00:12:09.357 --> 00:12:10.798]  It's too late for Sunday morning papers.
[00:12:10.858 --> 00:12:13.460]  Too late to re-plan the Sunday talk shows.
[00:12:14.501 --> 00:12:17.503]  And we'll even make the Monday papers.
[00:12:17.963 --> 00:12:18.543]  It'll happen.
[00:12:18.743 --> 00:12:19.564]  Nobody will know.
[00:12:20.199 --> 00:12:27.121]  You'll suffer no political reprisals, and we can be a member of the International Criminal Court.
[00:12:27.381 --> 00:12:40.284]  And for those that don't know, Jim, I mean, for those that don't know, this will put Americans under the jurisdiction of foreign hate speech laws, being arrested for criticizing open borders, you know, Michael Savage can't come to Europe, banning Internet freedom, all of that.
[00:12:40.644 --> 00:12:44.205]  Now, what about Daniel Lesterlin, who's proven to be very accurate with his sources?
[00:12:44.245 --> 00:12:47.206]  He says he has two Bilderberg Group members as sources.
[00:12:48.206 --> 00:12:48.506]  Yes, it is.
[00:13:16.997 --> 00:13:27.585]  And the mood seems to be, according to our Treasurer Secretary Gessner and Bill, toward a shorter recession, not a 10-year recession.
[00:13:27.605 --> 00:13:30.808]  Dan and I have collaborated for many years.
[00:13:31.128 --> 00:13:33.070]  He's not here this year for the third straight year.
[00:13:33.110 --> 00:13:33.830]  I don't know why.
[00:13:33.850 --> 00:13:36.072]  I couldn't communicate with him.
[00:13:36.372 --> 00:13:41.176]  But he's always been reliable, and we've collaborated over the years.
[00:13:41.556 --> 00:13:43.398]  But the tilt is sort of shorter.
[00:13:43.962 --> 00:13:54.472]  Part of the cause of a 10-year recession would damage the Bilderberg industrialists themselves.
[00:13:55.753 --> 00:14:07.944]  As much as they want to have a global department of labor and a global department of treasure and everything, they still like making money.
[00:14:08.837 --> 00:14:09.197]  Thank you for
[00:14:29.845 --> 00:14:32.687]  Within two years, you can make people miserable enough to accept anything.
[00:14:32.707 --> 00:14:34.108]  It seems to be the view.
[00:14:34.488 --> 00:14:47.175]  Okay, to be clear, Jim, you're saying, you're confirming that they, as you said three years ago and two years ago and last year, you said they were going to cut oil prices in half when it was at $149 a barrel and suddenly it plunged because they really are running things.
[00:14:47.195 --> 00:14:48.115]  This isn't predictions.
[00:14:48.395 --> 00:14:49.676]  This is what the elite are saying.
[00:14:50.176 --> 00:14:58.261]  Are you saying that, yes, indeed, they've engineered the crisis to terrorize people into accepting the new bank of the world, the new world currency?
[00:14:59.983 --> 00:15:02.605]  Either they're engineering it or they're surely celebrating it.
[00:15:04.606 --> 00:15:15.793]  They are exploiting it to promote the, well as you said, also the New World Currency, but they've been so far behind their schedule on that.
[00:15:15.873 --> 00:15:19.395]  In fact, the Patriots have been winning, as I've said so many times.
[00:15:19.876 --> 00:15:28.441]  Bilderberg was confident in having an American Union by the year 2000, and that was nine years ago, and we don't have it on Mario yet.
[00:15:30.305 --> 00:15:34.587]  First of all, it just dollarized the Western Hemisphere, but now they want it to be in the Barrio.
[00:15:35.187 --> 00:15:36.068]  Well, they're paranoid every year.
[00:15:36.088 --> 00:15:36.528]  It's a secret site.
[00:15:36.548 --> 00:15:37.088]  They try to make it
[00:15:58.852 --> 00:16:00.393]  They get widespread publicity.
[00:16:00.993 --> 00:16:07.996]  In fact, Charlie Shelton is going to have a piece, I think, Monday in the Clue edition of his paper, The Guardian.
[00:16:09.477 --> 00:16:26.885]  There's a lot of freelance reporters here, others associated with various broadcast networks and newspapers, and there's just about as many journalists as there was before, and it's hard to get the demonstrations
[00:16:27.657 --> 00:16:27.898]  I don't
[00:16:40.942 --> 00:16:42.202]  And the journalists are here.
[00:16:42.723 --> 00:16:43.463]  Wait a minute, Jim.
[00:16:43.583 --> 00:16:47.204]  Jim, I was saying police were coming up and arresting people a hundred yards away.
[00:16:47.244 --> 00:16:49.244]  You're saying two and a half miles away.
[00:16:49.264 --> 00:16:54.346]  Because I keep seeing videos where it's like seashore and trees and no buildings around and highways.
[00:16:54.706 --> 00:17:01.348]  Are there just, from what I've been told, there's police just everywhere arresting people all over the, I mean, this is total police state.
[00:17:01.928 --> 00:17:05.389]  I mean, the media should be all over this with their reporters being arrested.
[00:17:05.669 --> 00:17:09.550]  Oh, and they surely are taking the guy off the camera.
[00:17:09.946 --> 00:17:10.366]  We're good to go.
