[00:00:07.035 --> 00:00:12.279]  We are live at PrisonPlanet.tv every day during the four hour radio show.
[00:00:12.299 --> 00:00:13.821]  We start simulcasting live.
[00:00:15.222 --> 00:00:20.045]  The television transmission via PrisonPlanet.tv that's then ripped to the four corners of the planet.
[00:00:20.065 --> 00:00:25.467]  We also archive at PrisonPlanet.tv, members, every day within a few hours of the show, at InfoWars.com.
[00:00:25.547 --> 00:00:35.012]  Don't forget the free podcast that now over 125,000 people a day are subscribing to for free on the listen page at InfoWars.com.
[00:00:37.393 --> 00:00:39.094]  Let's go ahead and go back to your phone calls.
[00:00:39.174 --> 00:00:43.777]  I'm going to get more into the news on eugenics and Pelosi saying, don't have children, it's bad for the economy.
[00:00:44.793 --> 00:00:46.414]  Yes, dying cultures are good, I guess.
[00:00:46.834 --> 00:00:48.395]  Dino, in Canada.
[00:00:48.415 --> 00:00:49.536]  Thanks for holding her on the air.
[00:00:50.336 --> 00:00:50.737]  Thank you.
[00:00:50.977 --> 00:00:51.517]  Thanks, Alex.
[00:00:52.138 --> 00:00:52.418]  You bet.
[00:00:52.458 --> 00:00:52.958]  Thank you.
[00:00:54.699 --> 00:00:58.862]  I just wanted to talk about, like, basically the media.
[00:00:59.502 --> 00:01:06.967]  How, in Canada, we watch, I mean, there's more American news on our news than there is Canadian news.
[00:01:09.008 --> 00:01:13.671]  And, I mean, when you watch the news, American news,
[00:01:14.548 --> 00:01:17.971]  All they seem to play is games of he said, she said.
[00:01:18.992 --> 00:01:23.015]  And you watch our news, and it's so damn boring that you just want to change the channel.
[00:01:24.296 --> 00:01:24.937]  No, that's it.
[00:01:25.698 --> 00:01:30.762]  You've got more the British model of just the droning, brainwashing, and basic statistics that are all false or twisted.
[00:01:31.162 --> 00:01:42.072]  And then here it's all left-right paradigm, playing groups off against each other so we never look above at the elite above the little managers they've got down here that uses their front dummies or their shields.
[00:01:42.432 --> 00:01:46.816]  I mean, I talked to my friends and I said, look, it's pretty bad when people know more about Paris Hilton's vagina
[00:02:06.246 --> 00:02:07.327]  than actual events.
[00:02:07.667 --> 00:02:08.868]  You know, it's kind of sad.
[00:02:09.168 --> 00:02:10.409]  Yeah, it's all part of the distraction.
[00:02:10.429 --> 00:02:11.630]  I appreciate your call, Dino.
