[00:00:14.446 --> 00:00:16.989]  8-8-7-6-6-6-0-6-6 today.
[00:00:17.210 --> 00:00:18.712]  Zeroflu.com.
[00:00:18.892 --> 00:00:21.755]  Protecting you and your family, one day at a time.
[00:00:21.776 --> 00:00:25.200]  From the Triton Financial Golf Classic coming up in the Impact.
[00:00:25.240 --> 00:00:30.046]  You're listening to GCN, the world leader in independent talk radio.
[00:00:30.286 --> 00:00:31.047]  News Radio 590KL.
[00:00:35.154 --> 00:00:37.536]  IRN USA Radio News, I'm Mark Thomas.
[00:00:37.836 --> 00:00:44.361]  A retired State Department official that had top-secret security clearance and his wife have been arrested for allegedly spying for Cuba.
[00:00:44.461 --> 00:00:49.686]  The Justice Department says Walter Myers and his wife Gwendolyn were arrested by federal agents in Washington, D.C.
[00:00:49.986 --> 00:00:57.592]  The State Department alleges the couple were spies for the Cuban government for nearly 30 years and claims that at one time the couple met with Cuban leader Fidel Castro.
[00:00:58.112 --> 00:01:01.435]  The Saturn brand is being sold by General Motors to Penske Automotive Group.
[00:01:01.695 --> 00:01:07.701]  The two companies have confirmed the sale, which GM says will save more than 350 dealerships and 13,000 jobs.
[00:01:08.021 --> 00:01:14.507]  Since GM debuted the brand in 1990, Saturn has sold more than 4 million vehicles, with more than 80% of them still on the road.
[00:01:15.191 --> 00:01:20.693]  The Labor Department's latest jobless figures show employers nationwide cut 345,000 jobs in May.
[00:01:21.034 --> 00:01:23.495]  That's the lowest job cuts figure since last September.
[00:01:23.735 --> 00:01:28.777]  The overall unemployment rate, however, rose to a 26-year high of 9.4% last month.
[00:01:29.097 --> 00:01:30.838]  This is IRN USA Radio News.
[00:01:32.423 --> 00:01:35.525]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[00:01:35.805 --> 00:01:37.346]  Guys, many of us tend to overeat.
[00:01:37.406 --> 00:01:39.627]  We eat too much red meat, fast foods, and processed foods.
[00:01:39.807 --> 00:01:42.229]  This keeps the belly flabby and keeps our bodies overweight.
[00:01:42.429 --> 00:01:44.350]  Ladies, have you ever said, I feel fat today?
[00:01:44.530 --> 00:01:45.690]  Or do you have this bloated feeling?
[00:01:45.871 --> 00:01:48.912]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[00:01:49.132 --> 00:01:51.834]  There's a healthy and faster way to lose weight than any diet pill.
[00:01:52.114 --> 00:02:01.581]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[00:02:01.802 --> 00:02:03.903]  Two weeks of EverCleanse may be equal to months of dieting.
[00:02:04.163 --> 00:02:04.764]  It's simple, too.
[00:02:05.024 --> 00:02:07.326]  Natural, tasteless crystals that dissolve in any food or beverage.
[00:02:07.546 --> 00:02:12.210]  EverCleanse will flatten out your midsection, reduce love handles, and bellies and bloating have been disappearing in just days.
[00:02:12.410 --> 00:02:16.773]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[00:02:16.933 --> 00:02:18.795]  And it's not something you have to take for the rest of your life.
[00:02:19.035 --> 00:02:20.756]  Call now to receive a very special offer.
[00:02:20.916 --> 00:02:21.257]  Call 800-425-7000.
[00:02:21.817 --> 00:02:22.457]  Ask about a free supply.
[00:02:22.477 --> 00:02:22.517]  800-567-5598.
[00:02:22.578 --> 00:02:22.898]  That's 800-567-5598.
[00:02:32.378 --> 00:02:40.121]  At least 29 children were killed and several others injured when a fire swept through a daycare center Friday in the northern Mexican city of Hermosillo.
[00:02:40.522 --> 00:02:42.442]  Most of the children died of smoke inhalation.
[00:02:42.783 --> 00:02:47.725]  A Mexican official says the children range in age from 3 or 4 months to 2 or 3 years old.
[00:02:48.065 --> 00:02:57.169]  The official says it has not been determined where or how the fire started, but some Mexican media outlets are reporting the blaze may have erupted in a nearby warehouse or tire shop.
[00:02:58.320 --> 00:03:02.001]  A change could be in the wind concerning detainees at Guantanamo Bay, Cuba.
[00:03:02.261 --> 00:03:10.622]  The Obama administration is considering allowing terrorism suspects at Guantanamo Bay who are facing the death penalty to plead guilty without receiving a full trial.
[00:03:10.942 --> 00:03:19.784]  The New York Times reports the changes being investigated by the administration would be designed to resolve an ambiguity in a 2006 law covering military commissions.
[00:03:20.164 --> 00:03:25.445]  The newspaper reports the guilty plea proposal is contained in draft legislation that would be sent to Congress.
[00:03:25.825 --> 00:03:30.113]  For the latest news and analysis, log on to IRNUSANews.com
[00:03:32.384 --> 00:03:33.824]  My name is John Demartino.
[00:03:33.884 --> 00:03:37.745]  I'm from Colorado and I started using Andy Willoughby 3-Step Plan.
[00:03:37.885 --> 00:03:40.906]  I'm 56 years old and I feel renewed.
[00:03:40.946 --> 00:03:41.646]  I'm happy.
[00:03:41.706 --> 00:03:43.766]  I'm excited about my financial future.
[00:03:43.987 --> 00:03:46.267]  This is a stress-relieving business.
[00:03:46.507 --> 00:03:47.847]  Hi, how in the world are you anyway?
[00:03:47.987 --> 00:03:49.088]  This is Andy Willoughby.
[00:03:49.368 --> 00:03:54.169]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[00:03:54.189 --> 00:03:54.229]  800-480-2102.
[00:04:02.290 --> 00:04:07.854]  The top Senate Republican refuses to close the door on a filibuster over Supreme Court nominee Sonia Sotomayor.
[00:04:07.994 --> 00:04:09.375]  Jerry Bodlander has more.
[00:04:09.655 --> 00:04:21.703]  As lawmakers pour over the 3,600 cases that Judge Sotomayor was involved in and the answers she provided the Senate Judiciary Committee, Senate Minority Leader Mitch McConnell told reporters a filibuster remains an option.
[00:04:21.823 --> 00:04:27.627]  I think the precedent's been firmly established by the now majority that that's a tool available.
[00:04:27.767 --> 00:04:37.633]  McConnell added it's much too early to say if that'll happen, but he also said he's concerned about Sotomayor's repeated comment that ethnicity or gender leads to better decision-making.
[00:04:38.793 --> 00:04:45.914]  A New Jersey father returns home from Brazil empty-handed as this international custody battle continues to get back his son.
[00:04:46.095 --> 00:04:52.396]  David Goldman says he's worried for his son, Sean, after three court-appointed psychologists say he's under emotional stress.
[00:04:52.576 --> 00:04:55.336]  There's evidence that he is being emotionally damaged.
[00:04:55.716 --> 00:04:57.217]  He's been told that I've abandoned him.
[00:04:57.377 --> 00:05:00.157]  Goldman says he'll keep fighting to get back his nine-year-old son.
[00:05:00.337 --> 00:05:04.358]  Goldman's son has been in Brazil since his biological mother took him there on vacation in 2004.
[00:05:05.418 --> 00:05:05.778]  I'm Mark Thomas.
[00:05:05.798 --> 00:05:06.899]  This is IRN USA Radio News.
[00:05:32.193 --> 00:05:38.896]  Spicewood Springs Road in 183, and tell them... Less than a century ago, half of the American public grew much of their own food.
[00:05:39.197 --> 00:05:43.299]  Today, it's been estimated that only 1% of Americans still grow their own food.
[00:05:43.579 --> 00:05:47.821]  During the Great Depression, over 18 million people suffered from starvation.
[00:05:48.061 --> 00:05:54.367]  And as America continues down its current path, for many, the reality of another depression is a very serious concern.
[00:05:54.828 --> 00:06:02.195]  With massive layoffs and unemployment at record levels, growing your own food will help you save money that you'd normally spend at the grocery store.
[00:06:02.475 --> 00:06:08.602]  Invest in your family's future by stocking up with your very own supply of seeds available from GetSeeds.net.
[00:06:09.262 --> 00:06:16.005]  Each order includes over 14,000 non-GMO chemical-free seeds that will provide you with food for years.
[00:06:16.305 --> 00:06:19.387]  Call 877-394-6657 to get 100 varieties of our heirloom seeds for just $49.
[00:06:19.467 --> 00:06:22.168]  Once again, that's GetSeeds.net or call 877-394-6657 to establish your order.
[00:06:34.454 --> 00:06:43.340]  Prepare yourself for a talk radio experience like no other.
[00:06:44.261 --> 00:06:45.682]  He stands for truth.
[00:06:47.023 --> 00:06:49.264]  He stands for justice.
[00:06:50.245 --> 00:06:52.606]  He stands for what's right.
[00:06:52.686 --> 00:06:55.368]  This is the Alex Jones Show.
[00:06:55.989 --> 00:06:58.831]  Call Alex now, toll free at 877-590-5525.
[00:07:04.361 --> 00:07:12.126]  Now live from Austin, Texas, here's Alex Jones.
[00:07:20.651 --> 00:07:22.672]  We are being dehumanized.
[00:07:24.994 --> 00:07:26.515]  We are being enslaved.
[00:07:29.409 --> 00:07:42.353]  We are being conditioned to not care about horrible crimes being committed against our fellow humans, scientifically by design, so that when we are abused, our neighbors, our friends, our communities will stand by and let it happen.
[00:07:44.074 --> 00:07:54.997]  We are being conditioned, we are being taught that it is okay to torture and to be tortured.
[00:07:55.751 --> 00:08:06.414]  That it's okay for the government to spy on you without warrants, that it's okay for police to wear black uniforms and masks, that cameras in school rooms and on street corners are normal.
[00:08:08.714 --> 00:08:20.597]  We are going from a state of incredible liberty and freedom and dynamic creativity into a rapidly evolving situation of total despotism and enslavement.
[00:08:24.045 --> 00:08:34.030]  A lot of things happened this week that really brought into focus a lot of the research and stories I've been working on over the last 13 years.
[00:08:36.632 --> 00:08:43.976]  And more and more when I come on the radio, on the weekday show or the Sunday evening abbreviated transmission from 4 to 6 p.m.
[00:08:43.996 --> 00:08:53.361]  Central Standard Time, I realize that everything else I'm covering, all the other important news stories, like
[00:08:54.292 --> 00:08:55.353]  British and U.S.
[00:08:55.653 --> 00:08:59.154]  courts ruling that police can torture U.S.
[00:08:59.394 --> 00:08:59.954]  citizens.
[00:09:02.095 --> 00:09:04.176]  Yes, it's publicly a torture U.S.
[00:09:04.216 --> 00:09:11.099]  citizens and non-terror related, and it just is a footnote in the Buffalo newspaper, a footnote in the London Guardian.
[00:09:13.140 --> 00:09:14.781]  And I have scores of such articles.
[00:09:14.841 --> 00:09:19.923]  I have a stack of probably 30, 40 articles here in front of me, and they all pale in significance
[00:09:20.404 --> 00:09:24.067]  Towards the root of all of this, the mindset of all of this.
[00:09:27.610 --> 00:09:28.871]  And that is eugenics.
[00:09:34.075 --> 00:09:46.044]  So today, I want to go over some of the latest developments concerning the global government that's openly been announced, openly set up.
[00:09:46.710 --> 00:09:51.212]  And it's openly stated goal of carrying out forced population reduction.
[00:09:57.254 --> 00:10:12.781]  And the fact that the general public has been sold on going along with this bill of goods, and that the general public, even if you're immoral and believe that 80% of the public should be killed,
[00:10:13.607 --> 00:10:16.048]  Don't you understand you're going to be amongst that 80%?
[00:10:16.828 --> 00:10:18.049]  You're not part of the elite?
[00:10:19.930 --> 00:10:27.513]  I'm going to go over the latest news and break this down and talk about the biggest secret, which isn't really a secret anymore.
[00:10:27.633 --> 00:10:29.033]  It's now being pushed.
[00:10:29.093 --> 00:10:30.514]  It's being mainlined.
[00:10:30.534 --> 00:10:33.675]  It's being mainstreamed because they've built their world government.
[00:10:33.715 --> 00:10:40.238]  Now they're getting ready to go ahead with the end.
[00:10:40.996 --> 00:10:46.120]  They got their means, their world government, but what is the means to the end?
[00:10:47.221 --> 00:10:49.042]  They've got their system to carry this out.
[00:10:49.703 --> 00:10:50.984]  What is it they want to carry out?
[00:10:51.464 --> 00:11:07.336]  As they set up their world government and as they complete the final beta test of this and roll it out, this technocratic terror, as they launch this against humanity, what is it they're launching?
[00:11:07.356 --> 00:11:09.738]  I think that needs to be discussed instead of just
[00:11:10.322 --> 00:11:32.057]  Getting caught up in kind of that eddie pool, that groundhog day of arguing does the world government exist or is there a eugenics plan or you know these silly childlike games where it's all in thousands of white papers and even on the news but then when you criticize they play the psychological trick and say oh you're crazy that doesn't exist.
[00:11:35.440 --> 00:11:36.200]  Very very silly.
[00:11:37.701 --> 00:11:39.983]  So we'll just bypass that mindless debate
[00:11:41.258 --> 00:11:45.640]  And, uh, get right to the facts that are in our face every single day now.
[00:11:49.161 --> 00:11:50.662]  Later in the show, they can find it.
[00:11:50.682 --> 00:11:51.642]  You guys find that promo?
[00:11:54.323 --> 00:11:56.924]  I was talking about from that local, uh, Austin show.
[00:11:58.505 --> 00:12:04.047]  Because I was driving in to do my weekday show from 11 to three.
[00:12:05.768 --> 00:12:07.188]  I get ready for my radio show at home.
[00:12:07.208 --> 00:12:08.609]  Then I drive into the office at about 10 30.
[00:12:11.877 --> 00:12:16.498]  And I heard a local show, which I tune into because I'm on that station.
[00:12:16.518 --> 00:12:18.279]  We do the Sunday show out of it, NewsRadio 590.
[00:12:18.859 --> 00:12:21.080]  Kelby J. Fine, talk station, award-winning.
[00:12:21.680 --> 00:12:23.220]  And I even know both of them that do the show.
[00:12:23.280 --> 00:12:24.260]  I like the show.
[00:12:24.340 --> 00:12:27.281]  It's very entertaining, very well done.
[00:12:27.301 --> 00:12:28.322]  They're very talented.
[00:12:30.262 --> 00:12:37.484]  And more often than not now, lately when I tune in, they make little jokes about me, which I see as a friendly thing.
[00:12:37.504 --> 00:12:40.185]  I mean, they're even plugging PrisonPlanet.com.
[00:12:43.940 --> 00:12:53.164]  But in just a 15 minutes driving from home to work, I heard basically everything that frustrates me encapsulated.
[00:12:55.645 --> 00:13:00.026]  Everything that really makes me wake up with nightmares, encapsulated.
[00:13:00.086 --> 00:13:05.448]  Because I want to warn the good people of this country, and I know I'm right.
[00:13:05.608 --> 00:13:09.630]  I know I have the documents and the legislation and the history and I've done the research.
[00:13:10.202 --> 00:13:21.529]  But I also know it's so horrible what I talk about that I don't blame people for not believing me.
[00:13:22.410 --> 00:13:24.911]  Especially because I get wound up and upset about it.
[00:13:24.991 --> 00:13:26.132]  But that's a catch-22.
[00:13:26.212 --> 00:13:28.413]  You're supposed to get upset about things like this.
[00:13:30.054 --> 00:13:32.516]  So we'll play the clip when we come back and then get into the actual news.
[00:13:32.876 --> 00:13:35.037]  But this is a real-world microcosm of this.
[00:13:36.158 --> 00:13:39.400]  The Austin police continue to shoot Hispanics and blacks in the back.
[00:13:40.734 --> 00:13:54.865]  Every few months in Austin, and regardless of which side of that debate you're on, it'll be a mentally retarded black man waving a stick at the cops, and the cop shoots him 15 feet away.
[00:13:54.965 --> 00:13:56.106]  Clearly no reason to do that.
[00:13:56.126 --> 00:14:04.533]  You know, there's this excessive force, and you see the stories around the country of an autistic kid, and he won't answer the cops, so they shoot him.
[00:14:05.672 --> 00:14:08.814]  Or they taser him and they fall down and get back up and scream for mommy.
[00:14:09.115 --> 00:14:10.556]  It scares the cop, they gun him down.
[00:14:11.676 --> 00:14:16.600]  Regardless of which side of that debate you're on, that's going on here in Austin.
[00:14:17.440 --> 00:14:19.162]  Guys in the back of a car, they both get shot.
[00:14:19.462 --> 00:14:21.223]  The cops say, we thought they were going for a gun.
[00:14:21.503 --> 00:14:22.664]  There was no gun.
[00:14:23.044 --> 00:14:25.506]  But the media kind of leaves that out there and says, where's the gun?
[00:14:25.986 --> 00:14:27.287]  The media knows there's no gun.
[00:14:27.327 --> 00:14:28.588]  They know that's in the police reports.
[00:14:28.949 --> 00:14:30.029]  They know that's admitted.
[00:14:30.049 --> 00:14:32.851]  They just keep that debate going about, was there a gun?
[00:14:33.312 --> 00:14:35.253]  So they don't have to say the cops are wrong.
[00:14:37.438 --> 00:14:39.059]  Cops said we thought he was going for a gun.
[00:14:39.079 --> 00:14:39.800]  There was no gun.
[00:14:39.840 --> 00:14:41.701]  They'd be all over the news showing you the gun.
[00:14:44.683 --> 00:14:47.665]  And yeah, this guy had been arrested for drugs a month before.
[00:14:48.245 --> 00:14:51.708]  Regardless, that doesn't mean you can kill anybody who's out at night in a car.
[00:14:53.289 --> 00:14:56.551]  And if you're going to get some Blue Bell ice cream at midnight, are you going to get killed next?
[00:14:57.011 --> 00:14:57.952]  The issue here is this.
[00:14:58.552 --> 00:15:04.376]  I'm not discussing the police not having their squad car videos on.
[00:15:04.396 --> 00:15:07.318]  Of course, now they're having to admit they actually did, but they're not releasing it.
