[00:00:00.009 --> 00:00:02.750]  Go to GCNlive.com to order online now.
[00:00:05.552 --> 00:00:07.653]  Ease the T-Rex of political talk.
[00:00:07.673 --> 00:00:11.074]  Alex Jones on the GCN Radio Network.
[00:00:17.797 --> 00:00:23.560]  Alright, got some filmmakers in a cab driving down here to the studio south Austin right now.
[00:00:23.580 --> 00:00:25.721]  We'll be in studio with us about 30 minutes.
[00:00:27.739 --> 00:00:31.461]  We'll have wide open phones today as well when this hour is over.
[00:00:33.403 --> 00:00:35.164]  With a full three hours after that.
[00:00:37.265 --> 00:00:38.886]  Some of the other news here, D.O.D.
[00:00:39.967 --> 00:00:44.650]  in sale of expended metal brass to re-manufacturers.
[00:00:45.650 --> 00:00:50.333]  This is from The Shootist, one of the biggest online sites for gun owners in the Second Amendment.
[00:00:50.834 --> 00:00:52.535]  And it says, and so it begins.
[00:00:54.414 --> 00:01:00.057]  We all wondered when it was going to start, when the new administration would make their move against us gun owners.
[00:01:00.257 --> 00:01:02.438]  Oh, everybody got upset about H.R.
[00:01:02.458 --> 00:01:02.438]  45.
[00:01:02.858 --> 00:01:20.226]  I'll bet I got over 100 emails warning me about the draconian gun registration bill that had been introduced in Congress, which would make everybody get psychological testing, make you pay a yearly registration fee for each firearm, make you go through a federal shooting course, just the end of the Second Amendment, I would add.
[00:01:21.710 --> 00:01:30.418]  And every time I tune into Neocontact Radio, they say it's just a rumor that it passed in the $787 million stimulus bill.
[00:01:30.458 --> 00:01:32.120]  Well, partially true.
[00:01:32.480 --> 00:01:38.305]  They passed the psychological testing part of it through the federalization of medicine and
[00:01:40.683 --> 00:01:54.389]  Mental records, psychological records, going back even into junior high and high school for everybody, snatching all those up and paying billions, what is it, nine billion dollars to have private firms put all that data into databases for them.
[00:01:54.889 --> 00:02:05.314]  You're already hearing how police may have had post-traumatic stress at one time after a shooting, or military people suddenly are losing their peace officer license, or they can't buy firearms, it's all over the newspapers.
[00:02:05.934 --> 00:02:07.295]  So yes, they did pass
[00:02:07.955 --> 00:02:13.620]  The exact identical subsections that were in there, part of H.R.
[00:02:14.160 --> 00:02:13.620]  45.
