[00:00:00.069 --> 00:00:00.709]  Corruption.
[00:00:01.169 --> 00:00:09.712]  Alex Jones on the GCN Radio Network.
[00:00:10.412 --> 00:00:11.052]  Big Brother.
[00:00:11.712 --> 00:00:12.752]  Mainstream media.
[00:00:13.472 --> 00:00:14.573]  Government cover-ups.
[00:00:15.233 --> 00:00:16.053]  You want answers?
[00:00:16.813 --> 00:00:17.734]  Well, so does he.
[00:00:18.374 --> 00:00:22.055]  He's Alex Jones on the GCN Radio Network.
[00:00:22.555 --> 00:00:26.616]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.790 --> 00:00:28.550]  Hello, my friends.
[00:00:28.590 --> 00:00:29.151]  We are live.
[00:00:29.171 --> 00:00:31.152]  Got two hours laying out before us.
[00:00:31.172 --> 00:00:36.174]  Very important radio show lined up for you today on this ninth day of August.
[00:00:36.234 --> 00:00:37.515]  The Sunday edition.
[00:00:37.635 --> 00:00:39.236]  Ninth day of August, 2009.
[00:00:54.110 --> 00:01:11.137]  We broke the news here Friday that it was on CNN, Fox, and many other channels that a black man was beat up by Obama supporters for daring to be handing out flyers against government-run health care.
[00:01:12.737 --> 00:01:21.741]  And the national media tried to spin this on Friday and say that it was anti-health care people attacking the Obama supporters, but it was really the other way around.
[00:01:23.142 --> 00:01:23.642]  And now
[00:01:25.217 --> 00:01:39.367]  Hundreds of reports are pouring in, newspapers and TV reports and citizen journalists shooting the raw video of thugs hired by the Obama administration beating people up.
[00:01:40.308 --> 00:01:47.233]  There's also news where they're counseling senators, speeches, Congress member speeches.
[00:01:47.933 --> 00:01:52.637]  They're going into fortress mode because everywhere they go for their stage town halls,
[00:01:53.652 --> 00:01:55.153]  Their own constituents are against him.
[00:01:55.553 --> 00:01:57.733]  Remember last week we were talking about Lloyd Doggett.
[00:01:59.394 --> 00:02:02.275]  The Congressman had only mailed out mailers to his members.
[00:02:02.755 --> 00:02:04.536]  To people that were his supporters.
[00:02:05.316 --> 00:02:06.677]  Members of the Democratic Party.
[00:02:07.697 --> 00:02:10.378]  One of my employees here's wife is a Democrat.
[00:02:12.239 --> 00:02:12.679]  Registered.
[00:02:13.792 --> 00:02:17.895]  And so she got the letter in the mail.
[00:02:17.915 --> 00:02:22.718]  I remember Rob Dew mentioning, hey, Doggett's going to be giving a speech.
[00:02:22.758 --> 00:02:24.118]  You want to go ask him a question?
[00:02:24.158 --> 00:02:26.020]  I said, no, you're going out of town.
[00:02:26.100 --> 00:02:27.040]  Then I forgot about it.
[00:02:27.380 --> 00:02:33.284]  Then suddenly it was all over the television with a crowd all chanting, no, we don't want your government health care.
[00:02:33.304 --> 00:02:34.025]  And then him leaving.
[00:02:34.045 --> 00:02:37.827]  And he went on the news and said it was all staged by Republicans.
[00:02:41.029 --> 00:02:42.350]  As if the American people
[00:02:43.456 --> 00:02:45.298]  You know, don't protest, don't demonstrate.
[00:02:45.318 --> 00:02:47.840]  The media says it's dirty, it's bad to protest.
[00:02:47.920 --> 00:02:50.002]  It's dirty, it's bad to demonstrate.
[00:02:50.323 --> 00:02:52.685]  You've got to accept the cap-and-trade legislation.
[00:02:56.349 --> 00:02:58.731]  You've got to accept all of this control.
[00:02:58.771 --> 00:03:00.372]  You've got to accept government control of health care.
[00:03:00.392 --> 00:03:07.860]  And then they lie and say, it doesn't ration care, it doesn't control what doctor you can see, it doesn't do this and that when it's all in the bill.
[00:03:09.892 --> 00:03:15.735]  Just like Obama says he's not for gun control, they've introduced scores of bills to radically restrict the Second Amendment.
[00:03:19.037 --> 00:03:24.840]  And people then go read the bills and get upset, or they say, oh, we don't want National Compulsory Service when they've introduced the bills to do it.
[00:03:27.301 --> 00:03:28.662]  So all across the country,
[00:03:29.744 --> 00:03:48.398]  Republicans and Democrats are being booed off the stage, but the media will only report on the Democrats being booed off the stage to make it a left-right issue, because they know if the people ever get together, ever come together, and realize that government's bought and paid for by offshore criminal interest, it's over for the New World Order.
[00:03:53.063 --> 00:04:19.420]  We're going to be breaking this down today and this massive attack on free speech in the first amendment and brutal brown shirt nazi or soviet style commissar political police attacks on anyone that doesn't want to turn their guns in anyone that doesn't want open borders anyone that doesn't want to give up their liberties and freedoms and the big one we have been censored massively Infowars.com in fact here is the
[00:04:21.974 --> 00:04:26.255]  Headline, Obama's speech police shut down top YouTube videos.
[00:04:26.875 --> 00:04:30.796]  And they admit, YouTube admits, this is political censorship.
[00:04:32.356 --> 00:04:33.856]  This is just unprecedented.
[00:04:33.876 --> 00:04:34.777]  We're going to be going over it.
[00:04:35.577 --> 00:04:43.058]  Also, Google has shut down Sybil Edmond's blog, the FBI whistleblower, about Bin Laden working for the CIA.
[00:04:44.859 --> 00:04:47.259]  She was the person in there decoding this.
[00:04:48.879 --> 00:04:50.980]  So they've definitely got a purge going on.
[00:04:52.256 --> 00:04:57.301]  And even if you don't agree with the things I say and do, my information, you should support my right to say it.
[00:04:58.062 --> 00:04:59.183]  We're gonna break it all down.
[00:04:59.504 --> 00:05:01.486]  The crackdown on free speech, straight ahead.
[00:05:04.346 --> 00:05:05.447]  This is Alex Jones.
[00:05:05.728 --> 00:05:07.510]  Have you heard of the Millionaire Patriot?
[00:05:07.730 --> 00:05:08.371]  Well, you should.
[00:05:08.691 --> 00:05:12.956]  He has a free handgun and five days of firearms training waiting for you.
[00:05:13.196 --> 00:05:13.697]  That's right.
[00:05:13.997 --> 00:05:23.928]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:05:24.028 --> 00:05:25.170]  Plus, if you act fast,
[00:05:25.370 --> 00:05:30.994]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:05:31.334 --> 00:05:37.878]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:05:38.238 --> 00:05:43.442]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
