[00:00:00.009 --> 00:00:02.670]  That's at SuperiorLifeWater.com.
[00:00:02.870 --> 00:00:05.190]  That's SuperiorLifeWater.com.
[00:00:05.530 --> 00:00:06.691]  What's in your water?
[00:00:07.511 --> 00:00:12.552]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:00:12.912 --> 00:00:15.213]  Because there's a war on for your mind.
[00:00:31.204 --> 00:00:32.647]  All right, folks, we are back.
[00:00:32.887 --> 00:00:43.146]  And before we go to author and activist Peter Dale Scott, I just want to remind you guys to support our sponsors here in the InfoWar.
[00:00:44.813 --> 00:00:46.113]  MySolarBackup.com.
[00:00:46.193 --> 00:00:47.414]  I mean, it's really simple, folks.
[00:00:47.654 --> 00:00:49.274]  Solar energy cuts your electric bill.
[00:00:50.074 --> 00:00:51.335]  It's something we believe in here.
[00:00:51.955 --> 00:00:54.215]  MySolarBackup.com will help you get started.
[00:00:54.915 --> 00:01:04.418]  People like Jesse Ventura, who live in Mexico six months out of the year, they heat their entire home, use all their electric through solar panels.
[00:01:04.458 --> 00:01:07.458]  They only use the most minimal amount of energy, and that's what we're trying to do.
[00:01:07.478 --> 00:01:11.119]  We're trying to get independence from the power companies, from the system.
[00:01:11.179 --> 00:01:13.080]  MySolarBackup.com.
[00:01:14.020 --> 00:01:16.103]  Alright, we have a very distinguished guest.
[00:01:16.824 --> 00:01:21.749]  I was actually lucky enough to interview him while I was hosting the Alex Jones Show over the summer this year.
[00:01:22.270 --> 00:01:27.176]  He's the author of many books and his latest article is Marshall Law, The Financial Bailout and War.
[00:01:27.596 --> 00:01:28.457]  It's Peter Dale Scott.
[00:01:28.477 --> 00:01:29.378]  Thank you for joining us, sir.
[00:01:29.899 --> 00:01:30.720]  I'm glad to be back.
[00:01:31.060 --> 00:01:31.421]  Hi there.
[00:01:32.605 --> 00:01:33.786]  Well, let's just get right into it.
