[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[00:00:03.547 --> 00:00:06.330]  Alex Jones on the GCN Radio Network.
[00:00:18.675 --> 00:00:25.938]  We are live at PrisonPlanet.tv simulcasting the radio show in the television dimension, audio and visual.
[00:00:25.978 --> 00:00:26.898]  Thank you for joining us.
[00:00:27.778 --> 00:00:30.219]  Congressman Dan Hamburg has still agreed to come on with us today.
[00:00:30.239 --> 00:00:31.160]  He's a little bit under the weather.
[00:00:31.540 --> 00:00:35.521]  So we're just going to do about 20-30 minutes with him and then go back to your phone calls and cover all the news.
[00:00:35.541 --> 00:00:36.662]  The reason I wanted to have him on
[00:00:37.282 --> 00:00:56.496]  Is that he wrote some big op-ed pieces and publications, like the San Francisco Chronicle, detailing PDD 51, the FEMA camps, his analysis was dead on, right in line with ours, and he was worried that this whole apparatus would be passed on after Bush left, because let's face it, presidents have become ceremonial to a great extent.
[00:00:57.236 --> 00:01:00.338]  Whereas I would love to believe Obama really was going to fix things.
[00:01:00.378 --> 00:01:00.939]  I have children.
[00:01:00.959 --> 00:01:09.845]  Whereas I would really love to believe that everything was okay and get happy about equality in our first black president, I'm not here to be suckered or be conned.
[00:01:10.205 --> 00:01:14.448]  And I know that he's bringing in the worst of the Clinton people, the worst of the Bush people are staying on.
[00:01:15.869 --> 00:01:25.016]  The banker bailout bill gave immunity to the bankers, $8.5 trillion has been stolen according to multiple publications, Bloomberg, AP, San Francisco Chronicle.
[00:01:26.517 --> 00:01:28.759]  And it's been eight weeks since we learned the new numbers.
[00:01:28.799 --> 00:01:35.124]  That was in the first month and a half they stole over a trillion three hundred billion.
[00:01:35.144 --> 00:01:36.945]  Hard to get your mind around numbers that big.
[00:01:38.006 --> 00:01:43.270]  And now they're setting up an open world bank run by the bankers, so the ones that engineered all this.
[00:01:43.370 --> 00:01:44.872]  Obama is run by Wall Street.
[00:01:45.112 --> 00:01:47.914]  I mean, I said you can't vote for McCain, you can't vote for Obama.
[00:01:48.634 --> 00:01:51.297]  But I agree with Dr. Paul Craig Roberts, who was a big Reaganite,
[00:01:52.011 --> 00:01:58.439]  That he said he was voting for Obama, and I couldn't say he was bad, because he said, I have to repudiate George Bush.
[00:01:58.939 --> 00:02:04.225]  The torture, the secret arrest, the police state, the lying about wars, the lying about WMD.
[00:02:04.326 --> 00:02:05.747]  So he said, I'm voting for Obama, and I said, well...
[00:02:06.792 --> 00:02:07.934]  He's ended up being just as bad.
[00:02:07.954 --> 00:02:10.618]  And Robert said, well probably so, but it's a message to the world.
[00:02:10.999 --> 00:02:13.222]  But I said, well what about after Obama gets in and it all continues?
[00:02:13.242 --> 00:02:14.484]  He goes, well that remains to be seen.
[00:02:14.945 --> 00:02:19.652]  He was on a few weeks ago and he said, Alex, even before he was inaugurated, or right after, he said, I think you were right.
[00:02:20.073 --> 00:02:21.675]  Looks like it's just as bad or worse.
[00:02:22.256 --> 00:02:25.738]  Because now the people are suckered by the slickness, the intelligence.
[00:02:26.258 --> 00:02:30.461]  I mean, Bush was insulting, up there bumbling and stuttering and making up words.
[00:02:31.061 --> 00:02:38.345]  Obama, you know, he comes across as genuine, he's cool, he wears his hat backwards and, you know, does the hang ten, you know, surfing stuff.
[00:02:38.605 --> 00:02:39.786]  He's slick, he's cool!
[00:02:41.447 --> 00:02:44.268]  Well, so are a lot of other psychopaths, silver-tongued.
[00:02:46.121 --> 00:02:47.622]  That's why I'm making the Obama deception.
[00:02:48.302 --> 00:02:54.225]  But, Congressman Hamburger, I wanted to get you on to go over all of this, and welcome to the show.
[00:02:54.785 --> 00:02:55.746]  Well, thank you, Alex.
[00:02:56.006 --> 00:02:59.748]  And, you know, I'm a big fan of Paul Craig Roberts.
[00:02:59.988 --> 00:03:06.131]  I try to read everything that I see that comes out on the net that he writes.
[00:03:06.751 --> 00:03:13.634]  And I have to say that I mostly share your perception.
[00:03:13.735 --> 00:03:14.555]  I don't think Obama
[00:03:15.342 --> 00:03:23.168]  He's a psychopath, but I'd sure like to know what he was doing when he went to work for Business International Corporation after he left Columbia.
[00:03:23.768 --> 00:03:27.591]  Because there's still something about Barack Obama.
[00:03:28.632 --> 00:03:40.921]  And you know, I hate to be a naysayer, because so many of my friends and even colleagues and people I respect are riding this Obama wave.
[00:03:41.041 --> 00:03:43.543]  And I don't want to be the skunk at the garden party.
[00:03:44.284 --> 00:03:50.268]  But at the same time, you know, you look at so many things that are going on.
[00:03:50.348 --> 00:04:02.916]  As you mentioned, the retreads from Clinton, the retreads from Bush, the way this economic crisis is being handled, which seems more like a heist than a stimulus.
[00:04:03.777 --> 00:04:09.620]  When you look at the continuation of the Extraordinary Rendition Program, you look at the continuation
[00:04:11.576 --> 00:04:14.458]  Of camps that, you know, Guantanamo closed it in a year.
[00:04:14.958 --> 00:04:17.880]  Well, you know, I think they ought to close it in 24 hours.
[00:04:17.900 --> 00:04:19.360]  I don't know why it takes a year.
[00:04:20.481 --> 00:04:22.002]  You know, it didn't take a year to open it.
[00:04:22.202 --> 00:04:23.442]  It shouldn't take a year to close it.
[00:04:23.823 --> 00:04:29.205]  But putting that aside, Bagram Air Force Base, you know, they're doing the same thing there.
[00:04:29.245 --> 00:04:30.506]  They're doing it in Guantanamo.
[00:04:32.107 --> 00:04:34.148]  They're doing the same thing at U.S.
[00:04:34.208 --> 00:04:38.770]  military bases in Iraq, which seem to me to still be
[00:04:40.988 --> 00:04:47.553]  Not enduring bases, as they used to call them, but permanent military installations as part of the American Empire.
[00:04:48.333 --> 00:05:01.683]  And as I heard pointed out in the media last week, Barack Obama is now in charge of the biggest military machine in the history of the planet, by far.
[00:05:01.823 --> 00:05:06.487]  He is now the one who has responsibility for the American Empire.
[00:05:07.114 --> 00:05:20.366]  And he better start acting like he understands the undemocratic and profoundly negative aspect of that.
[00:05:20.466 --> 00:05:34.078]  And he doesn't really seem to have any understanding that he is now the ruler of an empire, he is now the ruler of a country that supplies more arms around the world than
[00:05:34.676 --> 00:05:39.377]  than any other country on the face of the Earth and in the history of the planet Earth.
[00:05:40.337 --> 00:05:52.040]  And, you know, I think this is going to be a pretty limp-wristed administration, if what we've seen so far is an indication of what's to come.
[00:05:52.460 --> 00:05:56.281]  Well, Congressman, I want you to, but let me throw in some points here.
[00:05:58.860 --> 00:06:08.168]  If you look at what Barack Obama's really doing, he's a slick pitchman, but a military industrial complex owned by offshore banks that big isn't going to let him get in.
[00:06:08.648 --> 00:06:11.931]  Isn't going to give him more money than any presidential candidate was ever given.
[00:06:12.251 --> 00:06:18.296]  Four or five times, depending on which numbers you look at, in Wall Street money than John McCain got.
[00:06:18.536 --> 00:06:22.840]  His administration filled with the very bankers that have engineered this collapse.
[00:06:23.340 --> 00:06:28.857]  And they're now amassing more power, terrorizing people saying, give us unlimited power or there'll be a depression.
[00:06:30.662 --> 00:06:32.924]  In hindsight, it's doing Obama a favor.
[00:06:33.505 --> 00:06:37.688]  And that's the approach I have in the Obama deception of going, look, forget this guy.
[00:06:38.269 --> 00:06:39.950]  Look at who's in control.
[00:06:40.050 --> 00:06:41.712]  That's who we need to blame.
[00:06:41.952 --> 00:06:45.755]  If we always get distracted, and I did this, I pointed out Bush was a distraction.
[00:06:45.775 --> 00:06:46.596]  He was evil and horrible.
[00:06:46.616 --> 00:06:47.537]  He should be brought to justice.
[00:06:47.857 --> 00:06:49.798]  But still, what about those pulling his strings?
[00:06:50.019 --> 00:06:50.819]  What about his handlers?
[00:06:50.839 --> 00:06:58.246]  Let's look past Barack Obama and George Bush and look at the real power structure, and it's the very same people now filling the ranks.
[00:06:59.106 --> 00:07:03.590]  So comment on that, A. And then, B, on the rendition, the kidnapping.
[00:07:04.350 --> 00:07:15.099]  It says, under executive orders issued by Obama recently, the CIA still has the authority to carry out what are known as renditions, secret abductions and transfers of prisoners to countries that cooperate with the United States.
[00:07:15.139 --> 00:07:16.099]  So it's a bait-and-switch.
[00:07:16.740 --> 00:07:23.385]  I mean, I've been reading what the legal scholars are saying, even liberals, who are kind of halfway wanting to, well, they're going to take them to secret camps.
[00:07:24.105 --> 00:07:24.346]  So, A,
[00:07:26.385 --> 00:07:28.586]  Everything's being put on Obama, and I believe it's going to be a trap.
[00:07:28.606 --> 00:07:32.388]  They're going to destroy him in the end, after he's served his usefulness politically.
[00:07:32.908 --> 00:07:37.491]  And then B, still allowing the abductions and taking them to secret client countries?
[00:07:38.751 --> 00:07:40.852]  Well, you know, it's way beyond creepy.
[00:07:41.673 --> 00:07:53.799]  And, you know, when you hear the justification from it in the mainstream press, led by the New York Times and the Washington Post, you know, the justification is, well, we have to
[00:07:54.304 --> 00:07:58.667]  Keep these tools in our national tool bag for fighting terrorism.
[00:07:59.447 --> 00:08:07.253]  Well, you know, even people like Chris Matthews on MSNBC are starting to understand that you don't fight a war on terrorism.
