[00:00:00.149 --> 00:00:00.930]  We're good to go.
[00:00:32.673 --> 00:00:38.981]  Paul Dornanew, joining us from Europe, who was at Bilderberg 2009.
[00:00:40.583 --> 00:00:45.209]  He shot some of the great video of the secret police following a cameraman.
[00:00:46.411 --> 00:00:54.655]  When reporters at the 2007 Bilderberg Group meeting in Istanbul, Turkey, he got detained, saw many others arrested.
[00:00:55.455 --> 00:00:58.257]  He'll give us the latest on what happened over the weekend.
[00:00:58.757 --> 00:01:02.119]  And tomorrow we're going to have Charlie Skelton on who was detained again.
[00:01:03.752 --> 00:01:09.659]  Got in a physical altercation, got roughed up by these people, and was basically driven from the country, so that's coming up.
[00:01:10.019 --> 00:01:21.051]  Then next hour, I'm going to have Aaron Dykes in studio, David Gergen and others, Republicans as well, are involved in this AmeriCorps citizen army, and put up on screen
[00:01:21.852 --> 00:01:42.442]  The image of the uniform, it is a red and black, it's a red uniform trimmed in black with fascistic khaki brown shirts, and they're marching and doing military drills in this video, hundreds and hundreds of them, and they have tens of thousands nationwide, they want millions, and they say, this is our uniform, this is what we wear.
[00:01:43.103 --> 00:01:47.005]  And they admit it is with Homeland Security and they are spies.
[00:01:47.995 --> 00:01:48.195]  That's
[00:02:03.194 --> 00:02:13.236]  The legislation that Rahm Emanuel swore to introduce, we have the video posted right there so you can see it, and this will allow them secretly to ban any gun ownership they want, and then you can't challenge it.
[00:02:13.516 --> 00:02:15.356]  There's no court, you don't even know why you're on it.
[00:02:15.656 --> 00:02:18.597]  I mean, this is the hallmark, the bedrock of tyranny.
[00:02:19.097 --> 00:02:29.939]  So a detailed report on how that ties into the Cyber Bullying Act, restrict free speech, how it ties in to worldwide, how you'll have these tracking lists and not be able to travel, have a job, you name it, in the future.
[00:02:30.279 --> 00:02:32.199]  Before we go to Paul Dornanoo,
[00:02:33.519 --> 00:02:37.101]  Joining us, I don't know if he's gotten out of Greece yet, I know he started driving out today.
[00:02:37.542 --> 00:03:00.676]  Before we go back to, or go to our guest for the first time, I do want to take a few minutes out here as we start the simulcast at PrisonPlanet.tv to just remind listeners that this radio show and the TV show and everything we do here is not inexpensive.
[00:03:01.892 --> 00:03:09.679]  And we're able to continue what we do and able to expand our key fight, the tip of the spear against the New World Order, who can deny we're at the tip of the spear, through your financial support.
[00:03:09.699 --> 00:03:19.287]  We're going to have a money bomb June 11th, and I would ask folks, we have, you know, once a year, this is the second annual money bomb, to expand the TV studios, to buy more cameras and computers.
[00:03:19.647 --> 00:03:21.569]  That sounds like a lot of money to try to raise $250,000.
[00:03:21.629 --> 00:03:26.253]  That is, that would be two cameras in a real studio.
[00:03:27.887 --> 00:03:34.612]  Okay, well we're talking about three or four cameras, a whole studio, more space, the equipment, one or two employees for the year.
[00:03:35.493 --> 00:03:44.099]  We need this money, so if you want to go ahead and donate at InfoWars.com, there's big banners to the money bomb, and we haven't added the new donations the last week.
[00:03:44.119 --> 00:03:44.779]  We'll do that.
[00:03:45.360 --> 00:03:50.924]  It's over $15,000 just a few days into it, and then we're going to try to really have a lot of giving on the day of June 11th.
[00:03:53.098 --> 00:04:01.123]  And so that's coming up June 11th, but please check out InfoWarsMoneyBomb.com or link through the banner at InfoWars.com today.
[00:04:01.483 --> 00:04:08.608]  Also, PrisonPlanet.tv members out there, you make this show possible.
[00:04:08.668 --> 00:04:14.592]  You make the simulcast, the TV production possible, the crew in there, and what we do.
[00:04:14.712 --> 00:04:16.953]  And you get all of my films in super high quality.
[00:04:17.314 --> 00:04:22.257]  We're going to release this presentation with Aaron Russo's last video interview that we did.
[00:04:23.615 --> 00:04:29.842]  And it has some added parts, the interview never before seen, and some behind-the-scenes interviews we did with him at a restaurant we went to.
[00:04:29.862 --> 00:04:36.009]  And also, I update the presentation with the latest video and information.
[00:04:37.619 --> 00:04:44.585]  And update the latest developments in the United States and the end the Fed movement that Aaron was instrumental in starting.
[00:04:45.226 --> 00:04:47.848]  So we commend him and Restore the Republic and everybody.
[00:04:48.489 --> 00:04:51.191]  So again, ladies and gentlemen, this presentation needs to be seen.
[00:04:51.211 --> 00:04:52.592]  It'll be shipping June 3rd.
[00:04:52.612 --> 00:04:54.994]  It's being mass-produced right now.
