[00:00:03.283 --> 00:00:05.184]  Waging war on corruption.
[00:00:05.685 --> 00:00:08.527]  Alex Jones on the GCN Radio Network.
[00:00:14.952 --> 00:00:15.592]  Big Brother.
[00:00:16.253 --> 00:00:17.313]  Mainstream media.
[00:00:18.034 --> 00:00:19.175]  Government cover-ups.
[00:00:19.775 --> 00:00:20.616]  You want answers?
[00:00:21.356 --> 00:00:22.377]  Well, so does he.
[00:00:22.918 --> 00:00:26.580]  He's Alex Jones on the GCN Radio Network.
[00:00:27.101 --> 00:00:31.184]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.031 --> 00:00:35.475]  It is Monday, the 8th day of June 2009.
[00:00:35.515 --> 00:00:44.667]  We are now simulcasting the final three hours of the four-hour radio show live at PrisonPlanet.TV.
[00:00:45.268 --> 00:00:46.069]  Thank you for joining us.
[00:00:46.209 --> 00:00:46.850]  We have former...
[00:00:47.711 --> 00:00:53.335]  Federal Treasury agent, armed agent assigned to the IRS, Joe Bannister joining us in studio.
[00:00:53.775 --> 00:00:57.998]  There's also a quote, governmentally funded New World Order conference going on in Canada.
[00:00:58.018 --> 00:00:59.859]  We're going to get a ten minute report on that later.
[00:01:00.440 --> 00:01:14.529]  And one of the PrisonPlanet.com forum moderators, JT Coyote, named Jack Travis, great guy, no criminal record, Native American, he got SWAT teamed because the
[00:01:18.041 --> 00:01:21.442]  Century 21 Realtors saw reloading in his house.
[00:01:22.243 --> 00:01:31.086]  And they watch the sitcoms and see the dramas on TV and reloading supplies and firearms, that's listed in the police report, is evidence of a meth lab.
[00:01:31.446 --> 00:01:32.707]  It's evidence of crime.
[00:01:32.947 --> 00:01:41.930]  That's why all the shows are based in New York, all the dramas, the fiction shows are based in New York or Chicago, and the cops pull somebody over and find a gun and go, you're going to jail for this gun.
[00:01:42.291 --> 00:01:44.271]  People then watch that in Colorado and Texas.
[00:01:44.351 --> 00:01:45.592]  I had it happen to me with carpet cleaners.
[00:01:46.343 --> 00:01:49.584]  But I had a bad feeling and called the carpet place and he said, well, he tried to call the cops.
[00:01:49.984 --> 00:01:52.765]  Yes, we tried to explain to our cleaner that guns are legal in Texas.
[00:01:53.866 --> 00:01:56.467]  But there had been a whole debate about whether to call the cops on me or not.
[00:01:57.327 --> 00:01:59.108]  So, I'm telling you, this is dangerous.
[00:01:59.908 --> 00:02:07.051]  Somebody needs to start a company like plumbing and carpet cleaning and stuff that advertises, we don't spy on you when we're in your house.
[00:02:07.471 --> 00:02:09.311]  See, cops gotta get a warrant to go in your house.
[00:02:09.691 --> 00:02:10.912]  But not all these repair people.
[00:02:11.903 --> 00:02:13.524]  And you can watch them when they're in your house, man.
[00:02:13.544 --> 00:02:15.846]  They're just, they're looking, they're all getting a little cut off that.
[00:02:16.487 --> 00:02:21.651]  And I know a bunch of old ladies in Austin, it's actually been in the news a few times, who've been raided.
[00:02:22.051 --> 00:02:25.714]  But I know old women who get raided for fish tanks.
[00:02:25.794 --> 00:02:28.756]  If cleaner men see fish tanks, they think it's drugs.
[00:02:29.597 --> 00:02:30.898]  With some lily pads growing.
[00:02:31.238 --> 00:02:32.979]  One lady was, she's dead now, a famous
[00:02:34.545 --> 00:02:35.686]  Scientists that studies fish.
[00:02:35.727 --> 00:02:40.572]  I forget the, I don't know, an ornithologist studies birds, a zoologist studies animals, period.
[00:02:40.632 --> 00:02:42.134]  I forget the scientific name for studying fish.
[00:02:42.755 --> 00:02:46.619]  And they saw a bunch of fish tanks in her house and, you know, they raided her.
