[00:00:00.197 --> 00:00:01.318]  The GCN Radio Network.
[00:00:07.841 --> 00:00:08.481]  Big Brother.
[00:00:09.142 --> 00:00:10.843]  Mainstream media.
[00:00:10.903 --> 00:00:12.063]  Government cover-ups.
[00:00:12.664 --> 00:00:13.484]  You want answers?
[00:00:14.244 --> 00:00:15.185]  Well, so does he.
[00:00:15.805 --> 00:00:19.467]  He's Alex Jones on the GCN Radio Network.
[00:00:19.988 --> 00:00:24.050]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.348 --> 00:00:26.849]  Yeah.
[00:00:40.242 --> 00:00:44.905]  All right, we're now simulcasting the second half of the four-hour radio show from 11 a.m.
[00:00:44.925 --> 00:00:45.365]  to 3 p.m.
[00:00:45.405 --> 00:00:48.467]  every day from 1 to 3 central standard time today.
[00:00:48.487 --> 00:00:54.931]  We're simulcasting at PrisonPlanet.tv and the guys are trying to make me laugh at the glass.
[00:00:55.371 --> 00:00:56.152]  Bring that in here.
[00:00:57.052 --> 00:01:00.134]  Jesse Ventura scheduled to come up later in the hour.
[00:01:00.555 --> 00:01:01.415]  We had him on a few weeks ago.
[00:01:01.435 --> 00:01:02.476]  We got him for a full hour.
[00:01:04.177 --> 00:01:05.338]  Thank you very much for
[00:01:07.935 --> 00:01:14.316]  Bringing this up to me during the five-minute segment when I have all this serious news to cover.
[00:01:15.036 --> 00:01:18.977]  What on earth is a $8 Jesse Ventura doll doing in here?
[00:01:20.097 --> 00:01:25.239]  Governor of Minnesota, Navy SEAL, Mayor, volunteer football coach.
[00:01:25.959 --> 00:01:31.900]  He also did national commentating for national football.
[00:01:33.160 --> 00:01:33.620]  You know that?
[00:01:35.161 --> 00:01:36.621]  This is just utterly ridiculous.
[00:01:37.669 --> 00:01:38.649]  Where did this come from?
[00:01:38.949 --> 00:01:39.809]  Why do we have this?
[00:01:39.869 --> 00:01:41.930]  This is just ridiculous.
[00:01:42.770 --> 00:01:43.210]  Who sent it?
[00:01:45.410 --> 00:01:46.271]  A fan, okay.
[00:01:47.551 --> 00:01:48.231]  Oh my God.
[00:01:49.471 --> 00:01:50.591]  This is so ridiculous.
[00:01:51.791 --> 00:01:52.492]  Oh my goodness.
[00:01:52.992 --> 00:01:53.932]  We can open it up here.
[00:01:53.972 --> 00:01:54.472]  Hold on.
[00:01:54.492 --> 00:02:03.733]  A little kid with a... Alright, I got really serious news to cover, folks.
[00:02:04.094 --> 00:02:04.654]  Oh my God.
[00:02:04.674 --> 00:02:06.614]  And I'd love to have fun around here.
[00:02:08.564 --> 00:02:10.525]  I'm not going to be mentioning that when Ventura's on with us.
[00:02:11.786 --> 00:02:13.626]  Okay, let's stop right there.
