[00:00:00.009 --> 00:00:00.409]  Congruent.
[00:00:01.349 --> 00:00:01.649]  You ready?
[00:00:01.669 --> 00:00:03.990]  We're going live right now?
[00:00:04.950 --> 00:00:05.450]  We live now?
[00:00:05.470 --> 00:00:10.411]  Alright, we're live at PrisonPlanet.tv, just started simulcasting with the syndicated radio show.
[00:00:12.572 --> 00:00:23.394]  And I was just making the point before we go to Jim Tucker from Greece, outside Athens, Bilderberg 2009, that Obama is now saying that we're going to go ahead and have indefinite detention.
[00:00:23.874 --> 00:00:24.314]  Indefinite.
[00:00:25.472 --> 00:00:30.355]  See, they sell the public on tyranny for foreigners and no rights when it's really for the American people.
[00:00:31.036 --> 00:00:32.017]  Now they've introduced the bills.
[00:00:33.240 --> 00:00:37.002]  To arrest you if you criticize somebody and they say it hurts their feelings in the Cyber Bullying Act.
[00:00:37.022 --> 00:00:44.367]  They have this other act with a no-fly list for gun owners where you can't own a gun if the government secretly puts you on like a no-fly list type system.
[00:00:44.847 --> 00:00:46.288]  I keep telling folks that's what that was for.
[00:00:46.308 --> 00:00:47.169]  Well, we'll go over it.
[00:00:47.749 --> 00:00:50.271]  But joining us now, we're about to go to break, is Jim Tucker.
[00:00:51.111 --> 00:00:54.953]  And Jim Tucker, it's good to have you here with us joining us from Greece.
[00:00:54.993 --> 00:01:00.357]  Tell us exactly where Bilderberg is meeting this year and where you are located right now.
[00:01:01.940 --> 00:01:13.285]  Well, they're meeting at the, uh, Aspire Palace Hotel, not Aspica, Aspire Palace Resort, really, uh, as they did in 1993.
[00:01:13.766 --> 00:01:18.388]  Uh, security's been stepped up heavily again this year.
[00:01:18.408 --> 00:01:19.929]  Of course, it's always heavy security.
[00:01:20.669 --> 00:01:23.730]  But this year, Bilderberg, uh, spent so much money.
[00:01:23.750 --> 00:01:27.112]  One of these places, there's a compound of three
[00:01:28.147 --> 00:01:30.028]  Thank you for listening to GCN.
[00:01:30.048 --> 00:01:32.050]  Be sure to visit GCNlive.com today.
[00:01:55.865 --> 00:01:57.426]  Hello friends, this is Alex Jones.
[00:01:57.546 --> 00:02:02.167]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:02:02.287 --> 00:02:05.048]  We need to be independent, and food and water is the key.
[00:02:05.248 --> 00:02:08.109]  You'll never have to stand in a bread line if you have your own bread.
[00:02:08.289 --> 00:02:13.011]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:02:13.231 --> 00:02:14.172]  If you simply prepare.
[00:02:14.372 --> 00:02:17.354]  No one is going to take care of your family in the final equation but you.
[00:02:17.615 --> 00:02:24.520]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:02:24.600 --> 00:02:27.723]  And they do it at almost half the cost of last year's grocery prices.
[00:02:27.883 --> 00:02:28.083]  Call 1-800-409-5633.
[00:02:28.143 --> 00:02:29.564]  Or on the web, go to efoodsdirect.com.
[00:02:33.027 --> 00:02:39.094]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:02:39.294 --> 00:02:42.878]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:02:42.898 --> 00:02:44.400]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:02:44.420 --> 00:02:45.001]  Take action today.
[00:02:45.041 --> 00:02:47.023]  The first step is getting storable food.
[00:02:58.559 --> 00:03:00.460]  Waging war on corruption.
[00:03:00.940 --> 00:03:03.801]  Alex Jones on the GCN Radio Network.
[00:03:10.344 --> 00:03:11.005]  Big Brother.
[00:03:11.645 --> 00:03:12.706]  Mainstream media.
[00:03:13.426 --> 00:03:14.526]  Government cover-ups.
[00:03:15.187 --> 00:03:15.987]  You want answers?
[00:03:16.747 --> 00:03:17.668]  Well, so does he.
[00:03:17.688 --> 00:03:21.970]  He's Alex Jones on the GCN Radio Network.
[00:03:22.510 --> 00:03:26.552]  And now, live from Austin, Texas, Alex Jones.
[00:03:29.746 --> 00:03:37.170]  Same time tomorrow, Jim Tucker of American Free Press, covering Bilderberg for 30 plus years, will be joining us.
[00:03:38.250 --> 00:03:39.971]  They narrowed it down to several hotels.
[00:03:39.991 --> 00:03:42.332]  There's army and police guarding several of them.
[00:03:42.452 --> 00:03:45.334]  A reporter got arrested.
[00:03:46.633 --> 00:03:50.596]  Well, you talk about the Guardian reporter who interviewed me yesterday, this morning.
[00:03:50.616 --> 00:03:52.237]  He was one of a large number of reporters who
[00:04:16.167 --> 00:04:23.071]  With cameras, TV-type guys mostly, who were on public land taking photographs.
[00:04:23.091 --> 00:04:27.314]  The cops came up, surrounded them, took their film away.
[00:04:28.775 --> 00:04:32.217]  Many of them were held for several minutes with drawn guns pointed at them.
[00:04:32.857 --> 00:04:34.958]  Some of them all being buried free press.
[00:04:35.358 --> 00:04:37.900]  Not this next issue you get, but the one after that one.
[00:04:38.553 --> 00:04:42.695]  So it's been very brutal security, very heavy security.
[00:04:43.135 --> 00:04:48.658]  Yet, there's a lot of reporters here who are pursuing them, and we're getting a lot of good information.
[00:04:49.158 --> 00:04:58.522]  For example, we now know that Bill O'Reilly is telling his little pet weevil, Obama, to go after U.S.
[00:04:58.843 --> 00:05:01.824]  acceptance of the International Criminal Court Treaty.
[00:05:02.384 --> 00:05:03.325]  You know the history of that.
[00:05:04.854 --> 00:05:14.178]  Uh, Bill and Mary Clinton signed off on it, but would not submit it to Congress for ratification when a tenth vote showed it failed by more than 90 votes.
[00:05:14.819 --> 00:05:21.982]  So Obama's being told to sweet-talk so many of the senators who wanted to sign off, but they were scared by the voters who objected so strongly.
[00:05:22.002 --> 00:05:29.945]  Uh, and then hoped for a more left-wing Senate elected in 2010, so that in January of 2011,
[00:05:33.137 --> 00:05:44.482]  They can pass the thing late on a Saturday evening, too late for the Sunday morning papers, too late for the morning talk shows, and assure them that America could be unaware of it.
[00:05:44.502 --> 00:05:45.542]  It will not be reported.
[00:05:46.402 --> 00:05:50.104]  You can vote for it without risking your political neck.
[00:05:51.244 --> 00:05:53.725]  Of course, we deal about other parts of the agenda in advance.
[00:05:53.765 --> 00:05:59.467]  That's the only new thing I've got right now, but we're getting a lot of good information daily.
[00:05:59.507 --> 00:06:00.548]  I'll have a lot more tomorrow.
[00:06:01.215 --> 00:06:02.976]  And a lot more before I come home on Sunday.
[00:06:03.536 --> 00:06:09.020]  And we have some people here until Monday to do some follow-up.
[00:06:11.261 --> 00:06:18.305]  And the amount of money they spent on security this year to rent a huge resort to keep it empty.
[00:06:18.325 --> 00:06:22.748]  And then the other resorts themselves, the third resort is being renovated.
[00:06:23.248 --> 00:06:25.670]  Can you imagine the big bucks they spend to say,
[00:06:26.807 --> 00:06:30.329]  Uh, we'll tell you not to fill up that resort.
[00:06:30.729 --> 00:06:31.349]  Keep it empty.
[00:06:31.749 --> 00:06:39.073]  Okay, Jim, Jim, to be clear, to be clear, uh, what are the names of the resorts and, and, and, and which one are you honing in on?
[00:06:39.133 --> 00:06:41.394]  Which one do you believe is probably the place?
[00:06:41.414 --> 00:06:51.659]  Well, I know for a fact that there's, uh, there's, uh, Nausicaa, uh, I don't know why I always have the trouble pronouncing it, uh, Nausicaa Astaire, uh, hotel.
[00:06:52.359 --> 00:06:54.000]  I know for a fact that they're there.
[00:06:55.596 --> 00:06:58.578]  Good Lord, you've never seen so many cops.
[00:06:58.638 --> 00:06:59.718]  You always see a lot of cops.
[00:07:00.299 --> 00:07:07.162]  But, uh, for blocks away, uh, my hotel is about two and a half miles away.
[00:07:07.182 --> 00:07:10.984]  Okay, so you're saying they hired other giant resort decoys, then.
[00:07:11.004 --> 00:07:12.965]  Are you saying... Not a decoy.
[00:07:12.985 --> 00:07:14.026]  Go ahead.
[00:07:15.467 --> 00:07:16.247]  It's not a decoy.
[00:07:16.267 --> 00:07:19.649]  They hired it so that they could close the main gate leading to the whole palace.
[00:07:20.949 --> 00:07:21.850]  All the palace grounds.
[00:07:21.870 --> 00:07:23.711]  So, they're still off at the, uh,
[00:07:24.478 --> 00:07:26.761]  We're good to go.
[00:07:46.227 --> 00:07:49.248]  Alright, Jim, we're going to do a few more minutes on the other side.
[00:07:49.288 --> 00:07:53.650]  I want to specifically ask you, it sounds like you're saying this, but we'll get the answer in a couple of minutes.
[00:07:54.190 --> 00:07:56.431]  Is this the most security you've ever seen for Bilderberg?
[00:07:56.551 --> 00:07:57.852]  And is Tim Geithner there?
[00:07:58.552 --> 00:08:02.574]  And Perotz, Times of London, they're all admitting it's world government.
[00:08:02.894 --> 00:08:04.955]  They have validated everything we've ever said.
[00:08:04.995 --> 00:08:05.475]  Stay with us.
[00:08:05.615 --> 00:08:14.283]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[00:08:14.343 --> 00:08:19.928]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[00:08:20.348 --> 00:08:21.990]  Deficiency in any one
[00:08:22.483 --> 00:08:22.703]  Of course!
[00:08:40.109 --> 00:08:41.489]  In the New World Order's war against humanity,
[00:09:09.927 --> 00:09:12.048]  Barack Obama is the tip of the spear.
[00:09:12.768 --> 00:09:18.110]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:09:18.630 --> 00:09:24.832]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:09:25.152 --> 00:09:26.953]  Well, Obama's already fudging.
[00:09:27.113 --> 00:09:29.494]  He's fudged since day one of this election.
[00:09:29.574 --> 00:09:39.317]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs,
[00:09:39.778 --> 00:09:40.478]  That's fascist.
[00:09:42.760 --> 00:09:44.000]  It's not about left or right.
[00:09:44.420 --> 00:09:45.821]  It's about a one world government.
[00:09:46.281 --> 00:09:52.645]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:09:53.185 --> 00:10:00.969]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:10:01.449 --> 00:10:02.610]  The Obama Deception.
[00:10:03.030 --> 00:10:04.211]  The people strike back.
[00:10:06.474 --> 00:10:11.938]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:10:11.978 --> 00:10:12.498]  and the world.
[00:10:12.758 --> 00:10:16.220]  And for the first time in their lives, they are feeling the need for preparedness.
[00:10:16.621 --> 00:10:22.864]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:10:23.125 --> 00:10:24.906]  Ready Reserve is the manufacturer.
[00:10:25.166 --> 00:10:33.111]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:10:33.371 --> 00:10:37.798]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:10:38.079 --> 00:10:43.627]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:10:43.908 --> 00:10:45.911]  Many companies do not even offer a catalog.
[00:10:46.071 --> 00:10:48.335]  We will be more than happy to send a catalog to you
[00:10:48.655 --> 00:10:49.436]  Free of charge.
[00:10:49.736 --> 00:10:52.519]  Dial 1-800-453-2202.
[00:10:52.539 --> 00:10:53.299]  1-800-453-2202.
[00:10:53.460 --> 00:10:57.924]  Or visit our website at readyreservefoods.com.
[00:10:58.204 --> 00:10:58.985]  Factory direct.
[00:10:59.185 --> 00:11:01.167]  Wholesale pricing from Ready Reserve Foods.
[00:11:01.427 --> 00:11:02.308]  Call us at 1-800-453-2202.
[00:11:02.408 --> 00:11:11.016]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:11:11.397 --> 00:11:13.659]  Because there's a war on for your mind.
[00:11:21.460 --> 00:11:23.260]  Alright, we've got about three minutes left with Jim Tucker.
[00:11:23.280 --> 00:11:24.841]  He's got to go back into a press conference.
[00:11:24.861 --> 00:11:26.101]  We pulled him away from that.
[00:11:26.141 --> 00:11:27.181]  He's surrounded by media.
[00:11:28.241 --> 00:11:33.942]  Jim, are you saying this is the most, in 30 plus years covering this, the most security you've ever seen?
[00:11:33.962 --> 00:11:35.243]  Yes.
[00:11:35.643 --> 00:11:39.843]  Okay, and... It goes for blocks and blocks up and down the road.
[00:11:40.744 --> 00:11:48.565]  And then we have a London Guardian reporter just walking on the beach sidewalk, he says, and that they run over with machine guns and throw him in a police car.
[00:11:49.813 --> 00:11:58.479]  Yes, they did, and as I said before, that's happened to a large number of media types out there yesterday and today.
[00:11:59.720 --> 00:12:01.761]  Oh, so it's naming business?
[00:12:03.563 --> 00:12:11.648]  Many of the European media guys have been grabbed and held, guns pointed at them and screamed at them.
[00:12:11.988 --> 00:12:17.032]  Their films ripped out, forced to erase their film and stuff like that.
