[00:00:00.429 --> 00:00:00.970]  Impossible.
[00:00:01.970 --> 00:00:07.014]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:00:07.374 --> 00:00:09.656]  Because there's a war on for your mind.
[00:00:16.067 --> 00:00:19.591]  Alright folks, we are live and streaming at PrisonPlanet.tv.
[00:00:19.631 --> 00:00:20.732]  It's the Alex Jones Show.
[00:00:20.792 --> 00:00:21.913]  I'm Jason Burmas sitting in.
[00:00:21.973 --> 00:00:23.554]  I do my own little show here on the network.
[00:00:23.574 --> 00:00:25.036]  It's called The Info Warrior.
[00:00:25.056 --> 00:00:26.677]  It airs from 9 to midnight.
[00:00:27.138 --> 00:00:30.982]  If you missed last night's show, I had Patrisse O'Neill on for about 90 minutes.
[00:00:31.042 --> 00:00:32.163]  He was an excellent guest.
[00:00:32.463 --> 00:00:36.167]  You can get the podcast over at TheInfoWarrior.com or you can check us out
[00:00:36.887 --> 00:00:46.438]  On the YouTube, we broadcast three hours of live TV over there, so I'll be doing five hours of TV and seven hours of radio today, really just covering all the top news.
[00:00:46.498 --> 00:00:52.826]  Really, the G20 is the biggest news in my mind, even though we have a massive shooting right outside of my hometown.
[00:00:53.146 --> 00:01:07.049]  And all this weird stuff happening in upstate New York lately from the Schenectady mayor wanting to declare martial law to this massive shooting at the American Civics Institute of people who have come to this country and legally, you know, want to become real citizens.
[00:01:07.109 --> 00:01:08.790]  I mean, people that go through the process.
[00:01:09.810 --> 00:01:11.010]  All right, we're going to take your calls.
[00:01:11.030 --> 00:01:18.272]  We're going to go to Ned, Michael, and Martin, but first I want to go to Thomas because he's in the UK and I know that's a big old phone bill.
[00:01:18.552 --> 00:01:19.232]  Thomas, what's up?
[00:01:21.613 --> 00:01:21.913]  Yes, sir.
[00:01:25.253 --> 00:01:26.013]  Thomas is he there?
[00:01:26.694 --> 00:01:28.134]  Going once, going twice.
[00:01:28.595 --> 00:01:29.035]  Yes, you there?
[00:01:29.055 --> 00:01:31.636]  Alright, let's go to Ned in Florida.
[00:01:31.676 --> 00:01:32.617]  Sorry, Thomas, I tried.
[00:01:32.637 --> 00:01:34.097]  Ned, are you on the line?
[00:01:35.898 --> 00:01:36.178]  Hello?
[00:01:36.558 --> 00:01:36.919]  Yes, sir.
[00:01:36.939 --> 00:01:38.740]  How are you doing, Jason?
[00:01:39.060 --> 00:01:39.280]  Good.
[00:01:40.200 --> 00:01:40.440]  Good.
[00:01:41.241 --> 00:01:48.624]  You guys were just talking about what people can do, besides spreading the word, waking people up.
[00:01:50.475 --> 00:02:01.024]  Do you think that it would be a good idea to write our Congress people and the Senate and let them know where we stand and that we're fully aware of the plans?
[00:02:01.865 --> 00:02:05.027]  Well, I think that it's always good to have a coordinated effort.
[00:02:05.047 --> 00:02:07.349]  It doesn't hurt to call these organizations.
[00:02:07.590 --> 00:02:09.051]  You know, you call your local Congressman.
[00:02:09.291 --> 00:02:10.532]  One of my friends is big into that.
[00:02:10.572 --> 00:02:12.194]  He's been doing it for years and letting them know.
[00:02:12.234 --> 00:02:13.475]  I mean, that is an effective way.
[00:02:13.795 --> 00:02:15.316]  But I find that if you can find a
[00:02:16.932 --> 00:02:20.415]  A common letter that you and others can write up and agree upon.
[00:02:20.835 --> 00:02:25.119]  And they get, you know, hundreds or thousands of these faxes a day signed by different people.
[00:02:25.419 --> 00:02:27.080]  I think that that's the most effective.
[00:02:27.440 --> 00:02:29.742]  But really, I mean, it's almost beyond that.
[00:02:29.782 --> 00:02:37.569]  I mean, we all know that the majority of our Congress and Senate are bought and paid for by these, you know, these lobbyists and special interest groups.
