[00:00:00.902 --> 00:00:02.822]  Waging war on corruption.
[00:00:03.282 --> 00:00:06.143]  Alex Jones on the GCN Radio Network.
[00:00:12.544 --> 00:00:13.184]  Big Brother.
[00:00:13.844 --> 00:00:14.925]  Mainstream media.
[00:00:15.605 --> 00:00:16.725]  Government cover-ups.
[00:00:17.365 --> 00:00:18.185]  You want answers?
[00:00:18.965 --> 00:00:20.445]  Well, so does he.
[00:00:20.505 --> 00:00:24.186]  He's Alex Jones on the GCN Radio Network.
[00:00:24.686 --> 00:00:28.767]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.989 --> 00:00:31.570]  All right, ladies and gentlemen, we are back.
[00:00:31.630 --> 00:00:32.550]  I'm subbing in for Alex.
[00:00:32.710 --> 00:00:37.632]  Alex will be with us in about 30 minutes to break a big story.
[00:00:39.252 --> 00:00:45.754]  I can't say what it is, but there are stories up on Prison Planet and InfoWars that are breaking right now, such as this one.
[00:00:46.215 --> 00:00:53.537]  House bypasses governor's veto to claim Oklahoma's sovereignty, although Governor Brad Henry vetoed similar legislation 10 days earlier.
[00:00:53.557 --> 00:00:57.138]  Remember, the sovereign citizen movement in this latest DHS document.
[00:00:57.459 --> 00:00:58.159]  You're a terrorist.
[00:00:58.339 --> 00:00:58.639]  Sorry.
[00:00:59.986 --> 00:01:00.630]  Uh, anyway, uh...
[00:01:01.838 --> 00:01:04.120]  Approved a resolution claiming Oklahoma's sovereignty.
[00:01:04.240 --> 00:01:12.685]  Unlike House Joint Resolution 1003, House Concurrent Resolution 1028 does not need the Governor's approval.
[00:01:13.126 --> 00:01:15.327]  The House passed the measure 73 to 22.
[00:01:15.848 --> 00:01:17.128]  It now goes to the Senate.
[00:01:17.829 --> 00:01:22.952]  We're going to get it done one way or the other, said the resolution's author, Representative Charles Key of Oklahoma City.
[00:01:23.373 --> 00:01:25.334]  And, you know, Key is actually pretty good.
[00:01:25.394 --> 00:01:29.417]  He did try to expose a lot of what was going on.
[00:01:30.507 --> 00:01:30.867]  I think?
[00:01:30.887 --> 00:01:31.107]  I think?
[00:02:01.067 --> 00:02:02.868]  So, again, I mean, there is hope out there.
[00:02:02.908 --> 00:02:05.588]  Everybody's like, oh, you guys never offer any solutions.
[00:02:05.788 --> 00:02:07.109]  Oh, you are keeping us in the box.
[00:02:07.129 --> 00:02:08.449]  Look, we're telling you, get out there.
[00:02:09.049 --> 00:02:12.150]  State sovereignty is, you know, one step in the right direction.
[00:02:12.530 --> 00:02:14.770]  Oath keepers is a step in the right direction.
[00:02:15.210 --> 00:02:18.231]  Starting a chapter of We Are Change is a step in the right direction.
[00:02:18.431 --> 00:02:20.632]  We can have a great effect if we want to.
[00:02:21.692 --> 00:02:26.853]  If we want to not just sit back and be armchair quarterbacks and argue about minutiae.
[00:02:28.769 --> 00:02:30.250]  We can make it big, folks.
[00:02:30.550 --> 00:02:31.550]  We can go big time.
