[00:00:00.349 --> 00:00:01.710]  War on Corruption.
[00:00:02.191 --> 00:00:05.093]  Alex Jones on the GCN Radio Network.
[00:00:11.517 --> 00:00:12.158]  Big Brother.
[00:00:12.818 --> 00:00:13.899]  Mainstream media.
[00:00:14.579 --> 00:00:15.680]  Government cover-ups.
[00:00:16.341 --> 00:00:17.161]  You want answers?
[00:00:17.922 --> 00:00:18.822]  Well, so does he.
[00:00:18.842 --> 00:00:23.246]  He's Alex Jones on the GCN Radio Network.
[00:00:23.666 --> 00:00:27.729]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.111 --> 00:00:34.234]  Okay, we are simulcasting the second half of the syndicated radio show.
[00:00:34.614 --> 00:00:36.976]  I'm here live Monday through Friday from 11 a.m.
[00:00:37.136 --> 00:00:37.756]  to 3 p.m.
[00:00:38.237 --> 00:00:39.137]  Central Standard Time.
[00:00:39.157 --> 00:00:40.518]  It's 12 noon to 4 p.m.
[00:00:40.958 --> 00:00:41.539]  weekdays.
[00:00:42.539 --> 00:00:44.841]  And we simulcast at least the last two hours.
[00:00:44.881 --> 00:00:45.842]  Some days we do the whole show.
[00:00:46.642 --> 00:00:53.667]  Simulcasting in living color, the radio show turns into a slash TV show at PrisonPlanet.tv.
[00:00:54.007 --> 00:00:58.050]  I want to thank all the PrisonPlanet.tv supporters out there that are members.
[00:00:59.511 --> 00:01:02.633]  And all the listeners listening, of course, on the radio as well.
[00:01:02.653 --> 00:01:06.556]  We're going to take a few calls, finish up with Sherry and others.
[00:01:06.896 --> 00:01:08.237]  Phil Berg is coming up.
[00:01:08.897 --> 00:01:15.902]  I haven't in months covered the birther issue, his birth certificate, because I wanted to sit back and really study it first.
[00:01:17.323 --> 00:01:18.864]  And I've been studying it now for a year.
[00:01:20.465 --> 00:01:22.847]  And I can say that where there's smoke, there's fire.
[00:01:23.737 --> 00:01:30.903]  They're covering up, they're hiding something, and I can say that with pretty much certainty now, it looks like he probably was born in Kenya.
[00:01:32.461 --> 00:01:54.054]  and uh... this is becoming a major issue and so now we're gonna tackle and the new obama film also gets into it some i want to make a film is on all the other bad stuff he's doing because they always say no one will attack israel policies that's totally made up we do go over the policies in the in the deceit in the corruption uh... but uh... filbert's coming up sherry in texas
[00:01:55.382 --> 00:02:06.588]  Was talking about the squalene and other chemicals they put in vaccines, not just the mercury or aluminum, that cause the autoimmune disease and that cause the body to attack itself.
[00:02:07.329 --> 00:02:12.091]  And how suddenly out of the blue, tens of millions of Americans are getting these autoimmune diseases.
[00:02:12.612 --> 00:02:20.056]  And I remember during the approval, during the trials of Gardasil, the human papillomavirus, live cancer virus vaccine,
[00:02:21.923 --> 00:02:25.225]  Why were they pushing this national vaccine for something that kills 3,000 people a year?
[00:02:25.505 --> 00:02:26.725]  That's not that many for cancer.
[00:02:27.025 --> 00:02:27.746]  Way down the list.
[00:02:28.166 --> 00:02:29.326]  Very easily treatable.
[00:02:30.447 --> 00:02:32.168]  The vaccine itself didn't protect.
[00:02:32.268 --> 00:02:34.689]  They admitted against most strains of the virus.
[00:02:35.109 --> 00:02:41.252]  So it made no sense until you realize that Merck's cold-blooded eugenicist, with all the other stuff they do.
[00:02:42.132 --> 00:02:50.736]  And then these women were taking it and they were bleeding out of all their orifices and getting these red rashes and having an autoimmune disease where the body just attacks itself.
[00:02:51.670 --> 00:02:55.693]  And then after your body kind of burns out, then you don't have any immune system left.
[00:02:55.793 --> 00:03:01.678]  First it goes crazy, then you... And they're in wheelchairs, and they're dying, and... I keep talking about this.
[00:03:01.918 --> 00:03:04.000]  You know, Google for folks right now on screen, guys.
[00:03:04.520 --> 00:03:07.463]  Gardasil deaths, or Gardasil autoimmune.
[00:03:07.483 --> 00:03:08.824]  I mean, they know it does this.
[00:03:09.664 --> 00:03:12.106]  But the drug company got government immunity.
[00:03:13.287 --> 00:03:16.110]  And so this lady Sherry was bringing up, for people that just joined us,
[00:03:17.190 --> 00:03:24.653]  She's been doing her own research, which we talked about, with what these immune activators, like squalene and others, do.
[00:03:24.833 --> 00:03:26.154]  Tell folks more about it in closing.
[00:03:27.094 --> 00:03:40.300]  Well, basically, they're antigen sparing, which means that they claim that this is wonderful because we get to reduce the amount of vaccine that we need for the dose.
[00:03:43.206 --> 00:03:46.867]  What they really mean by antigen sparing is they're putting an adjuvant in there.
[00:03:46.887 --> 00:03:53.210]  Yeah, it turns your immune system way up so it recognizes the tiny amount of cancer virus they put in you.
[00:03:53.910 --> 00:03:54.430]  Exactly.
[00:03:54.530 --> 00:04:03.213]  They say a more robust response and words like that.
[00:04:03.233 --> 00:04:10.616]  That's kind of creepy, but they like to make things that are horrible sound good.
[00:04:11.944 --> 00:04:28.358]  They say their strategic goal is to expand the supply of pre-pandemic and pandemic influenza vaccines, but their specific aim is to determine whether the antigens can be used safely and effectively with adjuvants.
[00:04:29.039 --> 00:04:32.662]  They specifically mention the adjuvants, and they've never been approved in the United States.
[00:04:33.283 --> 00:04:35.585]  The squalene has never been approved.
[00:04:39.261 --> 00:04:40.262]  You know, that's pretty scary.
[00:04:40.282 --> 00:04:47.966]  It's never been approved, but... But they've been given, they've been given FDA waivers under the pandemic emergency to put it in there.
[00:04:48.706 --> 00:04:52.589]  Yeah, that's like giving someone immunity for murder, premeditatedly.
[00:04:52.809 --> 00:04:53.969]  These are eugenicists.
[00:04:54.009 --> 00:04:54.910]  Great points, Sherry.
[00:04:54.950 --> 00:04:59.112]  Glad you checked out the info for yourself and found out it was far worse than I was even saying.
[00:04:59.132 --> 00:05:01.153]  It always is, folks.
[00:05:01.253 --> 00:05:02.814]  I don't have words to describe it.
[00:05:03.235 --> 00:05:04.435]  One has to see The Matrix.
[00:05:04.535 --> 00:05:05.496]  One can't be told about it.
[00:05:06.749 --> 00:05:10.732]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:05:10.993 --> 00:05:12.774]  Do you really know what's in your tap water?
[00:05:12.994 --> 00:05:21.281]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:05:21.522 --> 00:05:26.746]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:05:27.066 --> 00:05:28.688]  Now what are you going to do about it?
[00:05:28.928 --> 00:05:35.250]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:05:35.430 --> 00:05:46.194]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[00:05:46.475 --> 00:05:46.995]  That's right.
[00:05:47.255 --> 00:05:49.556]  Clean water, right from the air you breathe.
[00:05:49.816 --> 00:05:51.396]  Order today by calling 1-800-691-8255.
[00:05:53.337 --> 00:05:53.998]  We're good to go.
[00:06:06.667 --> 00:06:07.768]  This is Alex Jones.
[00:06:08.049 --> 00:06:09.831]  Have you heard of the Millionaire Patriot?
[00:06:10.051 --> 00:06:10.672]  Well, you should.
[00:06:10.692 --> 00:06:15.277]  He has a free handgun and five days of firearms training waiting for you.
[00:06:15.517 --> 00:06:16.018]  That's right.
[00:06:16.318 --> 00:06:24.768]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:06:24.988 --> 00:06:26.229]  All for pennies on the dollar.
[00:06:26.349 --> 00:06:27.491]  Plus, if you act fast.
[00:06:27.691 --> 00:06:33.315]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:06:33.675 --> 00:06:40.199]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:06:40.559 --> 00:06:45.783]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:06:46.083 --> 00:06:47.224]  This is real.
[00:06:47.544 --> 00:06:48.284]  Don't miss out.
[00:06:48.604 --> 00:06:55.469]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:06:55.709 --> 00:06:56.971]  And get your free handgun.
[00:06:57.151 --> 00:06:59.334]  Go to FrontSight.com today.
[00:06:59.514 --> 00:07:03.018]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:07:03.219 --> 00:07:06.142]  Go to FrontSight.com for your training and free gun.
[00:07:06.906 --> 00:07:11.909]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:07:12.129 --> 00:07:15.931]  Number one, new climate legislation could easily double or triple your electric bill.
[00:07:16.151 --> 00:07:21.755]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:07:22.055 --> 00:07:26.917]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:07:27.118 --> 00:07:27.618]  Number three,
[00:07:28.018 --> 00:07:33.461]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:07:34.321 --> 00:07:36.962]  The hurricane and dangerous summer storm season is here again.
[00:07:37.222 --> 00:07:41.424]  Every year, thousands of families lose their power from weather-related outages.
[00:07:41.744 --> 00:07:45.346]  A solar power generator provides powerful backup insurance and peace of mind.
[00:07:45.586 --> 00:07:51.069]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:07:51.309 --> 00:07:55.872]  You can get more information at www.mysolarbackup.com.
[00:07:56.012 --> 00:07:57.553]  That's mysolarbackup.com.
[00:07:57.793 --> 00:08:00.134]  Remember, the government doesn't own the sun yet.
[00:08:00.355 --> 00:08:03.176]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:08:03.196 --> 00:08:13.102]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:20.876 --> 00:08:35.090]  Phil J. Berg has fired the first attorney who's filed suit against Barack H. Obama, challenging Senator Obama's lack of constitutional qualifications and eligibility to serve as President of the United States and his cases that are still pending in federal court.
[00:08:35.210 --> 00:08:38.253]  Berg v. Obama, 3rd Circuit Court of Appeals, number 08-4340.
[00:08:38.273 --> 00:08:38.494]  Berg,
[00:08:42.197 --> 00:08:44.699]  As Realtor versus Obama, U.S.
[00:08:44.739 --> 00:08:49.461]  District Court, the District of Columbia, number 08-CV.01933, obamacrimes.com is his site.
[00:08:49.481 --> 00:08:50.362]  You know, I really respect
[00:08:57.748 --> 00:08:58.308]  Phil Berg.
