[00:00:00.089 --> 00:00:01.010]  Punch it!
[00:00:07.855 --> 00:00:12.459]  Hey now, Hans Briggs brought us all the car!
[00:00:13.500 --> 00:00:14.561]  Hans Briggs?
[00:00:14.941 --> 00:00:15.842]  Oh no!
[00:00:17.963 --> 00:00:18.444]  Oh, hello!
[00:00:18.464 --> 00:00:19.765]  Great to see you again, Hans!
[00:00:20.799 --> 00:00:26.722]  Mr. Earle, I was supposed to be allowed to inspect your palace today, and your guards won't let me in to certain areas.
[00:00:27.442 --> 00:00:28.683]  Hans, Hans, Hans!
[00:00:28.723 --> 00:00:30.444]  We've been through this a dozen times!
[00:00:30.804 --> 00:00:34.365]  I don't have any way for you to match instruction, okay Hans?
[00:00:34.605 --> 00:00:37.507]  Then let me look around so I can ease the UN's collective mind.
[00:00:37.527 --> 00:00:40.068]  Hans, you're breaking my balls here, Hans!
[00:00:40.088 --> 00:00:41.189]  You're breaking my balls!
[00:00:41.669 --> 00:00:43.750]  I'm sorry, but the UN must be firm with you.
[00:00:44.330 --> 00:00:46.191]  Let me see your whole palace, or else!
[00:00:47.672 --> 00:00:48.412]  Or else what?
[00:00:49.875 --> 00:00:53.516]  Or else, we will be very, very angry with you.
[00:00:53.536 --> 00:00:57.417]  And we will write you a letter telling you how angry we are.
[00:00:58.617 --> 00:01:00.097]  Okay, I'll show you Hans.
[00:01:00.418 --> 00:01:00.858]  You ready?
[00:01:01.478 --> 00:01:02.478]  Stand ready to erect.
[00:01:05.419 --> 00:01:08.620]  Wait a moment.
[00:01:12.620 --> 00:01:15.681]  Good.
[00:01:15.761 --> 00:01:18.742]  Hans Blake's on now!
[00:01:20.316 --> 00:01:22.257]  Gotta have some fun here as all this happens.
[00:01:23.118 --> 00:01:24.779]  There's Han Blix, right there.
[00:01:24.979 --> 00:01:29.082]  Doing quite nicely.
[00:01:29.603 --> 00:01:33.285]  But see, the government, the media can tell you, oh, those guys over there, they're evil.
[00:01:33.526 --> 00:01:35.587]  But our governments, they're good.
[00:01:35.607 --> 00:01:39.790]  No, they're just slicker.
[00:01:43.951 --> 00:01:44.771]  And that's what's happening.
