[00:00:06.000 --> 00:00:06.441]  Watch me!
[00:00:07.321 --> 00:00:10.383]  Watch me steal everything you got!
[00:00:11.124 --> 00:00:12.665]  Yeah!
[00:00:13.285 --> 00:00:14.126]  Woo!
[00:00:14.306 --> 00:00:15.147]  Yeah!
[00:00:17.588 --> 00:00:18.429]  Ha-ha!
[00:00:18.789 --> 00:00:23.393]  Gonna take everything you got, baby, yeah!
[00:00:24.533 --> 00:00:25.574]  Ha-ha!
[00:00:26.955 --> 00:00:28.356]  Ha-ha!
[00:00:29.097 --> 00:00:31.458]  I feel good!
[00:00:32.679 --> 00:00:34.680]  Coming to America!
[00:00:35.979 --> 00:00:37.940]  I'm gonna rip ya off!
[00:00:38.040 --> 00:00:39.081]  I gotta move!
[00:00:39.701 --> 00:00:43.444]  Where the police beat up ambulance drivers for no reason.
[00:00:44.645 --> 00:00:49.488]  Where the IRS take your money and not tell you where it goes.
[00:00:49.508 --> 00:00:51.049]  Sometimes I feel so nice!
[00:00:51.689 --> 00:00:52.670]  Oh yeah!
[00:00:53.650 --> 00:00:58.133]  I'm gonna take GM, gonna give it to my friends.
[00:00:59.054 --> 00:01:02.396]  Cause I'm a gangster and cheap baby, yeah!
[00:01:07.001 --> 00:01:29.774]  And I don't need no one else Sometimes I feel so nice When we have 50 million abortions And the stupid people don't even know it's a baby These suckers is ready So let's rape them good Feeling good baby
[00:01:42.754 --> 00:01:44.595]  We're good to go.
[00:02:01.816 --> 00:02:03.297]  You like abuse, baby?
[00:02:03.337 --> 00:02:06.318]  I'm gonna give it to ya!
[00:02:06.378 --> 00:02:08.119]  You want daddy to hurt you real?
[00:02:08.159 --> 00:02:09.200]  Well, get ready!
[00:02:09.540 --> 00:02:12.741]  I'll break your nose and knock your teeth out, bitch!
[00:02:13.482 --> 00:02:19.144]  You like SWAT teams and cameras?
[00:02:19.224 --> 00:02:21.946]  You my ho now!
[00:02:24.805 --> 00:02:27.046]  It's the American bitch!
[00:02:27.286 --> 00:02:29.086]  I drag her by the hair.
[00:02:29.326 --> 00:02:33.047]  She begs me to, begs me to take it easy.
[00:02:33.587 --> 00:02:36.928]  And that's when I put cigarettes out on her eyes.
[00:02:37.528 --> 00:02:40.048]  And she thinks me old.
[00:02:40.228 --> 00:02:42.609]  She said, keep doing it baby, yeah!
