[00:00:00.069 --> 00:00:02.871]  Alex Jones on the GCN Radio Network.
[00:00:06.815 --> 00:00:08.136]  Webster Griffin Tarfully.
[00:00:08.156 --> 00:00:08.976]  We've got him for an hour.
[00:00:08.996 --> 00:00:10.618]  We have a surprise guest next hour.
[00:00:11.538 --> 00:00:12.779]  And boy, I do mean surprise.
[00:00:12.900 --> 00:00:14.381]  And that guest is only with us for 30 minutes.
[00:00:14.401 --> 00:00:17.704]  So in the last 30 minutes, I will do a focused report.
[00:00:18.304 --> 00:00:18.885]  I promise.
[00:00:20.346 --> 00:00:27.512]  On the government will hype swine flu outbreak to save Obamacare warns Dick Armey.
[00:00:28.407 --> 00:00:32.409]  We have Congressman Brown saying they're going to use it to stage martial law.
[00:00:32.829 --> 00:00:40.973]  We have the Governor's Association sending a letter to Congress and the Department of Defense saying you can't put regular army to patrol America.
[00:00:42.793 --> 00:00:47.516]  400,000 total in deposit commentatus, total military dictatorship.
[00:00:48.436 --> 00:00:52.298]  It is now actually happening here in the good old U.S.
[00:00:52.338 --> 00:00:52.538]  of A.
[00:00:54.224 --> 00:01:02.110]  So that is coming up and how that ties into all these flu vaccine deaths, Gillian Bernays disease, a bunch of others.
[00:01:02.170 --> 00:01:08.476]  It is all coming up today in the last 30 minutes after our surprise guest.
[00:01:09.637 --> 00:01:12.239]  But for the balance of this hour, Webster Griffin Tarpley is on.
[00:01:12.539 --> 00:01:13.780]  I wasn't on for two hours today.
[00:01:13.820 --> 00:01:16.002]  We had to switch our top guest.
[00:01:17.730 --> 00:01:24.194]  So, Webster will probably be back the next week with nothing but solutions, but I want him to give us a taste of those at the end of this hour.
[00:01:24.774 --> 00:01:38.562]  But right now, talking to Webster Griffin Tarpley, I wanted to go into the second front opening up, not just conservatives and anti-big government people waking up in the town hall meetings,
[00:01:39.895 --> 00:01:42.478]  And his approval ratings dropping three points last week.
