[00:00:00.189 --> 00:00:01.369]  The Alex Jones Show.
[00:00:01.749 --> 00:00:04.110]  Because there's a war on for your mind.
[00:00:04.370 --> 00:00:15.872]  We are now simulcasting for the last hour and a few minutes at PrisonPlanet.tv.
[00:00:15.912 --> 00:00:19.513]  The newly redesigned and updated PrisonPlanet.tv.
[00:00:19.533 --> 00:00:20.413]  Be sure and check it out.
[00:00:21.553 --> 00:00:23.554]  Bob Chapman is with us until the bottom of the hour.
[00:00:23.614 --> 00:00:28.415]  Then I want to play a short extra for PrisonPlanet.tv viewers.
[00:00:31.198 --> 00:00:32.879]  Listeners on the radio will be able to hear the audio.
[00:00:32.939 --> 00:00:36.721]  It's also very effective in letting you know what's happening.
[00:00:37.061 --> 00:00:46.686]  Where they're breaking Christians' arms and federal courts ruled that they are allowed, the police are allowed to torture you and break bones as part of paying compliance.
[00:00:47.627 --> 00:00:49.308]  You don't get out of a car, they can break your arm.
[00:00:50.578 --> 00:00:51.178]  To make you do it.
[00:00:51.838 --> 00:00:55.400]  You don't get, uh, you're sitting out front of an abortion clinic, they can break your arm.
[00:00:55.420 --> 00:00:57.160]  The bone can stick out.
[00:00:57.741 --> 00:01:07.824]  Now they, YouTube lets you see the fake CIA beheading videos, which have been staged, with heads being sawed off, uh, but what they don't let you see is this.
[00:01:07.844 --> 00:01:09.885]  When this gets uploaded to YouTube, it gets taken down.
[00:01:10.365 --> 00:01:12.606]  Or they say adult content, and it gets blocked.
[00:01:13.186 --> 00:01:14.247]  So that is coming up.
[00:01:14.348 --> 00:01:16.310]  And I mean, all it is is breaking Americans' arms.
[00:01:16.811 --> 00:01:19.674]  And that's on TV all the time, you know.
[00:01:19.694 --> 00:01:21.516]  7 o'clock at night it's on, during the family hour.
[00:01:22.037 --> 00:01:22.818]  But this is real.
[00:01:23.258 --> 00:01:25.481]  You're going to see arms, compound fractures.
[00:01:26.062 --> 00:01:28.585]  And the police go, right in front of cameras, hey, no big deal.
[00:01:29.005 --> 00:01:29.927]  This is torture!
[00:01:32.173 --> 00:01:35.015]  So of course what's happening in Abu Ghraib is torture as well.
[00:01:35.255 --> 00:01:53.669]  I want to blitz through these calls, but Bob, specifically, I remember you saying it would go up like it did a few years ago and then back down, and you even said in a few months I see it going down to, you know, 66, and then I see it going up to 8,000, and then I see it going back down again, and you're even doing it month to month accurately.
[00:01:54.589 --> 00:02:00.895]  When will there be the big plunge, or will they just start hyperinflating in a year, and the stock market will reflect that?
[00:02:00.935 --> 00:02:05.519]  Maybe the stock market will be at, you know, not $15,000, but $100,000.
[00:02:05.899 --> 00:02:08.141]  It's just it won't be worth as much, or what's going to happen?
[00:02:09.462 --> 00:02:14.386]  Well, the market's going to go down, and we're not going to get a hypermarket.
[00:02:14.466 --> 00:02:15.767]  It just isn't going to happen.
[00:02:16.128 --> 00:02:21.032]  We'll get hyperinflation as soon as the money that was lent to the banks by the Fed
[00:02:21.530 --> 00:02:26.413]  That was then lent back and stored with the Fed is put into action.
[00:02:27.154 --> 00:02:29.956]  Now, right now, they're not using that money.
[00:02:29.976 --> 00:02:38.502]  They're keeping it on the balance sheet to ostensibly make themselves strong and receive about 1% interest for virtually doing nothing.
