[00:00:00.009 --> 00:00:00.129]  It's
[00:00:15.708 --> 00:00:18.269]  I was impressed talking to these guys yesterday when they were here.
[00:00:19.129 --> 00:00:24.910]  They're the Conspiracy Hunters, is the name of the show they're producing for Australian television.
[00:00:24.950 --> 00:00:28.651]  We also had an independent film channel here doing a profile on myself and our operation yesterday.
[00:00:28.671 --> 00:00:30.231]  So it was quite a circus, had a lot of fun.
[00:00:30.772 --> 00:00:31.872]  Went downtown last night.
[00:00:31.892 --> 00:00:32.732]  Boy, it was 6th Street Dead.
[00:00:32.752 --> 00:00:35.033]  We were down there to talk to folks about Obama and get their take on him.
[00:00:35.273 --> 00:00:39.934]  I've never seen, even there in the middle of the day, 6th Street that dead.
[00:00:40.954 --> 00:00:48.343]  But I wanted to have these guys in here to talk about what it was like to have their guns, almost all of them, confiscated and I guess single shots, highly regulated.
[00:00:48.423 --> 00:00:57.394]  Crocodile Dundee, the real guy that that movie's based on, wouldn't turn his guns in, so they came out and surrounded his house and killed him.
[00:00:57.414 --> 00:00:59.937]  I remember reading that in the NRA magazine a long time ago.
[00:01:00.838 --> 00:01:06.260]  Uh, and now they're openly saying they're going to have, quote, Chinese net-style censorship where you can only visit a few thousand sites, basically.
[00:01:06.620 --> 00:01:07.720]  Canada's now announcing that.
[00:01:07.760 --> 00:01:09.321]  So, yeah, you guys are under the crown.
[00:01:10.261 --> 00:01:15.603]  We were talking last night and you said a lot of Australians say what you need, uh, is, um,
[00:01:16.423 --> 00:01:18.064]  When a revolution like the United States happened.
[00:01:46.823 --> 00:01:50.265]  And to you guys over there, how is it now happening here in the United States?
[00:01:50.365 --> 00:01:55.887]  I want to welcome Craig Proudly and of course Sean Kaysinger here in studio with us.
[00:01:55.907 --> 00:01:56.567]  Guys, good to have you.
[00:01:58.728 --> 00:01:59.708]  Real pleasure to be here, Alex.
[00:01:59.728 --> 00:02:00.268]  Good to have you here.
[00:02:00.929 --> 00:02:08.232]  Now, Sean grew up in the States but then has lived in Australia a long time and is now getting married over there and went to school there.
[00:02:09.372 --> 00:02:14.154]  But of course, Craig, tell me about the rest of your crew that's also here.
[00:02:15.366 --> 00:02:16.207]  We're here shooting.
[00:02:16.247 --> 00:02:20.429]  We've been to Elberton, Georgia, San Jose, San Francisco.
[00:02:20.449 --> 00:02:25.292]  We've got a crew outside, so we're doing a show right across America in a very short period of time.
[00:02:27.176 --> 00:02:27.596]  Absolutely.
[00:02:27.616 --> 00:02:29.238]  Folks can see my hands waving on screens.
[00:02:29.298 --> 00:02:31.360]  I'm saying, direct the camera a little bit over there, moron.
[00:02:31.420 --> 00:02:34.702]  Anyways, got to make that point, folks.
[00:02:34.762 --> 00:02:36.304]  I think I'm doing secret codes or something.
[00:02:37.004 --> 00:02:37.645]  What is this?
[00:02:37.725 --> 00:02:38.625]  It's Masonic.
[00:02:39.266 --> 00:02:41.428]  Actually, Alex, I'll jump in there.
[00:02:42.168 --> 00:02:43.670]  I'm American, as you can hear from my voice.
[00:02:44.170 --> 00:02:46.932]  I'm actually a Texan, but I've lived in Australia for about 10 years.
[00:02:47.192 --> 00:02:48.333]  You've picked up part of the accent.
[00:02:48.353 --> 00:02:51.136]  Yeah, I know, and I've got some strange hybrid, which no one understands now.
[00:02:51.616 --> 00:02:56.961]  But the crew we brought over is all Australian, including Craig, and it's the first time they've been in America.
[00:02:57.321 --> 00:03:05.708]  So there's a real contrast between Australian culture, what they're used to in Australia, and now what they're running to in California, in Georgia, and now in Texas.
[00:03:06.809 --> 00:03:07.309]  Quite interesting.
[00:03:07.509 --> 00:03:08.170]  Absolutely.
[00:03:08.470 --> 00:03:13.134]  Let's get into the gun confiscation, the gun restriction, how you went from being just like the U.S.
[00:03:13.694 --> 00:03:20.000]  overnight to special licenses and things just to basically have a single shot, and now they're even trying to restrict those.
[00:03:20.680 --> 00:03:25.023]  Well, Australia doesn't have a Bill of Rights and we've never really had the right to bear arms.
[00:03:25.163 --> 00:03:30.306]  But the most significant case was a famous massacre with a gentleman called Martin Bryant.
[00:03:30.726 --> 00:03:46.976]  And after that incident, the Prime Minister at the time, John Howard, whose popularity was lagging, became very popular by actually going out in front of big gun lobby groups and actually calling for certain weapons such as semi-automatic weapons to be taken away from the Australian population.
[00:03:48.404 --> 00:03:50.267]  Yeah, when I arrived in Australia in 98
[00:04:02.945 --> 00:04:07.267]  It was at the very end of that, and it was very much a shift in culture that was taking place.
[00:04:07.547 --> 00:04:17.913]  I mean, I had friends who were gun collectors, gun smiths, people who lived down in the bush, did a lot of hunting, and they were all complaining that, well, you know, it's over, we're handing in our guns, it's happening right now.
[00:04:18.253 --> 00:04:24.296]  And since 98, to even be someone who talks about gun ownership, you're basically looked at as a bit of a fool.
[00:04:24.716 --> 00:04:27.297]  Well, they do that through mass mind control and peer pressure.
[00:04:28.737 --> 00:04:30.278]  But notice that was a green light for them.
[00:04:30.318 --> 00:04:33.059]  Now they're saying, eh, we're going to ban protests and say it's terrorism.
[00:04:33.079 --> 00:04:35.519]  We're going to go ahead and restrict the web.
[00:04:36.060 --> 00:04:37.580]  And then now they're grabbing property.
[00:04:37.640 --> 00:04:39.061]  I mean, from what I've read, you live there.
[00:04:39.101 --> 00:04:40.081]  The government's just going wild.
[00:04:41.004 --> 00:04:48.310]  Yeah, I mean, if anyone wants to find out about the actual massacre, if they actually Google the name Martin Bryant and conspiracy... Clearly staged!
[00:04:48.591 --> 00:05:02.463]  There's a massive amount of information about how that was staged, so... But as far as Australia's concerned, the joke that we have on the road here, when we see something in America that we're not familiar with or we disagree with, we just say, well, the government should legislate it.
[00:05:02.723 --> 00:05:03.964]  Because that's what happens down under.
[00:05:04.184 --> 00:05:06.066]  I keep saying to these guys, Obama's gonna fix it.
[00:05:07.137 --> 00:05:10.358]  Because that's often, even in Australia, that's still the thinking.
[00:05:10.918 --> 00:05:13.418]  Look, yeah, things have been rough, but it's going to get better now.
[00:05:13.558 --> 00:05:21.320]  Well, last night they were going, yeah, Obama, we were asking folks what they thought, and they said, Obama, you know, he had to lie and appoint nothing but lobbyists.
[00:05:21.440 --> 00:05:23.260]  Oh, he's got to stay in Iraq now.
[00:05:23.280 --> 00:05:27.441]  I mean, it's like, they hate everything George Bush did, but suddenly there's Obama's doing it.
[00:05:27.841 --> 00:05:30.821]  Yeah, you know, he is setting up a police state.
[00:05:30.861 --> 00:05:34.062]  Yeah, you know, he's not letting people read the bills.
[00:05:34.162 --> 00:05:34.522]  Yeah,
[00:05:35.442 --> 00:05:37.823]  Uh, you know, he's doing all these things with special interest.
[00:05:38.303 --> 00:05:41.884]  Yeah, but you know, he is Obama, so we gotta be part of the fad.
[00:05:43.425 --> 00:05:45.946]  And see, most people actually out there, you can tell, don't even really like him.
[00:05:46.206 --> 00:05:48.427]  But they felt like, well, I've gotta say I like Obama.
[00:05:48.847 --> 00:05:51.968]  We'll be right back, ladies and gentlemen, with our guest from the land down under.
[00:05:51.988 --> 00:05:58.130]  A poor tin for what's coming here in the United States, unless we go absolutely ape now in the Infowar.
[00:05:59.514 --> 00:06:04.816]  What will you do when the economy collapses, store shelves are empty, and your stored food is gone?
[00:06:04.976 --> 00:06:06.676]  How will you feed your family?
[00:06:06.837 --> 00:06:13.979]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:06:14.159 --> 00:06:21.481]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:06:21.601 --> 00:06:23.962]  You get over 14,000 seeds for only $49.
[00:06:25.183 --> 00:06:29.104]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans,
[00:06:29.104 --> 00:06:29.624]  I think so.
[00:06:59.654 --> 00:07:05.138]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:07:05.378 --> 00:07:06.679]  And we knew what to do.
[00:07:06.699 --> 00:07:08.481]  Or at least we thought we did.
[00:07:08.701 --> 00:07:15.125]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:07:15.726 --> 00:07:24.252]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:07:24.642 --> 00:07:31.426]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:07:31.726 --> 00:07:34.788]  He had his hand over the radio while he was getting a countdown.
[00:07:34.908 --> 00:07:40.110]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:07:40.671 --> 00:07:43.312]  This is an emergency transmission worldwide.
[00:07:43.752 --> 00:07:50.256]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the
[00:07:53.571 --> 00:08:01.273]  Heart disease is on the rise.
[00:08:01.393 --> 00:08:08.095]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:08:08.355 --> 00:08:16.537]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:08:16.757 --> 00:08:22.479]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:08:22.639 --> 00:08:24.440]  My blood pressure has normalized.
[00:08:24.501 --> 00:08:26.662]  My diabetes has totally improved.
[00:08:26.682 --> 00:08:31.046]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:08:31.206 --> 00:08:33.328]  I recommend Heart and Body Extract to everyone.
[00:08:33.428 --> 00:08:41.274]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:08:42.401 --> 00:08:42.882]  We're good.
[00:09:09.843 --> 00:09:22.126]  Now listen, next hour, with our guest in studio from Australia, I'm going to open the phones up, but I only, and I rarely do this, and I'm going to hang up on you folks because I want to leave the phones open if you bring up some other issue.
[00:09:22.766 --> 00:09:29.988]  I want to hear from people that have been through urban warfare, gun confiscation drills, or in New Orleans and Louisiana with gun confiscation, they did it all over the state.
[00:09:31.228 --> 00:09:36.349]  Or who are in Iowa, where we know the National Guard is running checkpoints, now they're doing this larger program,
[00:09:38.106 --> 00:09:52.574]  I specifically want to hear from you on that, and I had the phone numbers for the police and for city officials, but what I need, in fact I have those, I need more numbers.
[00:09:53.781 --> 00:10:03.269]  Because I have the Public Affairs Office, the Chief of Staff, the Joint Forces Headquarters, the Armory at Camp Dodge, Johnston, Iowa.
[00:10:04.350 --> 00:10:12.456]  But I want the phone number for the two towns, the two cities where this is going on in Arcadia.
[00:10:13.257 --> 00:10:20.364]  And then in the other town, so I need you guys to give me the numbers for the town, the sheriff the county's in, all of it.
[00:10:20.765 --> 00:10:25.029]  Do we have any luck getting any of these creatures on the air when you try to call them?
[00:10:26.350 --> 00:10:30.334]  No, I know I have the phone number to the military.
[00:10:31.295 --> 00:10:32.857]  Can I have the number to the city?
[00:10:34.309 --> 00:10:34.909]  Yeah, that's what I need.
[00:10:34.929 --> 00:10:35.290]  Thank you.
[00:10:35.890 --> 00:10:42.913]  Guys, I mean, what do you think seeing this where the Army's gonna go door-to-door and do gun confiscation drills and hang up pictures of U.S.
[00:10:42.933 --> 00:10:48.056]  citizens and run around with checkpoints in the town with just people there in the middle of it?
[00:10:48.076 --> 00:10:49.377]  I mean, that's obviously the acclimatum.
[00:10:50.037 --> 00:11:00.481]  Just on this trip, Alex, we came from California, we went to Georgia, we're in Texas now, and, you know, in Georgia, people are talking about fighting, people are talking about resisting, there's all this sense of, you know, we know something's going on.
[00:11:00.741 --> 00:11:02.422]  In California, they're all very sleepy.
[00:11:02.822 --> 00:11:06.203]  Yeah, Obama's gonna fix it, we need to trust the President, let's give it some time.
[00:11:06.403 --> 00:11:08.224]  There's a real division from what I'm seeing.
[00:11:09.793 --> 00:11:18.176]  I guess the scary thing is that when the military is used on the streets against the people in Australia, there's some indigenous communities in the centre and there's been a lot of child sex issues.
[00:11:18.616 --> 00:11:21.677]  So what they did is they actually sent the military in to police the towns.
[00:11:22.098 --> 00:11:25.379]  Now we see that as a precedent for something, a sign of things to come.
[00:11:25.999 --> 00:11:31.282]  I remember seeing blurbs about that, but isn't it mainly the local governments that control the indigenous people?
[00:11:32.022 --> 00:11:36.545]  Like CPS has been grabbing their kids, and like with native reservations here, a lot of them end up dying.
[00:11:37.045 --> 00:11:41.548]  I've seen those articles over the years, and you were telling me last night that now the military is policing.
[00:11:42.213 --> 00:11:48.397]  Well the numbers of Indigenous Australians has dropped from, I'm not sure of the years, but something like 300,000 to 50,000.
[00:11:49.097 --> 00:11:55.801]  And like Canada, like Native Americans, which Sean can talk about, that's a big deal.
[00:11:58.556 --> 00:11:59.658]  And it's really happening.
[00:11:59.718 --> 00:12:04.584]  I mean, it's the same thing that we saw in Australia is now unfolding here.
[00:12:05.385 --> 00:12:08.490]  What do you guys think is going to happen as they try to go after guns?
[00:12:08.510 --> 00:12:11.053]  They've got the bills introduced to ban most guns, just like Australia.
[00:12:11.073 --> 00:12:14.518]  I mean, what's going to happen with this collision of people that aren't going to be slaves?
[00:12:14.838 --> 00:12:17.160]  Alex, I've been saying this to these guys for years now.
[00:12:17.560 --> 00:12:24.026]  I mean, you come to Texas, you come to the U.S., and there's this history of resistance and skepticism to the government.
[00:12:24.366 --> 00:12:29.170]  Even the state of Texas has its own unique history about resistance and fighting off the federal government.
[00:12:29.610 --> 00:12:32.072]  In Australia, they didn't have a Revolutionary War.
[00:12:32.733 --> 00:12:34.274]  Australians did not fight for their independence.
[00:12:34.314 --> 00:12:36.776]  It was a penal colony, so people are used to being prisoners, I guess.
[00:12:36.796 --> 00:12:37.757]  Well, it was given to them.
[00:12:38.237 --> 00:12:41.781]  You know, they're independents, in which they're not an entirely independent nation, by the way.
[00:12:41.861 --> 00:12:46.046]  Yeah, back in the 70s, they removed the Prime Minister when he wouldn't do what the Queen said.
[00:12:46.406 --> 00:12:48.349]  Just like they just did in Canada, but it was the opposite.
[00:12:48.389 --> 00:12:52.573]  He called the Queen's governor in when the parliament said get out.
[00:12:53.114 --> 00:12:56.596]  Yeah, well, and what I'm saying is in Texas and in the greater U.S.
[00:12:56.616 --> 00:13:02.418]  you have this psychology which is all about the Constitution, our rights, our skepticism towards the government.
[00:13:02.658 --> 00:13:06.620]  What I find as an American living in Australia is the exact opposite.
[00:13:06.940 --> 00:13:13.283]  People basically trust, you know, they may not, they may be skeptical of leaders, but by and large they'll do what the government tells them to do.
[00:13:14.289 --> 00:13:15.629]  You mentioned the Whitlam dismissal.
[00:13:15.649 --> 00:13:25.672]  I mean, it's in public record that the Governor-General was influenced by the British Crown, obviously, as the British Crown's representative, by the CIA, to dismiss the Australian Prime Minister.
[00:13:26.132 --> 00:13:32.833]  And this is eight years after another Australian Prime Minister actually went swimming on a beach in Victoria and went missing, and his body's never been found.
[00:13:33.754 --> 00:13:35.194]  Amazing total police state.
[00:13:35.234 --> 00:13:38.455]  We'll also give out your website when we come back, as we start the third hour.
[00:13:41.195 --> 00:13:42.556]  Thank you for listening to GCN.
[00:13:43.812 --> 00:13:47.155]  Be sure to visit GCNlive.com today.
[00:13:49.438 --> 00:13:50.999]  Hello friends, this is Alex Jones.
[00:13:51.119 --> 00:13:55.744]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:13:55.864 --> 00:13:58.607]  We need to be independent, and food and water is the key.
[00:13:58.827 --> 00:14:01.710]  You'll never have to stand in a bread line if you have your own bread.
[00:14:01.870 --> 00:14:06.595]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:14:06.815 --> 00:14:07.756]  If you simply prepare.
[00:14:07.936 --> 00:14:10.878]  No one is going to take care of your family in the final equation but you.
[00:14:11.178 --> 00:14:18.084]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, Salmonella, genetic alteration or Chinese imports.
[00:14:18.184 --> 00:14:21.306]  And they do it at almost half the cost of last year's grocery prices.
[00:14:21.466 --> 00:14:22.827]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:14:26.590 --> 00:14:32.675]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:14:32.855 --> 00:14:36.177]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:14:36.217 --> 00:14:37.318]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:14:37.338 --> 00:14:38.019]  Take action today.
[00:14:38.039 --> 00:14:39.260]  The first step is getting storable food.
[00:14:52.108 --> 00:14:54.029]  Waging war on corruption.
[00:14:54.489 --> 00:14:57.371]  Alex Jones on the GCN Radio Network.
[00:15:03.915 --> 00:15:04.575]  Big Brother.
[00:15:05.215 --> 00:15:06.276]  Mainstream media.
[00:15:06.996 --> 00:15:08.097]  Government cover-ups.
[00:15:08.757 --> 00:15:09.558]  You want answers?
[00:15:10.338 --> 00:15:11.279]  Well, so does he.
[00:15:11.899 --> 00:15:15.641]  He's Alex Jones on the GCN Radio Network.
[00:15:16.082 --> 00:15:18.423]  And now, live from Austin, Texas,
[00:15:19.307 --> 00:15:20.147]  Alex Jones.
[00:15:21.187 --> 00:15:32.690]  Our guest, who are TV producers and directors from Australia, making a film, a series, both for Australian television, is TacticalRecon.com.au.
[00:15:32.790 --> 00:15:37.271]  TacticalRecon.com.au for Australia.
[00:15:37.311 --> 00:15:38.411]  We'll put that up on screen.
[00:15:38.431 --> 00:15:43.972]  In fact, there it is right now, up on screen, live at PrisonPlanet.tv for the next two hours.
[00:15:43.992 --> 00:15:47.353]  In fact, we went live a little bit early, a little bit earlier, about 15 minutes ago.
[00:15:48.937 --> 00:15:58.125]  Coming up in about 20 minutes I'm going to give you the phone number for the city of Arcadia where they're having this giant door-to-door martial law drill for gun confiscation.
[00:15:59.228 --> 00:16:00.649]  We're also going to give the number to the U.S.
[00:16:00.789 --> 00:16:03.650]  Army, specifically who's doing this, but you should call the regular army.
[00:16:03.950 --> 00:16:04.931]  You should call the media.
[00:16:04.971 --> 00:16:05.771]  This is insane.
[00:16:06.291 --> 00:16:11.494]  And we have other state reps coming on later in the show that are fighting all of this as well.
[00:16:11.994 --> 00:16:14.795]  We have the Aussies here in studio with us right now.
[00:16:15.315 --> 00:16:21.058]  I'm opening the phones up for people that have been in urban warfare drills, folks that are in Iowa, people who are concerned about this on this subject.
[00:16:21.078 --> 00:16:23.479]  I want to leave the phones open to police and military.
[00:16:24.119 --> 00:16:25.740]  want to call in specifically.
[00:16:26.301 --> 00:16:31.265]  I mean, you heard me years ago lay all this out with the documents of the video, and some of you were in denial.
[00:16:31.705 --> 00:16:32.846]  Now you can't be in denial.
[00:16:32.866 --> 00:16:35.969]  I'm getting a lot of military and police emailing us and calling us and contacting us.
[00:16:36.009 --> 00:16:51.281]  Other hosts are telling me this, you know, mainline hosts, that finally they're coming out of their trance going, wait a minute, foreign bankers run the country, they're looting everything, this is all really happening, now they're training us to go after the American people, they're training us for roadside IEDs that the American people are going to be fighting us soon.
[00:16:51.742 --> 00:16:52.883]  Why is that, gentlemen?
