[00:00:04.699 --> 00:00:06.180]  Thank you, Mr. Chairman.
[00:00:29.426 --> 00:00:35.288]  Chairman Bernanke, I'm looking at the report that you handed out this morning, and I was wondering if you could take your copy and turn to page 26.
[00:00:35.368 --> 00:00:52.635]  There's a table on page 26 which consists of your balance sheet, and one of the entries on the balance sheet is, under assets, central bank liquidity swaps.
[00:00:53.536 --> 00:01:04.498]  Which shows an increase from the end of 2007 from $24 billion to $553 billion in change at the end of 2008.
[00:01:05.938 --> 00:01:06.398]  What's that?
[00:01:07.458 --> 00:01:10.059]  Those are swaps that were done with foreign central banks.
[00:01:10.859 --> 00:01:20.441]  Many, um, many foreign banks are short dollars and send to our markets looking for dollars and drive up interest rates and create volatility in our markets.
[00:01:21.021 --> 00:01:21.721]  What we have done is
[00:01:22.836 --> 00:01:28.937]  With a number of major central banks, like European Central Bank for example, we swap our currency, dollars for their currency, euros.
[00:01:29.398 --> 00:01:34.119]  They take the dollars, lend it out to the banks in their jurisdiction.
[00:01:34.639 --> 00:01:37.980]  That helps bring down interest rates in the global market for dollars.
[00:01:38.600 --> 00:01:41.700]  And meanwhile, we're not lending to those banks, we're lending to the central bank.
[00:01:41.720 --> 00:01:43.761]  The central bank is responsible for repaying us.
[00:01:44.821 --> 00:01:45.561]  So who got the money?
[00:01:46.682 --> 00:01:49.522]  To financial institutions in Europe and other countries.
[00:01:50.062 --> 00:01:50.503]  Which ones?
[00:01:51.843 --> 00:01:52.203]  I don't know.
[00:01:53.963 --> 00:01:55.825]  Half a trillion dollars, and you don't know who got the money?
[00:01:57.207 --> 00:02:07.018]  The loans go to the central banks, and they then put them out to their institutions to try to bring down short-term interest rates in dollar markets around the world.
[00:02:07.318 --> 00:02:09.561]  Well, let's start with which central banks got the money.
[00:02:10.042 --> 00:02:14.527]  There are 14 of them, which are listed in our... I'm sure they're listed in here somewhere.
[00:02:16.232 --> 00:02:20.553]  Alright, so who actually made that decision to hand out a trillion dollars that way?
[00:02:20.653 --> 00:02:21.513]  Half a trillion dollars.
[00:02:21.633 --> 00:02:22.453]  Who made that decision?
[00:02:23.074 --> 00:02:24.294]  The Federal Open Market Committee.
[00:02:25.014 --> 00:02:27.935]  Okay, and was it done at one time or in a series of meetings?
[00:02:27.995 --> 00:02:28.855]  A series of meetings.
[00:02:29.995 --> 00:02:31.435]  And under what legal authority?
[00:02:32.416 --> 00:02:35.636]  We have a long-standing legal authority to do swaps with other central banks.
[00:02:36.297 --> 00:02:39.077]  It's not an emergency authority of any kind.
[00:02:39.517 --> 00:02:40.818]  Anything specific about it?
[00:02:46.568 --> 00:02:49.149]  My counsel says Section 14 of the Federal Reserve Act.
[00:02:50.249 --> 00:02:55.971]  All right, we actually looked at one of the arrangements, and one of the arrangements is $9 billion for New Zealand.
[00:02:56.011 --> 00:02:59.592]  That works out to $3,000 for every single person who lives in New Zealand.
[00:03:00.452 --> 00:03:04.813]  Seriously, wouldn't it have been better to extend that kind of credit to Americans rather than New Zealanders?
[00:03:06.894 --> 00:03:09.375]  It's not costing Americans anything.
[00:03:09.415 --> 00:03:10.955]  We're getting interest back, and it comes back.
[00:03:11.235 --> 00:03:13.316]  It's not at the cost of any American credit.
[00:03:14.033 --> 00:03:15.317]  We are extending credit to Americans.
[00:03:15.657 --> 00:03:23.037]  Well, wouldn't it necessarily affect the credit markets if you extend half a trillion dollars in credit to anybody?
[00:03:23.829 --> 00:03:25.710]  We are lending to all U.S.
[00:03:26.130 --> 00:03:27.830]  financial institutions in exactly the same way.
[00:03:28.150 --> 00:03:29.371]  Well, look at the next page.
[00:03:29.411 --> 00:03:30.911]  The very next page has the U.S.
[00:03:30.971 --> 00:03:34.212]  dollar nominal exchange rate, which shows a 20% increase in the U.S.
[00:03:34.232 --> 00:03:35.273]  dollar nominal exchange rate.
[00:03:35.293 --> 00:03:42.535]  All right, ladies and gentlemen, it is October 9, 2009, on this Friday edition.
[00:03:42.675 --> 00:03:44.016]  I'm joining you from the road again.
[00:03:44.036 --> 00:03:45.036]  This is Alex Jones.
[00:03:45.945 --> 00:03:52.548]  And you were just hearing Congressman Greeson talking to the private banker boys as they were denying that the dollar was being devalued.
[00:03:52.568 --> 00:03:53.909]  Of course, we all know the facts.
[00:03:53.929 --> 00:03:55.669]  The dollar is devalued currently.
[00:03:56.750 --> 00:04:04.733]  I'm going to get to a landline several times during the show today and cover the latest news, so please stay with us for that.
