[00:00:00.009 --> 00:00:00.069]  Wow.
[00:00:01.009 --> 00:00:02.530]  Make an investment in your life.
[00:00:02.890 --> 00:00:03.691]  Life change tea.
[00:00:04.671 --> 00:00:05.432]  Oh, and P.S.
[00:00:05.652 --> 00:00:06.512]  You'll lose some weight.
[00:00:08.133 --> 00:00:13.175]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:00:13.536 --> 00:00:15.817]  Because there's a war on for your mind.
[00:00:20.049 --> 00:00:30.417]  We normally go live at PrisonPlanet.tv during the third and fourth hour, but some days we do the whole show, simulcasting not just on radio, but on the internet streams at PrisonPlanet.tv.
[00:00:30.457 --> 00:00:35.441]  And I decided, why not go live with Alan Watt at PrisonPlanet.tv as well.
[00:00:35.461 --> 00:00:37.002]  So we just now went live.
[00:00:37.102 --> 00:00:41.326]  Alan, covering the Globalist Master Plan, the used carbon taxes,
[00:00:41.886 --> 00:00:54.536]  To control and micromanage and tax every facet of life, our diets, what we do, inspectors in our homes, taxing beef, chicken, when it's grown, when it's raised, and then on your table, that's all being announced.
[00:00:54.936 --> 00:00:57.879]  They would deny this, you know, now they're announcing their world government.
[00:00:58.519 --> 00:01:17.293]  Break down what you were covering earlier in the last segment in more detail, and then let's get into, with your deep research of the Globalist's own research and documents, which I can vouch for, I've researched it all as well, but you've intently researched it with your perspective, where this is going and what we're going to see in the next few years, the time frame of the rollout.
[00:01:17.353 --> 00:01:20.435]  But recap in more detail what you were just covering in the last segment.
[00:01:21.436 --> 00:01:25.059]  Yes, this is a script we're going through, a script that was written a long time ago,
[00:01:26.532 --> 00:01:37.247]  Basically drawn up by the big foundations that bypass democracy or any idea of democracy and the ones who funded the NGOs and all the think tanks that they own and run.
[00:01:37.587 --> 00:01:42.394]  These think tanks are the ones that advise all governments on policy.
[00:01:43.374 --> 00:01:46.135]  And so when you look at them all, it's one, it's the same policy.
[00:01:46.155 --> 00:01:48.956]  It's one policy out of a whole bunch of think tanks.
[00:01:48.996 --> 00:01:52.157]  They're all interconnected with the one globalist agenda.
[00:01:52.778 --> 00:02:04.222]  And all of these foundations and the Rockefellers and et cetera, they're all to do with eugenics, that they were always set up to do with eugenics, creating a new type of society, a reduced society.
[00:02:05.044 --> 00:02:06.765]  And actually going into the womb.
[00:02:07.085 --> 00:02:21.014]  I read something the other night from Tony Blair's interview that he gave to a newspaper on the fact that they're going to go into the womb and remove those genes basically that would cause someone to be violent or an extremist when they grew up.
[00:02:21.334 --> 00:02:32.518]  And for those that don't know, in my film Endgame, we have the mainstream news articles out of England where two-year-olds are put on probation with the police because of the, quote, genes of their parents.
[00:02:32.938 --> 00:02:38.020]  If their parents or grandparents ever committed a crime, they are now criminals at age two.
[00:02:38.480 --> 00:02:48.044]  And they've talked about, in Oregon years ago, drugging babies in the womb if their parents are poor and show that they could be mentally ill.
[00:02:48.644 --> 00:02:49.225]  I'm not kidding.
[00:02:49.265 --> 00:02:50.607]  Prozac in the womb.
[00:02:50.647 --> 00:02:51.248]  Please continue.
[00:02:51.888 --> 00:02:53.551]  Yes, and it's more than just that.
[00:02:53.591 --> 00:02:57.896]  It's also something that was discussed over a hundred years ago at world meetings.
[00:02:58.938 --> 00:03:04.786]  And that was the necessity to identify those who could have leadership qualities down the road.
[00:03:05.772 --> 00:03:09.254]  And go against their agenda and get the public to follow them.
[00:03:09.674 --> 00:03:11.995]  That's also part of this big screening process.
[00:03:12.355 --> 00:03:18.958]  They've done the same thing with the drugging of children, mainly young males in school with the different drugs they give them, Ritalin, etc.
[00:03:20.278 --> 00:03:23.740]  These guys are generally very inquisitive.
[00:03:23.780 --> 00:03:25.121]  They ask lots of questions.
