[00:00:01.155 --> 00:00:03.076]  Waging war on corruption.
[00:00:03.556 --> 00:00:06.437]  Alex Jones on the GCN Radio Network.
[00:00:12.939 --> 00:00:13.599]  Big Brother.
[00:00:14.240 --> 00:00:15.300]  Mainstream media.
[00:00:16.020 --> 00:00:17.121]  Government cover-ups.
[00:00:17.781 --> 00:00:18.581]  You want answers?
[00:00:19.341 --> 00:00:20.282]  Well, so does he.
[00:00:20.302 --> 00:00:24.603]  He's Alex Jones on the GCN Radio Network.
[00:00:25.103 --> 00:00:29.145]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.754 --> 00:00:38.577]  Okay, on this January the 30th, 2009, this is Bob Dacey sitting in for Alex Jones.
[00:00:38.697 --> 00:00:39.978]  Alex has the day off today.
[00:00:40.679 --> 00:00:45.621]  Asked me to come in and host the show again, and I'm flying by the seat of my pants.
[00:00:47.082 --> 00:00:49.544]  Interview with Max Keiser was quite interesting.
[00:00:49.584 --> 00:00:55.107]  You know, he's like way above my level in financial things, but I think I handled myself relatively well, I think.
[00:00:55.996 --> 00:01:04.442]  And speaking of financial advisors, we have Bob Chapman of the International Forecaster on the line.
[00:01:04.482 --> 00:01:05.143]  Bob, are you there?
[00:01:05.163 --> 00:01:07.785]  No, I'm not here.
[00:01:08.005 --> 00:01:08.765]  You're not here.
[00:01:08.825 --> 00:01:12.628]  Well, is this a ghost I'm talking to there?
[00:01:13.228 --> 00:01:14.109]  It certainly is.
[00:01:14.589 --> 00:01:15.970]  The apparition of the day.
[00:01:16.431 --> 00:01:19.513]  Were you following the previous part of the show?
[00:01:20.524 --> 00:01:20.704]  No.
[00:01:20.984 --> 00:01:21.645]  No, I did not.
[00:01:21.665 --> 00:01:22.005]  I didn't.
[00:01:22.045 --> 00:01:22.665]  It came on.
[00:01:23.105 --> 00:01:27.187]  Yeah, you know, financial, you've got like a newsletter, right?
[00:01:27.407 --> 00:01:31.508]  And you advise people on what to do in this crazy financial world in order to try to survive.
[00:01:31.548 --> 00:01:32.289]  Is that the idea?
[00:01:32.429 --> 00:01:35.130]  Tell us about what you do just to set the stage.
[00:01:36.230 --> 00:01:37.751]  Well, the newsletter does that.
[00:01:37.811 --> 00:01:42.613]  We recommend stocks both long and short in the market and commodities.
[00:01:42.993 --> 00:01:47.815]  And we try to project events that are going to happen in the future.
[00:01:49.207 --> 00:01:52.550]  Like two years ago, we said we were in a recession.
[00:01:53.230 --> 00:01:55.872]  About a year ago, some other experts discovered it.
[00:01:55.932 --> 00:01:59.334]  And then last month, our government discovered it.
[00:02:00.635 --> 00:02:03.877]  Is the government going to discover that we're in a depression a year after we're in it?
[00:02:04.137 --> 00:02:04.498]  Or what?
[00:02:04.578 --> 00:02:05.899]  How's that going to work out?
[00:02:06.299 --> 00:02:08.921]  No, I think probably about two years after.
[00:02:10.281 --> 00:02:15.525]  But I have come out and said that the depression started this week.
[00:02:17.063 --> 00:02:23.808]  And the depression is an acute, very serious recession.
[00:02:24.789 --> 00:02:36.679]  The government will probably term it, but this depression is going to be far more difficult and longer to get out of than the previous one.
[00:02:38.180 --> 00:02:42.223]  Based on what yardstick did you determine that we are now in a depression?
[00:02:42.967 --> 00:02:44.808]  I'm kind of curious.
[00:02:44.828 --> 00:02:45.669]  What's the difference?
[00:02:47.290 --> 00:02:55.435]  The GDP in the last quarter and in this quarter will be both negative.
[00:02:56.336 --> 00:03:04.801]  And when you have two negative GDP months in a row, you're on your way, especially if you're in a recession already.
[00:03:05.702 --> 00:03:11.586]  And I suspect that the second quarter of this year
