[00:00:00.009 --> 00:00:01.530]  Federal Agents!
[00:00:01.570 --> 00:00:02.431]  We are armed!
[00:00:02.471 --> 00:00:09.196]  Here I'm coming for your guns, knocking on your door.
[00:00:09.236 --> 00:00:13.580]  We're here for your possession of illegal firearms.
[00:00:26.053 --> 00:00:27.935]  All the semi-autos will be banned.
[00:00:28.415 --> 00:00:29.696]  Everyone else will be registered.
[00:00:29.716 --> 00:00:35.040]  Anybody with any psychological thing in their life, you have a car wreck, they say, oh, I'm giving you a prescription at the hospital for Prozac.
[00:00:35.180 --> 00:00:36.341]  You've got post-traumatic.
[00:00:36.381 --> 00:00:37.002]  You don't really.
[00:00:37.242 --> 00:00:38.183]  No more Second Amendment.
[00:00:39.364 --> 00:00:41.685]  This will dwarf the 68 Gun Control Act, everything.
[00:00:42.046 --> 00:00:44.307]  This is Chicago, big city crime machine.
[00:00:44.588 --> 00:00:49.131]  They like their slaves disarmed so they can then have their mafia police feed on the slaves.
[00:00:51.093 --> 00:00:52.774]  Like every day, I watch.
[00:00:53.655 --> 00:00:54.696]  Call them all suckas.
[00:00:56.322 --> 00:00:58.527]  Ah, Kurt Nemo is in studio with us visiting for the week.
[00:01:01.013 --> 00:01:04.095]  Yeah, you're not going to find me being a sucker going for the scam.
[00:01:04.135 --> 00:01:04.716]  What about you?
[00:01:04.736 --> 00:01:05.756]  No way!
[00:01:06.017 --> 00:01:07.378]  We know 9-11 is an inside job.
[00:01:07.418 --> 00:01:08.699]  Kurt, we're going to go to you in a moment.
[00:01:08.719 --> 00:01:13.562]  I wanted to finish up with Ted Anderson, who just went live at PrisonPlanet.tv.
[00:01:14.623 --> 00:01:25.871]  Ted Anderson, bottom line, you are selling gold at the price of the market at $75-$80 less than what it should be priced at per ounce.
[00:01:26.511 --> 00:01:30.314]  And that's just the bottom line because you buy it when it's low and you sell it when it's low and when it's high.
[00:01:30.754 --> 00:01:33.516]  So folks can move on this now and get an incredible deal.
[00:01:33.536 --> 00:01:33.796]  800-686-2237.
[00:01:33.956 --> 00:01:45.644]  Did you ever think you'd see the Wall Street Journal market watch saying, world government's good, we need a world government, and we need to have a North American Union, only it will save us.
[00:01:45.664 --> 00:01:50.267]  You know, two years ago it was in the secret SPP documents they were going to say, use a crisis to get it.
[00:01:50.687 --> 00:01:52.188]  Now here are the bastards doing it, Ted.
[00:01:53.169 --> 00:01:54.312]  They're just doing it right out.
[00:01:54.392 --> 00:01:55.575]  I mean, that's just the thing.
[00:01:55.896 --> 00:02:02.412]  It is surprising to see it as blatant as it is in one sense, but then in the other sense, if you just looked underneath, if you could...
[00:02:02.745 --> 00:02:07.891]  Have half the sense to read between the lines of what was being published out there, you could see it there too.
[00:02:08.171 --> 00:02:15.559]  They've just gotten to the point now where people are so dumbed down that they look at this and they say, hail to Obama, let's do this.
[00:02:15.639 --> 00:02:16.701]  I mean, come on.
[00:02:16.721 --> 00:02:23.748]  Well yeah, the whole new religion is stalled, everybody hates Bush, the hatred of Bush translates into Obama who's their man, and so suddenly, okay,
[00:02:24.409 --> 00:02:46.193]  We didn't like it when Bush was doing it, but we love it when you're doing it, and the whole agenda, and as we said in these first six months, is the key, is just surging, gun control, open borders, more wars, increase in troops in the Middle East and Central Asia, just total tyranny, openly announcing world government saying it'll save you, and Obama's new banker bailout is to set up this new world government bank that will tax us.
[00:02:46.253 --> 00:02:49.334]  Folks, give Ted's brokers a call, protect yourselves today,
[00:02:49.794 --> 00:02:52.215]  They're going to steal your 401Ks, your bank accounts.
[00:02:52.235 --> 00:02:53.335]  They're doing it through inflation.
[00:02:53.635 --> 00:02:54.516]  Protect yourselves.
[00:02:54.536 --> 00:02:54.696]  800-686-2237.
[00:02:54.816 --> 00:02:58.337]  Ted, good talking to you.
[00:02:58.517 --> 00:02:59.857]  Yeah, thanks for having me up, Alex.
[00:03:00.037 --> 00:03:00.337]  You bet.
[00:03:00.738 --> 00:03:07.840]  Kurt Nemo in studio here in Austin, Texas with us, visiting from where he works and runs InfoWars.com for us.
[00:03:08.300 --> 00:03:21.969]  A lot of folks we have are contractors here, but Kurt is actually an employee of InfoWars.com and I saw the great work he was doing for years and got him on the team now about a year and a half ago, and it's good to have Kurt Nemo here with us, a great guy that redesigned InfoWars.com and PrisonPlanet.com.
[00:03:22.370 --> 00:03:25.332]  Kurt, this is a short segment, we're coming back in a long one, but that first question
[00:03:26.132 --> 00:03:34.281]  We always talked about the jump point, when they finally went with the camps and the gun control and the open borders and the world bankings, and we had all their documents, we knew what it would be.
[00:03:34.921 --> 00:03:37.564]  Now it's emerged, what is the public going to do?
[00:03:37.624 --> 00:03:40.687]  Are they going to just be hypnotized by Obama and walk right into the New World Order?
[00:03:41.128 --> 00:03:42.750]  Well, I think most of the public's oblivious.
[00:03:42.890 --> 00:03:44.932]  They don't have any clue what's going on.
[00:03:45.252 --> 00:03:46.574]  They don't pay attention to any of this stuff.
[00:03:47.174 --> 00:03:51.316]  Or they remember the old propaganda that it didn't exist, and so they're kind of like Robbie the Robot.
[00:03:51.336 --> 00:03:54.278]  You go, well, here's the Wall Street Journal and New York Times saying world government's good and they're doing it.
[00:03:54.478 --> 00:03:58.900]  They go, cannot compute, cannot compute, smoke starts coming out, it does not exist, but they say it does.
[00:03:59.081 --> 00:04:00.281]  Wally, I, oh.
[00:04:00.501 --> 00:04:01.062]  I'm sorry, go ahead.
[00:04:01.662 --> 00:04:06.725]  That's okay, they're plugged into CNN and Fox News and they don't talk about any of this stuff there, so what do they know?
[00:04:07.285 --> 00:04:12.488]  Unless they listen to Alex Jones, or read stuff on the web, they don't know anything about this stuff.
[00:04:13.285 --> 00:04:20.229]  What about, I mean, is the FBI going to apologize for all those training manuals for police saying, if you talk about a new world order or a world government, you're a terrorist?
[00:04:21.150 --> 00:04:22.171]  No, absolutely not.
[00:04:22.211 --> 00:04:23.812]  The FBI doesn't apologize for anything.
[00:04:23.912 --> 00:04:27.894]  So they'll just, we're going to have world government, but if you say you don't like it, I guess you're a terrorist.
[00:04:28.174 --> 00:04:30.556]  But they won't, it won't be billed as world government.
[00:04:30.636 --> 00:04:33.598]  It'll be billed, I mean, it's like these scams they're coming up with.
[00:04:35.043 --> 00:04:43.189]  Build as a, you know, just in case there's another Katrina or a, you know, a natural disaster or a bio-attack or whatever, it's for your own good.
[00:04:43.209 --> 00:04:46.171]  But then when you read what the Army's saying, they're admitting it's for the American people.
[00:04:46.651 --> 00:04:46.831]  Right.
[00:04:46.891 --> 00:04:50.153]  But of course it does have a dual use for emergencies, but suddenly they're building them everywhere.
[00:04:51.074 --> 00:04:53.296]  But it's built as for your safety.
[00:04:53.856 --> 00:05:00.701]  You know, it's built for, you know, if something happens, if there's a bio-attack or a hurricane, you go to the camp.
[00:05:01.721 --> 00:05:02.362]  I mean, read the bill.
[00:05:02.422 --> 00:05:07.005]  It says in the bill, it says there'll be facilities, humanitarian facilities, you know.
[00:05:07.125 --> 00:05:08.987]  And other facilities for other purposes.
[00:05:09.267 --> 00:05:09.447]  Right.
[00:05:09.647 --> 00:05:13.510]  And the local police will be there, and the local pastors that we told everybody we're secretly training with them.
[00:05:13.750 --> 00:05:17.293]  They'll be there, oh, it's of the Lord!
[00:05:17.333 --> 00:05:17.933]  Precisely.
[00:05:18.033 --> 00:05:22.317]  And Pat Roberts is going, nothing can stop Obama, he is of the Lord, socialism is good.
[00:05:22.817 --> 00:05:25.119]  And they're going, yes, holy, of the Lord!
[00:05:25.379 --> 00:05:26.160]  They're cranking it up.
[00:05:26.400 --> 00:05:29.322]  Like you said, the next six months, they're going to try to push all this stuff through.
[00:05:30.902 --> 00:05:34.225]  And once it's there... Well, I mean, all the preparations, Kurt, and we're finally here.
[00:05:34.665 --> 00:05:38.548]  We're finally alive during the time of them defecating all over us.
