[00:00:00.069 --> 00:00:00.430]  Brother.
[00:00:01.111 --> 00:00:02.132]  Mainstream media.
[00:00:02.873 --> 00:00:03.975]  Government cover-ups.
[00:00:04.636 --> 00:00:05.437]  You want answers?
[00:00:06.198 --> 00:00:07.099]  Well, so does he.
[00:00:07.119 --> 00:00:11.466]  He's Alex Jones on the GCN Radio Network.
[00:00:11.966 --> 00:00:16.012]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.233 --> 00:00:23.354]  Welcome, ladies and gentlemen.
[00:00:23.394 --> 00:00:23.774]  Welcome.
[00:00:23.794 --> 00:00:42.543]  We're going to be live for the next two hours at PrisonPlanet.tv simulcasting this Thursday, January 8, 2009 edition, this attempt to awaken the world population to the overarching world psychological dictatorship that's run by the New World Order.
[00:00:43.363 --> 00:00:53.286]  For the next hour and a half, we're honored to be joined by one of the most sought-after speakers on radio and in person, filmmaker, best-selling author, David Icke.
[00:00:53.326 --> 00:00:55.587]  Also championship goalie in his own right.
[00:00:56.067 --> 00:01:03.709]  Of course, BBC News presenter before his startling Saul on the road to Damascus transformation.
[00:01:04.795 --> 00:01:07.557]  Literally being knocked off his horse with a revelation.
[00:01:08.238 --> 00:01:22.989]  And in the last 15, 16, 17 years he has spoken to millions of people around the world, and we're honored to have him again for the next hour and a half to talk about the current world economic crisis being engineered, and how this is really going to force an even faster awakening to this tyranny.
[00:01:23.029 --> 00:01:27.633]  So, David Icke, it is great to have you joining us here from England.
[00:01:28.273 --> 00:01:28.773]  Thank you, Alex.
[00:01:30.615 --> 00:01:34.378]  This is a short segment, but what are some of the things you want to discuss and go over today?
[00:01:35.782 --> 00:02:04.533]  Well certainly we talk about the financial situation because you know for me what we're looking at is a similar situation to when they have a controlled demolition of a building and the charges go off and you see the flashes and then extraordinarily there's that split second when nothing seems to happen and then the whole thing crashes and for me where we are in this economic engineered collapse is in that split second before the whole thing starts to collapse and you know when you think
[00:02:05.231 --> 00:02:05.511]  That's great.
[00:02:27.811 --> 00:02:28.491]  You're right.
[00:02:53.402 --> 00:02:57.782]  In the time we have left in this first segment, I want to get your response, since last time we had you on, to...
[00:02:59.878 --> 00:03:02.019]  It's got to be more than 400 articles I've seen.
[00:03:02.399 --> 00:03:13.383]  If you Google the term New World Order and put it into the news section, not web, but news, the last time I checked it was 4,600 news articles, but I only, over the last few months, have read, I know it's more than 300.
[00:03:13.743 --> 00:03:16.444]  It's 10 or 15 a day I'd see without looking.
[00:03:16.725 --> 00:03:27.429]  Financial Times of London, Wall Street Journal, Der Spiegel, all the major publications of record of the establishment, the Bilderberg run, their editor-in-chief, of course, is Bilderberg, Mr. Wolf.
[00:03:28.069 --> 00:03:29.010]  All right, let's go to that.
[00:03:48.302 --> 00:03:56.545]  No, there was always a time when what they were doing covertly had to break the surface because they want to change society in the image that they want to change society.
[00:03:56.605 --> 00:03:59.947]  So we have to eventually see it in our face and that's what we're seeing.
[00:03:59.987 --> 00:04:03.028]  And of course, you know, those of us like you and me and many others who've been
[00:04:18.650 --> 00:04:18.850]  I think?
[00:04:32.893 --> 00:04:37.378]  The infrastructure we've been predicting all this time, including the World Central Bank.
[00:04:37.418 --> 00:04:40.021]  They've not used that word yet, that term yet, but they will.
[00:04:40.061 --> 00:04:42.804]  They're talking about... Actually, they have, David.
[00:04:43.205 --> 00:04:45.207]  Actually, they have mentioned a new World Central Bank.
[00:04:45.247 --> 00:04:46.008]  You may have missed it.
[00:04:46.308 --> 00:04:46.769]  Stay there.
[00:04:46.849 --> 00:04:50.653]  David Icke, we'll be back after this quick break to go over all of this.
[00:04:51.034 --> 00:04:51.975]  Please stay with us.
[00:04:55.373 --> 00:05:01.015]  Doctors around the world claim that cancer and other diseases cannot live in a pH balanced alkaline environment.
[00:05:01.215 --> 00:05:06.357]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:05:06.637 --> 00:05:11.719]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:05:12.019 --> 00:05:15.581]  People who alkalize the water they drink experience normalized blood sugar.
[00:05:15.981 --> 00:05:17.582]  Mental clarity and loss of weight.
[00:05:17.922 --> 00:05:20.643]  It was intended for human beings to drink alkaline water.
[00:05:20.863 --> 00:05:23.904]  But due to modern way of life, most people are overly acidic.
[00:05:24.144 --> 00:05:27.665]  The fact is that disease simply cannot exist in an alkaline environment.
[00:05:27.925 --> 00:05:32.467]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:05:32.747 --> 00:05:33.528]  Do your part.
[00:05:33.788 --> 00:05:36.069]  Alkalize and supercharge your body now!
[00:05:36.409 --> 00:05:42.531]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:05:42.851 --> 00:05:45.255]  Up to the pH of 10, with only 10 drops.
[00:05:45.616 --> 00:05:51.825]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:05:52.106 --> 00:05:53.508]  Again, that's alkavision.com.
[00:05:54.941 --> 00:05:57.462]  Terror Storm, a history of government-sponsored terror.
[00:05:57.802 --> 00:05:59.062]  Loose Change, Final Cut.
[00:05:59.362 --> 00:06:01.342]  Endgame, Blueprint for Global Enslavement.
[00:06:01.502 --> 00:06:03.263]  The True Story of the Bilderberg Group.
[00:06:03.403 --> 00:06:04.643]  The Late Great USA.
[00:06:04.903 --> 00:06:06.303]  America, Freedom to Fascism.
[00:06:06.663 --> 00:06:13.485]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:06:13.685 --> 00:06:17.605]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:06:17.745 --> 00:06:21.126]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:06:21.446 --> 00:06:21.927]  We're good to go.
[00:06:41.463 --> 00:06:51.720]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:06:52.060 --> 00:06:53.543]  Join the info war today!
[00:06:54.491 --> 00:06:57.433]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:06:57.593 --> 00:07:02.837]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:03.117 --> 00:07:08.481]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:08.841 --> 00:07:09.962]  Hi, this is Alex Jones.
[00:07:10.323 --> 00:07:19.209]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membrane.
[00:07:19.629 --> 00:07:21.250]  Now, compare a Calbin Pure Soap.
[00:07:21.471 --> 00:07:25.634]  All natural, earth-friendly, no harsh chemicals, no animal testing.
[00:07:25.674 --> 00:07:30.317]  They're safe, and you save 85% of the money you're spending on cleaning products now.
[00:07:30.697 --> 00:07:34.140]  Start saving over $1,000 a year for your family of four.
[00:07:34.540 --> 00:07:35.281]  Keep it natural.
[00:07:35.601 --> 00:07:43.747]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:07:44.007 --> 00:07:48.150]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:07:48.170 --> 00:07:49.491]  Call 1-800-340-7091 for all your cleaning needs.
[00:07:56.411 --> 00:08:04.978]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:08:05.679 --> 00:08:17.508]  We are live, blasting out on the AM and FM dial, simulcasting on global shortwave, the internet at infowars.com and prisonplanet.com, and streaming live at prisonplanet.tv.
[00:08:17.548 --> 00:08:22.852]  Don't forget the free podcast you can go sign up for, for free at infowars.com on the listen page.
[00:08:23.453 --> 00:08:24.574]  Okay, David Icke,
[00:08:25.254 --> 00:08:33.901]  Continuing, for more than 15 years you've talked about how the private financial banks would engineer a crisis and then out of that bring in their world government.
[00:08:33.941 --> 00:08:45.311]  They have said, as we were getting to before we went to break, at the G20 Summit, a new world financial system with a world financial bank where you will pay your carbon credits directly to them.
[00:08:45.811 --> 00:08:48.792]  I remember seeing that in the Financial Times of London and other places.
[00:08:48.832 --> 00:08:50.913]  They are now moving us towards that.
[00:08:50.993 --> 00:08:55.294]  So, it looks like their system is imploding and that, you know, they're laying off all these financial workers.
[00:08:55.634 --> 00:08:58.415]  That's because they don't need the little bees to gather people's investments.
[00:08:58.796 --> 00:09:00.356]  They're now stealing the pension funds.
[00:09:00.776 --> 00:09:09.159]  We're now, the West is in negative savings, so they need to destroy the old system to build their new system, problem, reaction, solution.
[00:09:09.419 --> 00:09:10.940]  Break that down for us, David Icke.
[00:09:11.525 --> 00:09:26.577]  Yeah, they're talking in Europe, people like Sarkozy and Gordon Brown about a new global financial architecture which is all course all well speak for this centralized financial system that will dictate the whole of global finance from a central point.
[00:09:27.358 --> 00:09:30.861]  This is what they've been working towards and it's important to stress that
[00:09:32.041 --> 00:09:36.484]  You know, when people see the banking system collapsing, they think it's bad for the bankers.
[00:09:36.524 --> 00:09:39.646]  Well, it's bad for the bankers who lose their jobs, like you say, the bees.
[00:09:40.006 --> 00:09:42.047]  But it's not bad for the people who own the system.
[00:09:42.447 --> 00:09:43.228]  And this is the point.
[00:09:43.888 --> 00:09:46.650]  The families that we're talking about own the system.
[00:09:47.030 --> 00:09:56.515]  So if they owned the National Football League, they couldn't care less if one team beats this team or that team beats another team, because they own the game.
[00:09:56.555 --> 00:09:57.376]  They can't lose.
[00:09:57.776 --> 00:10:01.438]  So when this bank goes down or that bank goes down or this bank's absorbed by this bank,
[00:10:02.145 --> 00:10:03.246]  It doesn't matter to them.
[00:10:03.286 --> 00:10:06.589]  What it means is there's fewer names on the doors to deal with.
[00:10:07.469 --> 00:10:19.899]  They own the game and they're changing the game now to increase the amount of centralized global control that will, by definition, increase dramatically the amount of control over
[00:10:20.538 --> 00:10:20.878]  I don't know.
[00:10:43.163 --> 00:10:57.749]  We've gone so far along this road while people have been watching game shows and watching the soaps and the football and now it's peaked its head into the public arena where it's in our face and people are going where did this come from?
[00:10:58.109 --> 00:11:09.834]  Well it's come from decades and decades indeed hundreds of years of manipulation to get us to this point and it's a point of great challenge and great danger in terms of freedom but it's also a point
[00:11:10.314 --> 00:11:10.414]  Yes.
[00:11:29.807 --> 00:11:35.252]  More and more people who were ignoring it before are now going, hold on a second, what can we do about this?
[00:11:35.312 --> 00:11:49.385]  So we're moving into a stage where we can actually, those that are challenging this tyranny, this global fascism, where we can actually go to a stage of starting to do something about it rather than just talk about it.
[00:11:49.725 --> 00:11:56.330]  Okay, David, while you were talking, I went into Google and Googled World Central Bank and found hundreds of articles.
[00:11:56.670 --> 00:12:03.355]  Here is Newsweek, why we need a Bank of the World, the financial crisis is global and only International Central Bank can deal with it.
[00:12:03.456 --> 00:12:11.522]  Now, already under the IMF, World Bank, Ex-Im Bank, in their own documents, they admit they already are the World Central Bank, but under this, they will set interest rates globally.
[00:12:12.362 --> 00:12:14.284]  They will selectively control nations.
[00:12:14.324 --> 00:12:16.425]  They will decide how much currency can be issued.
[00:12:16.665 --> 00:12:19.287]  You'll still have your currencies of the world, in their own words.
[00:12:19.848 --> 00:12:22.089]  It will just all be regulated and controlled by them.
[00:12:22.149 --> 00:12:24.131]  Kind of like the national ID card in the U.S.
[00:12:24.971 --> 00:12:29.375]  It's the states administering it, but the feds set it up and control the computer systems.
