[00:00:00.134 --> 00:00:02.339]  In Texas, Alex Jones.
[00:00:04.464 --> 00:00:07.691]  All right, we're halfway into this Friday transmission, 26 day of June 2009.
[00:00:12.398 --> 00:00:19.103]  All freedom lovers should be in attack formation because we've got incoming big capital ships, the New World Order, are bombarding the Republic.
[00:00:19.684 --> 00:00:23.947]  Open, giant, complete takeover of all industry, your homes, private property.
[00:00:24.448 --> 00:00:28.051]  The carbon takeover, the carbon tax takeover is in full swing.
[00:00:28.071 --> 00:00:29.852]  The debate ends in about one hour.
[00:00:30.272 --> 00:00:35.216]  They're set to vote on it coming up at six o'clock central this evening.
[00:00:35.997 --> 00:00:37.078]  They say six to seven.
[00:00:38.636 --> 00:00:40.559]  Um, coming up tonight.
[00:00:41.079 --> 00:00:43.602]  So we'll be watching this nightmare as it unfolds.
[00:00:44.383 --> 00:00:49.670]  Also, the next big attack salvo, we got that torpedo cruiser coming in firing at us.
[00:00:50.491 --> 00:00:53.695]  Itself a total martial law takeover, but the enemy's doing overkill.
[00:00:54.075 --> 00:00:55.877]  All these new bureaucracies and new powers.
[00:00:56.658 --> 00:01:03.481]  So they can slice it up between themselves and so it's not just one, one dragon we gotta slay, but a multi-headed hydra.
[00:01:03.801 --> 00:01:06.402]  Total Federal Reserve dictatorship admitted by the news.
[00:01:06.682 --> 00:01:14.306]  They say it's good, ruling everything from a hot dog stand to a beauty salon, to a car dealership, to a shopping mall, to a factory.
[00:01:14.326 --> 00:01:15.526]  I'm gonna go over that.
[00:01:15.906 --> 00:01:16.747]  And Ed Bernanke,
[00:01:17.990 --> 00:01:23.434]  Ben Bernanke up on C-SPAN saying Congress has no authority to regulate money.
[00:01:24.014 --> 00:01:25.275]  Well, that's Article 1, Section 8.
[00:01:25.455 --> 00:01:29.338]  You're a congenital, degenerate, criminal, and you need to be arrested.
[00:01:29.538 --> 00:01:30.339]  You're a liar as well.
[00:01:31.337 --> 00:01:33.078]  So, we're taking your calls right now.
[00:01:33.098 --> 00:01:34.719]  I appreciate everybody holding.
[00:01:35.279 --> 00:01:39.281]  Okay, calls for 20-30 minutes, and then I'm getting back into this big Bernanke thing.
[00:01:39.301 --> 00:01:41.322]  And you want me to hear me talk about Michael Jackson?
[00:01:41.622 --> 00:01:43.523]  Okay, I'll talk about Michael Jackson for you.
[00:01:43.784 --> 00:01:45.644]  You don't care your whole birthright's being stolen?
[00:01:45.865 --> 00:01:48.326]  You want to worry about some drug addict pedophile?
[00:01:48.346 --> 00:01:51.127]  Fine, we'll talk about drug addict pedophiles coming up as well.
[00:01:51.147 --> 00:01:52.388]  But you're not going to like what you hear.
[00:01:52.748 --> 00:01:54.069]  I know a lot of you are fans of him.
[00:01:54.709 --> 00:01:57.851]  And I'm not saying the guy didn't have some music that was, I guess, okay.
[00:01:59.141 --> 00:01:59.621]  I feel good!
[00:02:19.537 --> 00:02:21.958]  Living in America!
[00:02:22.178 --> 00:02:22.619]  Ha ha!
[00:02:22.859 --> 00:02:24.780]  With bureaucrats ruling over you, baby!
[00:02:24.800 --> 00:02:26.501]  Ha ha!
[00:02:27.281 --> 00:02:29.102]  So, uh, I could play some James Brown.
[00:02:29.122 --> 00:02:30.743]  I could sing to it for you like I did last week.
[00:02:31.703 --> 00:02:35.445]  Alright, let's go ahead and, uh, or how about some Jimi Hendrix?
[00:02:37.306 --> 00:02:39.788]  Hey Jude, I shot my woman down.
[00:02:39.988 --> 00:02:40.588]  Shot her down.
[00:02:40.608 --> 00:02:42.969]  In fact, cue that up.
[00:02:42.989 --> 00:02:43.830]  Let's play some of that later.
[00:02:45.619 --> 00:02:46.920]  Listen, the battle is now.
[00:02:47.020 --> 00:02:50.122]  Call these criminals in Congress, tell them no.
[00:02:50.142 --> 00:02:50.362]  800-833-6354.
[00:02:50.382 --> 00:02:50.702]  800-833-6354.
[00:02:51.002 --> 00:02:55.064]  I'll give you more to tell.
[00:02:55.124 --> 00:02:56.125]  No one can read the bill.
[00:02:56.445 --> 00:02:59.586]  We only have an earlier version that was one-tenth as long.
