[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:00:11.696 --> 00:00:14.017]  Visit BigBerkeyWaterFilters.com.
[00:00:14.257 --> 00:00:16.579]  That's BigBerkeyWaterFilters.com.
[00:00:16.819 --> 00:00:19.220]  Or call 1-877-99-BERKEY.
[00:00:19.401 --> 00:00:23.203]  That's 1-877-99-B-E-R-K-E-Y.
[00:00:23.323 --> 00:00:25.585]  Today is in time for embezzlement.
[00:00:26.065 --> 00:00:26.945]  Details on that soon.
[00:00:26.985 --> 00:00:31.769]  You're listening to GCN, the world leader in independent talk radio.
[00:00:32.089 --> 00:00:33.790]  LBJ, Austin, Texas.
[00:00:37.213 --> 00:00:39.775]  This is IRN USA Radio News.
[00:00:40.195 --> 00:00:41.096]  I'm Robert Friedman.
[00:00:41.537 --> 00:00:48.082]  An Iranian religious leader says people protesting the outcome of the recent presidential election should be executed.
[00:00:48.743 --> 00:00:57.870]  Ayatollah Ahmed Khatami said anyone who engaged in what he called destructive acts should be considered at war with God and therefore put to death.
[00:00:58.250 --> 00:01:02.394]  President Obama has condemned the crackdown against protesters as outrageous.
[00:01:02.794 --> 00:01:07.976]  North Korea is threatening to shoot down Japanese planes that intrude on North Korean airspace.
[00:01:08.776 --> 00:01:14.578]  The Pyongyang government claimed Japanese spy planes recently breached the Communist nation's airspace.
[00:01:15.398 --> 00:01:20.420]  Meantime, a French news agency says North Korea may be preparing to fire more missiles.
[00:01:20.820 --> 00:01:21.260]  The U.S.
[00:01:21.300 --> 00:01:28.783]  has said it's prepared for the possibility that North Korea might fire a long-range missile toward Hawaii, possibly on the 4th of July.
[00:01:29.043 --> 00:01:30.503]  This is IRN USA Radio News.
[00:01:33.331 --> 00:01:35.272]  Are you losing your home to foreclosure?
[00:01:35.452 --> 00:01:37.654]  Are you behind on your mortgage and fear the worst?
[00:01:37.794 --> 00:01:49.342]  The Associates of Homeowners Legal Assistance would like to offer you a free, no-obligation consultation that will show you how to stop foreclosure, reduce your interest rates and possibly save you thousands on your mortgage.
[00:01:49.502 --> 00:01:52.844]  Don't let this economic slowdown take your home from you and your family.
[00:01:52.884 --> 00:01:54.005]  You've worked too hard.
[00:01:54.185 --> 00:02:03.251]  Homeowners Legal Assistance is an attorney-based loan modification firm that can negotiate the terms of your mortgage so you can afford to live in and enjoy the home you love.
[00:02:03.571 --> 00:02:06.392]  Call for a free, no-obligation consultation.
[00:02:06.532 --> 00:02:10.294]  There's no cost to find out how this program can help you save your home.
[00:02:10.474 --> 00:02:14.176]  It doesn't matter how far behind you are on payments or what your credit score is.
[00:02:14.336 --> 00:02:17.477]  Homeowner's Legal Assistance is here to listen and help.
[00:02:17.637 --> 00:02:20.499]  For your free, no-obligation consultation, call now 800-604-8525.
