[00:00:52.809 --> 00:00:53.669]  Look at this article.
[00:00:53.689 --> 00:00:57.750]  It's from Fox News.
[00:00:58.970 --> 00:01:08.792]  It has a disgusting headline where the lawyer for the cop that attacked repeatedly and choked
[00:01:13.422 --> 00:01:19.625]  A veteran EMT driver with no criminal record and all these great citations for his work.
[00:01:21.066 --> 00:01:23.447]  Now, they assault him on the video.
[00:01:23.507 --> 00:01:28.829]  Not just the cell phone camera video, but now the dash cam video.
[00:01:29.310 --> 00:01:36.413]  Trooper claims dash cam upload that everybody's now seen on the web
[00:01:39.969 --> 00:01:40.890]  Validates him.
[00:01:41.670 --> 00:01:46.213]  Headline Trooper Claims Dashboard Cam Upholds His Actions.
[00:01:46.733 --> 00:01:48.454]  This is their craziness.
[00:01:49.075 --> 00:02:00.141]  But before I get to that and break down the mental illness of the establishment, we're now violently pulling over an ambulance with a woman who thinks she's having a heart attack.
[00:02:00.161 --> 00:02:01.282]  Turned out she had heat stroke.
[00:02:02.363 --> 00:02:07.246]  Going to the hospital and then assaulting the EMTs for no reason.
[00:02:11.519 --> 00:02:22.823]  This is supposedly normal, but I wanted to just, of the hundreds of clips we have that document how the police have gone insane, the cop gets 40 months for beating a man in a wheelchair.
[00:02:23.443 --> 00:02:30.646]  I'm surprised they didn't claim he was talking back and that it was a danger to the public, because that's what they say in this article.
[00:02:30.686 --> 00:02:36.468]  They say the EMT was talking back to the officer and that was a danger to the public, so he deserved what happened to him.
[00:02:37.148 --> 00:02:43.793]  Well, I guess this person in a wheelchair was talking back, and I've got a bunch of videos of somebody in a wheelchair and they'll say, get up, and the person says, I'm paralyzed.
[00:02:44.234 --> 00:02:46.095]  They just throw them out and start beating them.
[00:02:47.076 --> 00:02:55.643]  In a rare instance, and it is rare, of justice, a Chicago cop received a sentence of more than three years in prison for mercilessly beating a man shackled to a wheelchair.
[00:02:56.884 --> 00:02:59.987]  The officer, Thug, was caught on a surveillance video
[00:03:01.340 --> 00:03:02.140]  Pummeling the man.
[00:03:02.460 --> 00:03:14.825]  Like something out of an evil torture chamber, the brutal cop, William Cozy, cuffed the victim's legs with a wheelchair and then struck him with a SAP.
[00:03:14.865 --> 00:03:15.726]  Whatever a SAP is.
[00:03:15.786 --> 00:03:19.087]  He later said the man attacked him, but the video shows otherwise.
[00:03:19.127 --> 00:03:19.867]  They always do that.
[00:03:20.668 --> 00:03:24.049]  Now the new thing is, if a cop says they're forced to punch you in the face,
[00:03:27.327 --> 00:03:29.428]  They will say that you assaulted them.
[00:03:29.928 --> 00:03:37.172]  And I've seen video after video of people not doing this, and they'll say it.
[00:03:38.013 --> 00:03:39.894]  And all these videos are coming out now.
[00:03:39.934 --> 00:03:41.315]  People have hidden cameras in their house.
[00:03:41.615 --> 00:03:44.016]  A cop's planting drugs and going, oh, just found drugs!
[00:03:44.036 --> 00:03:44.756]  You're going to jail!
[00:03:45.877 --> 00:03:53.841]  Now, ladies and gentlemen, here in Texas, and I'd say half the small towns, they just pull you over and take everything you got, and it's on the news, and the cops go on the news and go, yeah, we take your money here.
[00:03:54.402 --> 00:03:55.322]  Don't come through the town.
[00:03:57.119 --> 00:04:01.781]  I mean, and now they want to have databases where if you've criticized the police, the state of Texas is trying to pass this law.
[00:04:02.041 --> 00:04:05.462]  It's on their dash computers with automatic cameras that read all the plates.
[00:04:05.482 --> 00:04:08.663]  When you come through town, they go, oh look, Alex Jones talked bad about us.
[00:04:08.883 --> 00:04:10.904]  He's going to be passing through the light in about a minute.
[00:04:11.204 --> 00:04:13.285]  Well, hey, let me pull out a McDonald's and go over there.
[00:04:13.645 --> 00:04:14.965]  Get out of your car, Jones.
[00:04:15.005 --> 00:04:16.346]  I'm taking everything you got.
[00:04:16.986 --> 00:04:19.867]  And that's how Texas just operates now, out in the open.
[00:04:20.267 --> 00:04:23.168]  And the cops go and see it and go, we can take whatever we want.
