[00:00:00.908 --> 00:00:10.052]  Prepare yourself for a talk radio experience like no other.
[00:00:11.013 --> 00:00:12.394]  He stands for truth.
[00:00:13.754 --> 00:00:15.635]  He stands for justice.
[00:00:16.976 --> 00:00:18.677]  He stands for what's right.
[00:00:19.417 --> 00:00:21.758]  This is the Alex Jones Show.
[00:00:22.718 --> 00:00:25.560]  Call Alex now, toll free at 877-590-5525.
[00:00:31.093 --> 00:00:38.780]  Now live from Austin, Texas, here's Alex Jones.
[00:00:43.344 --> 00:00:44.645]  Welcome, ladies and gentlemen.
[00:00:44.705 --> 00:00:45.106]  Welcome.
[00:00:45.186 --> 00:00:46.767]  Thank you for joining us.
[00:00:46.787 --> 00:00:52.813]  I guess this will be the last show in the first month of the year here on the Sunday edition.
[00:00:53.353 --> 00:00:55.375]  January is almost over.
[00:00:56.456 --> 00:00:57.217]  Hard to believe.
[00:00:59.091 --> 00:01:03.714]  And we're going to be live here for the next two hours.
[00:01:03.814 --> 00:01:07.676]  I want to open the phones up to everybody out there.
[00:01:08.277 --> 00:01:15.121]  The toll-free number to join us is 877-590-5525, 877-590-5525.
[00:01:16.702 --> 00:01:19.724]  And I'll be going to your phone calls coming up in the next segment.
[00:01:19.744 --> 00:01:26.908]  If you're listening across the country on the AM and FM dial, theinternetatinfowars.com, on the streams, or Global Shortwave,
[00:01:27.298 --> 00:01:29.019]  You'll want to call the toll-free number 877-590-5525.
[00:01:29.140 --> 00:01:38.247]  If you're listening locally in Texas to our affiliate 590 AM that I originate this transmission from, it's 836-0590.
[00:01:38.267 --> 00:01:41.810]  And we will get you up and on the air.
[00:01:43.151 --> 00:01:49.817]  I want to go through Barack Obama and his first five days in office.
[00:01:50.017 --> 00:01:50.317]  What is it?
[00:01:50.577 --> 00:01:51.518]  Five days to date.
[00:01:54.255 --> 00:02:05.084]  He has pulled a stunt claiming he's closing Guantanamo Bay sometime in the next year, but saying they'll still have indefinite secret detention of the individuals that are being held there.
[00:02:05.784 --> 00:02:19.816]  Now, he did in his executive order say that they were going to move in the next year to look at ways, that's what his order really says, you can go read it, to close ghost sites around the world, but most of those ghost sites are secret.
[00:02:19.976 --> 00:02:21.177]  Those are the real torture camps.
[00:02:23.945 --> 00:02:46.052]  So on the surface, it's a good thing, because at least the new president is being forced, because of his constituents' demands, to on the surface pay lip service to the fact that a parallel legal system was created under the Military Commissions Act and the Patriot Act, where U.S.
[00:02:46.112 --> 00:02:53.174]  citizens can be secretly designated as terrorists and be secretly arrested and secretly taken to camp, secretly tortured,
[00:02:53.729 --> 00:02:54.750]  Secretly executed.
[00:02:55.750 --> 00:03:12.758]  And also in there, it states that even if they have a kangaroo military commission trial, and the president or his designates don't like what the military court has to say, the president or his designates can override that.
[00:03:13.719 --> 00:03:20.782]  And that has been done lately in some of the military commission trials they've had where the commissions have said,
[00:03:21.485 --> 00:03:31.070]  This person isn't a terrorist, and we have no evidence to hold them, and the White House and the Defense Department say, well, we're going to even supersede our own kangaroo court that happened to do the right thing.
[00:03:32.571 --> 00:03:41.515]  So what Barack Obama has announced, ABC News had a headline about secret sites in the United States, and all he's saying is in the next year, we're going to look
[00:03:42.168 --> 00:03:51.710]  At closing Guantanamo, and then moving people to bases like the military brig, the navy brig they've got in Charlton, South Carolina, and many others around the country.
[00:03:52.670 --> 00:03:56.251]  So it's lip service, but at least it's not the continual arrogance we've seen from George Bush.
[00:03:57.231 --> 00:04:07.153]  On every other subject, Obama wants a larger than trillion dollar defense budget, the biggest ever, passed for fiscal year 2009 last year, with his support, by the way, in the Senate.
[00:04:08.177 --> 00:04:08.257]  And
[00:04:29.738 --> 00:04:38.785]  The Associated Press is reporting out of Iraq and they're moving them in the next week to Afghanistan along with tens of thousands of army soldiers.
[00:04:39.726 --> 00:04:58.461]  So definitely an escalation there and Hillary Clinton just signed a new deal Friday with the leader of Israel, the Prime Minister of Israel, to in the next year either have Iran buckle to giving up their peaceful nuclear program
[00:04:59.065 --> 00:05:00.887]  Or to be physically attacked.
[00:05:01.087 --> 00:05:05.271]  So, on the war front, Obama is actually expanding things.
[00:05:05.311 --> 00:05:09.094]  That's why the neocons and Pat Robertson and others are coming out and endorsing him now.
[00:05:11.576 --> 00:05:19.783]  But the bigger issue is, we're hearing that Obama wants a new banking bailout.
[00:05:20.764 --> 00:05:26.569]  But if you read the banking bailout passed October 3rd of last year, that he cheerleaded the passing of, along with Bush,
[00:05:27.316 --> 00:05:37.678]  Again, it unified both parties to do this, despite the fact that Congress reported 1,000 to 1 phone calls against it, and polls registered 98 to 99% against it in major publications.
[00:05:39.058 --> 00:05:41.299]  Major scientific polls conducted by major publications.
[00:05:41.819 --> 00:05:42.679]  They just went ahead with it.
[00:05:43.099 --> 00:05:50.881]  And in there, I read it on air over and over again, the subsection where it said no court, no branch of government, no agency can review
[00:05:51.604 --> 00:06:17.755]  What the private fellow reserve does with the money and that it's not seven hundred billion that that is just a quote really big number they arrived at and uh... it's now eight point five trillion as of six weeks ago again for six weeks previously every week we hear a trillion three hundred billion on average was being stolen and they wouldn't say where it was going since then since uh... the a p other publications ran that headline eight point five trillion they just are saying it's all completely secret now so
[00:06:18.889 --> 00:06:25.635]  I can't wait till someday, maybe in my grandchildren's grandchildren's time, we find out what the private banks sucked out of the country.
[00:06:27.396 --> 00:06:28.637]  But I'm being facetious.
[00:06:28.677 --> 00:06:35.983]  I'm sure we'll find out soon enough because they've got to tell us as taxpayers that we have to pay this back to the very private banks that are being loaned the money.
[00:06:37.325 --> 00:06:44.811]  Because all this fiat currency, all this liquidity, all this credit, it's packed up by our name, our credit, our faith, our taxes.
