[00:00:01.191 --> 00:00:01.611]  Michigan.
[00:00:02.933 --> 00:00:04.376]  You're not allowed to do that anymore.
[00:00:04.416 --> 00:00:06.539]  You don't have free association in America.
[00:00:08.305 --> 00:00:11.126]  Here is a London Mirror story.
[00:00:11.647 --> 00:00:13.528]  Our UK children law is too strict.
[00:00:14.008 --> 00:00:17.009]  It says you're not even allowed to talk to your neighbor's kids.
[00:00:17.069 --> 00:00:22.632]  You're not allowed to babysit them or have them come over in the morning before they get on the government training center bus.
[00:00:23.332 --> 00:00:27.554]  Now, this dovetails with Obama saying he wants year-round school.
[00:00:28.174 --> 00:00:30.596]  President Obama and year-round school.
[00:00:31.436 --> 00:00:32.437]  School is forever.
[00:00:32.857 --> 00:00:35.178]  Obama would curtail summer vacation.
[00:00:35.218 --> 00:00:37.239]  That's Associated Press right here.
[00:00:39.380 --> 00:00:42.081]  This is why he wants the televised announcements to the kids.
[00:00:42.541 --> 00:00:43.782]  This is the federal government.
[00:00:43.822 --> 00:00:45.302]  I've read their policy reports on air.
[00:00:45.322 --> 00:00:47.223]  We've had the former head, No.
[00:00:47.243 --> 00:00:49.524]  2 position, Department of Education on Charlotte Isserby.
[00:00:49.544 --> 00:00:51.144]  In fact, let's set her back up about this.
[00:00:51.564 --> 00:00:52.785]  They told her in the 80s.
[00:00:52.825 --> 00:00:53.685]  That's why she left.
[00:00:55.046 --> 00:00:57.206]  They said, we're going to take over the family through the school.
[00:00:57.246 --> 00:00:58.387]  We're going to outlaw the family.
[00:00:59.227 --> 00:01:05.189]  Now remember, $15 million fine the second time you have a garage sale that's unauthorized.
[00:01:05.229 --> 00:01:06.790]  Are you selling any recalled products?
[00:01:08.563 --> 00:01:17.426]  The animal ID, the premises ID, government documents to be able to have a solar panel.
[00:01:17.706 --> 00:01:19.066]  We just talked about that last segment.
[00:01:19.426 --> 00:01:21.427]  Let's go to her right now in Michigan.
[00:01:21.727 --> 00:01:24.988]  Lisa Snyder in this 1984 world.
[00:01:25.608 --> 00:01:26.849]  Lisa, thank you for joining us.
[00:01:27.029 --> 00:01:27.849]  Thank you for having me.
[00:01:28.655 --> 00:01:31.156]  Okay, you've been on the national news, but just sound bites.
[00:01:31.176 --> 00:01:33.037]  You've got the floor for the next ten minutes or so.
[00:01:33.217 --> 00:01:33.458]  Okay.
[00:01:33.498 --> 00:01:34.758]  Tell folks what happened.
[00:01:35.439 --> 00:01:36.819]  Break down what you're facing.
[00:01:36.859 --> 00:01:41.842]  But first, you just heard my breakdown of government taking over society.
[00:01:42.162 --> 00:01:43.423]  Were you aware of that angle?
[00:01:43.723 --> 00:01:44.403]  No, I was not.
[00:01:44.924 --> 00:01:46.485]  What do you think of the statements I just made?
[00:01:47.245 --> 00:01:48.826]  It's stupid.
[00:01:49.826 --> 00:01:54.649]  It's bad, and yeah, the government doesn't need to stick their nose where it doesn't belong.
[00:01:55.865 --> 00:01:56.406]  Absolutely.
[00:01:56.466 --> 00:02:00.651]  Okay, tell us how this started, how you became a 1984 criminal.
[00:02:00.851 --> 00:02:01.612]  My law was 1973.
[00:02:01.652 --> 00:02:04.495]  The law that they say I was breaking, it's the Act No.
[00:02:04.515 --> 00:02:04.576]  116 of 1973.
[00:02:11.800 --> 00:02:15.823]  But the point is they're now trying to enforce this similarly worldwide.
[00:02:16.083 --> 00:02:16.944]  The CPS.
[00:02:17.284 --> 00:02:18.605]  Who tattled on you?
[00:02:19.245 --> 00:02:20.506]  I mean, break it down for us.
[00:02:20.806 --> 00:02:21.147]  Okay.
[00:02:22.107 --> 00:02:25.770]  My house is a bus stop for the children of our neighborhood.
[00:02:27.991 --> 00:02:34.796]  I have an older son and my friends have older children that now, our youngest ones, don't ride the bus anymore.
[00:02:34.816 --> 00:02:38.679]  They all rode together, but now the older ones go off and the younger ones are left behind.
[00:02:39.645 --> 00:02:48.828]  So my daughter did not want to get on the bus by herself, so we just thought it was a great idea to get the kids together, to get on the bus together, so that they were, um, they felt safe.
[00:02:49.389 --> 00:02:51.469]  Two of them are five, two of them are seven.
[00:02:52.530 --> 00:02:57.752]  Of course, you know, they don't have, um, they just feel scared.
[00:02:58.212 --> 00:03:00.693]  So we planned this two days into it.
[00:03:01.551 --> 00:03:12.055]  I received, it was, the letter that I received was September 11th, but I didn't receive it until the following week, that I was providing care for unrelated children in my home.
[00:03:12.455 --> 00:03:15.556]  So I called the DHS and said, I don't understand this.
[00:03:15.696 --> 00:03:17.337]  I am not doing anything wrong.
[00:03:17.497 --> 00:03:18.517]  There is a bus stop.
[00:03:18.857 --> 00:03:19.558]  They do come in.
[00:03:20.914 --> 00:03:26.717]  If it's cold outside, if it's raining, we live in Michigan, the weather can be funny one minute and snowing the next.
[00:03:27.418 --> 00:03:33.001]  And I said, you know this, you live in Michigan, and she said, I said, what do you want me to do when it's raining outside?
[00:03:33.021 --> 00:03:35.863]  And she told me to tell their parents to buy them an umbrella.
[00:03:36.914 --> 00:03:38.375]  So they're now your God.
[00:03:38.475 --> 00:03:44.318]  I mean, they're now going to tell you that you can't have neighbors' kids wait in your front room when it's cold outside.
[00:03:45.638 --> 00:03:47.879]  These are our new Soviet minders.
[00:03:47.939 --> 00:03:52.942]  I mean, I want this to really hit people that the Amish are having their kids taken
[00:03:53.842 --> 00:03:58.185]  They're not letting people sell eggs and watermelons on the side of the highway anymore across the country.
[00:03:58.405 --> 00:04:03.687]  They're SWAT teaming them, having undercovers come buy watermelons and then SWAT team them.
[00:04:04.208 --> 00:04:08.610]  I mean, the government has run out of real criminals to feed on.
[00:04:08.910 --> 00:04:09.771]  We're now dinner.
[00:04:10.971 --> 00:04:12.112]  So what happened next?
[00:04:12.572 --> 00:04:16.394]  So I just kept talking to her and saying, okay, can they at least be in my garage?
[00:04:16.454 --> 00:04:18.195]  No, because the garage is a part of the house.
[00:04:18.255 --> 00:04:19.136]  I can't even do that.
[00:04:20.076 --> 00:04:27.441]  So, um, I just got really angry and I told her that I had to stop talking cause she, I mean, what she was saying did not make sense.
[00:04:27.481 --> 00:04:33.584]  So then my friend wrote to Brian Kelly and he jumped aboard immediately and said, this is ridiculous.
[00:04:33.685 --> 00:04:37.667]  It's such a broad law that, um,
[00:04:39.907 --> 00:04:47.632]  It doesn't, there's such a broad spectrum that it needs to be, you know, you need to have facts.
[00:04:47.832 --> 00:04:49.293]  There's no facts in this law.
[00:04:49.373 --> 00:04:51.274]  I mean, it can be for babysitting.
[00:04:51.374 --> 00:04:53.256]  It can be for a play date.
[00:04:53.696 --> 00:04:55.257]  My daughter has a little girl over.
[00:04:55.277 --> 00:05:03.863]  I was told that I need to ask her parents if they go out to dinner, if they're going out to dinner or to a movie or whatever, that is considered daycare.
[00:05:03.903 --> 00:05:05.884]  But if they go home, then it's okay.
[00:05:05.964 --> 00:05:07.045]  I'm like, I'm not going to ask that.
[00:05:07.065 --> 00:05:07.685]  That's retarded.
[00:05:07.705 --> 00:05:08.586]  No ma'am, come on.
[00:05:09.266 --> 00:05:16.129]  You've got to ask permission if you take your daughter and her little friend to McDonald's to have a happy meal.
[00:05:16.189 --> 00:05:18.570]  Look, are you Al Qaeda or something?
[00:05:18.670 --> 00:05:20.290]  I mean, airport security.
[00:05:20.390 --> 00:05:21.611]  America is now secure.
[00:05:21.631 --> 00:05:24.132]  They want to put metal detectors in shopping malls.
[00:05:24.652 --> 00:05:28.293]  You need to ask CPS permission to go have a hamburger.
[00:05:28.313 --> 00:05:29.474]  Yeah, well, no.
[00:05:29.494 --> 00:05:32.375]  I have to ask them to have my kids have playdates.
[00:05:34.179 --> 00:05:34.921]  That's freedom!
[00:05:35.603 --> 00:05:42.639]  Ma'am, ma'am, ma'am, the veterans fought and died so that you wouldn't have permission to take the neighbor's child for hamburger.
[00:05:43.410 --> 00:05:46.052]  You've got to get government permission, not the parents.
[00:05:46.072 --> 00:05:47.853]  But see, I'm going to stop being sarcastic.
[00:05:47.893 --> 00:05:49.374]  What they're doing is setting a precedent.
[00:05:49.615 --> 00:05:55.359]  And worldwide, they're making these announcements that you can't keep your neighbor's kids, you can't even have kids' neighbors over.
[00:05:57.160 --> 00:06:02.044]  I had a Wall Street Journal reporter here who was in England, and she was taking photographs of a famous river.
[00:06:02.424 --> 00:06:03.505]  No children were even there.
[00:06:03.865 --> 00:06:05.447]  And people, police came up and said,
[00:06:06.167 --> 00:06:08.148]  You can't photograph the river.
[00:06:08.168 --> 00:06:09.889]  There may be a child somewhere on the river.
[00:06:09.949 --> 00:06:10.829]  This is pedophilia.
[00:06:10.889 --> 00:06:11.710]  Are you a pedophile?
[00:06:12.070 --> 00:06:19.974]  So it's about government teaching us all we're criminals so that we can all be inducted basically into this prison system.
[00:06:20.294 --> 00:06:29.999]  So you've got a state rep involved trying to pass a law because they've passed a previous law they're now implementing saying you can't have a playdate with the neighbors.
[00:06:30.717 --> 00:06:34.582]  Yeah, well, and then the governor is on board, too, because she did not know.
[00:06:34.642 --> 00:06:43.372]  I guess she must not have realized that this was going on, and now she has jumped aboard and wants this taken care of immediately, because it is ridiculous.
[00:06:43.472 --> 00:06:45.515]  It's the dumbest wall that's out there.
[00:06:45.995 --> 00:06:48.618]  We, as Americans, live in the free world.
[00:06:48.678 --> 00:06:49.580]  We should be able to
[00:06:51.272 --> 00:06:52.173]  Yeah, no.
[00:07:13.661 --> 00:07:19.963]  So, I mean, it doesn't matter if you're a good mother when it's freezing cold and gets below zero, trying to let neighborhood kids duck in for a few minutes.
[00:07:20.043 --> 00:07:21.403]  You're not allowed.
[00:07:21.483 --> 00:07:23.143]  What, you think this is America or something?
[00:07:23.163 --> 00:07:24.624]  Yeah.
[00:07:26.784 --> 00:07:29.685]  So, what is the slimy CPS doing?
[00:07:29.705 --> 00:07:34.306]  Did you find out who reported you to the Bureau of Family Destruction?
[00:07:34.866 --> 00:07:35.786]  I did not, no.
[00:07:37.847 --> 00:07:43.028]  I mean, have you asked the... Ma'am, did you know how CPS was set up?
[00:07:44.701 --> 00:07:45.044]  Do I?
[00:07:45.346 --> 00:07:45.507]  No.
[00:07:46.749 --> 00:07:49.970]  Well, let me just tell you, because you're influential, you're talking to a lot of folks.
[00:07:50.611 --> 00:07:54.232]  Family court was set up to carry out eugenics, the sterilization.
[00:07:54.452 --> 00:07:56.333]  You know, Hitler got his eugenics from us.
[00:07:57.773 --> 00:07:59.214]  I made a film about it called Endgame.
[00:07:59.454 --> 00:08:03.816]  And so that's why these family courts are outside of the regular courts and due process.
[00:08:04.176 --> 00:08:15.781]  And that's why their agents can get away with all this, because 80, 90 years ago, or even in the 30s, 75, 80 years ago, these were the people that would come grab you and your kid and go sterilize you.
[00:08:15.801 --> 00:08:16.261]  Did you know that?
[00:08:19.705 --> 00:08:20.806]  Had you ever heard about that?
[00:08:21.106 --> 00:08:21.846]  No, I haven't.
[00:08:22.226 --> 00:08:34.033]  Well, listen, I know that sounds crazy, but if you just Google endgame eugenics, you can watch the actual government film clips where they had the movie reels teaching parents that this was OK.
[00:08:34.353 --> 00:08:39.196]  So we have this vestigial, you know, leftover Hitlerian system.
[00:08:39.736 --> 00:08:41.937]  Well, I mean, here's an example for you.
[00:08:45.303 --> 00:08:51.066]  How is there even a spy network to know that you had neighbor kids over before they caught the bus?
[00:08:51.326 --> 00:08:52.146]  I have no idea.
[00:08:52.166 --> 00:08:54.187]  I mean, does that sound like Nazi Germany?
[00:08:54.907 --> 00:08:55.287]  Well, no.
[00:08:55.387 --> 00:09:10.814]  It's just a nosy neighbor that, um... I guess that... We don't know which neighbor, but I just think that someone must be very unhappy or, I don't know, thought that they would get... I don't know what they thought, actually.
[00:09:10.834 --> 00:09:13.495]  It's just a sad, sad, um...
[00:09:16.152 --> 00:09:21.574]  Well, the family is a unit that, according to the Department of Education, must be destroyed and replaced by the state.
[00:09:22.214 --> 00:09:24.655]  The individual must owe their allegiance to the state.
[00:09:25.235 --> 00:09:31.517]  That's why they put all the pressures they can on communities, so community collapses, so all that's left is the government.
[00:09:32.377 --> 00:09:38.059]  And that's why CPS is five times more likely to abuse children than any other group.
[00:09:38.780 --> 00:09:41.200]  What are the children doing now that winter's coming on?
[00:09:41.260 --> 00:09:43.021]  I guess they just freeze outside?
[00:09:44.031 --> 00:10:02.801]  No, um, well, I'm still, I mean, I am well within my 28 days of, I only watched them, um, the one little boy, the one little boy stopped coming, but the other little boy, I still have like 26 more days to go before, and he only goes to school every other day, so I'm okay.
[00:10:03.622 --> 00:10:06.463]  Well, I think the CPS workers playing God should be fired.
[00:10:07.244 --> 00:10:10.526]  Have you heard they're telling people they can't have neighbors over for Bible study now?
[00:10:11.385 --> 00:10:11.885]  I have not.
[00:10:12.506 --> 00:10:13.266]  All over the country.
[00:10:13.286 --> 00:10:17.589]  Yeah, we're told, we're being told, isn't free association the most basic thing?
[00:10:17.649 --> 00:10:19.130]  Isn't it the parents' decision?
[00:10:19.270 --> 00:10:19.510]  Right.
[00:10:19.530 --> 00:10:21.671]  If their children stay at your house, not the government?
