[00:00:00.109 --> 00:00:01.711]  You know, Ron Paul grills Ben Bernanke.
[00:00:20.017 --> 00:00:25.301]  And Paul Sinodal Geithner, somewhat, but he's so gentlemanly he doesn't really nail them like some of us would like.
[00:00:25.961 --> 00:00:32.545]  There's an independent congressman, we're going to play this clip coming up at the start of the next hour, who absolutely savages him and says, where's the money?
[00:00:32.626 --> 00:00:34.207]  Why won't you say where the trillions went?
[00:00:34.527 --> 00:00:36.088]  And Bernanke will not say.
[00:00:36.528 --> 00:00:38.249]  That's some of those clips coming up in the next hour.
[00:00:38.269 --> 00:00:45.174]  Then we've got a doctor coming on, a medical doctor, about how vaccines over and over again end up causing the plagues they're supposedly meant to treat.
[00:00:45.194 --> 00:00:46.075]  This is on record.
[00:00:46.815 --> 00:00:51.537]  Because that dovetails with a story that Paul Watson wrote, it's up on PrisonPlanet.com.
[00:00:52.037 --> 00:00:57.380]  Accidentally contamination a vaccine with live avian flu virus, virtually impossible.
[00:00:58.200 --> 00:01:05.384]  And it's all over the German, it's all over the Czech news, it's all over the Canadian news, Canadian Free Press, the Toronto Sun.
[00:01:06.144 --> 00:01:08.466]  Baxter product contained live flu virus.
[00:01:08.767 --> 00:01:20.038]  Had nothing to do with the regular flu vaccine with a spectrum of different viruses being prepared at different labs in Europe from the flu virus stock sent by the U.S.
[00:01:20.058 --> 00:01:20.318]  company.
[00:01:20.338 --> 00:01:21.519]  We've got it up on screen right now.
[00:01:21.539 --> 00:01:22.580]  We're live at PrisonPlanet.tv.
[00:01:26.790 --> 00:01:30.394]  And so, number one, it shouldn't have been mailed out to all these firms.
[00:01:30.654 --> 00:01:39.144]  Then they gave them instructions to mix it, without telling them what it was, with the other spectrum of regular flu viruses that are airborne and highly contagious, with the deadly.
[00:01:39.164 --> 00:01:40.045]  But it's hard to catch.
[00:01:40.085 --> 00:01:43.228]  But if you can catch it, it only lives a few seconds in the air.
[00:01:43.669 --> 00:01:45.411]  Regular flu can live like 30 minutes or longer.
[00:01:47.979 --> 00:01:58.482]  If it recombines with this, which is what it would normally do, either in the live batch being made, or once it got in the human body, it would just be a devastating plague.
[00:01:59.102 --> 00:02:06.724]  Now, what's so scary about this is that they then radiate all of these and send them out to sub-labs that are supposed to do tests.
[00:02:07.504 --> 00:02:09.965]  And a lab in Czechoslovakia, this went all over Europe,
[00:02:11.212 --> 00:02:21.916]  They give ferrets an injection of it, and if the ferret doesn't get sick, they know that the flu was prepared and isn't live, because they have a problem with it not being damaged enough by the radiation to still be live flu, just the regular flu.
[00:02:22.557 --> 00:02:30.240]  But instead of the ferrets not getting sick like they were supposed to, or getting sick if it was regular flu vaccine and it hadn't been radiated right, they died.
[00:02:30.580 --> 00:02:33.121]  And so they tested what was in it and said, my God, this is...
[00:02:35.131 --> 00:02:38.553]  The H5N1, the deadly bird flu.
[00:02:38.573 --> 00:02:42.054]  Again, hard to catch, but if you catch it, it kills people more than 60% of the time.
[00:02:42.854 --> 00:02:44.355]  Just deadly, deadly, deadly.
[00:02:45.275 --> 00:03:04.164]  So, incredible accident after incredible accident after incredible accident, and a lot of scientists are quoted in the Czechoslovakian news, Czech Republic news, other papers, saying, you know, we think this could be a setup by the company to cause some outbreak, and then they are also developing separately an HN
[00:03:05.399 --> 00:03:09.703]  An H5N1 vaccine, and this could be a money-making scam.
[00:03:09.943 --> 00:03:15.348]  You know, it's not Alex Jones saying that, it's the news saying that.
[00:03:16.669 --> 00:03:25.698]  And Baxter's been involved, before we have links to that, with Bayer that shipped out the live HIV and hepatitis in the Factor VIII blood product millions.
[00:03:27.492 --> 00:03:43.681]  I mean, this is just off the charts insane and you know, when I was talking to Marcus Williams about getting him on the show, he's a patriot, carries my books and films at his Nubian bookstore, one of the most successful private, you know, single-standing black bookstores in the country, and I got to know him because he sent us some
[00:03:44.441 --> 00:03:47.926]  We're working on getting Professor Griff on the show as soon as his schedule allows.
[00:04:03.084 --> 00:04:07.227]  He also told my producer this, you know, a black voice criticizing him so they can't claim it's some race thing.
[00:04:07.547 --> 00:04:23.396]  But he said, really, I want you to talk about, and he recommended some guests I have on, about how through the vaccines and other systems, how they're poisoning us, how the UN's been caught adding hormones to tetanus shots in Africa and other places to sterilize women.
[00:04:23.416 --> 00:04:24.837]  That's on record mainstream news.
