[00:00:09.119 --> 00:00:10.260]  Kissed a renegade.
[00:00:10.500 --> 00:00:12.641]  You only want things that God has made.
[00:00:12.721 --> 00:00:15.782]  Go to hempusa.org.
[00:00:17.203 --> 00:00:19.364]  We offer free shipping anywhere in the states.
[00:00:19.444 --> 00:00:22.626]  Go to hempusa.org.
[00:00:23.826 --> 00:00:26.587]  Into a system that ranks doctors based on cost.
[00:00:26.607 --> 00:00:28.408]  Thank you for listening to GCN.
[00:00:28.809 --> 00:00:31.150]  Visit gcnlive.com today.
[00:00:31.690 --> 00:00:33.331]  KLVJ Austin.
[00:00:36.776 --> 00:00:38.318]  Hi, you're in USA Radio News.
[00:00:38.458 --> 00:00:39.520]  I'm Jason Walker.
[00:00:39.860 --> 00:00:43.946]  Just one week ago, North Korea launched that rocket against the urging of world leaders.
[00:00:44.286 --> 00:00:51.276]  Now the five permanent members of the UN Security Council, along with Japan, have finished working on a draft presidential statement.
[00:00:51.596 --> 00:01:06.450]  The document being circulated to the full 15-nation council says, quote, Security Council condemns the April 5th launch by the Democratic People's Republic of Korea, which is the contravention of its Security Council resolution number 1718.
[00:01:08.272 --> 00:01:13.497]  Pirates have seized a U.S.-owned tugboat in the Gulf of Aden, just north of Somalia.
[00:01:13.877 --> 00:01:19.462]  A Portuguese warship in the area says 10 members of the 16-man crew are Italian citizens.
[00:01:19.882 --> 00:01:21.264]  Crew believed to be unharmed.
[00:01:21.544 --> 00:01:28.430]  Meanwhile, still no resolution to that standoff with pirates who have captured the captain of a U.S.-flagged vessel.
[00:01:29.070 --> 00:01:31.933]  This is IRN USA Radio News.
[00:01:33.507 --> 00:01:37.650]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:38.010 --> 00:01:46.955]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:47.296 --> 00:01:49.017]  Hi, how in the world are you anyway?
[00:01:49.297 --> 00:01:52.499]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:52.919 --> 00:01:57.284]  The three-step plan helps people feel better, look better, and make more money.
[00:01:57.705 --> 00:02:02.009]  History has shown that our product line actually grows during an economic slowdown.
[00:02:02.350 --> 00:02:09.618]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:10.143 --> 00:02:18.948]  With the 3-Step Plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:19.289 --> 00:02:20.850]  Don't wait for things to get worse.
[00:02:21.230 --> 00:02:23.131]  Check out the 3-Step Plan today.
[00:02:23.451 --> 00:02:25.652]  Go to 3stepplan.com or call 800-480-2102.
[00:02:25.672 --> 00:02:25.712]  800-480-2102.
