[00:00:00.150 --> 00:00:00.914]  We're good.
[00:00:32.944 --> 00:00:38.908]  All right, ladies and gentlemen, we are live and we are simulcasting at PrisonPlanet.tv.
[00:00:38.948 --> 00:00:44.312]  We have an hour and 52 minutes left in the show today.
[00:00:46.294 --> 00:00:48.976]  And I'm about to go right back to your phone calls.
[00:00:48.996 --> 00:00:56.201]  We have Jesse Ventura joining us coming up later in the next hour, and we have Daryl Rundis in studio coming up in about 25 minutes.
[00:00:57.221 --> 00:00:59.203]  As promised, let's continue with your calls.
[00:00:59.603 --> 00:01:00.584]  Mark in Oregon.
[00:01:00.644 --> 00:01:01.485]  Mark, you're on the air.
[00:01:02.679 --> 00:01:03.920]  Hey, thank you, Alex.
[00:01:03.940 --> 00:01:04.861]  Good afternoon to you.
[00:01:05.441 --> 00:01:06.222]  Good afternoon to you.
[00:01:06.722 --> 00:01:07.523]  Thank you, Alex.
[00:01:08.564 --> 00:01:22.936]  Alex, this past Monday I was listening to a live broadcast of Rick Wildshow, and he interviewed Congressman Steve King of the 5th District of Iowa.
[00:01:23.996 --> 00:01:30.582]  Congressman King sits on the Judiciary Committee, and he's been in Congress for about seven years.
[00:01:32.042 --> 00:01:37.185]  He said that, I believe this meeting was on that same Monday of the show, about three days ago.
[00:01:38.145 --> 00:02:01.538]  He said that in committee, uh, Congressman Al C. Hastings, relative to the, uh, ongoing hate crimes legislation, which is moving through Congress, that Congressman Hastings named off 30 different philias, as he termed them, such as pedophilia and various necrophilia, perhaps, I don't know.
[00:02:02.891 --> 00:02:15.883]  uh... but thirty failures altogether which he proposed and directed would be covered and protected and this upcoming hate crimes bill which is moving very quickly here.
[00:02:16.123 --> 00:02:17.084]  Oh no, that's big news!
[00:02:17.124 --> 00:02:17.885]  That's confirmed.
[00:02:18.746 --> 00:02:21.268]  Reverend Ted Pike and others have pointed out the subsections.
[00:02:21.668 --> 00:02:22.549]  NAMBLA is involved.
[00:02:22.609 --> 00:02:24.131]  It actually protects pedophiles.
[00:02:24.813 --> 00:02:25.153]  Yeah.
[00:02:25.374 --> 00:02:31.719]  And so they want to come after you with hate crimes laws for pedophilia, because that's who runs things, is the pedophile guilds.
[00:02:32.040 --> 00:02:35.203]  That's the dominant subgroup out there.
[00:02:35.463 --> 00:02:38.546]  It goes across racial and religious lines, but that's what we're talking about.
[00:02:39.126 --> 00:02:46.133]  And then also, more important than even that is, see everybody's focused on the hate crimes bill, which is fine, but that's nothing.
[00:02:47.133 --> 00:02:57.660]  Because that says, if you commit a crime, then we're going to charge you and prosecute you and give you two or three times more time in prison if you do it to the protected pedophiles or this or that group.
[00:02:59.040 --> 00:03:04.204]  The Cyber Bullying Act is a million times worse and nobody's talking about this.
[00:03:05.057 --> 00:03:07.139]  In the liberty movement, and I don't understand it.
[00:03:07.519 --> 00:03:23.454]  It's even in Reuters, and Hannah Montana's on TV pushing it, you know, as her character, to the kids, that if you quote, bully someone, criticize someone online, say something that hurts someone's feelings, and that's what they do in Europe, they say, well this could incite violence, this could hurt someone's feelings, you get arrested.
