[00:00:00.429 --> 00:00:01.670]  ...author many times over.
[00:00:02.230 --> 00:00:03.470]  He wrote The Obama Nation.
[00:00:04.331 --> 00:00:08.192]  He wrote The Late Great USA that we sell at InfoWars.com, the latest edition.
[00:00:08.732 --> 00:00:17.696]  He is Dr. Jerome Corsi joining us for the Balance of the Hour to talk about the NAU meeting on Mexico that nobody's talking about but he's covering.
[00:00:18.516 --> 00:00:20.798]  I mentioned it a few weeks ago, but I had kind of forgotten about it.
[00:00:21.179 --> 00:00:27.524]  We're going to talk about how they're beating up people with the police that are now against Obamacare on video, and then arresting those.
[00:00:27.805 --> 00:00:32.309]  They beat up, we've got the lawyer coming on later, one of our listeners, they contacted us, we have the video.
[00:00:32.769 --> 00:00:37.353]  This is happening everywhere, and he's going to cover, of course, the birth certificate, what he really thinks is going on there.
[00:00:37.614 --> 00:00:39.455]  Dr. Corsi, it's great having you on with us.
[00:00:39.736 --> 00:00:41.117]  Hi Alex, it's great to be back.
[00:00:41.197 --> 00:00:41.697]  Thank you.
[00:00:42.278 --> 00:00:42.678]  You bet.
[00:00:44.170 --> 00:00:51.774]  Out of the gates, let's get into what's happening with demonstrations everywhere, truly spontaneous.
[00:00:51.854 --> 00:00:57.116]  I've had neighbors and friends that went to them with the Lloyd Doggett last weekend at the Randall's grocery store.
[00:00:57.196 --> 00:00:59.558]  I didn't even know about it until I saw the video.
[00:00:59.638 --> 00:01:02.699]  I talked to my neighbor, talked to one of my dad's employees who was there.
[00:01:03.399 --> 00:01:06.861]  Most of these are Democrats because they only sent letters out to them.
[00:01:07.221 --> 00:01:11.343]  They're mad and the media is trying to spin it, saying it's staged.
[00:01:11.903 --> 00:01:12.644]  What do you make of this?
[00:01:13.083 --> 00:01:19.270]  Well, first of all, the people who are showing up at the town hall meetings are average Americans.
[00:01:19.370 --> 00:01:23.695]  They're middle class Americans who are upset predominantly about the health care.
[00:01:24.436 --> 00:01:33.506]  They're very concerned that this takeover of the health care system is going to give them poorer health care, cost more in taxes than the seniors.
[00:01:34.116 --> 00:01:37.599]  Our very concern is going to end up being rationing of health care to seniors.
[00:01:37.799 --> 00:01:39.420]  Well, Daschle said that in his book.
[00:01:39.480 --> 00:01:40.241]  It's in the bill.
[00:01:40.661 --> 00:01:42.422]  And this is nothing but eugenics.
[00:01:42.442 --> 00:01:44.224]  I mean, even Fox News has said it's eugenics.
[00:01:44.264 --> 00:01:45.765]  The doctor they had on.
[00:01:45.805 --> 00:01:48.307]  I mean, this is the government running your health care.
[00:01:48.607 --> 00:01:51.289]  I can't think of anything worse with these control freaks.
[00:01:51.549 --> 00:01:56.533]  Well, I don't think people want a 28-year-old bureaucrat making decisions on what health care they can get.
[00:01:57.233 --> 00:01:58.214]  Especially seniors.
