[00:00:19.507 --> 00:00:21.928]  43 days left.
[00:00:21.948 --> 00:00:23.629]  43 until the most historic election.
[00:00:24.369 --> 00:00:26.930]  Undoubtedly hands down in world history.
[00:00:28.150 --> 00:00:29.811]  It's Monday the 24th day of September 2018.
[00:00:30.431 --> 00:00:34.092]  I'm your host Alex Jones and this is the InfoWar.
[00:00:34.132 --> 00:00:37.933]  We're going to be here live for the next four hours.
[00:00:38.033 --> 00:00:43.415]  In the War Room with Owen Schroyer and Roger Stone is coming up ladies and gentlemen.
[00:00:45.276 --> 00:00:48.097]  Rod Rosenstein is on his way to the White House.
[00:00:49.298 --> 00:00:52.219]  Mainstream media says to either be fired or resign.
[00:00:52.359 --> 00:00:58.101]  Well, look, he got caught trying to overthrow the president working with others.
[00:00:59.382 --> 00:01:16.749]  And now because he's no longer useful to the deep state, they are preparing to throw him overboard because Trump has told the entire swamp that if they don't get loyal immediately to the Republic and stop the attempts for the 25th Amendment and for basically martial law in this country,
[00:01:17.685 --> 00:01:19.968]  Even Politico and even McClatchy.
[00:01:20.008 --> 00:01:22.390]  In fact, we give you the stack that's in the podcast room from last night.
[00:01:23.592 --> 00:01:30.699]  They even called it a nightmare scenario, end of the world scenario, civil emergency.
[00:01:31.636 --> 00:01:37.020]  And that's really the big takeaway, is the Democrats are enjoying their third term of Obama right now in their minds.
[00:01:37.600 --> 00:01:39.942]  They call Hillary the president, all over television.
[00:01:40.302 --> 00:01:49.809]  And they've got their bureaucrats taking orders from Hillary and Obama, and Obama is operating under executive orders that put a civil emergency in place right before he left office.
[00:01:49.949 --> 00:01:51.270]  And that's in all the documents.
[00:01:52.591 --> 00:01:55.793]  That's what's so incredible about all of this.
[00:01:56.573 --> 00:01:59.475]  And so, Mike Adams is joining us in the third hour,
[00:02:00.598 --> 00:02:09.881]  He made the point under the Constitution, and under executive orders that are already there, that Trump could basically arrest thousands of members of the deep state who are trying to overthrow the election.
[00:02:10.181 --> 00:02:17.223]  You see, they're the ones that have brought us to the point of civil emergency and saying they want a bigger civil emergency, that they want 25th Amendment.
[00:02:17.624 --> 00:02:18.724]  We don't want martial law.
[00:02:18.864 --> 00:02:19.904]  I don't want martial law.
[00:02:21.205 --> 00:02:26.206]  And I don't want to say I'm going to debate it with Mike, but I'm going to discuss the different angles of it.
[00:02:26.266 --> 00:02:27.587]  But because of the climate,
[00:02:28.663 --> 00:02:43.172]  That we are in in this country, and because of how dangerous things have gotten, and because of the criminal elements that are operating as if Trump's illegitimate, and as if they're their own government, we have two parallel governments operating at the federal level, and that is insanely dangerous.
[00:02:43.472 --> 00:02:56.601]  You have Obama and John Kerry following Trump around, a day behind him around the world, trying to derail the diplomacy, and the detente, and the
[00:02:58.540 --> 00:03:02.604]  Actions of the United States because they're globalist working against this country.
[00:03:02.644 --> 00:03:13.115]  So what does the president do at the point that they're trying to organize the FBI, the Justice Department, the CIA to overthrow the president and go after President Trump supporters?
[00:03:13.415 --> 00:03:19.922]  What do you do when you're faced with a multinational globalist Chinese communist funded group of traitors?
[00:03:21.394 --> 00:03:27.398]  What would George Washington do with all of this ongoing treason that is unfolding?
[00:03:28.258 --> 00:03:31.741]  So I don't want to escalate this into open tanks on the streets.
[00:03:32.141 --> 00:03:33.702]  That's the most extreme form of martial law.
[00:03:35.097 --> 00:03:37.077]  We're under a civil emergency.
[00:03:37.578 --> 00:03:38.758]  Obama declared one.
[00:03:39.038 --> 00:03:41.718]  Trump never rescinded it, and I never thought of that.
[00:03:42.098 --> 00:03:50.720]  I knew about the emergency Obama put in, and we're the first to talk about it, and it's why they want us banned, because we're pointing out real politique, how things really work, the deep state.
[00:03:50.980 --> 00:03:56.781]  Now it's being picked up by Hannity and Limbaugh and, you know, obviously Tucker Carlson and others, because it's true.
[00:03:58.522 --> 00:04:01.262]  We cover the hard subjects that others are afraid to cover.
[00:04:01.302 --> 00:04:04.423]  We hit the barbed wire, and we're respected for that.
[00:04:05.305 --> 00:04:06.067]  By the President.
[00:04:06.788 --> 00:04:07.449]  And by others.
[00:04:07.670 --> 00:04:08.852]  And we've been thanked for that.
[00:04:09.253 --> 00:04:11.337]  And the globalists have my phones tapped.
[00:04:11.718 --> 00:04:12.259]  The deep state.
