[00:00:01.653 --> 00:00:02.835]  We're good to go.
[00:00:16.681 --> 00:00:27.809]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:00:27.809 --> 00:00:38.757]  Black Lives Matter would have black Americans believe that they should fall in line when it comes to the confiscation of the one thing that stands in the way of tyrannical oppression, the Second Amendment.
[00:00:38.937 --> 00:00:49.824]  Rapper Killer Mike and others have spoken up for the Great Equalizer with a long history of protecting black communities now threatened by an unrelenting liberal agenda.
[00:00:49.824 --> 00:00:53.406]  We are raising a generation of kids where everyone gets a trophy.
[00:00:54.193 --> 00:00:56.154]  But in real life, everyone don't get a trophy.
[00:00:56.154 --> 00:00:56.834]  No.
[00:00:56.834 --> 00:01:00.676]  You know, in real life, in real life, the cops don't come on time.
[00:01:00.676 --> 00:01:07.818]  You know, in real life, depending on where you live, you're not going to have the time to try to logic your way out of something.
[00:01:07.818 --> 00:01:23.144]  I think if you look at the, right after the Emancipation Proclamation, what was going on down in the southern states, it's very clear that the Dixiecrats wanted to disarm black people to keep us from defending ourselves against the Klansmen who were murdering white and black Republicans to
[00:01:23.584 --> 00:01:25.385]  To control the ballot box.
[00:01:25.385 --> 00:01:34.289]  So I think history is ripe with examples of, there's a correlation, direct correlation between gun control and black people control.
[00:01:34.289 --> 00:01:39.691]  From what was said today, it seems that gun control in fact hurts the African American community.
[00:01:39.691 --> 00:01:47.755]  We've seen why there was so much gun control earlier in life, in American life, because it controlled African Americans.
[00:01:47.755 --> 00:01:49.796]  Gun control is about controlling people.
[00:01:50.617 --> 00:01:57.067]  The right to bear arms is because that's the last form of defense against tyranny.
[00:01:57.067 --> 00:01:59.150]  Not to hunt.
[00:01:59.150 --> 00:02:01.193]  It's to protect yourself from the police.
[00:02:01.193 --> 00:02:05.179]  And do you see any link between that and these sorts of incidents?
[00:02:05.179 --> 00:02:05.299]  No.
[00:02:07.560 --> 00:02:08.761]  Not really.
[00:02:08.761 --> 00:02:09.341]  You know what I'm saying?
[00:02:09.341 --> 00:02:13.144]  If somebody wants to kill people, you know, they don't need a gun to do it.
[00:02:13.144 --> 00:02:14.325]  Makes it easier though, doesn't it?
[00:02:14.325 --> 00:02:16.006]  Not really.
[00:02:16.006 --> 00:02:18.228]  You can strap explosives on your body.
[00:02:18.228 --> 00:02:19.369]  They do that all the time.
[00:02:19.369 --> 00:02:23.492]  Let me tell you what Frederick Douglass said about the right of self-defense.
[00:02:23.492 --> 00:02:35.961]  When government fails to protect the just right of any individual man, that man rests on his original right of self-defense, even if it means shooting down his pursuers.
[00:02:36.741 --> 00:02:41.304]  Slaves plus guns equal freedom.
[00:02:41.304 --> 00:02:46.008]  The abolition of slavery was inevitably due to the arming of blacks.
[00:02:46.008 --> 00:02:56.636]  Now if you think for one minute that I'm going to cede these rights back to the federal government, or any government, or any court,
[00:02:57.651 --> 00:02:59.011]  You better think again!
[00:02:59.011 --> 00:03:01.672]  And why should these folks be concerned?
[00:03:01.672 --> 00:03:11.155]  The recently signed omnibus snuck Senator John Cornyn's Fix NICS Act gun control legislation right by the American people.
[00:03:11.155 --> 00:03:19.698]  Gun Owners of America writes, the bill now contains take the guns first language to send millions of additional names to the FBI background check system.
[00:03:19.938 --> 00:03:27.243]  These will include many veterans and older seniors, plus those with outstanding traffic tickets and medical marijuana cards.
[00:03:27.243 --> 00:03:28.283]  But then there's more.
[00:03:28.283 --> 00:03:37.609]  The GOP's school safety proposal, also buried in the more than 2,200-page bill, prohibits money from being used for guns and gun training.
[00:03:37.609 --> 00:03:45.694]  So none of the omnibus funds can be used to arm teachers or school resource officers, as had been proposed to the American people.
[00:03:45.894 --> 00:03:51.902]  Not someone who's overstayed a visa, not someone who crossed the border without permission, but an American citizen.
[00:03:51.902 --> 00:03:56.728]  What process is currently afforded an American citizen before they go on that list?
[00:03:59.232 --> 00:04:05.313]  I'm sorry, there's not a process afforded the citizen prior to getting on the list.
[00:04:05.313 --> 00:04:09.494]  There is a process should someone feel they are unduly placed on the list.
[00:04:09.494 --> 00:04:10.674]  Yes, there is.
[00:04:10.674 --> 00:04:22.797]  And when I say process, I'm actually using half of the term due process, which is a phrase we find in the Constitution, that you cannot deprive people of certain things without due process.
[00:04:23.417 --> 00:04:33.788]  There are far greater economic issues plaguing parts of America that unfortunately require a defenseless American citizen, like a woman for instance, to pack heat.
[00:04:33.788 --> 00:04:39.113]  Take that away and America plummets into far more chaos than it's already in.
[00:04:39.113 --> 00:04:42.056]  John Bowne reporting for InfoWars.com
[00:04:43.720 --> 00:04:47.864]  Ladies and gentlemen, when we come back, we're going to kick off the main broadcast.
[00:04:47.864 --> 00:04:57.552]  We are seeing the totally synthetic, artificial Soros Democratic Party funded move to not just destroy the Second Amendment, but also the First Amendment.
[00:04:57.552 --> 00:05:00.515]  But the sleeping giant is away.
[00:05:00.515 --> 00:05:02.857]  InfoWars Life is launching its newest product.
[00:05:02.857 --> 00:05:05.019]  We're really, really proud of it.
[00:05:05.019 --> 00:05:07.862]  It's a best source prebiotic fiber.
[00:05:08.937 --> 00:05:20.420]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[00:05:20.420 --> 00:05:29.523]  And it synergistically works with our 50 billion live active culture flora life as well as MycoZx that targets the yeast, the mold, and the funguses in the gut.
[00:05:30.023 --> 00:05:35.811]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[00:05:35.811 --> 00:05:41.259]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[00:05:41.259 --> 00:05:43.522]  And I'm doing this to introduce these products to you.
[00:05:43.522 --> 00:05:45.545]  Bodies sold out in a month.
[00:05:46.523 --> 00:05:49.825]  Uh, strongest concentrated turmeric formula we could come up with.
[00:05:49.825 --> 00:05:51.847]  It sold out for another month and a half.
[00:05:51.847 --> 00:05:55.149]  We sold it at 50% off till it sold out.
[00:05:55.149 --> 00:05:57.691]  And I think it's gonna be the same way with this fiber.
[00:05:57.691 --> 00:05:59.932]  Get yours today at fullwarslife.com.
[00:06:13.647 --> 00:06:18.509]  Defending the Republic from enemies, foreign and domestic.
[00:06:18.509 --> 00:06:20.669]  It's Alex Jones.
[00:06:20.669 --> 00:06:22.990]  Live from Austin, Texas.
[00:06:22.990 --> 00:06:27.472]  Broadcasting worldwide from the Infowars.com studios.
[00:06:27.472 --> 00:06:32.594]  Well, on the heels of the omnibus debacle Friday,
[00:06:43.291 --> 00:06:58.927]  In that nightmare situation, we are then treated to a half a million young people, led by their teachers, led by their professors, led by the breakaway government of government employees.
[00:07:00.498 --> 00:07:07.424]  Marching to have the constitutional right that the country was founded on and that actually started the Revolutionary War.
[00:07:07.424 --> 00:07:19.514]  Marching to declare gun owners the enemy and marching to declare that they would confiscate all of our guns and kill anyone that did not turn them in.
[00:07:19.514 --> 00:07:25.299]  We have video clip after video clip after video clip of them saying, we're going to ban all your guns, we're going to take all your guns.
[00:07:26.926 --> 00:07:30.869]  And you may say that you're going to take it from our cold, dead hands.
[00:07:30.869 --> 00:07:33.911]  Well, we're going to take it from your cold, dead hands.
[00:07:33.911 --> 00:07:34.792]  We've got the signs.
[00:07:34.792 --> 00:07:35.792]  We've got the speeches.
[00:07:35.792 --> 00:07:49.882]  We've got videos from around the country, not just in D.C., with people running for office, for the Office of Sheriff and other offices, saying, sure, you're not going to turn your guns in?
[00:07:49.882 --> 00:07:50.723]  We're going to kill you.
[00:07:51.601 --> 00:07:58.124]  And of course, congressmen going and speaking at town halls saying, time to use the Second Amendment against Trump.
[00:07:58.124 --> 00:08:12.191]  This is a real move by the globalists, by the left, by George Soros, who successfully overthrown countless countries, including Ukraine, to pull off the same thing here in the United States.
[00:08:12.191 --> 00:08:14.772]  That is what we're facing.
[00:08:14.772 --> 00:08:15.973]  That is what we're dealing with.
[00:08:17.165 --> 00:08:18.146]  This is the reality.
[00:08:18.146 --> 00:08:34.938]  They know politically the country is realigning against globalism, realigning against collectivism, realigning against socialism, realigning against the Department of Education and all these predatory groups, and they don't know what to do except get aggressive.
[00:08:34.938 --> 00:08:43.384]  They played clips of myself and Dana Loesch over and over and over again during the eight-hour event that C-SPAN covered live.
[00:08:43.384 --> 00:08:44.005]  And they would play
[00:08:45.287 --> 00:08:54.771]  Clips of me saying Hitler took the guns, Stalin took the guns, Mao took the guns, and if you try to take the guns, 1776 will commence again.
[00:08:54.771 --> 00:09:08.057]  They think that by putting that out, which is true, it's inoculating the students to where when they hear the truth later in life, they never wake up and go, wow, Hitler, Stalin, and Mao did take the guns.
[00:09:08.057 --> 00:09:09.478]  Hugo Chavez took the guns.
[00:09:12.500 --> 00:09:17.923]  And then they played Dana Loesch saying they'll march and they'll rally and they'll blame gun owners, but we'll stand firm.
[00:09:17.923 --> 00:09:34.753]  So, it's a tactic they use, and I see it a lot, and I don't know what to call it, but it's where they take something that's totally true, like water's wet, or 2 plus 2 equals 4, or free market works better than socialism, or America's better than most other countries,
[00:09:36.035 --> 00:09:40.157]  And that America actually has lower crime rates than countries that have total gun bans.
[00:09:40.157 --> 00:09:42.878]  Like Mexico, Brazil, and many others.
[00:09:42.878 --> 00:09:48.100]  Or that the only country with lower crime rates than us is in Europe, Switzerland.
[00:09:48.100 --> 00:09:51.622]  That has basically almost no crime because of their right to keep their arms.
[00:09:51.622 --> 00:09:54.883]  And that the pockets of crime are in blue areas where they have gun bans.
[00:09:54.883 --> 00:09:56.844]  They were playing clips!
[00:09:56.844 --> 00:09:59.145]  Last night I got home and I watched hours of it.
[00:10:01.408 --> 00:10:20.759]  Because it had archived, it was over, the live event was over, so I could fast forward to shots in between set changes when they had other Hollywood people come out, or other rock bands come out, or other hip-hop bands come out and call for gun control, in between the washed-up Hollywood stars and Democratic Party operative students reading their teleprompters and their talking points.
[00:10:20.759 --> 00:10:30.285]  And they would play clips of me and Dana Loesch, and clips of Charlton Heston, and clips of Wayne LaPierre, and clips of
[00:10:31.442 --> 00:10:36.526]  The Motor City Madman, my fellow patriot and now Texan, who I want to get back on the show this week.
[00:10:36.526 --> 00:10:40.629]  We're about to air the big interview we did with him.
[00:10:40.629 --> 00:10:41.770]  Ted Nugent.
[00:10:41.770 --> 00:10:43.992]  They'd play clips of Governor Huckabee.
[00:10:43.992 --> 00:10:48.335]  They'd play clips of everybody demonizing him, saying, this is the enemy.
[00:10:48.335 --> 00:10:51.037]  And then they would sit there and say, we're coming for you.
[00:10:51.037 --> 00:10:52.218]  You're shaking in your boots.
[00:10:52.218 --> 00:10:54.620]  We're going to get you.
[00:10:54.620 --> 00:10:58.383]  So what is that tactic where they put truthful things we're saying up
[00:11:00.066 --> 00:11:02.067]  And then demonize it.
[00:11:02.067 --> 00:11:07.690]  Remember just a month ago, the big evil, YouTube, was taking down my channels.
[00:11:07.690 --> 00:11:09.731]  They were taking down thousands of other channels.
[00:11:09.731 --> 00:11:12.092]  Weeks later, they banned most of the gun channels.
[00:11:12.092 --> 00:11:18.876]  And they said, you're bullying children, claiming that David Hogg and others are crisis actors and no one happened in Parkland.
[00:11:18.876 --> 00:11:19.597]  No one died.
[00:11:19.597 --> 00:11:20.337]  Was it true?
[00:11:20.337 --> 00:11:27.481]  What we said was, out of 3,000 students, they picked four to fly around on private jets, who were Democratic Party operatives,
[00:11:29.005 --> 00:11:33.347]  To spout their propaganda over and over and over and over and over and over again.
[00:11:33.347 --> 00:11:41.291]  And when anybody criticized them, they said, oh, you're bullying kids.
[00:11:41.291 --> 00:11:46.374]  And then they ran newscasts all over the place saying, look, Jones is insane.
[00:11:46.374 --> 00:11:51.216]  He says this student's movement nationwide is synthetic and funded.
[00:11:51.216 --> 00:11:52.157]  The day after.
[00:11:54.076 --> 00:12:02.086]  The Women's March, funded by George Soros, and the Democratic Party, said, we're running this, we're funding it, we're organizing it.
[00:12:02.086 --> 00:12:03.849]  And then BuzzFeed a week later admitted it.
[00:12:03.849 --> 00:12:06.432]  So I was reporting facts.
[00:12:06.432 --> 00:12:11.659]  And their response was, misrepresent what Alex Jones has said, and then shut him up.
[00:12:12.642 --> 00:12:20.686]  Then David Hogg over the last week put out a profanity-laced video going, F gun owners, F old people, they're all morons.
[00:12:20.686 --> 00:12:22.967]  We played the bleeped clip.
[00:12:22.967 --> 00:12:24.247]  That was banned.
[00:12:24.247 --> 00:12:28.629]  So YouTube banned a video of David Hogg bullying himself.
[00:12:28.629 --> 00:12:30.710]  You see, because Hogg's like Jesus.
[00:12:30.710 --> 00:12:32.951]  You aren't allowed to criticize him.
[00:12:32.951 --> 00:12:34.832]  He's the second coming.
[00:12:34.832 --> 00:12:36.273]  He's a public figure.
[00:12:36.273 --> 00:12:38.273]  He now wears a purple armband.
[00:12:38.273 --> 00:12:41.335]  I mean, the fascist iconography is incredible.
[00:12:42.639 --> 00:12:47.021]  And they're saying this public figure cannot be criticized.
[00:12:47.021 --> 00:12:50.582]  So they're gonna have their cake and eat it too, go after the First Amendment.
[00:12:50.582 --> 00:13:07.388]  And so George Soros-funded Media Matters did the same thing, where they took the truthful clip I said, the truthful statement, again this was on March 4th, I've been saying it for a week before that, or for two weeks before that, it happened on Valentine's Day,
[00:13:09.929 --> 00:13:20.718]  And they played it with a clip from my own home, like I was weird and I was discredited and I was bad, that I said that it was completely scripted.
[00:13:20.718 --> 00:13:23.240]  Now, that was true then.
[00:13:23.240 --> 00:13:24.801]  That is true now.
[00:13:24.801 --> 00:13:29.285]  This was 18 days after the Parkland shooting.
[00:13:29.285 --> 00:13:31.386]  It was known the day after.
[00:13:31.386 --> 00:13:33.888]  The Democrats were funding it, giving the scripts.
[00:13:33.888 --> 00:13:37.031]  Hogg and others were on video going, I'm sorry, what am I supposed to say?
[00:13:37.031 --> 00:13:38.372]  What was it again?
[00:13:38.372 --> 00:13:39.133]  Not that they were
[00:13:40.208 --> 00:13:51.372]  Not victims, not that the shooting didn't happen, but that they were chosen because they were in the drama club, because they were anti-gun, and because they would go along with the agenda.
[00:13:51.372 --> 00:13:55.113]  And now, there they are with thousands of buses.
[00:13:55.113 --> 00:14:00.495]  We have videos that, Jack, another shot where you see hundreds pulling in, and still hundreds more.
[00:14:00.495 --> 00:14:01.975]  I was there in D.C.
[00:14:01.975 --> 00:14:04.216]  when Soros spent 280 plus million dollars.
[00:14:05.814 --> 00:14:12.536]  The day after the inauguration of Trump to bring in over a million women and I saw hundreds and hundreds and hundreds of buses just on the streets I saw.
[00:14:12.536 --> 00:14:14.076]  That's major money.
[00:14:14.076 --> 00:14:16.297]  And then if you say that, you're evil.
[00:14:16.297 --> 00:14:18.158]  If you say that, you're bad.
[00:14:18.158 --> 00:14:19.798]  If you say that, it doesn't exist.
[00:14:19.798 --> 00:14:21.259]  They want to kill logic.
[00:14:21.259 --> 00:14:21.659]  So here is...
[00:14:22.859 --> 00:14:27.263]  George Soros' group, Media Matters, immoralizing me saying the sky is blue.
[00:14:27.263 --> 00:14:31.106]  But again, they put it out like, oh look, don't say this, it's wrong.
[00:14:31.106 --> 00:14:37.091]  It's this appeal to authority, like, we're Media Matters, and all the rest of the media has to look at this now, and here's your script.
[00:14:37.091 --> 00:14:39.293]  Go out and say Alex Jones made this up.
[00:14:39.293 --> 00:14:40.734]  This is completely grassroots.
[00:14:40.734 --> 00:14:47.880]  The private jets, the thousands of buses, the hundreds of millions of dollars, here it is.
[00:14:47.880 --> 00:14:49.341]  It's 11 o'clock at night.
[00:14:51.021 --> 00:14:55.985]  Texas time and I'm live here on Facebook for now.
[00:14:55.985 --> 00:15:02.570]  We have been banned from live streaming and uploading on our main YouTube channel with billions of views.
[00:15:02.570 --> 00:15:06.453]  And I tend to get really animated here on air.
[00:15:06.453 --> 00:15:06.833]  Enemies.
[00:15:06.833 --> 00:15:08.274]  You know what?
[00:15:08.274 --> 00:15:09.155]  I went to this light.
[00:15:09.155 --> 00:15:10.336]  We're going to come back to this.
[00:15:11.650 --> 00:15:14.975]  But this is what they put out on the news as fake news.
[00:15:14.975 --> 00:15:19.340]  Me saying it was scripted and paid for the whole response to get our guns.
[00:15:19.340 --> 00:15:21.824]  And now we have the videos and their statements where they openly say it.
[00:15:21.824 --> 00:15:25.188]  But let's go out with Hogg saying you're shaking because he's coming.
[00:15:25.188 --> 00:15:26.630]  Here it is.
[00:15:26.630 --> 00:15:28.552]  You can hear the people in power shaking.
[00:15:30.586 --> 00:15:36.290]  They've gotten used to being protective of their position, ensuring safety, the safety of inaction.
[00:15:36.290 --> 00:15:37.971]  Now, let's stop right there.
[00:15:37.971 --> 00:15:42.833]  The safety of the globalist bodyguards, the safety of the Republicans trying to get our guns, too.
[00:15:42.833 --> 00:15:58.403]  Now, the power structure is shaking that the American people are awake and most young people are awake, and studies show most Generation Z is awake, and so this is an attempt by Hollywood, the old globalist order, to hype up and push a bunch of young people to be the new spokespersons to suck around a whole nother generation.
[00:15:59.790 --> 00:16:00.590]  This is Dan Pilla.
[00:16:00.590 --> 00:16:02.391]  Do you owe the IRS money you can't pay?
[00:16:02.391 --> 00:16:04.052]  Are tax debts crippling you?
[00:16:04.052 --> 00:16:06.874]  I've defended people from the IRS for over 30 years.
[00:16:06.874 --> 00:16:09.155]  I've helped thousands and I can help you too.
[00:16:09.155 --> 00:16:13.678]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:16:13.678 --> 00:16:17.620]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:16:17.620 --> 00:16:21.402]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:16:21.402 --> 00:16:21.822]  Call 800-34-NO-TAX.
[00:16:21.822 --> 00:16:23.143]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:16:28.851 --> 00:16:33.972]  The answer to being in control of your own health care is freedom from insurance.
[00:16:33.972 --> 00:16:39.673]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:16:39.673 --> 00:16:44.874]  Individual share amounts begin at $107 a month and $347 for families.
[00:16:44.874 --> 00:16:46.815]  Choose from three health sharing programs.
[00:16:46.815 --> 00:16:49.195]  Holistic treatments may be eligible for sharing.
[00:16:49.195 --> 00:16:50.155]  See guidelines.
[00:16:50.155 --> 00:16:53.436]  Discount programs available for dental, vision, and pharmacy.
[00:16:53.436 --> 00:16:55.376]  Go to LibertyOnCall.org.
[00:16:55.376 --> 00:16:56.937]  That's LibertyOnCall.org.
[00:16:59.082 --> 00:17:01.044]  Heart disease is on the rise.
[00:17:01.044 --> 00:17:07.950]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:17:07.950 --> 00:17:16.297]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:16.297 --> 00:17:21.982]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:22.162 --> 00:17:23.983]  My blood pressure has normalized.
[00:17:23.983 --> 00:17:26.265]  My diabetes has totally improved.
[00:17:26.265 --> 00:17:30.648]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:30.648 --> 00:17:32.829]  I recommend Heart and Body Extract to everyone.
[00:17:32.829 --> 00:17:40.674]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:40.734 --> 00:17:43.317]  Order your two-month supply today by calling 866-295-5305.
[00:17:43.317 --> 00:17:43.997]  That's 866-295-5305.
