[00:00:13.047 --> 00:00:13.908]  You found it.
[00:00:14.248 --> 00:00:15.750]  The tip of the spear.
[00:00:16.251 --> 00:00:19.014]  It is the Alex Jones Show with David Knight.
[00:00:19.054 --> 00:00:25.422]  Welcome on this December the 23rd 2018 I'm David Knight your host.
[00:00:29.192 --> 00:00:33.014]  Well, we've had some updates to the big stories that started hitting at the end of the week.
[00:00:33.755 --> 00:00:37.917]  And of course, it's at this time of year that a lot of very important things can happen.
[00:00:38.618 --> 00:00:43.861]  You know, it was 105 years ago on Friday, as I covered on Friday, that the Federal Reserve was created.
[00:00:43.941 --> 00:00:51.025]  And now we have President Trump saying many reports that he wanted to fire the chair of the Fed.
[00:00:52.099 --> 00:00:59.121]  Now you've got Steve Mnuchin, the Goldman Sachs banker, who's his Treasury Secretary, coming back and saying, no, no, no, he didn't say anything like that.
[00:00:59.161 --> 00:01:01.142]  No, no, no, we respect the Federal Reserve.
[00:01:01.802 --> 00:01:02.862]  They cannot be touched.
[00:01:02.922 --> 00:01:03.583]  Well, they can.
[00:01:03.623 --> 00:01:04.963]  And I'm going to tell you why.
[00:01:05.883 --> 00:01:11.145]  President Trump is getting into some very important areas here.
[00:01:11.205 --> 00:01:17.807]  When he starts to do things like bring the troops home from an unconstitutional war that we should not be involved in,
[00:01:18.695 --> 00:01:28.723]  When he starts talking about the actions of the Fed, and criticizing the Fed, and talking about changing the Fed, it's starting to look a lot like JFK, isn't it?
[00:01:29.564 --> 00:01:38.291]  Maybe that's why President Trump is also talking about the fact that we've got an armed citizenry, and if they take him out, coup or otherwise, there will be a pushback against what they're doing.
[00:01:38.331 --> 00:01:40.733]  He certainly understands that he's in dangerous territory.
[00:01:41.468 --> 00:01:48.097]  And we're going to talk about why he should move against the Fed, should not wait, how he might do it.
[00:01:48.117 --> 00:01:55.207]  As a matter of fact, this is something that goes back to the very beginning of the Trump presidency, right after he was elected.
[00:01:56.248 --> 00:01:57.570]  It was the middle of December then.
[00:01:58.527 --> 00:02:02.730]  That you had then-chair Janet Yellen increase interest rates.
[00:02:03.470 --> 00:02:10.195]  Now, the entire Obama administration, they had only increased interest rates slightly and done it once.
[00:02:10.875 --> 00:02:11.716]  One interest rate.
[00:02:11.776 --> 00:02:13.457]  The entire eight years of Obama.
[00:02:14.778 --> 00:02:22.103]  And then, right after President Trump was elected, about six weeks later, they raised interest rates a quarter.
[00:02:23.331 --> 00:02:27.833]  And I said at the time, and I said it for the entire week, I said they're going to do the same thing that Greenspan did.
[00:02:28.614 --> 00:02:38.339]  Greenspan, of course, you remember, he created the real estate and stock market bubble with the Federal Reserve by lowering interest rates and keeping them at essentially zero for a very long period of time.
[00:02:39.139 --> 00:02:43.942]  And then he began raising interest rates one quarter of a percent every calendar quarter.
[00:02:44.542 --> 00:02:49.345]  It looks, if you look at the chart of Fed rates, it looks like a little stair step case going straight up.
[00:02:50.393 --> 00:02:53.574]  And then if that wasn't enough, he started talking about irrational exuberance.
[00:02:53.634 --> 00:02:57.255]  And of course, he had some comments this last week talking about run for the exits.
[00:02:58.416 --> 00:03:01.137]  So they do everything they can to manipulate, to undermine this economy.
[00:03:01.157 --> 00:03:04.378]  And of course, that has been the design of the Federal Reserve since its creation.
[00:03:05.458 --> 00:03:06.438]  It was designed to do that.
[00:03:06.478 --> 00:03:08.059]  So I ran the report that I did.
[00:03:08.859 --> 00:03:13.921]  It was 100 years, 100 year anniversary of the creation of the Federal Reserve on a December the 21st.
[00:03:16.258 --> 00:03:17.160]  That's back in 1913.
[00:03:17.641 --> 00:03:19.223]  So I did the report five years ago.
[00:03:19.484 --> 00:03:20.726]  It's now 105 years old.
[00:03:21.667 --> 00:03:26.375]  I tied it to the movie that came out 33 years later on December the 20th, It's a Wonderful Life.
[00:03:27.056 --> 00:03:28.999]  We'll play that clip for you later in the broadcast.
[00:03:29.619 --> 00:03:31.900]  But you can see how they engineered bank runs.
[00:03:31.940 --> 00:03:33.100]  They did everything that they could.
[00:03:33.180 --> 00:03:34.781]  They conspired with foreign bankers.
[00:03:34.821 --> 00:03:39.142]  The same kind of foreign bankers who were putting the Bolsheviks in power in Germany.
[00:03:40.202 --> 00:03:42.163]  Warburg, Max Warburg in Germany.
[00:03:42.223 --> 00:03:45.744]  And then his brother, Paul Warburg, was working with J.P.
[00:03:45.784 --> 00:03:48.925]  Morgan, who is the classic.
[00:03:48.965 --> 00:03:53.907]  Whether they were trying to imitate this guy or if it was just subconscious, who knows?
[00:03:54.107 --> 00:03:55.387]  But clearly J.P.
[00:03:55.427 --> 00:03:56.988]  Morgan was the very imbibement
[00:03:58.069 --> 00:04:03.639]  of a monopolistic, too-rich-for-everyone's-own-good banker.
[00:04:04.020 --> 00:04:06.704]  He's the caricature that you see on Monopoly money.
[00:04:08.144 --> 00:04:10.646]  And so, along with J.P.
[00:04:10.686 --> 00:04:15.730]  Morgan, who is very much like the character Potter in the movie, they engineered the Federal Reserve.
[00:04:15.770 --> 00:04:18.692]  They did it on a Christmas, when nobody was really paying any attention.
[00:04:19.453 --> 00:04:27.779]  Now we've had Mitch McConnell show his true colors by saying, I'm not going to really do anything to try to get this to pass in the Senate.
[00:04:28.099 --> 00:04:32.462]  It did pass in the House, thanks to the efforts of the House Freedom Caucus.
[00:04:33.403 --> 00:04:34.604]  They firmed up President Trump on it.
[00:04:34.624 --> 00:04:35.344]  They got it passed.
[00:04:35.424 --> 00:04:39.165]  And then Mitch McConnell said, we're not going to use the simple majority rule.
[00:04:39.205 --> 00:04:40.146]  We're going to pretend.
[00:04:40.166 --> 00:04:42.286]  I'm not going to go with the nuclear option.
[00:04:42.407 --> 00:04:44.327]  It's a simple majority rule.
[00:04:45.088 --> 00:04:47.028]  You want to pretend that you don't have that authority?
[00:04:47.148 --> 00:04:47.589]  And he did.
[00:04:47.629 --> 00:04:48.889]  And so he shut the government down.
[00:04:49.769 --> 00:04:52.370]  But folks, the Democrats are stonewalling.
[00:04:52.911 --> 00:04:55.912]  And they're stonewalling for an open border.
