[00:00:06.147 --> 00:00:09.910]  Infowars.com is tomorrow's news.
[00:00:10.210 --> 00:00:14.514]  Today, you're listening to The Alex Jones Show.
[00:00:14.534 --> 00:00:19.518]  Ladies and gentlemen, it's here!
[00:00:20.976 --> 00:00:30.902]  The first annual Fake News Awards hosted by President Donald John Trump, the 45th President of the United States.
[00:00:31.003 --> 00:00:36.046]  And so, I have cleared the decks for the next four hours of the broadcast.
[00:00:36.086 --> 00:00:37.187]  Paul Watson's joining us.
[00:00:37.747 --> 00:00:41.149]  But other than that, I have cleared the decks.
[00:00:41.950 --> 00:00:48.454]  We're gonna have the folks in there taking your phone calls working very, very hard today because I pledge to you
[00:00:50.174 --> 00:01:01.057]  That we are going to take at least a hundred of your phone calls, and we are going to suss out the People's Choice Fake News Awards.
[00:01:01.917 --> 00:01:06.619]  The first annual People's Choice Fake News Awards.
[00:01:07.639 --> 00:01:08.719]  They created this term.
[00:01:09.239 --> 00:01:18.802]  Really, it was John Rappaport 20 years ago with his website, but the mainstream media put it out there, tried to call all of us that question known liars.
[00:01:19.758 --> 00:01:26.842]  They tried to say that we were the fake news, saying that Trump would win the election, or saying that Russiagate was fake, on and on and on.
[00:01:27.242 --> 00:01:36.167]  But now we're going to have the people's choice for the next four plus hours, right into the war room with Owen Schroer and Roger Stone.
[00:01:36.267 --> 00:01:38.708]  I'm going to host with them as well today.
[00:01:38.728 --> 00:01:44.231]  So I'm going to just stay on air, right through the war room, off and on, six o'clock tonight.
[00:01:44.511 --> 00:01:48.073]  And we're going to take the president's first annual
[00:01:49.471 --> 00:01:51.072]  Fake news awards live.
[00:01:51.752 --> 00:01:57.694]  But first we're going to have the people's fake news awards.
[00:01:58.215 --> 00:02:03.097]  And it was the president said, I don't know, three, four months ago, we really should have
[00:02:04.173 --> 00:02:05.674]  A fake news award show.
[00:02:05.734 --> 00:02:06.794]  People ought to start doing that.
[00:02:07.115 --> 00:02:08.555]  We took the President's cue.
