[00:00:20.575 --> 00:00:26.477]  From the front lines!
[00:00:26.477 --> 00:00:32.960]  From the front lines of the information war, it's Alex Jones.
[00:00:32.960 --> 00:00:36.221]  What we are looking at is good and evil.
[00:00:36.221 --> 00:00:38.042]  Right and wrong.
[00:00:38.042 --> 00:00:38.722]  New world order.
[00:00:47.523 --> 00:00:58.950]  As soon as they got rid of Schneiderman, who was clearly protecting old Weinstein, the big, dirty house of cards began tumbling down.
[00:00:58.950 --> 00:01:03.613]  We're going to navigate it all here today.
[00:01:03.613 --> 00:01:10.617]  They're going to try to use men hitting on women in creepy ways, like Morgan Freedman does, to equate that with rape.
[00:01:10.617 --> 00:01:13.879]  And James Caan has popped in and made a great point on that.
[00:01:13.879 --> 00:01:14.719]  That's all coming up.
[00:01:14.719 --> 00:01:15.280]  But first,
[00:01:16.730 --> 00:01:25.321]  Raping women, raping men, that is only the tip of the fetid, stinking, Hollywood, devil worship iceberg.
[00:01:26.331 --> 00:01:31.995]  The Satanism, the sex abuse, the abuse of children, the sacrifice of children.
[00:01:31.995 --> 00:01:35.057]  That's all coming out with record arrest of pedophiles.
[00:01:35.057 --> 00:01:44.284]  And now, families are fighting back, suing over MKUltra, including torture, including sexual torture of children, more than 20,000 of them.
[00:01:44.284 --> 00:01:45.385]  The dam is breaking.
[00:01:45.385 --> 00:01:46.486]  Leanne McAdoo reports.
[00:01:47.321 --> 00:02:02.892]  While some squabble about just who has ruined the reputation of intelligence agencies following revelations the deep state used a human informant to spy on the Trump campaign, others ask if agencies like the CIA ever had a good reputation in the first place.
[00:02:02.892 --> 00:02:13.019]  Survivors and families of those victimized by a secret CIA mind control program, MKUltra, are preparing a class action lawsuit against the U.S.
[00:02:13.019 --> 00:02:16.982]  and Quebec governments due to the alleged abuse they suffered through decades ago.
[00:02:17.562 --> 00:02:33.448]  Over 40 Canadians who unknowingly became MKUltra patients at the Allen Memorial Institute, where MKUltra Subproject 68 took place, gathered in Montreal last weekend to share their horrific stories about how MKUltra destroyed their lives.
[00:02:33.448 --> 00:02:39.790]  As early as 1953, then CIA Director Alan Dulles authorized the MKUltra program.
[00:02:40.310 --> 00:02:52.596]  Julie Vanderpeer reports that Project MKUltra was a large-scale attempt by the CIA to research behavioral modification and the effects of certain drugs and psychological treatments on the human mind.
[00:02:52.596 --> 00:03:02.561]  It consisted of 144 different sub-projects related to the control of human behavior, which were carried out in 89 different institutions, including universities.
[00:03:02.941 --> 00:03:06.924]  Among its most notorious tests were those involving LSD.
[00:03:06.924 --> 00:03:16.371]  The agency hoped it would be some sort of a truth serum they could use to secretly manipulate and control foreign leaders, or else make interrogation subjects speak more freely.
[00:03:17.892 --> 00:03:26.657]  While a handful of Americans captured during the Korean War exhibiting behaviors of brainwashing, the CIA too wanted to understand mind control.
[00:03:26.657 --> 00:03:38.725]  So the project then spread into Canada, where a Scottish-born psychiatrist, Ewan Cameron, was trying to discover whether doctors could erase a person's mind and then reprogram new patterns of behavior.
[00:03:39.105 --> 00:03:56.368]  Patients initially entered the program at the Allen Memorial Institute seeking treatment for mild mental health issues like anxiety or depression, but were quickly administered cocktails of powerful hallucinogenic substances and subjected to bizarre psychological experiments under the supervision of Dr. Kilmer.
[00:03:57.190 --> 00:04:01.575]  Later became the first chairman of the World Psychiatric Association.
[00:04:01.575 --> 00:04:14.930]  The Guardian reports that MKUltra patients of Dr. Cameron's were subjected to high-voltage electroshock therapy several times a day, forced into drug-induced sleeps that could last months, and injected with megadoses of LSD.
[00:04:15.851 --> 00:04:29.877]  After reducing them to a child-like state, at times stripping them of basic skills such as how to dress themselves or tie their shoes, Cameron would attempt to reprogram them by bombarding them with recorded messages for up to 16 hours at a time.
[00:04:29.877 --> 00:04:39.441]  Montreal lawyer Alan Stein, who is representing the collective of MKUltra survivors of the Allen Memorial Institute, says he believes the survivors have a case.
[00:04:39.441 --> 00:04:45.403]  A CIA auditor's report from 1957 shows the agency wasn't concerned with protecting the patients,
[00:04:45.823 --> 00:04:50.246]  Instead, it sought to conceal the inhumane experimentation from the public.
[00:04:50.246 --> 00:04:59.533]  Concerning MKUltra, Esquire's Charles P. Pierce summed it up thusly, Americans are capable of terrible things, particularly if they're employed by the CIA.
[00:05:01.007 --> 00:05:01.807]  I'm so excited.
[00:05:01.807 --> 00:05:11.951]  The new product at Infowarslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[00:05:11.951 --> 00:05:17.454]  This is a heart and brain pill, a nootropic, that doesn't have any stimulants in it.
[00:05:17.454 --> 00:05:20.475]  But boy, does it stimulate, because it's beyond that.
[00:05:20.475 --> 00:05:29.258]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[00:05:31.345 --> 00:05:41.607]  For the formulae, and I came up with our own formula working with some scientists and developers, non-GMO, made right here in America, 120 capsules.
[00:05:41.607 --> 00:05:50.929]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[00:05:50.929 --> 00:05:53.610]  It is amazing!
[00:05:53.610 --> 00:05:58.571]  Red Pill, now available at InfoWarsStore.com and your purchase fugs the operation.
[00:06:03.268 --> 00:06:06.229]  They think you're a goldfish!
[00:06:06.229 --> 00:06:08.590]  I've been betting on you my whole life!
[00:06:08.590 --> 00:06:09.950]  I believe in you!
[00:06:09.950 --> 00:06:13.592]  I don't think you're stupid!
[00:06:13.592 --> 00:06:16.213]  One man separates a woman!
[00:06:16.213 --> 00:06:18.073]  All genitals are cut off!
[00:06:18.073 --> 00:06:20.634]  And we're kicking these traitors' asses politically!
[00:06:20.634 --> 00:06:23.775]  And we're not backing down, ever!
[00:06:23.775 --> 00:06:24.956]  I wanna kick these people!
[00:06:24.956 --> 00:06:25.516]  We're winning!
[00:06:25.516 --> 00:06:26.776]  I can feel the spirit rising!
[00:06:26.776 --> 00:06:27.237]  Can't you?
[00:06:27.237 --> 00:06:29.517]  We have broken their back!
[00:06:29.517 --> 00:06:30.638]  Yes, I can feel it!
[00:06:34.633 --> 00:06:34.973]  Let's go!
[00:06:34.973 --> 00:06:35.414]  Come on!
[00:06:35.414 --> 00:06:36.454]  Come on!
[00:06:36.454 --> 00:06:37.055]  Come on!
[00:06:37.055 --> 00:06:37.675]  Come on!
[00:06:37.675 --> 00:06:38.316]  Come on!
[00:06:38.316 --> 00:06:38.676]  Come on!
[00:06:38.676 --> 00:06:39.236]  Come on!
[00:06:39.236 --> 00:06:39.797]  Come on!
[00:06:39.797 --> 00:06:40.317]  Come on!
[00:06:40.317 --> 00:06:40.577]  Come on!
[00:06:40.577 --> 00:06:40.857]  Come on!
[00:06:40.857 --> 00:06:41.478]  Come on!
[00:06:41.478 --> 00:06:41.718]  Come on!
[00:06:41.718 --> 00:06:42.138]  Come on!
[00:06:42.138 --> 00:06:42.378]  Come on!
[00:06:42.378 --> 00:06:42.639]  Come on!
[00:06:42.639 --> 00:06:42.819]  Come on!
[00:06:42.819 --> 00:06:43.179]  Come on!
[00:06:43.179 --> 00:06:43.539]  Come on!
[00:06:43.539 --> 00:06:43.779]  Come on!
[00:06:43.779 --> 00:06:44.240]  Come on!
[00:06:44.240 --> 00:06:44.520]  Come on!
[00:06:44.520 --> 00:06:44.840]  Come on!
[00:06:44.840 --> 00:06:45.180]  Come on!
[00:06:45.180 --> 00:06:46.121]  Come on!
[00:06:46.121 --> 00:06:46.521]  Come on!
[00:06:46.521 --> 00:06:46.882]  Come on!
[00:06:46.882 --> 00:06:47.162]  Come on!
[00:06:47.162 --> 00:06:47.502]  Come on!
