[00:00:05.302 --> 00:00:07.466]  Waging war on corruption.
[00:00:07.967 --> 00:00:13.097]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:48.044 --> 00:00:48.525]  They're demons.
[00:00:49.146 --> 00:00:51.350]  They're frickin' interdimensional invaders, okay?
[00:00:51.431 --> 00:00:53.054]  But everyone already innately knows this.
[00:00:53.454 --> 00:00:54.436]  I hate that truth!
[00:00:54.877 --> 00:00:56.500]  I hate that truth!
[00:00:57.081 --> 00:00:58.464]  I hate that truth!
[00:00:58.985 --> 00:00:59.966]  Now, let's be clear.
[00:01:00.990 --> 00:01:01.570]  This is nuts.
[00:01:02.491 --> 00:01:05.732]  For which I am solely and completely responsible.
[00:01:06.212 --> 00:01:07.013]  That dude!
[00:01:07.193 --> 00:01:07.973]  That dude!
[00:01:08.393 --> 00:01:09.534]  Dude, what's your problem?
[00:01:09.574 --> 00:01:14.236]  Anti-Semitism, misogyny, and homophobia!
[00:01:14.256 --> 00:01:15.476]  We came, we saw, we died.
[00:01:15.496 --> 00:01:17.677]  Just kill any man that you see.
[00:01:17.717 --> 00:01:19.698]  Like, just kill any man that you see.
[00:01:19.758 --> 00:01:21.459]  Like, any swingin' s***, just kill him.
[00:01:21.639 --> 00:01:22.219]  Just kill him.
[00:01:39.569 --> 00:01:40.670]  This is their plan, people.
[00:01:40.750 --> 00:01:42.091]  These are demons.
[00:01:42.651 --> 00:01:45.113]  You're a white male!
[00:01:45.133 --> 00:01:47.014]  You're a white man!
[00:01:47.414 --> 00:01:51.196]  You know for a fact that that is a Arana.
[00:01:51.216 --> 00:01:52.657]  That is a demon-possessed creature.
[00:02:02.591 --> 00:02:04.212]  Now, we missed the Antifa rally.
[00:02:04.232 --> 00:02:07.773]  Sadly, that's not the only low light, because there are no highlights from this.
[00:02:07.993 --> 00:02:09.994]  That's not the only low light from it.
[00:02:10.574 --> 00:02:20.958]  They also engaged in a rather interesting little chant, which again, I'm going to tell you, embraces a large swath of the Democrat Party, even though these are radicals themselves.
[00:02:20.978 --> 00:02:29.902]  I don't want to conflate the two too much, but the message here, although it may seem like it's coming from radicals, is really a larger message that's encompassing the Democrat Party in general.
[00:02:30.342 --> 00:02:31.883]  Play the chant about immigration.
[00:02:31.923 --> 00:02:33.965]  This one's even more disturbing.
[00:02:48.746 --> 00:02:51.507]  No border, no wall, no USA at all.
[00:02:51.827 --> 00:02:54.788]  Folks, again, I don't want to conflate the two on the violent side.
[00:02:55.168 --> 00:02:58.690]  The violence is definitely not epidemic within the Democrat Party.
[00:02:58.710 --> 00:02:59.770]  I want to be clear on that.
[00:03:00.190 --> 00:03:00.691]  And we should.
[00:03:01.271 --> 00:03:03.172]  We shouldn't stereotype like they do to us.
[00:03:03.232 --> 00:03:06.033]  Unfortunately, it is becoming an epidemic amongst the far left.
[00:03:06.353 --> 00:03:17.137]  But this position, no border, no wall, basically no borders, and they say at one point, no USA at all, this is not a fringe position anymore within the Democrat Party.
[00:03:18.018 --> 00:03:24.975]  This is a position that's embraced, maybe not by a majority, but by a large swath of now Democrat voters.
[00:03:24.995 --> 00:03:25.818]  This is frightening.
[00:03:27.296 --> 00:03:35.978]  I believe, by the way, this is going to be, this is an issue that's going to drive moderate Democrats in Pennsylvania, swing states like Wisconsin and Michigan, out of the Democrat Party for good.
[00:03:36.398 --> 00:03:39.958]  This is who the far-left component of the Democrat Party is.
[00:03:40.559 --> 00:03:46.800]  And unfortunately, they're pulling and pulling and pulling, and they're pulling the party further to the left in these insane positions like this.
[00:03:47.060 --> 00:03:48.800]  No border, no wall, no USA at all.
[00:03:48.960 --> 00:03:49.980]  Does that even make sense?
[00:03:51.701 --> 00:03:53.281]  I mean, have you even considered NARC?
[00:03:54.650 --> 00:04:03.473]  And THX 1138, it's really a remake of the idea of a Brave New World scientific dictatorship.
[00:04:04.213 --> 00:04:05.934]  They resemble MPC memes.
[00:04:06.514 --> 00:04:07.835]  I have a hard time concentrating.
[00:04:08.555 --> 00:04:10.716]  You are a true believer.
[00:04:10.756 --> 00:04:11.836]  Blessings of the state.
[00:04:11.876 --> 00:04:12.576]  Please forgive.
[00:04:12.636 --> 00:04:13.957]  Blessings of the masses.
[00:04:19.813 --> 00:04:22.460]  No Trump, no wall, no USA at all!
[00:04:32.699 --> 00:04:35.520]  Extremism and defensive liberty is no vice to quote Barry Goldwater.
[00:04:35.820 --> 00:04:37.520]  The president must pull out of the UN.
[00:04:37.840 --> 00:04:39.240]  He must seize that property.
[00:04:39.640 --> 00:04:40.921]  It is a criminal organization.
[00:04:41.081 --> 00:04:49.682]  If the president just continues to let them organize hundreds of millions of third world populations, the UN says they want 600 million in the US in their own plan by 2050.
[00:04:49.822 --> 00:04:57.764]  If we put up with that, we'll be fighting a losing battle as they stream up out of Central and South America into Mexico and into the United States.
[00:05:06.341 --> 00:05:15.609]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:05:16.089 --> 00:05:27.059]  Based off hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and wake-up America Patriot Blend coffee.
[00:05:27.779 --> 00:05:33.863]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean.
[00:05:33.943 --> 00:05:45.551]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:05:45.811 --> 00:05:49.793]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:05:50.074 --> 00:05:53.696]  Infused with a powerful blend to support your immune response and stamina,
[00:05:54.016 --> 00:05:56.238]  It's time to take care of your morning routine.
[00:05:56.258 --> 00:06:02.762]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsTore.com.
[00:06:11.489 --> 00:06:17.413]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:06:26.481 --> 00:06:38.591]  Ladies and gentlemen, it is Monday, already the 22nd day of October 2018.
[00:06:49.255 --> 00:06:52.296]  And we are less than 15 days out from this incredible election.
[00:06:52.336 --> 00:06:56.999]  If you're a TV viewer, you see that headline from the Associated Press posted at Breitbart.
[00:06:57.819 --> 00:06:59.700]  Donald Trump alerts military.
[00:07:00.440 --> 00:07:03.321]  Migrant caravan now a national emergency.
[00:07:04.482 --> 00:07:06.563]  He also tweeted that out this morning.
[00:07:10.066 --> 00:07:13.068]  Now, you may notice that other publications now have a similar headline.
[00:07:13.469 --> 00:07:17.291]  Growing invasion force overwhelms Mexican authorities.
[00:07:17.351 --> 00:07:21.935]  Approximately 10,000 now traveling through Mexico to U.S.
[00:07:22.115 --> 00:07:22.936]  southern border.
[00:07:24.797 --> 00:07:25.918]  Now that's all today.
[00:07:26.398 --> 00:07:27.399]  This is Friday.
[00:07:29.540 --> 00:07:30.241]  My headline.
[00:07:30.761 --> 00:07:31.362]  I wrote this.
[00:07:31.622 --> 00:07:33.163]  National emergency.
[00:07:33.764 --> 00:07:38.327]  UN launches invasion of United States using migrant caravan.
[00:07:41.604 --> 00:07:42.285]  That's Friday.
[00:07:43.766 --> 00:07:45.447]  Here's another one Friday and Saturday.
[00:07:45.607 --> 00:07:50.631]  UN crosses Trump's red line, launches immigrant invasion of US.
[00:07:51.912 --> 00:07:52.693]  You read the article?
[00:07:52.873 --> 00:07:53.533]  I say that it's 20,000.
[00:07:54.074 --> 00:08:04.622]  Pat Buchanan says migrant caravan is Trump's chance to stop third world invasion of the West.
[00:08:04.642 --> 00:08:07.404]  We're going to play that clip coming up at the bottom of the hour.
[00:08:08.485 --> 00:08:09.146]  Here's another one.
[00:08:09.806 --> 00:08:10.547]  Steve King.
[00:08:11.556 --> 00:08:13.837]  Representative from New York, Congressman Steve King.
[00:08:14.557 --> 00:08:19.599]  Men from the most violent countries in the world are invading the United States.
[00:08:19.639 --> 00:08:20.539]  They are invading our country.
[00:08:21.439 --> 00:08:23.900]  They are just not wearing uniforms.
[00:08:24.840 --> 00:08:26.001]  What did I say on Friday?
[00:08:27.941 --> 00:08:29.642]  And it's not about how I'm right.
[00:08:29.762 --> 00:08:33.363]  It's about how people better listen to me and listen carefully.
[00:08:36.892 --> 00:09:00.718]  Because I have studied history, I've studied what the globalists are doing, I've studied the UN's own reports I'm about to cover, and they themselves say they're going to conquer nation-states by organizing third-world populations into caravans that smash over nations' borders, then the UN builds UN refugee centers to mass even more, and then launch into the first world.
[00:09:01.724 --> 00:09:03.065]  It's an exact plan.
[00:09:03.846 --> 00:09:06.588]  And if we don't recognize we're under attack, we're done.
[00:09:08.310 --> 00:09:22.341]  Europe has had 15 million, 80 plus percent military age men, flood in the last six years, directed by the UN, directed by Peter Sutherland, directed by Angela Merkel, directed by Barroso and all the rest of these traitors.
[00:09:24.963 --> 00:09:25.704]  It's a plan.
[00:09:26.885 --> 00:09:27.686]  It's a program.
[00:09:28.621 --> 00:09:40.165]  So, I noticed on Friday when I had the headlines on Infowars.com and Newswars.com, some people saying, oh Alex, it's not a national emergency, it's not an invasion, you're just, you know, using big words.
[00:09:40.205 --> 00:09:40.985]  Let me tell you something.
[00:09:42.746 --> 00:09:53.770]  When you've got hundreds of thousands of people already massed in Honduras that have been brought in out of collapsed South America,
[00:09:55.080 --> 00:09:58.921]  And this is just the first test group to send them up to the U.S.
[00:09:58.961 --> 00:09:59.342]  border.
[00:10:00.202 --> 00:10:01.682]  We know what's going to happen next.
[00:10:01.742 --> 00:10:07.505]  And by the way, second migrant caravan, new group rushes to join ranks.
[00:10:09.985 --> 00:10:12.766]  Deportees vow return to America.
[00:10:13.447 --> 00:10:14.267]  That's Fox News.
[00:10:16.028 --> 00:10:19.289]  They're waving foreign flags and burning American flags.
[00:10:20.202 --> 00:10:23.804]  These are hardcore leftists, paid and organized.
[00:10:23.864 --> 00:10:33.869]  WorldNetDaily has a story that is the best one out there on who funds these, and it's links to all their admissions, all their statements, and they're all listed.
[00:10:33.969 --> 00:10:41.873]  CARE, main funder George Soros, Ford Foundation, Ford Foundation, Carnegie Endowment, Annenberg, MacArthur Foundation.
[00:10:42.594 --> 00:10:43.794]  It's all the regular players.
[00:10:44.195 --> 00:10:45.595]  It's all the NPR sponsors.
[00:10:47.877 --> 00:10:48.497]  There's the article.
[00:10:51.254 --> 00:10:57.235]  That's an article from earlier this year, and it gives you all the names and who the people are, and then you've got them playing dumb.
[00:10:59.035 --> 00:11:01.156]  Having CNN go, we fact-checked Trump.
[00:11:01.456 --> 00:11:02.796]  There's no Soros funding.
[00:11:03.356 --> 00:11:05.777]  No, it didn't come out of his bank account with his name on the check.
[00:11:05.837 --> 00:11:07.377]  It came through groups he funds.
[00:11:07.897 --> 00:11:09.337]  Judicial Watch got all the documents.
[00:11:10.158 --> 00:11:17.199]  So they just play stupid with everybody, and they're busting open a lane up to the United States.
[00:11:18.973 --> 00:11:21.354]  And they're using children as shields as they do it.
[00:11:23.336 --> 00:11:26.097]  And it is a classical military invasion.
[00:11:26.318 --> 00:11:31.921]  If you go back thousands of years ago, it would just be huge migrant hordes would just come into your area.
[00:11:33.802 --> 00:11:35.023]  And then they would take what you had.
[00:11:35.703 --> 00:11:45.910]  That's what Syria was the last six years, was Islamic countries just getting together in big hordes and just marching into Syria and trying to take it over.
[00:11:46.735 --> 00:11:48.297]  And that's what happens in Latin America.
[00:11:48.577 --> 00:11:49.839]  Venezuela has collapsed.
[00:11:49.899 --> 00:11:52.682]  They're trying to invade Brazil and all their surrounding areas.
[00:11:52.882 --> 00:11:55.545]  Brazil's building a wall and put their military on it.
[00:11:57.407 --> 00:12:05.257]  Because if you have millions of homeless people with diseases and criminal records, some of them, coming across, it is a total weigh on your civilization.
[00:12:06.553 --> 00:12:07.774]  And it collapses things.
