[00:00:08.749 --> 00:00:10.050]  Well, here we are.
[00:00:10.050 --> 00:00:11.751]  July 5th, 2018.
[00:00:11.751 --> 00:00:14.692]  Another epic July 4th has come and gone.
[00:00:14.692 --> 00:00:19.675]  And never has it been more clear where the stakes are for humanity.
[00:00:19.675 --> 00:00:20.976]  But I want to make a point.
[00:00:20.976 --> 00:00:24.018]  There's a Churchill quote, I'm paraphrasing it, that
[00:00:25.347 --> 00:00:27.369]  Many people get hit by history.
[00:00:27.369 --> 00:00:36.057]  They get run over in the street by huge, big, epic developments and they kind of dust themselves off and ignore the point in history that they're in.
[00:00:36.057 --> 00:00:44.125]  But there are other people that get hit by destiny and hit by history and they get up and it changes the course of their lives and countless other people's lives.
[00:00:45.566 --> 00:01:00.602]  And so I want people to remember that the hundreds of millions that died under communism and the tens of millions that died under fascism and other cults and permutations of governmental control and societal mental illness manifest by government debt
[00:01:01.886 --> 00:01:05.908]  We are on the precipice of a new global revolution, a new renaissance.
[00:01:05.908 --> 00:01:12.691]  And we're actually, because of other people's work before us, shitting on a great brain trust of human liberty.
[00:01:12.691 --> 00:01:20.114]  And that we've got a chance to fight for freedom when the odds are actually on our side, if we realize it.
[00:01:20.114 --> 00:01:22.756]  We've got to look back on those that didn't have a chance to win.
[00:01:23.766 --> 00:01:33.454]  But took action and did what was right because it was about their soul and about the spiritual, cultural, human decision they were making.
[00:01:33.454 --> 00:01:35.735]  And that's why they were fulfilled.
[00:01:35.735 --> 00:01:38.738]  So again, ladies and gentlemen, I want to thank you all for your support.
[00:01:38.738 --> 00:01:40.199]  I want to thank you all for your prayers.
[00:01:40.199 --> 00:01:45.063]  I want to thank you all for what you've done against the bullies and the peer pressure over the years.
[00:01:45.063 --> 00:01:51.728]  Because if it wasn't for you, and if it wasn't for everything you've done, we wouldn't be here.
[00:01:53.277 --> 00:01:57.624]  Many of those people aren't here today that stood up for what was right.
[00:01:59.602 --> 00:02:05.907]  But in their gut, they believed in you, and they believed in me, and they believed that we could build a better future.
[00:02:05.907 --> 00:02:07.649]  They had goodwill towards people.
[00:02:07.649 --> 00:02:12.873]  They didn't want to use the fact that they had more knowledge than the average person to control that person.
[00:02:12.873 --> 00:02:19.138]  They didn't want to use the fact that they understood how the game was played to then set up a little secret cabal and feed on people.
[00:02:19.138 --> 00:02:27.945]  They had the true vision of human empowerment and the true mastery to empower others and bring them to the next level.
[00:02:27.945 --> 00:02:28.746]  They were Christ-like.
[00:02:29.696 --> 00:02:29.936]  I think
[00:02:47.828 --> 00:02:50.309]  And your awakening and the decisions you've made.
[00:02:50.309 --> 00:03:10.176]  So, I just want to tell you as we've passed through this July 4th, 2018, as the globalists launch their riots and their attacks and their lies and their moralizing that have good cheer, my friends, because we're living in a time and age when the devil knows the time is short, so he sends the beast with wrath.
[00:03:10.176 --> 00:03:12.817]  And there are whole world government systems here, the mark of the beast.
[00:03:12.817 --> 00:03:15.158]  It's going to be a lot of trials, a lot of tribulations, but
[00:03:16.288 --> 00:03:20.590]  We know the truth and we know who wins and we know where this all goes.
[00:03:20.590 --> 00:03:28.733]  And so that's a very positive fact to understand.
[00:03:28.733 --> 00:03:32.094]  All that matters is what you stand for.
[00:03:32.094 --> 00:03:36.996]  All that matters is not being a coward and not feeding on people that aren't as smart as you.
[00:03:36.996 --> 00:03:38.497]  And the minute you realize that,
[00:03:39.582 --> 00:03:51.731]  You're in God's arms forever, and these Satanists, and these Crowleyites, and these Democrats, and these Chi-Coms, and all these control freaks who want to control reality, who want to try to become a God, because they merge with AI technology.
[00:03:51.731 --> 00:03:54.833]  They don't understand they already had a connection to God.
[00:03:54.833 --> 00:03:57.915]  They were already an expression of God's consciousness in the universe.
[00:03:57.915 --> 00:04:00.857]  There was no need to ever even do that.
[00:04:00.857 --> 00:04:02.598]  But that's why we have free will.
[00:04:02.598 --> 00:04:06.201]  Some people will fall to the lower dimension.
[00:04:06.201 --> 00:04:08.743]  Some people will rise and ascend towards
[00:04:10.007 --> 00:04:13.108]  A communion and a reunification with Christ.
[00:04:13.108 --> 00:04:14.929]  And that's the big choice.
[00:04:14.929 --> 00:04:17.369]  And that's why I know you've made the right choice.
[00:04:17.369 --> 00:04:19.490]  You're not going to find Christ in these whorehouse churches.
[00:04:19.490 --> 00:04:25.572]  That's where the literal globalists run the operation via the World Council of Churches.
[00:04:25.572 --> 00:04:31.054]  But you're going to find the real Christ in your heart, seeking after God and saying, I want to be a good person.
[00:04:31.054 --> 00:04:32.314]  I want to be just.
[00:04:32.314 --> 00:04:33.174]  I want to be honorable.
[00:04:33.174 --> 00:04:34.475]  I'm going to tell the truth.
[00:04:34.475 --> 00:04:38.356]  So again, are those of us here, when we're seeing this great awakening of heroes,
[00:04:39.184 --> 00:04:39.844]  No.
[00:04:39.844 --> 00:04:51.331]  The heroes are those in communist China and North Korea and old Soviet Russia and countless other places like Cuba that were tortured and murdered and killed and watched their children go to prison because they didn't deny God the truth.
[00:04:51.331 --> 00:04:56.615]  And to them on this July 4th, I want to thank you all and thank you for 1776 Worldwide.
[00:04:56.615 --> 00:04:57.295]  God bless you all.
[00:05:00.575 --> 00:05:02.918]  Fueling your body is hard work.
[00:05:02.918 --> 00:05:08.685]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.685 --> 00:05:17.135]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.135 --> 00:05:19.358]  There's no better way to power your body.
[00:05:19.878 --> 00:05:26.761]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.761 --> 00:05:37.907]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.907 --> 00:05:44.830]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:05:45.370 --> 00:05:51.514]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:05:51.514 --> 00:05:55.356]  Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.356 --> 00:05:58.538]  Try the InfoWars Life Daily Digestive Pack today!
[00:05:58.538 --> 00:06:02.480]  You are on the march.
[00:06:02.480 --> 00:06:03.161]  The Empire is on the run.
[00:06:03.161 --> 00:06:04.882]  Alex Jones and the GCN Radio Network.
[00:06:33.673 --> 00:06:34.774]  Life is coming back.
[00:06:34.774 --> 00:06:35.895]  Humanity is coming back.
[00:06:35.895 --> 00:06:38.356]  Nationalism is coming back.
[00:06:38.356 --> 00:06:41.599]  Humanity is awakening.
[00:06:41.599 --> 00:06:43.780]  The ace of spades, ladies and gentlemen.
