[00:00:10.245 --> 00:00:14.268]  You are listening to an InfoWars.com Frontline Report.
[00:00:14.649 --> 00:00:18.612]  If you are receiving this transmission, you are the resistance.
[00:00:26.138 --> 00:00:34.666]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:00:37.085 --> 00:00:37.585]  We're live.
[00:00:37.625 --> 00:00:42.966]  It is February 20th, 2018, the Tuesday edition of the Alex Jones Show.
[00:00:43.006 --> 00:00:44.967]  I'll be in for Alex for the first two hours then.
[00:00:45.107 --> 00:00:51.348]  In the second two hours after that, the third and fourth hours, it will be the one and only Milo Yiannopoulos.
[00:00:51.368 --> 00:00:53.448]  But we've got a ton of news to cover right now.
[00:00:53.808 --> 00:01:01.130]  Top of the agenda being the increasing polarisation of America as the culture wars intensify.
[00:01:01.390 --> 00:01:04.230]  It's a fever pitch like never before.
[00:01:04.270 --> 00:01:06.731]  We have a top headline up on InfoWars.com right now.
[00:01:07.668 --> 00:01:09.370]  Which is also on DrudgeReport.com.
[00:01:10.010 --> 00:01:13.733]  Kill the NRA sign appears on billboard in Louisville.
[00:01:14.294 --> 00:01:20.539]  Now we saw the Facebook account last week which of course this all brewed up after the school shooting in Florida.
[00:01:21.320 --> 00:01:31.208]  The Facebook account where they actively encouraged and incited people to go out and shoot Republicans as revenge for the Florida high school shooting.
[00:01:31.986 --> 00:01:33.347]  Now it's gone into high gear.
[00:01:33.567 --> 00:01:37.230]  We've got this kill the NRA sign appearing on a billboard in Louisville.
[00:01:37.691 --> 00:01:46.178]  Again, in response to last week's shooting, the billboard, which appears on Interstate 65, was an act of vandalism, according to the company that owns the billboard.
[00:01:46.878 --> 00:01:48.519]  So it wasn't an actual ad buy.
[00:01:49.060 --> 00:01:50.481]  They're saying they're taking it down.
[00:01:50.521 --> 00:01:52.583]  There's no sign it's actually being taken down.
[00:01:52.923 --> 00:01:56.206]  The words resist 45 also appear on the sign.
[00:01:56.626 --> 00:02:01.390]  So this was obviously put up by radicalised, insane, hyper-partisan
[00:02:02.259 --> 00:02:17.347]  Anti-Trump resistance members and a spokeswoman for Outfront Media, the company that owns the billboard, said that it's being taken down but Wave 3 News got the exclusive on this and basically people are saying, once again, this is encouraging violence.
[00:02:17.947 --> 00:02:19.848]  Again, this is after the school shooting.
[00:02:19.888 --> 00:02:26.171]  They're actively calling on people to kill NRA members as a response to that shooting.
