[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[00:00:12.481 --> 00:00:18.965]  You're listening to Alex Jones.
[00:00:18.965 --> 00:00:27.851]  Hello and welcome to the Alex Jones Show and if you're wondering
[00:00:28.769 --> 00:00:43.620]  Why the dulcet tones of a well-dressed, well-educated Englishman are coming to you today, that's because our fearless leader is out elsewhere in the world doing whatever it is that international men of mystery get up to.
[00:00:43.620 --> 00:00:48.183]  I am Miley Yiannopoulos, standing in for Alex Jones for the next two hours.
[00:00:48.183 --> 00:00:55.789]  Alex will be back himself for the third hour of the show today, and the fourth hour of the show will be the one and only Roger Stone.
[00:00:57.239 --> 00:01:04.126]  I'm Milo, the host of The Milo Show, and you can go to Dangerous.com to read my journalism and find out my stuff.
[00:01:04.126 --> 00:01:15.657]  I have my own show, so you can go if by some strange and improbable chance four hours of InfoWars a day isn't enough for you, go and check out The Milo Show.
[00:01:15.657 --> 00:01:16.338]  You can go to Dangerous.com.
[00:01:17.919 --> 00:01:18.339]  Join.
[00:01:18.339 --> 00:01:23.461]  Coming up today on the show, breaking news in Florida from Alex himself.
[00:01:23.461 --> 00:01:27.042]  He's going to be talking you through that in the third hour.
[00:01:27.042 --> 00:01:36.785]  We've got interviews with our reporter Laura Loomer who is on the ground, ferreting out the latest developments including another doorstop of the sheriff.
[00:01:36.785 --> 00:01:37.885]  News about tech.
[00:01:37.885 --> 00:01:40.926]  Crumbling tech empires.
[00:01:40.926 --> 00:01:43.187]  The left's peculiar
[00:01:44.830 --> 00:01:55.373]  interference running and damage control as it emerges that there is something up with these child spokespeople.
[00:01:55.373 --> 00:01:59.234]  But before we get to all of that, a story about aid workers.
[00:01:59.234 --> 00:02:00.894]  This was in the Independent.
[00:02:00.894 --> 00:02:02.575]  This is a special report.
[00:02:02.575 --> 00:02:05.855]  Aid workers aren't saints and they can go bad.
[00:02:05.855 --> 00:02:08.016]  I know because I did.
[00:02:08.016 --> 00:02:08.196]  Well,
[00:02:09.901 --> 00:02:19.346]  Putting it mildly, the truth is that the majority of aid workers are morally compromised at best.
[00:02:19.346 --> 00:02:28.950]  And many, let's just say it, many aid workers are really terrible people.
[00:02:28.950 --> 00:02:36.654]  If you think about the sense of moral self-righteousness that most people who work in the left-wing charitable sector have,
[00:02:37.907 --> 00:02:49.972]  By aid workers, we're not talking about people who work with veterans, people who are doing noble things to preserve freedoms and to look after people who are underprivileged or whatnot.
[00:02:49.972 --> 00:02:55.695]  We're talking about people who work in the corporatised, globalist, professionalised, charitable sector.
[00:02:55.695 --> 00:03:00.877]  People who are invariably, and almost without exception,
[00:03:02.225 --> 00:03:13.232]  signed up to an anti-free speech, anti-straight white male, anti-capitalist, anti-nation state, anti-border, anti-freedom agenda.
[00:03:13.232 --> 00:03:18.596]  These people signed up entirely to the extraordinary bonkers beliefs
[00:03:20.222 --> 00:03:22.843]  Of the sorts of people who work at the United Nations.
[00:03:22.843 --> 00:03:32.206]  But it's even worse for people who are out there working on the field, UN workers for instance, because they operate internationally with almost no checks and balances on their behaviour.
[00:03:32.206 --> 00:03:34.987]  Behaviour that includes sex, guns and drugs.
[00:03:34.987 --> 00:03:40.329]  These people are running riot all over the world in supposedly impoverished and terrible places.
[00:03:40.329 --> 00:03:44.091]  Painting their own wrongdoing as the product of stress.
[00:03:44.091 --> 00:03:47.472]  This author in The Independent, which is a left-wing British publication says,
[00:03:48.902 --> 00:03:53.765]  There's a third category of aid worker, the good one, that turns bad.
[00:03:53.765 --> 00:03:58.629]  He says that aid working is like being a junkie on adrenaline.
[00:03:58.629 --> 00:04:14.340]  The stress gets to you and you start to sink into drugs, sex, lots and lots of sex, he says, hence the book Emergency Sex and Other Desperate Measures, excuse making by liberals for their bad behavior in war-torn zones.
[00:04:14.340 --> 00:04:15.641]  Now we're starting to see this stuff come out.
[00:04:16.676 --> 00:04:21.460]  Oxfam is getting it in the neck for the Haitian prostitute scandal, but this is just the tip of the iceberg.
[00:04:21.460 --> 00:04:32.350]  And the way that I know that, the reason I can tell you with such certainty and confidence, is that I used to work, not a lot of people know this, I used to work as a chief researcher and speechwriter for a climate change NGO.
[00:04:33.451 --> 00:04:37.452]  These people are truly dreadful and I'm glad to see them getting their comeuppance.
[00:04:37.452 --> 00:04:40.654]  Aid workers, by and large, are awful people.
[00:04:40.654 --> 00:04:49.717]  You shouldn't feel the slightest bit bad about Oxfam and these other globalised, massively wealthy charities crumbling, crashing and burning in flames.
[00:04:49.717 --> 00:04:53.378]  And with that cheerful start to the day, my name is Milo and this is InfoWars.
[00:04:53.378 --> 00:04:58.040]  We're going to be right back after this break with Florida intrigue.
[00:04:58.040 --> 00:04:58.560]  See you in a second.
[00:05:00.729 --> 00:05:02.970]  Electrify your day with Secret 12.
[00:05:02.970 --> 00:05:04.571]  It's like lightning in a bottle.
[00:05:04.571 --> 00:05:08.472]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:05:08.472 --> 00:05:16.416]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:05:16.416 --> 00:05:21.378]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:05:21.378 --> 00:05:22.118]  The reality is
[00:05:22.398 --> 00:05:27.205]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:05:27.205 --> 00:05:34.996]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:05:34.996 --> 00:05:39.402]  It pairs two forms of vitamin B12 into one explosive formula.
[00:05:39.682 --> 00:05:45.565]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:05:45.565 --> 00:05:48.706]  But it also assists with many other functions of the body.
[00:05:48.706 --> 00:05:52.267]  Electrify your mind and body and take your health to the next level.
[00:05:52.267 --> 00:05:56.169]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:05:56.169 --> 00:05:57.770]  That's InfoWarsLife.com.
[00:06:01.283 --> 00:06:08.364]  We've got it.
[00:06:08.364 --> 00:06:12.745]  Waging war on corruption.
[00:06:12.745 --> 00:06:18.987]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:18.987 --> 00:06:25.368]  My fellow InfoWarriors, Billy Graham at 99 has died.
[00:06:25.368 --> 00:06:29.969]  And Billy Graham wasn't hardcore enough for a lot of Christians out there, but
[00:06:30.831 --> 00:06:52.687]  Throughout the last 65 years, going back all the way to Harry Truman, Billy Graham helped hold the line in many respects against modern globalist teachings and the whole ecumenical movement that was attempting to destroy the core principles of Christianity.
[00:06:52.687 --> 00:06:53.408]  And looking back,
[00:06:54.588 --> 00:07:09.601]  Without people like Billy Graham, we wouldn't even have the foundation we have today to fight back against Hollywood and those that would remove any Christian values that we have, so that they can replace it with their whole globalist orthodoxy.
[00:07:09.601 --> 00:07:19.970]  That said, there's a story on InfoWars.com today that ties into this, out of Purdue University, one of the most prestigious universities, obviously, not just in the U.S., but in the world,
[00:07:21.784 --> 00:07:39.982]  Known for its academic freedom and excellence for over a hundred years, Purdue has put out their official reader, their official guidebook for writing in the English department and for students called the OWL.
[00:07:39.982 --> 00:07:43.786]  They've been putting it out again for decades and it says, do not use the word man.
[00:07:45.137 --> 00:07:50.261]  Because man is masculine, man is bad, man is associated with bad things.
[00:07:50.261 --> 00:07:55.445]  So again, this whole political correctness thing is about ending normal humanity as we know it.
[00:07:55.445 --> 00:07:58.187]  Ending the normal human compact.
[00:07:58.187 --> 00:08:00.789]  Ending the normal biological system.
[00:08:00.789 --> 00:08:03.511]  And taking humanity beyond domestication.
[00:08:05.120 --> 00:08:05.400]  Absolutely.
[00:08:26.161 --> 00:08:29.804]  Technotronic, technocracy takeover.
[00:08:29.804 --> 00:08:52.201]  Just type in, in defense of technocracy, you'll get Bloomberg, AP, Reuters, the Financial Times, all the establishment publications saying we are a technocracy, we are a technological takeover by an authoritarian group that is going to program the general public exactly as we see fit.
[00:08:52.201 --> 00:08:53.042]  Now think about that.
[00:08:54.022 --> 00:08:55.123]  Think about that.
