[00:00:23.232 --> 00:00:27.943]  Yeah, I think.
[00:00:59.849 --> 00:01:03.413]  Emotional incontinence.
[00:01:03.413 --> 00:01:05.275]  You have urinary incontinence.
[00:01:05.275 --> 00:01:07.838]  No, I said emotional incontinence.
[00:01:07.838 --> 00:01:09.400]  Sorry, I hate f***ing crying.
[00:01:09.400 --> 00:01:16.689]  As Western civilization collapses, which it is, so does our ability to deal with minor day-to-day struggles.
[00:01:16.849 --> 00:01:18.349]  I've just been, like, so unhappy.
[00:01:18.349 --> 00:01:19.110]  She don't think I feel bad.
[00:01:34.394 --> 00:01:42.496]  The masses overdose on reality TV, thinking that it's actually reality, and then mimic it in their own lives.
[00:01:42.496 --> 00:01:49.018]  The more insipid sentimentality displayed on TV, the more it manifests itself in the here and now.
[00:01:49.018 --> 00:01:57.900]  Vacuous people live their lives vicariously through celebrities and television, then base their own personalities on that.
[00:01:57.900 --> 00:02:00.741]  Reality TV doesn't reflect reality.
[00:02:01.261 --> 00:02:03.103]  It contrives reality.
[00:02:03.103 --> 00:02:14.753]  It relentlessly broadcasts the message that ostentatious, OTT, often dumb displays of emotion are to be imitated.
[00:02:14.753 --> 00:02:20.137]  People breaking down and sobbing because Gordon Ramsay had his team renovate their restaurant.
[00:02:20.137 --> 00:02:23.941]  A stunning fresh coat of paint.
[00:02:23.941 --> 00:02:26.943]  We've updated Bell Paul Street.
[00:02:26.943 --> 00:02:27.544]  New plates.
[00:02:30.862 --> 00:02:35.845]  No, you're not supposed to cry over a paint job and some new furniture.
[00:02:35.845 --> 00:02:37.646]  The same is true of YouTube.
[00:02:37.646 --> 00:02:43.030]  YouTubers are rewarded for emotional incontinence and oversharing.
[00:02:43.030 --> 00:02:45.792]  The Try Not To Cry Challenge.
[00:02:45.792 --> 00:02:50.395]  Constantly crying and whining about their drama and their breakups.
[00:02:50.395 --> 00:02:53.497]  The viewers lap it up like water in the desert.
[00:02:53.497 --> 00:02:55.438]  Then ape their behavior.
[00:02:55.738 --> 00:02:57.000]  Oh, why is everyone crying?
[00:02:57.000 --> 00:02:57.941]  He's such a baby.
[00:02:57.941 --> 00:03:01.685]  Last year, Twitter users revealed what made them cry.
[00:03:01.685 --> 00:03:15.940]  The answers included people who cried at not being able to fit all the things they wanted to in their bag, getting the wrong sauce with chicken McNuggets, and crying at a picture of a man because he looked like he was nice.
[00:03:17.001 --> 00:03:22.863]  The floodgates of emotional incontinence are also flung open whenever a celebrity dies.
[00:03:22.863 --> 00:03:31.025]  Why do people whimper and sob over dead celebrities they never knew, and in many cases, rarely even thought about until they died?
[00:03:31.025 --> 00:03:33.566]  Does this betray another form of weakness?
[00:03:33.566 --> 00:03:37.787]  Our inability to process the concept of death itself.
[00:03:37.787 --> 00:03:46.130]  Our mass public outpourings of grief and canonization of dead celebrities, a sign that humanity has never been more afraid.
[00:03:46.590 --> 00:03:48.031]  of its own mortality.
[00:03:48.031 --> 00:03:54.874]  A sign that excessive emoting is making us both more insecure and more insincere.
[00:03:54.874 --> 00:04:03.879]  As Theodore Dalrymple wrote, we live in an age of emotional incontinence when they who emote the most are believed to feel the most.
[00:04:04.139 --> 00:04:21.887]  As we become increasingly atomized by the breakdown of the family structure and its replacement by this empty late-stage capitalist corporate monoculture, authentic expressions of private love have been replaced by spurious public displays of counterfeit emotion.
[00:04:21.887 --> 00:04:26.509]  Why are we constantly told that there's a stigma around depression?
[00:04:26.509 --> 00:04:29.671]  That there's a stigma around expressing emotion?
[00:04:30.231 --> 00:04:31.131]  There isn't.
[00:04:31.131 --> 00:04:32.672]  The opposite is true.
[00:04:32.672 --> 00:04:41.213]  It's constantly drilled into us that depression is normal and that emotional incontinence and oversharing is to be encouraged.
[00:04:41.213 --> 00:04:44.654]  You can barely go two minutes.
[00:04:44.654 --> 00:04:54.836]  The age, the age, ladies and gentlemen, of psychological incontinence is up on InfoWars.com, the full video from Paul Watson.
