[00:00:01.414 --> 00:00:05.856]  The answer to 1984 is 1776.
[00:00:05.856 --> 00:00:09.597]  You're listening to the Alex Jones Show.
[00:00:09.597 --> 00:00:23.842]  Ladies and gentlemen, it is Sunday, already the ninth day of September 2018, and we're only, what, 58 days out now from this historic election.
[00:00:23.842 --> 00:00:24.162]  Fifty
[00:00:26.371 --> 00:00:31.133]  Eight days out, my friends, and you've seen the massive censorship.
[00:00:31.133 --> 00:00:40.596]  They took us off Twitter, and then they took us off of the iPhone app that we just launched five weeks ago, had over two million downloads.
[00:00:40.596 --> 00:00:42.137]  So adults could get it and come here.
[00:00:42.137 --> 00:00:43.898]  They let you have porn sites.
[00:00:43.898 --> 00:00:48.159]  They've got, you know, the Catholic Church in Pennsylvania, where half the priests are pedophiles.
[00:00:48.159 --> 00:00:51.100]  Known pedophiles can have apps.
[00:00:51.100 --> 00:00:52.461]  The pornographers can all have apps.
[00:00:53.849 --> 00:00:57.631]  Infowars, ladies and gentlemen, you can have gambling apps, everything.
[00:00:57.631 --> 00:01:01.533]  But Alex Jones, he can't have that in the letter.
[00:01:01.533 --> 00:01:10.798]  They said because I'm mean-spirited, and that I appear to humiliate, intimidate a targeted individual or group.
[00:01:10.798 --> 00:01:12.319]  And that is the CNN reporter.
[00:01:12.319 --> 00:01:14.020]  We're going to get into that coming up later.
[00:01:15.757 --> 00:01:18.938]  The good news is America more and more sees through what's happening.
[00:01:18.938 --> 00:01:23.980]  And James Woods has come out to my defense and saying the organized banning of me on the internet is the beginning of real fascism.
[00:01:23.980 --> 00:01:25.021]  Trust me.
[00:01:25.021 --> 00:01:33.724]  And no sooner had James Woods put that out last night that we now have one of the heroes of Benghazi
[00:01:35.370 --> 00:01:40.233]  The guy the whole movie 13 Hours is made about, Hiroo Benghazi, suspended from Twitter for criticizing Obama.
[00:01:40.233 --> 00:01:54.123]  Chris Paranto had some choice words for the former president who came out at a press conference on Friday and said that he took credit for the economy, Trump didn't do anything, and that it was a conspiracy theory, Benghazi didn't even exist.
[00:01:54.123 --> 00:01:58.405]  So you think about that.
[00:01:58.405 --> 00:01:59.646]  It's truly sick.
[00:01:59.646 --> 00:02:04.930]  Twitter suspends Benghazi Hiroo after criticism of the president who left him there to die, basically tried to kill him.
[00:02:05.896 --> 00:02:16.890]  And if you talk to the person that killed your friends and tried to kill you, and got caught lying about it, then you are the monster, you are the bad guy.
[00:02:16.890 --> 00:02:17.791]  That is truly sick.
[00:02:19.147 --> 00:02:23.209]  And now they've banned him with a one-day suspension on Twitter.
[00:02:23.209 --> 00:02:26.851]  And first it's a day, then it's a week, then they ban you entirely.
[00:02:26.851 --> 00:02:30.193]  And they're doing it to everyone and acting like, oh, you violated the rules.
[00:02:30.193 --> 00:02:33.835]  They let the left do whatever violence they want, call for whatever they want.
[00:02:33.835 --> 00:02:39.117]  The protected individuals are criminals in the power structure who can go around and do whatever they want and don't want to be criticized.
[00:02:39.117 --> 00:02:43.740]  Well, suppressing people from being able to have their speech is only going to make them madder.
[00:02:43.740 --> 00:02:45.421]  Now here's the big news we've been breaking down.
[00:02:46.254 --> 00:02:52.737]  And a lot more of it's coming up here today at InfoWars.com and NewsWars.com and Owen Schwartz is going to be joining me during the 4 to 6 p.m.
[00:02:52.737 --> 00:02:56.039]  transmission right now.
[00:02:56.039 --> 00:03:04.903]  And it's so critical that you remember it isn't just talk in the background when I say if you don't spread the live feeds, if you don't spread InfoWars.com forward slash show, they'll win.
[00:03:04.903 --> 00:03:10.125]  And in critical times like this when the neocons and others are trying to get a full scale war going in Syria and U.S.
[00:03:10.125 --> 00:03:15.108]  airstrikes have begun there, and the Russians have been warning of more chemical false flags being prepared,
[00:03:16.078 --> 00:03:25.922]  You better know that it's time to be focused and involved and really keeping our eyes open and watching our six as well, because history is unfolding.
[00:03:25.922 --> 00:03:27.883]  And what happens if Russia retaliates?
[00:03:27.883 --> 00:03:30.304]  This could spin out of control very, very quickly.
[00:03:30.304 --> 00:03:35.026]  But again, we're in the middle of a Shiite-Sunni civil war that's spilling into Europe.
[00:03:35.026 --> 00:03:38.107]  And it's all part of that EU plan that's on InfoWars.com.
[00:03:38.107 --> 00:03:41.608]  Report EU intentionally collapsing European countries with illegals.
[00:03:41.608 --> 00:03:42.489]  This was four years ago.
[00:03:43.109 --> 00:03:44.890]  This is an incredible time to be alive.
[00:03:44.890 --> 00:03:45.170]  We are
[00:04:07.038 --> 00:04:10.040]  58 days out from the election.
[00:04:10.040 --> 00:04:14.264]  And I know you're frosty, I know you're focused, but you can feel it, you can see it.
[00:04:14.264 --> 00:04:14.784]  It's unbelievable.
[00:04:14.784 --> 00:04:16.785]  They're trying to shut me down, they're trying to shut everybody down.
[00:04:16.785 --> 00:04:20.328]  They're getting ready to stage, I believe, terror attacks on the media and blame me.
[00:04:20.328 --> 00:04:24.191]  They keep having the talking point that I'm calling for violence when they're the ones doing it.
[00:04:24.191 --> 00:04:25.992]  So everybody have your video cameras ready.
[00:04:25.992 --> 00:04:30.576]  They want to kill everybody's live feeds so we can't cover what really happens when they pull their false flag.
[00:04:30.576 --> 00:04:32.257]  So I'm telling you, maximum vigilance.
[00:04:32.257 --> 00:04:33.638]  They're trying to have a coup against the president.
[00:04:33.638 --> 00:04:34.639]  That's even in mainstream news.
[00:04:35.379 --> 00:04:39.963]  They're even in mainstream media admitting that they've got insiders trying to block his agenda and overthrow him.
[00:04:39.963 --> 00:04:44.286]  This country is in the middle of a civil war with powerful criminal globalist forces.
[00:04:44.286 --> 00:04:48.429]  But we have the Constitution and history and right on our side and the economy is getting better.
[00:04:48.429 --> 00:04:52.352]  So we're in the fight, but need more focused and more involved than ever.
[00:04:52.352 --> 00:04:53.253]  Again, I'm Alex Jones.
[00:04:53.253 --> 00:04:54.554]  This is the InfoWar.
[00:04:54.554 --> 00:04:56.456]  Next year's news today.
[00:04:56.456 --> 00:04:57.096]  Please pray for us.
[00:04:57.096 --> 00:04:57.637]  We need your prayers.
