[00:00:08.707 --> 00:00:12.432]  Infowars.com is tomorrow's news.
[00:00:12.773 --> 00:00:16.978]  Today, you're listening to The Alex Jones Show.
[00:00:24.702 --> 00:00:26.083]  This is the Alex Jones Show.
[00:00:26.103 --> 00:00:28.524]  It is Sunday, January 14th, 2018.
[00:00:28.784 --> 00:00:31.845]  Wow, here we are.
[00:00:33.066 --> 00:00:35.547]  Filling in for Alex Jones, I'm your host, Owen Schroer.
[00:00:35.567 --> 00:00:39.569]  Today we actually do have stacks of news, if you can believe it or not, on a Sunday.
[00:00:40.189 --> 00:00:41.270]  Stacks of news today.
[00:00:41.310 --> 00:00:43.771]  I've got all kinds of fake news story.
[00:00:43.971 --> 00:00:45.852]  MSNBC gets hit with fake news.
[00:00:46.452 --> 00:00:48.493]  Wall Street Journal gets hit with fake news.
[00:00:49.895 --> 00:00:59.781]  You've got a mob of socialists freaking out and destroying a retail store over a hoodie that H&M put out.
[00:00:59.801 --> 00:01:00.642]  We'll be covering that.
[00:01:01.142 --> 00:01:02.363]  More craphole.
[00:01:02.383 --> 00:01:05.905]  I guess you could say backlash.
[00:01:07.165 --> 00:01:10.746]  That really is just making the left look bad again, just like everything else.
[00:01:10.786 --> 00:01:13.867]  It just continues to make the left look bad.
[00:01:14.548 --> 00:01:18.849]  Senator Snowflake, that's Jeff Flake, compares Trump to Stalin.
[00:01:18.869 --> 00:01:20.210]  You can't make that kind of stuff up.
[00:01:21.050 --> 00:01:29.333]  You've got liberal judges trying to overrule the mandate from the American people, and they continue to process DACA renewal.
[00:01:29.393 --> 00:01:33.815]  So all kinds of news, other news that we're going to be covering today, all kinds of video clips.
[00:01:35.731 --> 00:01:41.516]  The Democrats keep calling Trump a racist, even though, I mean, it's just like, why do I even have to cover this?
[00:01:41.536 --> 00:01:42.617]  These people are insane.
[00:01:42.898 --> 00:01:45.420]  And yet they say Trump is mentally unfit.
[00:01:45.940 --> 00:01:48.323]  But here's what the focus of today's show is going to be about.
[00:01:49.497 --> 00:02:00.826]  Obviously, the big news over the weekend was the false alarm in Hawaii, where the emergency alert system sends out a message saying there's an incoming ballistic missile.
[00:02:00.886 --> 00:02:01.767]  It was fake news.
[00:02:02.107 --> 00:02:05.089]  They're trying to make light of this.
[00:02:05.730 --> 00:02:07.852]  Oh, someone just pushed the wrong button.
[00:02:08.592 --> 00:02:10.854]  Yes, it was just an innocent mistake.
[00:02:11.695 --> 00:02:14.377]  Well, no, that's not really possible.
[00:02:15.017 --> 00:02:15.678]  There's so much
[00:02:17.264 --> 00:02:21.868]  Well, like backups and different buttons you have to... I mean, this is a very complex system.
[00:02:21.948 --> 00:02:23.449]  It was definitely not a mistake.
[00:02:23.489 --> 00:02:24.510]  That's what they're trying to say.
[00:02:24.930 --> 00:02:30.174]  And of course, if you listened to Alex Jones last night on the fireside chat, he was breaking it all down.
[00:02:30.194 --> 00:02:35.138]  A deep state, another coup against President Trump.
[00:02:37.185 --> 00:02:39.927]  With the fake alert of an incoming ballistic missile.
[00:02:39.947 --> 00:02:52.857]  But I predict, just like everything else that's been waged against Trump in the form of fake news, this will once again backlash and backfire on the deep state as an investigation has been launched into what happened.
[00:02:53.658 --> 00:02:57.221]  But we're going to open up the phone lines today specifically for callers in Hawaii.
[00:02:57.322 --> 00:03:05.209]  If you are from Hawaii and actually experienced this first hand, 1-877-789-ALEX, 1-877-789-2539.
[00:03:06.070 --> 00:03:12.616]  If you're from Hawaii and you experienced the false alarm first hand, please call in, let's get your take on it.
[00:03:12.916 --> 00:03:16.420]  Here's the video from the news of the crazy scene in Hawaii.
[00:03:17.492 --> 00:03:21.275]  They quite literally crawled into manholes and into basements.
[00:03:21.915 --> 00:03:27.179]  People here in Hawaii stared to death, panicked in fact, over what happened at 805.
[00:03:27.480 --> 00:03:34.825]  In fact, you don't have to go far to find people that are more than happy to tell you their story because they now feel a sense of relief.
[00:03:35.206 --> 00:03:36.226]  It was horrifying.
[00:03:36.667 --> 00:03:43.272]  I came across on our phones that there was a missile that was going to hit and nobody knew what to do.
[00:03:43.512 --> 00:03:44.533]  It was absolutely horrifying.
[00:03:45.399 --> 00:03:46.139]  What did you do?
[00:03:46.159 --> 00:03:52.381]  Yeah, and just imagine everyone's phones buzzing at the same time, much like when you get an Amber Alert.
[00:03:52.421 --> 00:03:56.441]  There's the people running around when they get their alerts.
[00:03:56.461 --> 00:03:58.802]  20 minutes long before people... Yeah.
