[00:00:10.893 --> 00:00:12.954]  ["Ramblin' Man"]
[00:00:50.291 --> 00:00:54.333]  Big Brother, mainstream media, government cover-ups.
[00:00:55.074 --> 00:00:56.534]  You want to stop tyranny?
[00:00:56.795 --> 00:00:57.935]  Well, so does he.
[00:00:58.476 --> 00:01:03.198]  Live from the InfoWars.com studios, it's Alex Jones.
[00:01:08.721 --> 00:01:11.643]  Well, Matt Drudge almost got it 100% right.
[00:01:11.803 --> 00:01:16.065]  If you go to DrudgeReport.com, you see a big red apple.
[00:01:17.586 --> 00:01:19.307]  It says, Apple regulates hate.
[00:01:20.472 --> 00:01:29.018]  But Apple officially, four months ago, moved to China, gave them the code keys to the internet, and announced that they would begin massive web censorship, not just in China, but worldwide.
[00:01:29.518 --> 00:01:38.224]  And they actually said that, well, it's normal to be state-run when you are in China, where they now pay 0% taxes.
[00:01:40.569 --> 00:01:59.674]  Then last week, a top engineer, there's only 200 people reportedly that had access to it, reported on a secret plan called Operation Dragonfly, where they were constructing a total web censorship tool for China, but also testing it out on conservatives and Christians and nationalists here.
[00:02:00.694 --> 00:02:02.714]  That's the full body of the Intercept report.
[00:02:02.894 --> 00:02:04.275]  Well, that's exactly what I've been telling you.
[00:02:04.915 --> 00:02:09.956]  Obama gave them the Office of Personnel Management hack, our entire database of US government and their families.
[00:02:12.230 --> 00:02:14.232]  97%, 98% of rare earth minerals.
[00:02:14.373 --> 00:02:25.048]  China is to be the main power source, the main industrial source, the main military source, the main global force controlling
[00:02:26.448 --> 00:02:26.848]  The planet.
[00:02:27.068 --> 00:02:28.409]  America has been sold out.
[00:02:28.789 --> 00:02:35.851]  Trump desperately has tried to get in there and change this, and basically just negotiate something where we're not totally subservient.
[00:02:36.612 --> 00:02:41.153]  And China, the EU, Davos have all said, no, we're going to crush the American people.
[00:02:41.193 --> 00:02:46.015]  Jack Dorsey said, we're going to crush this nationalist Trump conservative movement.
[00:02:46.615 --> 00:02:47.675]  He said that, what, six months ago.
[00:02:47.695 --> 00:02:49.476]  We're going to crush you.
[00:02:54.636 --> 00:03:00.621]  And I went over this yesterday on the last stream show we put on the Alex Jones Channel.
[00:03:01.301 --> 00:03:01.902]  Here's the news.
[00:03:03.303 --> 00:03:12.671]  Ten minutes before we went live, the Alex Jones Channel that had two and a half billion views, they dialed it back to 1.6 billion views, 2.5 million subscribers, said it was terminated.
[00:03:13.431 --> 00:03:14.312]  That's breaking here now.
[00:03:14.833 --> 00:03:18.375]  So Facebook, Apple, Spotify, all banned us sometime last night.
[00:03:19.136 --> 00:03:24.339]  And gave the fake folks at PissFeed, BuzzFeed, Yellow Journalism Feed, the breaking news.
[00:03:25.079 --> 00:03:28.241]  And right before I went live, I said, check the Alex Jones Channel.
[00:03:28.962 --> 00:03:31.963]  So I told crew last week, they said, oh, they're just playing games with you.
[00:03:31.983 --> 00:03:35.345]  They've already shadow banned us, but they're not going to have the nerve to actually outright ban us.
[00:03:35.385 --> 00:03:36.306]  And I said, no, they are.
[00:03:37.947 --> 00:03:39.948]  Because this is the amount of propaganda you see.
[00:03:42.949 --> 00:03:45.251]  This is the type of propaganda you see before
