[00:00:04.733 --> 00:00:06.437]  The Alex Jones Show.
[00:00:06.858 --> 00:00:09.746]  Because there is a war on for your mind.
[00:00:11.917 --> 00:00:20.900]  The View, a panel of leftists spewing Alinsky-i-propagandized slogans based on weaponized disinformation to their gullible mob audience.
[00:00:21.180 --> 00:00:26.682]  It's only a matter of time before Trump derangement syndrome begins to bubble to the surface.
[00:00:26.702 --> 00:00:27.463]  I'm not an ideologue.
[00:00:27.883 --> 00:00:33.205]  I mean, I have been in the crime business for over three decades, and I think I said that before.
[00:00:34.025 --> 00:00:36.206]  And I know a con when I see it.
[00:00:36.946 --> 00:00:46.951]  And I think that what has happened in the last... I think that what has happened, truly, in the last campaign, and everybody needs to be concerned about that.
[00:00:47.071 --> 00:00:49.112]  Lady Justice is supposed to be blind.
[00:00:49.132 --> 00:00:50.253]  I'm not an ideologue.
[00:00:50.733 --> 00:00:51.073]  I'm not.
[00:00:51.374 --> 00:00:55.216]  I am in law enforcement and it's right and wrong.
[00:00:55.236 --> 00:00:59.158]  Do you think Donald Trump embraces and embodies conservative ideology?
[00:01:00.038 --> 00:01:04.280]  Remember, he used to have a different position on pro-choice.
[00:01:05.441 --> 00:01:06.622]  He's imposing tariffs.
[00:01:07.202 --> 00:01:08.322]  He's against globalism.
[00:01:08.523 --> 00:01:11.924]  Do you think he is an ideologue that is faithful to conservative policies?
[00:01:11.964 --> 00:01:15.346]  You know, I'm not here to talk about what Donald Trump is and isn't.
[00:01:19.048 --> 00:01:24.772]  If you want to talk about Donald Trump, you tell me what metric in this country is worse off.
[00:01:25.273 --> 00:01:28.115]  Unemployment is lower than it's been in 50 years.
[00:01:28.475 --> 00:01:38.923]  Minorities, Hispanics, African-Americans have jobs... Wait a minute, the GDP under Obama was barely one.
[00:01:39.183 --> 00:01:40.144]  We're going up to four.
[00:01:40.284 --> 00:01:46.769]  And if Democrats don't get their you-know-what together, he's certainly going to get... Here's my question for you, because you talk about... I am not.
[00:01:50.393 --> 00:01:51.434]  Did you just point at me?
[00:01:51.454 --> 00:01:54.297]  Listen, I don't have Trump derangement.
[00:01:54.317 --> 00:01:55.539]  Let me tell you what I have.
[00:01:55.719 --> 00:02:02.548]  I have a lot of... I'm tired of people starting a conversation with Mexicans or liars and rapists.
[00:02:02.788 --> 00:02:06.012]  I'm tired of people starting a conversation
[00:02:06.448 --> 00:02:09.550]  This is where the Trump derangement syndrome starts to fester.
[00:02:09.911 --> 00:02:11.592]  Whoopi is arguing a moot point.
[00:02:12.012 --> 00:02:15.915]  Yes, Whoopi, over 32% of federal inmates in the U.S.
[00:02:15.995 --> 00:02:16.976]  are illegal aliens.
[00:02:17.776 --> 00:02:20.438]  And yes, roughly 5,000 U.S.
[00:02:20.478 --> 00:02:23.841]  citizens die every year as a result of illegal alien drivers.
[00:02:24.381 --> 00:02:29.105]  And yes, there is a largely ignored rape epidemic of American children by illegal aliens.
[00:02:29.545 --> 00:02:31.226]  And yes, it does cost the U.S.
[00:02:31.287 --> 00:02:32.307]  taxpayers roughly $113
[00:02:33.268 --> 00:02:37.432]  Listen, I'm 62 years old, there have been a lot of people in office that I didn't agree with, but I have never, ever,
[00:02:58.985 --> 00:03:00.446]  I've never seen anything like this.
[00:03:00.486 --> 00:03:02.767]  I've never seen anybody whip up such hate.
[00:03:03.247 --> 00:03:11.412]  I've never seen anybody be so dismissive.
[00:03:11.512 --> 00:03:18.455]  One of the things that you talk about a lot, and I'm curious about it, is the deep state.
[00:03:19.016 --> 00:03:21.497]  How long has the deep state been there, and who's running it?
[00:03:21.897 --> 00:03:26.302]  Unfortunately, the judge isn't permitted to answer, so I will answer for her.
[00:03:26.622 --> 00:03:32.950]  The deep state is a massive bureaucratic fourth branch of government that continues to infest Washington, D.C.
[00:03:33.310 --> 00:03:36.454]  as it remains indefinitely immune to our election process.
[00:03:36.834 --> 00:03:39.276]  Vice Presidents and Congressmen have come and gone.
[00:03:39.637 --> 00:03:54.190]  Foreign and internal corruption have ensured that the Deep State has grown in stature, feeding on, limiting, and ultimately destroying our Bill of Rights in order to gain an elitist totalitarian stranglehold on our country and its citizens.
[00:03:54.790 --> 00:04:12.195]  Its minions inhabit the intelligence community, the Pentagon, congressional lobbyists and politicians, think tanks like the Council on Foreign Relations, and representatives of the United Nations as the UN Agendas 21 and 30 are wielded on sovereignty across the globe.
[00:04:12.775 --> 00:04:17.016]  Its origins in the United States are embedded in the history of the Federal Reserve.
[00:04:18.196 --> 00:04:20.178]  And we have been told of its intentions.
[00:04:20.398 --> 00:04:37.351]  Eisenhower warned us of the military-industrial complex, JFK warned us of secret societies, and previous presidencies have exposed its power by kowtowing to policies in direct opposition of their own promises to the American citizenry.
[00:04:38.232 --> 00:04:41.214]  It's not a small, insignificant boogeyman, Whoopi.
[00:04:41.734 --> 00:04:42.594]  It is massive.
[00:04:42.955 --> 00:04:44.115]  And it is very real.
[00:04:44.495 --> 00:04:51.759]  The irony is, the daughter of one of its most prominent agents, John McCain, is sitting directly across from you.
[00:04:58.069 --> 00:04:59.470]  Let's talk to Victor in Florida.
[00:04:59.510 --> 00:05:00.972]  Victor, you're calling.
[00:05:01.012 --> 00:05:01.392]  Go ahead.
[00:05:01.492 --> 00:05:01.772]  Yes.
[00:05:02.213 --> 00:05:02.893]  Hi, Alex.
[00:05:03.033 --> 00:05:09.239]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[00:05:09.459 --> 00:05:13.423]  I've ordered several of the products over and over because it's amazing.
[00:05:13.663 --> 00:05:15.124]  In particular, Silver Bullet.
[00:05:15.484 --> 00:05:25.313]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet and I'll still feel a little sick, but it won't last as long.
[00:05:25.393 --> 00:05:28.794]  And I just ordered the body, the alpha power, and the pollen block.
[00:05:29.115 --> 00:05:30.695]  Well, let me just say something, Victor.
[00:05:30.735 --> 00:05:38.559]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[00:05:38.579 --> 00:05:44.401]  But when you mention the Silver Bullet Colloidal Silver, it's got thousands of reviews, a 98% review.
[00:05:44.521 --> 00:05:49.844]  It is our highest-reviewed product, because it is from the top lab in the country, discounted, high-quality colloidal silver.
[00:05:49.944 --> 00:05:52.945]  It's not a Silver Bullet, but it's the closest thing you're going to find to a Silver Bullet.
[00:05:54.923 --> 00:06:00.805]  Ladies and gentlemen, we're about to break a world exclusive that will shake the planet if this story gets out.
[00:06:01.305 --> 00:06:07.247]  Hillary Clinton met repeatedly, secretly, with Vladimir Putin and wrote that she bonded with him.
[00:06:07.287 --> 00:06:08.947]  This was all written secretly.
[00:06:09.648 --> 00:06:17.190]  Now she has published it and admitted it and it's hiding in plain view and Google is trying to take it down as fast as they can.
[00:06:17.250 --> 00:06:17.730]  That's right.
[00:06:18.090 --> 00:06:23.292]  Hillary Clinton basically admits she was a Russian agent and sold out our uranium
[00:06:23.712 --> 00:06:25.193]  And she hit it in plain view.
[00:06:25.953 --> 00:06:33.638]  This is the beyond hypocrisy that we're witnessing as she says that we cannot trust Trump because he was at a public sanctioned meeting with Putin.
[00:06:34.138 --> 00:06:35.499]  All of this and more straight ahead.
[00:06:35.519 --> 00:06:39.041]  If you are receiving this transmission,
[00:06:42.322 --> 00:06:47.904]  On this live Sunday edition of the Alex Jones Show, Roger Stone's going to be hosting.
[00:06:48.965 --> 00:06:57.488]  I asked Roger Stone to host today because literally hundreds of stories that he's broken the last two years have turned out to be deadly accurate.
[00:06:58.268 --> 00:07:01.850]  So I'm gonna ask him to review some of those but also tell us what's coming next.
[00:07:01.910 --> 00:07:02.290]  But first,
[00:07:03.516 --> 00:07:06.821]  I wanted to reveal some incredible hypocrisy.
[00:07:06.861 --> 00:07:08.543]  In fact, it's beyond hypocrisy.
[00:07:08.563 --> 00:07:11.407]  It is an insult to every thinking human being.
[00:07:12.148 --> 00:07:13.169]  And that's Hillary Clinton.
[00:07:13.950 --> 00:07:17.975]  She's come out today and said that she believes the Russians are going to hack the 2018
[00:07:20.279 --> 00:07:20.679]  Election.
[00:07:21.260 --> 00:07:27.127]  So she wants Democrat-controlled Homeland Security, they've got their people still in control, to federalize the elections.
[00:07:27.948 --> 00:07:32.294]  Obama signed an executive order to do this 10 days before he left office in 2017.
[00:07:32.454 --> 00:07:37.180]  If they ever get this in place, we'll never have real elections again.
[00:07:38.630 --> 00:07:39.471]  Like Venezuela.
[00:07:39.691 --> 00:07:46.677]  They know there's been a major political realignment against them, and so now they're seeking to end our representative republic.
[00:07:47.578 --> 00:07:49.479]  Now, let's get to the major hypocrisy.
[00:07:50.120 --> 00:07:56.825]  She added on to this lie when the evidence is the Democratic Party has illegal aliens voting all over the country.
[00:07:56.865 --> 00:08:00.268]  They've legalized it in San Francisco and Chicago and other areas.
[00:08:01.229 --> 00:08:08.040]  No, the evidence is the deep state, the globalists, the special interests backed up by the communist Chinese are the ones manipulating our elections.
[00:08:08.400 --> 00:08:09.522]  That's where all the evidence is.
[00:08:09.582 --> 00:08:16.072]  In every Netflix show and Hollywood movie and the news, 95% anti-Donald Trump, anti-nationalists, but I'm sorry.
[00:08:17.466 --> 00:08:18.087]  I'm digressing.
[00:08:18.287 --> 00:08:22.269]  What is the big, giant piece of Beyond Hypocrisy?
[00:08:23.150 --> 00:08:25.231]  Hillary Clinton thinks you have no memory.
[00:08:25.712 --> 00:08:27.013]  Hillary Clinton thinks you're an idiot.
[00:08:27.593 --> 00:08:31.075]  She wrote a book in 2014 called Hard Choices.
[00:08:31.816 --> 00:08:41.743]  And in the book Hard Choices, she talks about her deep bonding personally in private secret meetings that she only reveals in the book with Vladimir Putin.
[00:08:42.583 --> 00:08:43.604]  Then I did some research.
[00:08:43.844 --> 00:08:44.845]  You can look it up online.
[00:08:45.245 --> 00:09:02.876]  She also filed, when she was Secretary of State, more than six times we know of, to allow Bill Clinton to get a waiver around several federal laws to meet secretly with Vladimir Putin as her agent for the Clinton Foundation.
[00:09:03.276 --> 00:09:08.659]  The State Department does not tell us if they ever gave the authorization, ladies and gentlemen.
[00:09:09.880 --> 00:09:11.200]  That is the mega hypocrisy.
[00:09:11.340 --> 00:09:26.904]  She is not only saying that the Russians plan to steal the 2018 election with no proof, saying that voters don't really want to realign, they don't really want to be populist, they don't really want to be nationalist, they don't really want to be free market, they're not really rejecting Bernie Sanders and Ms.
[00:09:27.424 --> 00:09:28.964]  Cortez and all their communism.
[00:09:29.044 --> 00:09:29.724]  No, no, no.
[00:09:30.304 --> 00:09:31.065]  The Russians did it.
[00:09:31.565 --> 00:09:32.625]  But here's the hypocrisy.
[00:09:33.525 --> 00:09:45.736]  She met with Putin at least twice secretly and brags about their deep bonding and Putin telling her about his mother surviving in World War II under a pile of bodies and all this other stuff.
[00:09:46.677 --> 00:09:48.238]  And she only tells you in a book.
[00:09:48.819 --> 00:09:49.539]  It had been secret.
[00:09:49.940 --> 00:09:59.868]  And then she turns around and says, President Trump cannot be trusted that he's compromised because he met with Putin behind closed doors at a public sanctioned event.
[00:10:01.189 --> 00:10:01.890]  Public summits.
[00:10:02.010 --> 00:10:03.210]  They always have private summits.
[00:10:03.590 --> 00:10:04.450]  Always with world leaders.
[00:10:04.771 --> 00:10:06.071]  When you're the president, that's what you do.
[00:10:06.271 --> 00:10:15.054]  But the way they twist this and the way they think that the public would never figure this out, that the public would never understand this, is just insane.
[00:10:15.174 --> 00:10:23.097]  But what's even crazier is I did Google and Bing searches and found it very hard to even find the original articles where she admitted all this four years ago.
[00:10:23.417 --> 00:10:27.119]  They have been definitely downvoted, blocked, removed, you name it.
[00:10:27.839 --> 00:10:39.851]  Because long before they made up the Russia narrative to blame American voters and populism and claim that we didn't really elect Trump, she was deeply in bed with the Russians, the Chaikoms, and others, and sold out 20-plus percent of our uranium via Uranium One.
[00:10:40.892 --> 00:10:46.297]  Robert Mueller landed on tarmacs with secret uranium transfers to let them see how strong it was.
[00:10:46.858 --> 00:10:48.679]  And no matter how many Snopes articles they write,
[00:10:49.940 --> 00:10:54.803]  These are the facts because it comes from Hillary's own statements and the State Department record as well.
[00:10:54.983 --> 00:10:56.064]  So you heard that right.
[00:10:56.524 --> 00:11:06.910]  Hillary Clinton met when she was Secretary of State secretly with Vladimir Putin repeatedly and sought authorization for Bill Clinton to do it at least six times.
[00:11:07.570 --> 00:11:08.931]  This needs to be investigated.
[00:11:09.391 --> 00:11:10.632]  This needs to be exposed.
[00:11:11.052 --> 00:11:13.554]  This is the evidence of the real Russian collusion.
[00:11:13.934 --> 00:11:17.016]  Now we're about to go to Roger Stone live, but I wanted to add this point.
[00:11:18.016 --> 00:11:29.887]  Roger, in January of 2017, and right through March, first broke the illegal FISA warrant, meaning that they had gotten the warrant against Carter Page and others by lying to the FISA Court.
[00:11:30.648 --> 00:11:36.953]  Then, earlier this year, the FISA Court issued a report admitting that they'd been lied to at least four separate times and calling for an investigation.
[00:11:37.293 --> 00:11:39.636]  That got almost no coverage as well in the controlled press.
[00:11:40.016 --> 00:11:40.636]  I wonder why.
[00:11:41.776 --> 00:11:53.323]  And now it's all come out that indeed the president was illegally spied on even before he got the nomination going back to 2015 by Barack Hussein Obama who was running the operation out of the White House.
[00:11:53.703 --> 00:12:03.049]  This is a ultra-massive scandal and Roger Stone will now break it all down today and look into the future about what he believes is coming next.
[00:12:03.109 --> 00:12:05.911]  But make no mistake, they know humanity's awake.
[00:12:06.451 --> 00:12:07.332]  They know we're involved.
[00:12:08.246 --> 00:12:24.081]  They know we're informed, and they're making their move to shut down the free press, to shut down InfoWars like never before, congressional hearings last week, every major so-called news channel attacking us, calling for us to be shut down, because we continue to be way ahead of the curve, we continue to be
[00:12:25.382 --> 00:12:28.786]  Next level, next year's news today, and that's why Infowars is so precious.
[00:12:29.006 --> 00:12:35.973]  I wish the other talk show host, I wish the other compatriot sites were as informed as we are.
[00:12:36.374 --> 00:12:40.058]  Quite frankly, the only other place I see that is cutting edge is Zero Hedge.
[00:12:40.678 --> 00:12:41.579]  Sometimes Daily Caller.
[00:12:42.260 --> 00:12:43.341]  I want to be eclipsed.
[00:12:43.481 --> 00:12:44.623]  I want to be made obsolete.
[00:12:44.903 --> 00:12:46.505]  Because I want my children to have a future.
[00:12:46.805 --> 00:12:49.128]  I want the type of understanding we have to be mainstream.
[00:12:49.528 --> 00:12:52.431]  And it's beginning to become mainstream in the general public's minds.
[00:12:52.692 --> 00:12:56.396]  And the globalists know if everybody catches on the fact that InfoWars is the zeitgeist.
[00:12:56.676 --> 00:13:05.800]  We will win very, very quickly instead of a long, protracted, serious, ongoing, fourth-generation warfare type situation we're all witnessing right now.
[00:13:05.860 --> 00:13:07.461]  But make no mistake, this is history happening.
[00:13:07.961 --> 00:13:11.743]  It's critical that you spread the articles from NewsWars.com, PrisonPlanet.com.
[00:13:12.683 --> 00:13:13.723]  Infowars.com.
[00:13:13.743 --> 00:13:16.865]  The reason it's hard to spread those links is because we are the resistance.
[00:13:17.105 --> 00:13:18.445]  We are over the target.
[00:13:18.545 --> 00:13:19.866]  We have the information.
[00:13:20.426 --> 00:13:24.287]  Thank you all for making Infowars a force to be reckoned with.
[00:13:24.367 --> 00:13:25.328]  You are the Infowar.
[00:13:25.428 --> 00:13:26.228]  You are the resistance.
[00:13:26.508 --> 00:13:28.549]  Now back to Roger Stone, but don't forget...
[00:13:29.761 --> 00:13:36.484]  Hillary Clinton, from her own mouth, said she met secretly with Vladimir Putin and bonded with him, and tried to get Bill Clinton in secret meetings with him.
[00:13:37.164 --> 00:13:39.805]  Now, she says Trump is a traitor.
[00:13:40.365 --> 00:13:43.366]  Compromised and not trusted for meeting with him at a public summit.
[00:13:44.067 --> 00:13:46.428]  This is the truth, and they hope the death of logic.
[00:13:46.768 --> 00:13:50.089]  But logic and memory is not dead, and we will prevail.
[00:13:50.429 --> 00:13:50.889]  Thank you all.
[00:14:04.437 --> 00:14:09.040]  Welcome back to the next hour of the Alex Jones Show.
[00:14:09.100 --> 00:14:33.473]  How fitting that clash between Judge Jeanine Pirro, who served with distinction as the District Attorney of Westchester County, an able advocate for women, for children, putting criminals behind bars, in an epic clash with Anna Navarro, who, according to the New York Times, lied in her application to become a state employee about going to law school.
[00:14:34.513 --> 00:14:59.488]  Let's be very clear, Anna Navarro cannot hold a candle to Jeanine Pirro when it comes to accomplishments or her authority on law enforcement issues and the entirely bogus nature of the mainstream media's continued false Russia narrative that Anna Navarro is just another nattering nabob of.
[00:15:00.568 --> 00:15:15.759]  We're going to break down for you in the next hour this CYA move by the FBI releasing the Carter Page material that they used as the underlying rationale for their illegal FISA warrant.
[00:15:16.360 --> 00:15:18.221]  Alex Jones is absolutely right.
