[00:00:05.885 --> 00:00:08.086]  Hitler took the guns.
[00:00:08.086 --> 00:00:11.288]  Stalin took the guns.
[00:00:11.288 --> 00:00:13.889]  Mao took the guns.
[00:00:13.889 --> 00:00:17.551]  Fidel Castro took the guns.
[00:00:17.551 --> 00:00:19.572]  Hugo Chavez took the guns.
[00:00:37.450 --> 00:00:42.875]  1776 will commence again if you try to take our firearms!
[00:00:42.875 --> 00:00:45.998]  The Republic will rise again when you attempt to take our guns.
[00:00:45.998 --> 00:00:55.367]  I have sworn upon the altar of God, eternal hostility against every form of tyranny of America.
[00:00:59.494 --> 00:01:02.756]  The answer to 1984 is 1776.
[00:01:02.756 --> 00:01:10.099]  You're listening to the Alex Jones Show.
[00:01:10.099 --> 00:01:15.022]  Ladies and gentlemen, it is Thursday, the 25th day of January 2018.
[00:01:15.022 --> 00:01:19.384]  Hard to believe the first month of this year is almost gone.
[00:01:19.384 --> 00:01:26.928]  We have amazing exclusive footage of the president arriving in Davos and a lot of other amazing stuff coming up that our great reporter
[00:01:27.748 --> 00:01:30.370]  Dan Lyman is there shooting and reporting on.
[00:01:30.370 --> 00:01:34.112]  It's posted on Infowars.com and more going up as we speak.
[00:01:34.112 --> 00:01:57.428]  We have just the wheels coming off, the car blowing up, the walls closing in on the Deep State, on the Secret Society, Clinton, crime cabal inside the Justice Department, and the FBI that's been ruling over this country since the mid-1990s as the Clintons committed massive crimes in front of everybody as the public and journalists and patriots in the government and people across the board realize
[00:01:58.709 --> 00:02:04.312]  The globalists are at war with the American people through their shadow government, through their deep state.
[00:02:04.312 --> 00:02:12.237]  And now that it's identified, and it's run by the Communist Chinese, the EU, and others, there's no putting it back together again.
[00:02:12.237 --> 00:02:17.860]  We have crossed the point of no return, the event horizon.
[00:02:17.860 --> 00:02:19.481]  Here's what Lou Dobbs had to say last night.
[00:02:20.376 --> 00:02:21.537]  Good evening, everybody.
[00:02:21.537 --> 00:02:30.682]  It may be time to declare war outright against the deep state and clear out the rot in the upper levels of the FBI and the Justice Department.
[00:02:30.682 --> 00:02:32.403]  Yes, I said the rot.
[00:02:32.403 --> 00:02:42.429]  The FBI and the DOJ have broken the public trust by destroying evidence, defying oversight, and actively trying to bring down the Trump presidency.
