[00:00:13.587 --> 00:00:16.228]  Waging War on Corruption.
[00:00:16.228 --> 00:00:26.694]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:26.694 --> 00:00:31.556]  Ladies and gentlemen, this is going to be one of the most important broadcasts we've ever engaged in.
[00:00:31.556 --> 00:00:41.282]  We are seeing true communist Chinese style, or Nazi style, police state behavior in the UK, where Tommy Robinson, frequent guest of this show,
[00:00:42.262 --> 00:00:50.512]  Has been disappeared, given 13 month sentence in one hour, and there's a national ban on talking about it.
[00:00:50.512 --> 00:00:55.377]  And I've talked to scores of reporters and others who are afraid to even come on air.
[00:00:55.377 --> 00:01:01.624]  Fox News then talked to his lawyer who said, I can't tell you I'll be arrested.
[00:01:02.421 --> 00:01:04.743]  What was Tommy Robinson reporting on?
[00:01:04.743 --> 00:01:10.187]  Giant confirmed child kidnapping rings nationwide.
[00:01:10.187 --> 00:01:18.795]  But then, yesterday, as I saw hundreds of articles about it late at night, by the morning time they were all disappeared, including U.S.
[00:01:18.795 --> 00:01:22.858]  news stories denoticed by the British government.
[00:01:22.858 --> 00:01:24.199]  That's why this is so huge.
[00:01:24.199 --> 00:01:26.301]  Then, Roger Stone joins us.
[00:01:29.025 --> 00:01:31.946]  To break the biggest Mueller news yet.
[00:01:31.946 --> 00:01:35.128]  He is going to break exclusive news here.
[00:01:35.128 --> 00:01:40.751]  He believes he may be arrested or grabbed anytime starting tomorrow for the next two weeks.
[00:01:40.751 --> 00:01:46.474]  But he's been told, you make up stuff about Trump, you roll on Trump or you are going to be destroyed.
[00:01:46.974 --> 00:01:48.816]  He will be joining us in the second hour.
[00:01:48.816 --> 00:01:50.037]  There's so much more.
[00:01:50.037 --> 00:01:59.047]  Chinese ships came into the South China Sea, the most navigated area in the world, like a giant superhighway of the ocean, and said, we own this.
[00:01:59.047 --> 00:02:00.188]  All ships out.
[00:02:00.188 --> 00:02:02.450]  You must have our authorization to come in.
[00:02:02.450 --> 00:02:02.751]  U.S.
[00:02:02.751 --> 00:02:03.472]  ships went in.
[00:02:03.472 --> 00:02:05.273]  The Chinese threatened to attack them today.
[00:02:06.018 --> 00:02:06.899]  But they back down.
[00:02:06.899 --> 00:02:09.762]  But China said we vow retaliation.
[00:02:09.762 --> 00:02:12.005]  This is unbelievable!
[00:02:12.005 --> 00:02:16.169]  So this is just an incredible time to be alive to show what the appeasement of our government's done.
[00:02:16.169 --> 00:02:18.732]  Now here's part of a Mike Cernovich video.
[00:02:18.732 --> 00:02:20.013]  He caught this early in the morning.
[00:02:20.856 --> 00:02:22.958]  Before they deleted the articles.
[00:02:22.958 --> 00:02:33.628]  Because at first you'd click through and it'd say DENOTICE or depending on the publication, Sky Television, Breitbart, you name it, it would just say oops, an error.
[00:02:33.628 --> 00:02:34.990]  So it all disappeared.
[00:02:34.990 --> 00:02:36.171]  This is proof.
[00:02:36.171 --> 00:02:37.032]  People didn't believe me.
[00:02:37.612 --> 00:02:45.734]  On Monday morning when I was tweeting that there was a denotice out, they have that in England, banning news reportage or citizens talking about news.
[00:02:45.734 --> 00:02:52.236]  It's beyond communist China and it's expanded and expanded and expanded from court gags to total gags.
[00:02:52.236 --> 00:02:56.737]  Here's part of that video that he dubbed the scariest thing you'll see today.
[00:02:56.737 --> 00:03:04.659]  I say this whole move of tyranny is one of the scariest things you'll see this year or in your lifetime if we don't turn this around.
[00:03:04.659 --> 00:03:05.399]  Here's part of that report.
[00:03:06.038 --> 00:03:08.740]  So what's going on here?
[00:03:08.740 --> 00:03:17.184]  If you go into Google News and you type in Tommy Robinson, you can find out there's all these articles written about him.
[00:03:17.184 --> 00:03:21.107]  When you click on it, there's now a reporting ban.
[00:03:21.107 --> 00:03:24.248]  You're not allowed to report.
[00:03:24.248 --> 00:03:27.430]  Look, this is not like a one-off thing here, right?
[00:03:27.430 --> 00:03:30.272]  Let's open RT, Breitbart.
[00:03:32.850 --> 00:03:35.192]  Birmingham Live, it's about to steal the record.
[00:03:35.192 --> 00:03:39.015]  Let's just go see one by one.
[00:03:39.015 --> 00:03:41.116]  404.
[00:03:41.116 --> 00:03:41.296]  404.
[00:03:41.296 --> 00:03:47.021]  Oops.
[00:03:47.021 --> 00:03:49.142]  Oops.
[00:03:49.142 --> 00:03:51.324]  It got to itself going to Google News.
[00:03:51.324 --> 00:03:54.806]  So here, we'll just show you how to do it.
[00:03:54.806 --> 00:03:59.350]  Just go to Google News, type in Tommy Robinson.
[00:04:02.033 --> 00:04:08.958]  All right, he goes on for another three minutes breaking it down.
[00:04:08.958 --> 00:04:10.679]  I retweeted it, real Alex Jones.
[00:04:10.679 --> 00:04:13.241]  Now, if you're watching us on TV, you can see this.
[00:04:13.241 --> 00:04:14.942]  DrudgeReport.com.
