[00:00:16.879 --> 00:00:18.985]  The Alex Jones Show.
[00:00:18.985 --> 00:00:20.951]  Because there is a war on.
[00:00:20.951 --> 00:00:21.773]  Or you're mine.
[00:00:40.956 --> 00:00:43.297]  I'm actually hyperventilating a little bit.
[00:00:43.297 --> 00:00:45.178]  The suspense is so incredible.
[00:00:45.178 --> 00:00:55.544]  What's on the line is so... ...unspeakably... ...serious.
[00:00:55.544 --> 00:01:01.287]  Boy, I've never... ...never had anxiety like this on air.
[00:01:01.287 --> 00:01:02.448]  So much.
[00:01:02.448 --> 00:01:03.828]  Down to the wire.
[00:01:03.828 --> 00:01:04.409]  Six days out.
[00:01:05.390 --> 00:01:15.072]  What will the globalist deep staters pull to stop the populist wave worldwide that is red, red blood, of red-blooded humans that want freedom?
[00:01:15.072 --> 00:01:17.692]  Brazil.
[00:01:17.692 --> 00:01:22.853]  A George Washington-type elected pro-gun Christian.
[00:01:22.853 --> 00:01:26.114]  Merkel being removed by, quote, far-right wing.
[00:01:26.114 --> 00:01:27.594]  She's already out of power.
[00:01:27.594 --> 00:01:29.675]  She'll still be there as a figurehead until 2021.
[00:01:32.202 --> 00:01:33.943]  Unless he completely resigns.
[00:01:33.943 --> 00:01:36.885]  And everywhere else, they're losing.
[00:01:36.885 --> 00:01:59.561]  And they believe, the globalists, our enemies, believe, and they are correct, that if they can hold on to the United States, they've got some shot of suppressing nativist, nationalist, independent groups around the world from getting control of their own destinies.
[00:02:01.411 --> 00:02:12.174]  It is wickedly authoritarian, and it's authoritarian like an aerospace engineer wants to design an airplane that's aerodynamic.
[00:02:12.174 --> 00:02:22.156]  It is the science of dehumanization and control, because that's the only shot the technocrats have of maintaining their illegitimate
[00:02:23.004 --> 00:02:27.487]  Bizarre anti-Renaissance hold.
[00:02:27.487 --> 00:02:30.710]  We need to be accelerating technological development.
[00:02:30.710 --> 00:02:33.491]  We need to be exploding into space.
[00:02:33.491 --> 00:02:37.895]  We need to be innovating at every level if we have a shot to make it out of here.
