[00:00:00.430 --> 00:00:06.092]  Waging war on corruption.
[00:00:06.092 --> 00:00:11.654]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:11.654 --> 00:00:17.016]  And now, your host, Owen Troyer.
[00:00:17.016 --> 00:00:23.739]  Robert Mueller is the unelected, unofficial president of the Deep State and the Democrat Party.
[00:00:24.716 --> 00:00:31.271]  He's rogue, he's out of control, he's doing anything and everything he can to try to destroy President Donald Trump and this country.
[00:00:31.271 --> 00:00:33.496]  Here's Alex Jones breaking it down.
[00:00:35.154 --> 00:00:44.244]  Congressman Schiff taking over the Intelligence Committee of the House on January 2nd says Trump may face quote real prospect of jail time.
[00:00:44.244 --> 00:00:51.011]  There's a very real prospect that on the day Donald Trump leaves office the Justice Department may indict him.
[00:00:51.011 --> 00:00:55.896]  That he may be the first president in quite some time to face the real prospect of jail time.
[00:00:55.896 --> 00:00:56.837]  And ABC NBC
[00:00:58.018 --> 00:01:01.620]  President Trump's inevitable impeachment by the Dems.
[00:01:01.620 --> 00:01:07.183]  Are we going to hear more of this in January now from leading Democrats that maybe there are impeachable offenses here?
[00:01:07.870 --> 00:01:20.679]  I think it's inevitable, and in fact I think there's going to be a point where House Democrats are going to feel as if, if they don't open an impeachment inquiry over what they've seen so far, then what would be the trigger?
[00:01:20.679 --> 00:01:27.784]  If Congress at all wants to be a watchdog for the executive branch, I think it's inevitable.
[00:01:27.784 --> 00:01:33.587]  So look, I think it's inevitable that an impeachment inquiry is going to get open, and as Jerry Nadler says, that doesn't mean they will end up impeaching him.
[00:01:34.668 --> 00:01:37.849]  But I think the investigation is going to open sooner rather than later.
[00:01:37.849 --> 00:01:39.170]  They at least have to go there.
[00:01:39.170 --> 00:01:50.234]  Jerry Nadler saying, if the campaign finance case as laid out by prosecutors is true, Mr. Trump would be likely to meet the criteria for an impeachable offense.
[00:01:50.234 --> 00:01:55.736]  And he said he would instruct his committee to investigate when he takes over in January.
[00:01:55.736 --> 00:01:59.057]  So I do think things have moved since last Friday.
[00:01:59.057 --> 00:02:02.899]  As we have said, the president is moving into a perilous period.
[00:02:04.278 --> 00:02:14.904]  They said during the campaign they weren't going to do that because Americans wouldn't have supposedly voted for Democrats in the midterms, but oh, now they are because they're desperate to cover up their own crimes.
[00:02:14.904 --> 00:02:19.467]  Meanwhile, Trump has accurately tweeted that Comey lied to Congress.
