[00:00:01.668 --> 00:00:03.073]  We are drugged out!
[00:00:03.756 --> 00:00:06.024]  We are following other people's opinions!
[00:00:07.142 --> 00:00:09.404]  We are controlled by the media.
[00:00:09.964 --> 00:00:11.525]  Today, it all changes.
[00:00:11.825 --> 00:00:14.387]  This reality has been forced upon us.
[00:00:14.587 --> 00:00:17.429]  It is a choice, just like when I said slavery is a choice.
[00:00:17.649 --> 00:00:22.152]  Einstein says the death of insanity is doing the same thing, expecting a different result.
[00:00:22.393 --> 00:00:25.034]  So we keep on saying, I hate you, I hate you, f*** you, f*** you, f*** you.
[00:00:25.074 --> 00:00:27.576]  How are we going to get a different result out of hate?
[00:00:27.916 --> 00:00:29.858]  Why don't we just try love?
[00:00:30.338 --> 00:00:31.759]  Why don't we just try love?
[00:00:31.979 --> 00:00:33.160]  We have the resources.
[00:00:36.195 --> 00:00:39.839]  Sometimes you need some crazy motherfuckers to change something.
[00:00:39.859 --> 00:00:43.102]  Steve Jobs is crazy, now we all on Steve Jobs' phones.
[00:00:43.142 --> 00:00:47.506]  They say Trump's crazy, they say I'm crazy, but I'm here to show love.
[00:00:47.686 --> 00:00:51.330]  It's a bigger plan, and I'm just doing what the universe told me.
[00:00:52.852 --> 00:00:56.395]  Resistance to tyrants is obedience to God.
[00:00:56.976 --> 00:00:58.737]  It's Alex Jones.
[00:01:04.719 --> 00:01:06.020]  This is the Fourth Amendment.
[00:01:06.060 --> 00:01:23.571]  It reads, "...the right of the people to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures shall not be violated and no warrants shall issue but upon probable cause supported by oath or affirmation and particularly describing the place to be searched and the persons or things to be seized."
[00:01:23.731 --> 00:01:24.912]  Pretty straightforward.
[00:01:25.132 --> 00:01:33.597]  So why is it that we have to adopt laws to enforce this law of the land against the very organization sworn to uphold the Fourth Amendment?
[00:01:33.737 --> 00:01:36.238]  It's madness, but that's exactly what's happening.
[00:01:36.339 --> 00:01:38.900]  These stingrays are not selective devices.
[00:01:39.460 --> 00:01:47.085]  If they are in your area, all cell phone calls will go through the stingray because that is the most powerful signal in that area.
[00:01:47.665 --> 00:01:51.527]  So everyone within a quarter of a mile will be passing through the stingray.
